step,policy_name,clue_acquisition_mode,anomaly_conditional_alpha,anomaly_conditional_triggered,anomaly_gate_reason,anomaly_top_mass_ratio,anomaly_entropy_norm,anomaly_hotspot_stability,anomaly_pre_first_alpha_capped,mode,robot_cell,viewpoint_cell,segment_endpoint_cell,anchor_cell,anchor_source,anchor_centroid_cell,anchor_cluster_size,anchor_cluster_peak,anchor_cluster_mean,viewpoint_rule,replanned_this_step,replan_reason,commit_remaining,planned_commit_window,commit_policy,path_length_current,planned_segment_length,planned_viewpoint_path_length,segment_path_length,fraction_of_path_executed_before_replan,switch_count,explore_utility_raw,explore_utility_norm,focus_utility_raw,focus_utility_norm,recency_utility_raw,recency_utility_norm,search_info_gain_raw,search_info_gain_norm,recency_bias_raw,recency_bias_norm,exec_cost_raw,exec_cost_norm,clearance_penalty_raw,segment_min_clearance_cells,segment_mean_clearance_cells,near_obstacle_step_flag,near_obstacle_step_ratio,path_safety_mode,planner_adaptation_mode,safe_nav_lambda_clearance,marginal_information_gain_raw,marginal_information_gain_norm,execution_cost_raw,execution_cost_norm,continuity_bonus_raw,continuity_bonus_anchor_raw,continuity_bonus_viewpoint_raw,marginal_information_gain_score_term,recency_bias_score_term,execution_cost_score_term,continuity_bonus_score_term,maneuver_penalty_raw,maneuver_penalty_score_term,segment_turn_count,alpha_focus,kappa_commit,same_anchor_cluster,viewpoint_drift_norm,anchor_retention_bonus,viewpoint_retention_bonus,anchor_info_clue_share,anchor_info_intensity_share,candidate_pool_size,reachable_pool_size,a_star_checked_pool_size,selected_viewpoint_rank,sampling_priority_raw,sampling_priority_norm,viewpoint_sampling_mode,selected_by_final_score,sssp_build_time_ms,path_reconstruct_time_ms,sampling_pool_build_time_ms,priority_feature_time_ms,tree_depth,tree_first_layer_top_m,tree_second_layer_top_n,tree_discount_gamma,tree_root_rank,tree_child_rank,tree_root_score_raw,tree_child_score_raw,tree_total_score,tree_conditional_gain_lvl2,tree_redundant_visible_ratio_lvl2,tree_unique_visible_count_lvl1,tree_unique_visible_count_lvl2,tree_expansion_count,tree_planning_time_ms,tree_child_oracle_score_raw,tree_child_budget_score_raw,tree_child_oracle_gap_raw,tree_child_oracle_rank_of_budgeted,tree_child_budget_matches_oracle,tree_child_oracle_viewpoint_cell,tree_child_budget_viewpoint_cell,tree_child_full_candidate_count,u_turn_penalty_term,u_turn_penalty_applied,planned_first_move_dir,current_viewpoint_score,best_alternative_score,total_score,anchor_switch_count,focus_anchor_active,focus_on_anchor_cluster_steps,time_since_last_detection,remaining_intensity_mass,peak_intensity_ratio,known_free_observation_ratio,search_info_map_peak,search_info_map_mean,anomaly_viewpoint_prob,anomaly_viewpoint_weight,anomaly_viewpoint_acq,anomaly_visible_mean,selected_in_anomaly_top_band,effective_observation_gain,stale_refresh_ratio,detected_count_this_step,collision_this_step,collision_cell,path_invalidations_per_episode
1,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(1, 2)","(20, 28)","(2, 8)","(22, 31)",search_info,"(20, 31)",1940,1.0,0.9698676051521666,simple_ring_priority,True,initial_plan|commit_expired|segment_empty,4,4,adaptive_knownmap_soft,8,8,46,8,0.0,1,44.26863961953124,0.0,4.865773674994838,0.0,0.0,0.0,49.134413294526084,0.0,0.0,0.0,8.625,0.0,0.125,1.0,1.875,True,0.125,soft_clearance_astar_v1,adaptive,1.0,49.134413294526084,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2,0.0,0.0,False,0.0,0.0,0.0,0.5263427650399383,0.4736572349600618,24,24,24,1,0.023774173001462007,1.0,simple_ring,True,5.19220000023779,0.08230000094044954,0.17780000052880496,0.17320000370091293,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,1,21,3.0,1.1125780291607739,0.015841584158415842,1.0,0.9087343585343062,0.49999999742858664,1.6249999967857334,0.8128655411682015,0.6202407525301765,False,0.1935483870967742,0.0,0,False,,0
2,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 2)","(20, 28)","(2, 8)","(22, 31)",search_info,"(20, 31)",1940,1.0,0.9698676051521666,simple_ring_priority,False,,3,4,adaptive_knownmap_soft,7,8,46,8,0.125,1,44.26863961953124,0.0,4.865773674994838,0.0,0.0,0.0,49.134413294526084,0.0,0.0,0.0,8.625,0.0,0.125,1.0,1.875,True,0.125,soft_clearance_astar_v1,adaptive,1.0,49.134413294526084,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2,0.0,0.0,False,0.0,0.0,0.0,0.5263427650399383,0.4736572349600618,24,24,24,1,0.023774173001462007,1.0,simple_ring,True,5.19220000023779,0.08230000094044954,0.17780000052880496,0.17320000370091293,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,2,22,3.0,1.1740747319592582,0.01881188118811881,1.0,0.8857138923047677,0.49999999742858664,1.6249999967857334,0.8128655411682015,0.6202407525301765,False,0.16216216216216217,0.0,0,False,,0
3,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 3)","(20, 28)","(2, 8)","(22, 31)",search_info,"(20, 31)",1940,1.0,0.9698676051521666,simple_ring_priority,False,,2,4,adaptive_knownmap_soft,6,8,46,8,0.25,1,44.26863961953124,0.0,4.865773674994838,0.0,0.0,0.0,49.134413294526084,0.0,0.0,0.0,8.625,0.0,0.125,1.0,1.875,True,0.125,soft_clearance_astar_v1,adaptive,1.0,49.134413294526084,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2,0.0,0.0,False,0.0,0.0,0.0,0.5263427650399383,0.4736572349600618,24,24,24,1,0.023774173001462007,1.0,simple_ring,True,5.19220000023779,0.08230000094044954,0.17780000052880496,0.17320000370091293,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,3,23,3.0,1.1804469359942658,0.02178217821782178,1.0,0.908864646327033,0.49999999742858664,1.6249999967857334,0.8128655411682015,0.6202407525301765,False,0.13953488372093023,0.0,0,False,,0
4,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 4)","(20, 28)","(2, 8)","(22, 31)",search_info,"(20, 31)",1940,1.0,0.9698676051521666,simple_ring_priority,False,,1,4,adaptive_knownmap_soft,5,8,46,8,0.375,1,44.26863961953124,0.0,4.865773674994838,0.0,0.0,0.0,49.134413294526084,0.0,0.0,0.0,8.625,0.0,0.125,1.0,1.875,True,0.125,soft_clearance_astar_v1,adaptive,1.0,49.134413294526084,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2,0.0,0.0,False,0.0,0.0,0.0,0.5263427650399383,0.4736572349600618,24,24,24,1,0.023774173001462007,1.0,simple_ring,True,5.19220000023779,0.08230000094044954,0.17780000052880496,0.17320000370091293,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,4,24,3.0,1.1873636520295359,0.02524752475247525,1.0,0.8907090588574557,0.49999999742858664,1.6249999967857334,0.8128655411682015,0.6202407525301765,False,0.14285714285714285,0.0,0,False,,0
5,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 5)","(20, 28)","(2, 8)","(22, 31)",search_info,"(20, 31)",1940,1.0,0.9698676051521666,simple_ring_priority,False,,0,4,adaptive_knownmap_soft,4,8,46,8,0.5,1,44.26863961953124,0.0,4.865773674994838,0.0,0.0,0.0,49.134413294526084,0.0,0.0,0.0,8.625,0.0,0.125,1.0,1.875,True,0.125,soft_clearance_astar_v1,adaptive,1.0,49.134413294526084,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2,0.0,0.0,False,0.0,0.0,0.0,0.5263427650399383,0.4736572349600618,24,24,24,1,0.023774173001462007,1.0,simple_ring,True,5.19220000023779,0.08230000094044954,0.17780000052880496,0.17320000370091293,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,5,25,3.0,1.1861569681368362,0.028712871287128714,1.0,0.8075375128311568,0.49999999742858664,1.6249999967857334,0.8128655411682015,0.6202407525301765,False,0.12962962962962962,0.0,0,False,,0
6,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(3, 5)","(12, 5)","(10, 5)","(15, 8)",search_info,"(15, 8)",12,0.8663384141677632,0.8579058388086157,simple_ring_priority,True,commit_expired,4,4,adaptive_knownmap_soft,8,8,10,8,0.625,2,61.108703617968736,1.0,4.554529584841446,0.3423230735031442,0.01023391812865497,0.04484862128731,65.66323320281018,1.0,0.01023391812865497,0.04484862128731,8.0,0.0,0.0,3.0,4.625,False,0.0,soft_clearance_astar_v1,adaptive,1.0,65.66323320281018,1.0,8.0,0.0,0.0,0.0,0.0,6.5,0.08969724257462,-0.0,0.0,0.0,-0.0,0,0.0,0.0,False,1.0,0.0,0.0,0.460652309364882,0.539347690635118,24,24,24,5,1.2646865656565067,0.8398049428111362,simple_ring,True,4.297800000131247,0.2477000016369857,0.8101999992504716,0.831899998956942,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(1, 0)",1.474521684212892,6.58969724257462,6.58969724257462,1,True,6,26,3.0,1.1860915577235103,0.031683168316831684,0.9998787472262517,0.7775427593578477,0.496118408578679,1.6201480107233488,0.49106425023472555,0.6345911626063666,False,0.09523809523809523,0.0,0,False,,0
7,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(4, 5)","(12, 5)","(10, 5)","(15, 8)",search_info,"(15, 8)",12,0.8663384141677632,0.8579058388086157,simple_ring_priority,False,,3,4,adaptive_knownmap_soft,7,8,10,8,0.125,2,61.108703617968736,1.0,4.554529584841446,0.3423230735031442,0.01023391812865497,0.04484862128731,65.66323320281018,1.0,0.01023391812865497,0.04484862128731,8.0,0.0,0.0,3.0,4.625,False,0.0,soft_clearance_astar_v1,adaptive,1.0,65.66323320281018,1.0,8.0,0.0,0.0,0.0,0.0,6.5,0.08969724257462,-0.0,0.0,0.0,-0.0,0,0.0,0.0,False,1.0,0.0,0.0,0.460652309364882,0.539347690635118,24,24,24,5,1.2646865656565067,0.8398049428111362,simple_ring,True,4.297800000131247,0.2477000016369857,0.8101999992504716,0.831899998956942,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(1, 0)",1.474521684212892,6.58969724257462,6.58969724257462,1,True,7,27,3.0,1.1853403498591764,0.03663366336633663,0.9998304671623806,0.7762519329205787,0.496118408578679,1.6201480107233488,0.49106425023472555,0.6345911626063666,False,0.1388888888888889,0.0,0,False,,0
8,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(5, 5)","(12, 5)","(10, 5)","(15, 8)",search_info,"(15, 8)",12,0.8663384141677632,0.8579058388086157,simple_ring_priority,False,,2,4,adaptive_knownmap_soft,6,8,10,8,0.25,2,61.108703617968736,1.0,4.554529584841446,0.3423230735031442,0.01023391812865497,0.04484862128731,65.66323320281018,1.0,0.01023391812865497,0.04484862128731,8.0,0.0,0.0,3.0,4.625,False,0.0,soft_clearance_astar_v1,adaptive,1.0,65.66323320281018,1.0,8.0,0.0,0.0,0.0,0.0,6.5,0.08969724257462,-0.0,0.0,0.0,-0.0,0,0.0,0.0,False,1.0,0.0,0.0,0.460652309364882,0.539347690635118,24,24,24,5,1.2646865656565067,0.8398049428111362,simple_ring,True,4.297800000131247,0.2477000016369857,0.8101999992504716,0.831899998956942,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(1, 0)",1.474521684212892,6.58969724257462,6.58969724257462,1,True,8,28,3.0,1.1856210355562484,0.041584158415841586,0.9997164084072891,0.7362474203933125,0.496118408578679,1.6201480107233488,0.49106425023472555,0.6345911626063666,False,0.12658227848101267,0.0,0,False,,0
9,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(6, 5)","(12, 5)","(10, 5)","(15, 8)",search_info,"(15, 8)",12,0.8663384141677632,0.8579058388086157,simple_ring_priority,False,,1,4,adaptive_knownmap_soft,5,8,10,8,0.375,2,61.108703617968736,1.0,4.554529584841446,0.3423230735031442,0.01023391812865497,0.04484862128731,65.66323320281018,1.0,0.01023391812865497,0.04484862128731,8.0,0.0,0.0,3.0,4.625,False,0.0,soft_clearance_astar_v1,adaptive,1.0,65.66323320281018,1.0,8.0,0.0,0.0,0.0,0.0,6.5,0.08969724257462,-0.0,0.0,0.0,-0.0,0,0.0,0.0,False,1.0,0.0,0.0,0.460652309364882,0.539347690635118,24,24,24,5,1.2646865656565067,0.8398049428111362,simple_ring,True,4.297800000131247,0.2477000016369857,0.8101999992504716,0.831899998956942,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(1, 0)",1.474521684212892,6.58969724257462,6.58969724257462,1,True,9,29,3.0,1.1861775608287868,0.046534653465346534,0.9989250757867527,0.767333047612057,0.496118408578679,1.6201480107233488,0.49106425023472555,0.6345911626063666,False,0.125,0.0,0,False,,0
10,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(7, 5)","(12, 5)","(10, 5)","(15, 8)",search_info,"(15, 8)",12,0.8663384141677632,0.8579058388086157,simple_ring_priority,False,,0,4,adaptive_knownmap_soft,4,8,10,8,0.5,2,61.108703617968736,1.0,4.554529584841446,0.3423230735031442,0.01023391812865497,0.04484862128731,65.66323320281018,1.0,0.01023391812865497,0.04484862128731,8.0,0.0,0.0,3.0,4.625,False,0.0,soft_clearance_astar_v1,adaptive,1.0,65.66323320281018,1.0,8.0,0.0,0.0,0.0,0.0,6.5,0.08969724257462,-0.0,0.0,0.0,-0.0,0,0.0,0.0,False,1.0,0.0,0.0,0.460652309364882,0.539347690635118,24,24,24,5,1.2646865656565067,0.8398049428111362,simple_ring,True,4.297800000131247,0.2477000016369857,0.8101999992504716,0.831899998956942,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(1, 0)",1.474521684212892,6.58969724257462,6.58969724257462,1,True,10,30,2.9999999999999996,1.187242240400398,0.05148514851485148,0.9985237865964356,0.7242023670634106,0.496118408578679,1.6201480107233488,0.49106425023472555,0.6345911626063666,False,0.125,0.0,0,False,,0
