step,policy_name,clue_acquisition_mode,anomaly_conditional_alpha,anomaly_conditional_triggered,anomaly_gate_reason,anomaly_top_mass_ratio,anomaly_entropy_norm,anomaly_hotspot_stability,anomaly_pre_first_alpha_capped,mode,robot_cell,viewpoint_cell,segment_endpoint_cell,anchor_cell,anchor_source,anchor_centroid_cell,anchor_cluster_size,anchor_cluster_peak,anchor_cluster_mean,viewpoint_rule,replanned_this_step,replan_reason,commit_remaining,planned_commit_window,commit_policy,path_length_current,planned_segment_length,planned_viewpoint_path_length,segment_path_length,fraction_of_path_executed_before_replan,switch_count,explore_utility_raw,explore_utility_norm,focus_utility_raw,focus_utility_norm,recency_utility_raw,recency_utility_norm,search_info_gain_raw,search_info_gain_norm,recency_bias_raw,recency_bias_norm,exec_cost_raw,exec_cost_norm,clearance_penalty_raw,segment_min_clearance_cells,segment_mean_clearance_cells,near_obstacle_step_flag,near_obstacle_step_ratio,path_safety_mode,planner_adaptation_mode,safe_nav_lambda_clearance,marginal_information_gain_raw,marginal_information_gain_norm,execution_cost_raw,execution_cost_norm,continuity_bonus_raw,continuity_bonus_anchor_raw,continuity_bonus_viewpoint_raw,marginal_information_gain_score_term,recency_bias_score_term,execution_cost_score_term,continuity_bonus_score_term,maneuver_penalty_raw,maneuver_penalty_score_term,segment_turn_count,alpha_focus,kappa_commit,same_anchor_cluster,viewpoint_drift_norm,anchor_retention_bonus,viewpoint_retention_bonus,anchor_info_clue_share,anchor_info_intensity_share,candidate_pool_size,reachable_pool_size,a_star_checked_pool_size,selected_viewpoint_rank,sampling_priority_raw,sampling_priority_norm,viewpoint_sampling_mode,selected_by_final_score,sssp_build_time_ms,path_reconstruct_time_ms,sampling_pool_build_time_ms,priority_feature_time_ms,tree_depth,tree_first_layer_top_m,tree_second_layer_top_n,tree_discount_gamma,tree_root_rank,tree_child_rank,tree_root_score_raw,tree_child_score_raw,tree_total_score,tree_conditional_gain_lvl2,tree_redundant_visible_ratio_lvl2,tree_unique_visible_count_lvl1,tree_unique_visible_count_lvl2,tree_expansion_count,tree_planning_time_ms,tree_child_oracle_score_raw,tree_child_budget_score_raw,tree_child_oracle_gap_raw,tree_child_oracle_rank_of_budgeted,tree_child_budget_matches_oracle,tree_child_oracle_viewpoint_cell,tree_child_budget_viewpoint_cell,tree_child_full_candidate_count,u_turn_penalty_term,u_turn_penalty_applied,planned_first_move_dir,current_viewpoint_score,best_alternative_score,total_score,anchor_switch_count,focus_anchor_active,focus_on_anchor_cluster_steps,time_since_last_detection,remaining_intensity_mass,peak_intensity_ratio,known_free_observation_ratio,search_info_map_peak,search_info_map_mean,anomaly_viewpoint_prob,anomaly_viewpoint_weight,anomaly_viewpoint_acq,anomaly_visible_mean,selected_in_anomaly_top_band,effective_observation_gain,stale_refresh_ratio,detected_count_this_step,collision_this_step,collision_cell,path_invalidations_per_episode
1,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(1, 2)","(20, 28)","(2, 8)","(22, 31)",search_info,"(20, 31)",1943,1.0,0.9959619324590271,simple_ring_priority,True,initial_plan|commit_expired|segment_empty,4,4,adaptive_knownmap_soft,8,8,46,8,0.0,1,44.26863961953124,0.0,5.036918355004191,0.0,0.0,0.0,49.30555797453543,0.0,0.0,0.0,8.625,0.0,0.125,1.0,1.875,True,0.125,soft_clearance_astar_v1,adaptive,1.0,49.30555797453543,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2,0.0,0.0,False,0.0,0.0,0.0,0.4988477272365114,0.5011522727634887,24,24,24,1,0.07274956367810903,1.0,simple_ring,True,3.8676000003761146,0.06750000102329068,0.16379999942728318,0.15780000467202626,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,1,21,2.9999999999999996,1.0113689992053125,0.015841584158415842,1.0,0.9571471297594696,0.49999999742858664,1.6249999967857334,0.8128655411682015,0.6202407525301765,False,0.1935483870967742,0.0,0,False,,0
2,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 2)","(20, 28)","(2, 8)","(22, 31)",search_info,"(20, 31)",1943,1.0,0.9959619324590271,simple_ring_priority,False,,3,4,adaptive_knownmap_soft,7,8,46,8,0.125,1,44.26863961953124,0.0,5.036918355004191,0.0,0.0,0.0,49.30555797453543,0.0,0.0,0.0,8.625,0.0,0.125,1.0,1.875,True,0.125,soft_clearance_astar_v1,adaptive,1.0,49.30555797453543,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2,0.0,0.0,False,0.0,0.0,0.0,0.4988477272365114,0.5011522727634887,24,24,24,1,0.07274956367810903,1.0,simple_ring,True,3.8676000003761146,0.06750000102329068,0.16379999942728318,0.15780000467202626,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,2,22,2.9999999999999996,1.0148395178466096,0.01881188118811881,1.0,0.9244144636112923,0.49999999742858664,1.6249999967857334,0.8128655411682015,0.6202407525301765,False,0.16216216216216217,0.0,0,False,,0
3,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 3)","(20, 28)","(2, 8)","(22, 31)",search_info,"(20, 31)",1943,1.0,0.9959619324590271,simple_ring_priority,False,,2,4,adaptive_knownmap_soft,6,8,46,8,0.25,1,44.26863961953124,0.0,5.036918355004191,0.0,0.0,0.0,49.30555797453543,0.0,0.0,0.0,8.625,0.0,0.125,1.0,1.875,True,0.125,soft_clearance_astar_v1,adaptive,1.0,49.30555797453543,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2,0.0,0.0,False,0.0,0.0,0.0,0.4988477272365114,0.5011522727634887,24,24,24,1,0.07274956367810903,1.0,simple_ring,True,3.8676000003761146,0.06750000102329068,0.16379999942728318,0.15780000467202626,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,3,23,3.0,1.0180011650342107,0.02178217821782178,1.0,0.9438092340172317,0.49999999742858664,1.6249999967857334,0.8128655411682015,0.6202407525301765,False,0.13953488372093023,0.0,0,False,,0
4,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 4)","(20, 28)","(2, 8)","(22, 31)",search_info,"(20, 31)",1943,1.0,0.9959619324590271,simple_ring_priority,False,,1,4,adaptive_knownmap_soft,5,8,46,8,0.375,1,44.26863961953124,0.0,5.036918355004191,0.0,0.0,0.0,49.30555797453543,0.0,0.0,0.0,8.625,0.0,0.125,1.0,1.875,True,0.125,soft_clearance_astar_v1,adaptive,1.0,49.30555797453543,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2,0.0,0.0,False,0.0,0.0,0.0,0.4988477272365114,0.5011522727634887,24,24,24,1,0.07274956367810903,1.0,simple_ring,True,3.8676000003761146,0.06750000102329068,0.16379999942728318,0.15780000467202626,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,4,24,3.0000000000000004,1.0211994989308921,0.02524752475247525,1.0,0.9351639128460982,0.49999999742858664,1.6249999967857334,0.8128655411682015,0.6202407525301765,False,0.14285714285714285,0.0,0,False,,0
5,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 5)","(20, 28)","(2, 8)","(22, 31)",search_info,"(20, 31)",1943,1.0,0.9959619324590271,simple_ring_priority,False,,0,4,adaptive_knownmap_soft,4,8,46,8,0.5,1,44.26863961953124,0.0,5.036918355004191,0.0,0.0,0.0,49.30555797453543,0.0,0.0,0.0,8.625,0.0,0.125,1.0,1.875,True,0.125,soft_clearance_astar_v1,adaptive,1.0,49.30555797453543,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2,0.0,0.0,False,0.0,0.0,0.0,0.4988477272365114,0.5011522727634887,24,24,24,1,0.07274956367810903,1.0,simple_ring,True,3.8676000003761146,0.06750000102329068,0.16379999942728318,0.15780000467202626,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,5,25,3.0,1.0244520744280254,0.028712871287128714,1.0,0.9252463145144108,0.49999999742858664,1.6249999967857334,0.8128655411682015,0.6202407525301765,False,0.12962962962962962,0.0,0,False,,0
6,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 6)","(20, 28)","(2, 13)","(22, 31)",search_info,"(21, 31)",1889,1.0,0.9594672608007503,simple_ring_priority,True,commit_expired,4,4,adaptive_knownmap_soft,8,8,41,8,0.625,1,47.12113961953124,0.0,5.404654079929996,0.0,0.0,0.0,52.52579369946124,0.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,False,0.0,soft_clearance_astar_v1,adaptive,1.0,52.52579369946124,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0,0.0,0.0,True,0.0,0.0,0.0,0.47866688378387967,0.5213331162161204,24,24,24,1,0.25323163401934945,1.0,simple_ring,True,3.963899998780107,0.1467000001866836,0.4213999982312089,0.3487000049062772,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,6,26,3.0,1.0277479360584951,0.03217821782178218,1.0,0.7985554912874633,0.49694168909311837,1.621177111366398,0.8109532384980762,0.7151193424662585,False,0.12727272727272726,0.0,0,False,,0
7,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 7)","(20, 28)","(2, 13)","(22, 31)",search_info,"(21, 31)",1889,1.0,0.9594672608007503,simple_ring_priority,False,,3,4,adaptive_knownmap_soft,7,8,41,8,0.125,1,47.12113961953124,0.0,5.404654079929996,0.0,0.0,0.0,52.52579369946124,0.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,False,0.0,soft_clearance_astar_v1,adaptive,1.0,52.52579369946124,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0,0.0,0.0,True,0.0,0.0,0.0,0.47866688378387967,0.5213331162161204,24,24,24,1,0.25323163401934945,1.0,simple_ring,True,3.963899998780107,0.1467000001866836,0.4213999982312089,0.3487000049062772,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,7,27,3.0,1.031070433893329,0.03564356435643564,1.0,0.913253524739529,0.49694168909311837,1.621177111366398,0.8109532384980762,0.7151193424662585,False,0.12727272727272726,0.0,0,False,,0
8,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 8)","(20, 28)","(2, 13)","(22, 31)",search_info,"(21, 31)",1889,1.0,0.9594672608007503,simple_ring_priority,False,,2,4,adaptive_knownmap_soft,6,8,41,8,0.25,1,47.12113961953124,0.0,5.404654079929996,0.0,0.0,0.0,52.52579369946124,0.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,False,0.0,soft_clearance_astar_v1,adaptive,1.0,52.52579369946124,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0,0.0,0.0,True,0.0,0.0,0.0,0.47866688378387967,0.5213331162161204,24,24,24,1,0.25323163401934945,1.0,simple_ring,True,3.963899998780107,0.1467000001866836,0.4213999982312089,0.3487000049062772,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,8,28,3.0000000000000004,1.0344155939059827,0.03910891089108911,1.0,0.8814429736842175,0.49694168909311837,1.621177111366398,0.8109532384980762,0.7151193424662585,False,0.12727272727272726,0.0,0,False,,0
9,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 9)","(20, 28)","(2, 13)","(22, 31)",search_info,"(21, 31)",1889,1.0,0.9594672608007503,simple_ring_priority,False,,1,4,adaptive_knownmap_soft,5,8,41,8,0.375,1,47.12113961953124,0.0,5.404654079929996,0.0,0.0,0.0,52.52579369946124,0.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,False,0.0,soft_clearance_astar_v1,adaptive,1.0,52.52579369946124,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0,0.0,0.0,True,0.0,0.0,0.0,0.47866688378387967,0.5213331162161204,24,24,24,1,0.25323163401934945,1.0,simple_ring,True,3.963899998780107,0.1467000001866836,0.4213999982312089,0.3487000049062772,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,9,29,3.0,1.0377838884491668,0.04257425742574258,1.0,0.7449992493450832,0.49694168909311837,1.621177111366398,0.8109532384980762,0.7151193424662585,False,0.12727272727272726,0.0,0,False,,0
10,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 10)","(20, 28)","(2, 13)","(22, 31)",search_info,"(21, 31)",1889,1.0,0.9594672608007503,simple_ring_priority,False,,0,4,adaptive_knownmap_soft,4,8,41,8,0.5,1,47.12113961953124,0.0,5.404654079929996,0.0,0.0,0.0,52.52579369946124,0.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,False,0.0,soft_clearance_astar_v1,adaptive,1.0,52.52579369946124,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0,0.0,0.0,True,0.0,0.0,0.0,0.47866688378387967,0.5213331162161204,24,24,24,1,0.25323163401934945,1.0,simple_ring,True,3.963899998780107,0.1467000001866836,0.4213999982312089,0.3487000049062772,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,10,30,3.0,1.041174633823116,0.04603960396039604,1.0,0.7305120578720996,0.49694168909311837,1.621177111366398,0.8109532384980762,0.7151193424662585,False,0.12727272727272726,0.0,0,False,,0
