step,policy_name,clue_acquisition_mode,anomaly_conditional_alpha,anomaly_conditional_triggered,anomaly_gate_reason,anomaly_top_mass_ratio,anomaly_entropy_norm,anomaly_hotspot_stability,anomaly_pre_first_alpha_capped,mode,robot_cell,viewpoint_cell,segment_endpoint_cell,anchor_cell,anchor_source,anchor_centroid_cell,anchor_cluster_size,anchor_cluster_peak,anchor_cluster_mean,viewpoint_rule,replanned_this_step,replan_reason,commit_remaining,planned_commit_window,commit_policy,path_length_current,planned_segment_length,planned_viewpoint_path_length,segment_path_length,fraction_of_path_executed_before_replan,switch_count,explore_utility_raw,explore_utility_norm,focus_utility_raw,focus_utility_norm,recency_utility_raw,recency_utility_norm,search_info_gain_raw,search_info_gain_norm,recency_bias_raw,recency_bias_norm,exec_cost_raw,exec_cost_norm,clearance_penalty_raw,segment_min_clearance_cells,segment_mean_clearance_cells,near_obstacle_step_flag,near_obstacle_step_ratio,path_safety_mode,planner_adaptation_mode,safe_nav_lambda_clearance,marginal_information_gain_raw,marginal_information_gain_norm,execution_cost_raw,execution_cost_norm,continuity_bonus_raw,continuity_bonus_anchor_raw,continuity_bonus_viewpoint_raw,marginal_information_gain_score_term,recency_bias_score_term,execution_cost_score_term,continuity_bonus_score_term,maneuver_penalty_raw,maneuver_penalty_score_term,segment_turn_count,alpha_focus,kappa_commit,same_anchor_cluster,viewpoint_drift_norm,anchor_retention_bonus,viewpoint_retention_bonus,anchor_info_clue_share,anchor_info_intensity_share,candidate_pool_size,reachable_pool_size,a_star_checked_pool_size,selected_viewpoint_rank,sampling_priority_raw,sampling_priority_norm,viewpoint_sampling_mode,selected_by_final_score,sssp_build_time_ms,path_reconstruct_time_ms,sampling_pool_build_time_ms,priority_feature_time_ms,tree_depth,tree_first_layer_top_m,tree_second_layer_top_n,tree_discount_gamma,tree_root_rank,tree_child_rank,tree_root_score_raw,tree_child_score_raw,tree_total_score,tree_conditional_gain_lvl2,tree_redundant_visible_ratio_lvl2,tree_unique_visible_count_lvl1,tree_unique_visible_count_lvl2,tree_expansion_count,tree_planning_time_ms,tree_child_oracle_score_raw,tree_child_budget_score_raw,tree_child_oracle_gap_raw,tree_child_oracle_rank_of_budgeted,tree_child_budget_matches_oracle,tree_child_oracle_viewpoint_cell,tree_child_budget_viewpoint_cell,tree_child_full_candidate_count,u_turn_penalty_term,u_turn_penalty_applied,planned_first_move_dir,current_viewpoint_score,best_alternative_score,total_score,anchor_switch_count,focus_anchor_active,focus_on_anchor_cluster_steps,time_since_last_detection,remaining_intensity_mass,peak_intensity_ratio,known_free_observation_ratio,search_info_map_peak,search_info_map_mean,anomaly_viewpoint_prob,anomaly_viewpoint_weight,anomaly_viewpoint_acq,anomaly_visible_mean,selected_in_anomaly_top_band,effective_observation_gain,stale_refresh_ratio,detected_count_this_step,collision_this_step,collision_cell,path_invalidations_per_episode
1,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(1, 2)","(18, 28)","(2, 8)","(20, 31)",search_info,"(20, 31)",2121,0.9873572631043136,0.9602536663380709,simple_ring_priority,True,initial_plan|commit_expired|segment_empty,4,4,adaptive_knownmap_soft,8,8,44,8,0.0,1,44.26863961953124,0.0,4.7910592832060965,0.0,0.0,0.0,49.05969890273734,0.0,0.0,0.0,8.625,0.0,0.125,1.0,1.875,True,0.125,soft_clearance_astar_v1,adaptive,1.0,49.05969890273734,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2,0.0,0.0,False,0.0,0.0,0.0,0.5069781437501194,0.4930218562498806,24,24,24,1,0.10722529595886598,1.0,simple_ring,True,4.3139000008523,0.06409999878087547,0.24850000045262277,0.15660000099160243,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,1,21,3.0,1.1115168322392148,0.014519056261343012,1.0,0.9464895623378902,0.49999977953273017,1.6249997244159127,0.8128654051322789,0.6093300883987446,False,0.1935483870967742,0.0,0,False,,0
2,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 2)","(18, 28)","(2, 8)","(20, 31)",search_info,"(20, 31)",2121,0.9873572631043136,0.9602536663380709,simple_ring_priority,False,,3,4,adaptive_knownmap_soft,7,8,44,8,0.125,1,44.26863961953124,0.0,4.7910592832060965,0.0,0.0,0.0,49.05969890273734,0.0,0.0,0.0,8.625,0.0,0.125,1.0,1.875,True,0.125,soft_clearance_astar_v1,adaptive,1.0,49.05969890273734,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2,0.0,0.0,False,0.0,0.0,0.0,0.5069781437501194,0.4930218562498806,24,24,24,1,0.10722529595886598,1.0,simple_ring,True,4.3139000008523,0.06409999878087547,0.24850000045262277,0.15660000099160243,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,2,22,3.0,1.1726012669544452,0.017241379310344827,0.9683840749414518,0.8887124569007882,0.49999977953273017,1.6249997244159127,0.8128654051322789,0.6093300883987446,False,0.16216216216216217,0.0,0,False,,0
3,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 3)","(18, 28)","(2, 8)","(20, 31)",search_info,"(20, 31)",2121,0.9873572631043136,0.9602536663380709,simple_ring_priority,False,,2,4,adaptive_knownmap_soft,6,8,44,8,0.25,1,44.26863961953124,0.0,4.7910592832060965,0.0,0.0,0.0,49.05969890273734,0.0,0.0,0.0,8.625,0.0,0.125,1.0,1.875,True,0.125,soft_clearance_astar_v1,adaptive,1.0,49.05969890273734,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2,0.0,0.0,False,0.0,0.0,0.0,0.5069781437501194,0.4930218562498806,24,24,24,1,0.10722529595886598,1.0,simple_ring,True,4.3139000008523,0.06409999878087547,0.24850000045262277,0.15660000099160243,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,3,23,3.0,1.178637978269933,0.019963702359346643,0.9994889624644852,0.91244569503147,0.49999977953273017,1.6249997244159127,0.8128654051322789,0.6093300883987446,False,0.13953488372093023,0.0,0,False,,0
4,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 4)","(18, 28)","(2, 8)","(20, 31)",search_info,"(20, 31)",2121,0.9873572631043136,0.9602536663380709,simple_ring_priority,False,,1,4,adaptive_knownmap_soft,5,8,44,8,0.375,1,44.26863961953124,0.0,4.7910592832060965,0.0,0.0,0.0,49.05969890273734,0.0,0.0,0.0,8.625,0.0,0.125,1.0,1.875,True,0.125,soft_clearance_astar_v1,adaptive,1.0,49.05969890273734,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2,0.0,0.0,False,0.0,0.0,0.0,0.5069781437501194,0.4930218562498806,24,24,24,1,0.10722529595886598,1.0,simple_ring,True,4.3139000008523,0.06409999878087547,0.24850000045262277,0.15660000099160243,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,4,24,3.0,1.1852096585353271,0.023139745916515426,0.9948035269667168,0.9255594228243106,0.49999977953273017,1.6249997244159127,0.8128654051322789,0.6093300883987446,False,0.14285714285714285,0.0,0,False,,0
5,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 5)","(18, 28)","(2, 8)","(20, 31)",search_info,"(20, 31)",2121,0.9873572631043136,0.9602536663380709,simple_ring_priority,False,,0,4,adaptive_knownmap_soft,4,8,44,8,0.5,1,44.26863961953124,0.0,4.7910592832060965,0.0,0.0,0.0,49.05969890273734,0.0,0.0,0.0,8.625,0.0,0.125,1.0,1.875,True,0.125,soft_clearance_astar_v1,adaptive,1.0,49.05969890273734,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2,0.0,0.0,False,0.0,0.0,0.0,0.5069781437501194,0.4930218562498806,24,24,24,1,0.10722529595886598,1.0,simple_ring,True,4.3139000008523,0.06409999878087547,0.24850000045262277,0.15660000099160243,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,5,25,3.0000000000000004,1.1836563763501822,0.02631578947368421,1.0,0.9256926259369512,0.49999977953273017,1.6249997244159127,0.8128654051322789,0.6093300883987446,False,0.12962962962962962,0.0,0,False,,0
6,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 6)","(18, 30)","(2, 13)","(21, 32)",search_info,"(21, 32)",2039,0.9999999999999998,0.9645788299843483,simple_ring_priority,True,commit_expired,4,4,adaptive_knownmap_soft,8,8,41,8,0.625,2,47.12113961953124,0.0,4.354150681754765,0.0,0.0,0.0,51.47529030128601,0.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,False,0.0,soft_clearance_astar_v1,adaptive,1.0,51.47529030128601,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0,0.0,0.0,True,0.4,0.0,0.0,0.5172787980157539,0.4827212019842461,24,24,24,1,0.2666975885219629,1.0,simple_ring,True,4.142399999182089,0.1362999973935075,0.5409000004874542,0.35570000000006985,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,6,26,3.0,1.1830221402115184,0.029491833030852996,0.997897715364802,0.8667054129120929,0.49999999998985417,1.6249999999873177,0.8128655427650296,0.5883768440071454,True,0.12727272727272726,0.0,0,False,,0
7,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 7)","(18, 30)","(2, 13)","(21, 32)",search_info,"(21, 32)",2039,0.9999999999999998,0.9645788299843483,simple_ring_priority,False,,3,4,adaptive_knownmap_soft,7,8,41,8,0.125,2,47.12113961953124,0.0,4.354150681754765,0.0,0.0,0.0,51.47529030128601,0.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,False,0.0,soft_clearance_astar_v1,adaptive,1.0,51.47529030128601,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0,0.0,0.0,True,0.4,0.0,0.0,0.5172787980157539,0.4827212019842461,24,24,24,1,0.2666975885219629,1.0,simple_ring,True,4.142399999182089,0.1362999973935075,0.5409000004874542,0.35570000000006985,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,7,27,3.0000000000000004,1.1811273950842238,0.032667876588021776,1.0,0.9196928296239005,0.49999999998985417,1.6249999999873177,0.8128655427650296,0.5883768440071454,True,0.12727272727272726,0.0,0,False,,0
8,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 8)","(18, 30)","(2, 13)","(21, 32)",search_info,"(21, 32)",2039,0.9999999999999998,0.9645788299843483,simple_ring_priority,False,,2,4,adaptive_knownmap_soft,6,8,41,8,0.25,2,47.12113961953124,0.0,4.354150681754765,0.0,0.0,0.0,51.47529030128601,0.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,False,0.0,soft_clearance_astar_v1,adaptive,1.0,51.47529030128601,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0,0.0,0.0,True,0.4,0.0,0.0,0.5172787980157539,0.4827212019842461,24,24,24,1,0.2666975885219629,1.0,simple_ring,True,4.142399999182089,0.1362999973935075,0.5409000004874542,0.35570000000006985,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,8,28,3.0,1.1798275611625715,0.03584392014519056,1.0,0.9161831401067765,0.49999999998985417,1.6249999999873177,0.8128655427650296,0.5883768440071454,True,0.12727272727272726,0.0,0,False,,0
9,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 9)","(18, 30)","(2, 13)","(21, 32)",search_info,"(21, 32)",2039,0.9999999999999998,0.9645788299843483,simple_ring_priority,False,,1,4,adaptive_knownmap_soft,5,8,41,8,0.375,2,47.12113961953124,0.0,4.354150681754765,0.0,0.0,0.0,51.47529030128601,0.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,False,0.0,soft_clearance_astar_v1,adaptive,1.0,51.47529030128601,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0,0.0,0.0,True,0.4,0.0,0.0,0.5172787980157539,0.4827212019842461,24,24,24,1,0.2666975885219629,1.0,simple_ring,True,4.142399999182089,0.1362999973935075,0.5409000004874542,0.35570000000006985,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,9,29,3.0,1.1785523969251288,0.03901996370235935,0.99999626649337,0.9123607121379438,0.49999999998985417,1.6249999999873177,0.8128655427650296,0.5883768440071454,True,0.12727272727272726,0.0,0,False,,0
10,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 10)","(18, 30)","(2, 13)","(21, 32)",search_info,"(21, 32)",2039,0.9999999999999998,0.9645788299843483,simple_ring_priority,False,,0,4,adaptive_knownmap_soft,4,8,41,8,0.5,2,47.12113961953124,0.0,4.354150681754765,0.0,0.0,0.0,51.47529030128601,0.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,False,0.0,soft_clearance_astar_v1,adaptive,1.0,51.47529030128601,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0,0.0,0.0,True,0.4,0.0,0.0,0.5172787980157539,0.4827212019842461,24,24,24,1,0.2666975885219629,1.0,simple_ring,True,4.142399999182089,0.1362999973935075,0.5409000004874542,0.35570000000006985,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,10,30,3.0000000000000004,1.177709469065897,0.04219600725952813,0.9999181090097435,0.8966029407786962,0.49999999998985417,1.6249999999873177,0.8128655427650296,0.5883768440071454,True,0.12727272727272726,0.0,0,False,,0
