step,policy_name,clue_acquisition_mode,anomaly_conditional_alpha,anomaly_conditional_triggered,anomaly_gate_reason,anomaly_top_mass_ratio,anomaly_entropy_norm,anomaly_hotspot_stability,anomaly_pre_first_alpha_capped,mode,robot_cell,viewpoint_cell,segment_endpoint_cell,anchor_cell,anchor_source,anchor_centroid_cell,anchor_cluster_size,anchor_cluster_peak,anchor_cluster_mean,viewpoint_rule,replanned_this_step,replan_reason,commit_remaining,planned_commit_window,commit_policy,path_length_current,planned_segment_length,planned_viewpoint_path_length,segment_path_length,fraction_of_path_executed_before_replan,switch_count,explore_utility_raw,explore_utility_norm,focus_utility_raw,focus_utility_norm,recency_utility_raw,recency_utility_norm,search_info_gain_raw,search_info_gain_norm,recency_bias_raw,recency_bias_norm,exec_cost_raw,exec_cost_norm,clearance_penalty_raw,segment_min_clearance_cells,segment_mean_clearance_cells,near_obstacle_step_flag,near_obstacle_step_ratio,path_safety_mode,planner_adaptation_mode,safe_nav_lambda_clearance,marginal_information_gain_raw,marginal_information_gain_norm,execution_cost_raw,execution_cost_norm,continuity_bonus_raw,continuity_bonus_anchor_raw,continuity_bonus_viewpoint_raw,marginal_information_gain_score_term,recency_bias_score_term,execution_cost_score_term,continuity_bonus_score_term,maneuver_penalty_raw,maneuver_penalty_score_term,segment_turn_count,alpha_focus,kappa_commit,same_anchor_cluster,viewpoint_drift_norm,anchor_retention_bonus,viewpoint_retention_bonus,anchor_info_clue_share,anchor_info_intensity_share,candidate_pool_size,reachable_pool_size,a_star_checked_pool_size,selected_viewpoint_rank,sampling_priority_raw,sampling_priority_norm,viewpoint_sampling_mode,selected_by_final_score,sssp_build_time_ms,path_reconstruct_time_ms,sampling_pool_build_time_ms,priority_feature_time_ms,tree_depth,tree_first_layer_top_m,tree_second_layer_top_n,tree_discount_gamma,tree_root_rank,tree_child_rank,tree_root_score_raw,tree_child_score_raw,tree_total_score,tree_conditional_gain_lvl2,tree_redundant_visible_ratio_lvl2,tree_unique_visible_count_lvl1,tree_unique_visible_count_lvl2,tree_expansion_count,tree_planning_time_ms,tree_child_oracle_score_raw,tree_child_budget_score_raw,tree_child_oracle_gap_raw,tree_child_oracle_rank_of_budgeted,tree_child_budget_matches_oracle,tree_child_oracle_viewpoint_cell,tree_child_budget_viewpoint_cell,tree_child_full_candidate_count,u_turn_penalty_term,u_turn_penalty_applied,planned_first_move_dir,current_viewpoint_score,best_alternative_score,total_score,anchor_switch_count,focus_anchor_active,focus_on_anchor_cluster_steps,time_since_last_detection,remaining_intensity_mass,peak_intensity_ratio,known_free_observation_ratio,search_info_map_peak,search_info_map_mean,anomaly_viewpoint_prob,anomaly_viewpoint_weight,anomaly_viewpoint_acq,anomaly_visible_mean,selected_in_anomaly_top_band,effective_observation_gain,stale_refresh_ratio,detected_count_this_step,collision_this_step,collision_cell,path_invalidations_per_episode
1,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(1, 2)","(17, 29)","(2, 8)","(20, 31)",search_info,"(20, 31)",1852,0.982326586716631,0.9543725304455022,simple_ring_priority,True,initial_plan|commit_expired|segment_empty,4,4,adaptive_knownmap_soft,8,8,44,8,0.0,1,44.26863961953124,0.0,4.7776180911030295,0.0,0.0,0.0,49.04625771063427,0.0,0.0,0.0,8.625,0.0,0.125,1.0,1.875,True,0.125,soft_clearance_astar_v1,adaptive,1.0,49.04625771063427,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2,0.0,0.0,False,0.0,0.0,0.0,0.5040335343074097,0.4959664656925903,24,24,24,1,0.10007915038793902,1.0,simple_ring,True,3.7367999993875856,0.0743000018701423,0.2421000008325791,0.16449999930046033,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,1,21,3.0000000000000004,1.1131372159722843,0.016537467700258397,1.0,0.9412450893165826,0.49999803633981743,1.6249975454247718,0.8128643151152001,0.609349574633589,False,0.1935483870967742,0.0,0,False,,0
2,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 2)","(17, 29)","(2, 8)","(20, 31)",search_info,"(20, 31)",1852,0.982326586716631,0.9543725304455022,simple_ring_priority,False,,3,4,adaptive_knownmap_soft,7,8,44,8,0.125,1,44.26863961953124,0.0,4.7776180911030295,0.0,0.0,0.0,49.04625771063427,0.0,0.0,0.0,8.625,0.0,0.125,1.0,1.875,True,0.125,soft_clearance_astar_v1,adaptive,1.0,49.04625771063427,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2,0.0,0.0,False,0.0,0.0,0.0,0.5040335343074097,0.4959664656925903,24,24,24,1,0.10007915038793902,1.0,simple_ring,True,3.7367999993875856,0.0743000018701423,0.2421000008325791,0.16449999930046033,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,2,22,3.0,1.1748515182396115,0.019638242894056846,0.9683840749414518,0.8781052145755956,0.49999803633981743,1.6249975454247718,0.8128643151152001,0.609349574633589,False,0.16216216216216217,0.0,0,False,,0
3,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 3)","(17, 29)","(2, 8)","(20, 31)",search_info,"(20, 31)",1852,0.982326586716631,0.9543725304455022,simple_ring_priority,False,,2,4,adaptive_knownmap_soft,6,8,44,8,0.25,1,44.26863961953124,0.0,4.7776180911030295,0.0,0.0,0.0,49.04625771063427,0.0,0.0,0.0,8.625,0.0,0.125,1.0,1.875,True,0.125,soft_clearance_astar_v1,adaptive,1.0,49.04625771063427,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2,0.0,0.0,False,0.0,0.0,0.0,0.5040335343074097,0.4959664656925903,24,24,24,1,0.10007915038793902,1.0,simple_ring,True,3.7367999993875856,0.0743000018701423,0.2421000008325791,0.16449999930046033,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,3,23,3.0,1.1814009942301118,0.022739018087855296,0.9941775971718523,0.9036832677307131,0.49999803633981743,1.6249975454247718,0.8128643151152001,0.609349574633589,False,0.13953488372093023,0.0,0,False,,0
4,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 4)","(17, 29)","(2, 8)","(20, 31)",search_info,"(20, 31)",1852,0.982326586716631,0.9543725304455022,simple_ring_priority,False,,1,4,adaptive_knownmap_soft,5,8,44,8,0.375,1,44.26863961953124,0.0,4.7776180911030295,0.0,0.0,0.0,49.04625771063427,0.0,0.0,0.0,8.625,0.0,0.125,1.0,1.875,True,0.125,soft_clearance_astar_v1,adaptive,1.0,49.04625771063427,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2,0.0,0.0,False,0.0,0.0,0.0,0.5040335343074097,0.4959664656925903,24,24,24,1,0.10007915038793902,1.0,simple_ring,True,3.7367999993875856,0.0743000018701423,0.2421000008325791,0.16449999930046033,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,4,24,2.999999999999999,1.188497472583988,0.02635658914728682,0.9952831685436099,0.9201498066195527,0.49999803633981743,1.6249975454247718,0.8128643151152001,0.609349574633589,False,0.14285714285714285,0.0,0,False,,0
5,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 5)","(17, 29)","(2, 8)","(20, 31)",search_info,"(20, 31)",1852,0.982326586716631,0.9543725304455022,simple_ring_priority,False,,0,4,adaptive_knownmap_soft,4,8,44,8,0.5,1,44.26863961953124,0.0,4.7776180911030295,0.0,0.0,0.0,49.04625771063427,0.0,0.0,0.0,8.625,0.0,0.125,1.0,1.875,True,0.125,soft_clearance_astar_v1,adaptive,1.0,49.04625771063427,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2,0.0,0.0,False,0.0,0.0,0.0,0.5040335343074097,0.4959664656925903,24,24,24,1,0.10007915038793902,1.0,simple_ring,True,3.7367999993875856,0.0743000018701423,0.2421000008325791,0.16449999930046033,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,5,25,3.0,1.1874567124735549,0.029974160206718347,0.9999627321199338,0.9199660896205151,0.49999803633981743,1.6249975454247718,0.8128643151152001,0.609349574633589,False,0.12962962962962962,0.0,0,False,,0
6,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 6)","(18, 29)","(2, 13)","(20, 32)",search_info,"(20, 32)",1768,0.999941336846012,0.9627979025679898,simple_ring_priority,True,commit_expired,4,4,adaptive_knownmap_soft,8,8,40,8,0.625,2,47.12113961953124,0.0,4.344611209022641,0.0,0.0,0.0,51.46575082855388,0.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,False,0.0,soft_clearance_astar_v1,adaptive,1.0,51.46575082855388,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0,0.0,0.0,True,0.2,0.0,0.0,0.5093256639320778,0.49067433606792216,24,24,24,1,0.3230734957390533,1.0,simple_ring,True,3.775600000153645,0.15359999815700576,0.5146999992575729,0.36109999564359896,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,6,26,3.0000000000000004,1.187342145935494,0.03359173126614987,0.9906699753583881,0.8567628694445778,0.49999999427765357,1.624999992847067,0.8128655391932965,0.5886330942381286,False,0.12727272727272726,0.0,0,False,,0
7,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 7)","(18, 29)","(2, 13)","(20, 32)",search_info,"(20, 32)",1768,0.999941336846012,0.9627979025679898,simple_ring_priority,False,,3,4,adaptive_knownmap_soft,7,8,40,8,0.125,2,47.12113961953124,0.0,4.344611209022641,0.0,0.0,0.0,51.46575082855388,0.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,False,0.0,soft_clearance_astar_v1,adaptive,1.0,51.46575082855388,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0,0.0,0.0,True,0.2,0.0,0.0,0.5093256639320778,0.49067433606792216,24,24,24,1,0.3230734957390533,1.0,simple_ring,True,3.775600000153645,0.15359999815700576,0.5146999992575729,0.36109999564359896,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,7,27,3.0,1.1859658944696319,0.037209302325581395,1.0,0.9106954078931018,0.49999999427765357,1.624999992847067,0.8128655391932965,0.5886330942381286,False,0.12727272727272726,0.0,0,False,,0
8,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 8)","(18, 29)","(2, 13)","(20, 32)",search_info,"(20, 32)",1768,0.999941336846012,0.9627979025679898,simple_ring_priority,False,,2,4,adaptive_knownmap_soft,6,8,40,8,0.25,2,47.12113961953124,0.0,4.344611209022641,0.0,0.0,0.0,51.46575082855388,0.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,False,0.0,soft_clearance_astar_v1,adaptive,1.0,51.46575082855388,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0,0.0,0.0,True,0.2,0.0,0.0,0.5093256639320778,0.49067433606792216,24,24,24,1,0.3230734957390533,1.0,simple_ring,True,3.775600000153645,0.15359999815700576,0.5146999992575729,0.36109999564359896,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,8,28,2.999999999999999,1.1851897191571805,0.04082687338501292,1.0,0.9058317811869127,0.49999999427765357,1.624999992847067,0.8128655391932965,0.5886330942381286,False,0.12727272727272726,0.0,0,False,,0
9,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 9)","(18, 29)","(2, 13)","(20, 32)",search_info,"(20, 32)",1768,0.999941336846012,0.9627979025679898,simple_ring_priority,False,,1,4,adaptive_knownmap_soft,5,8,40,8,0.375,2,47.12113961953124,0.0,4.344611209022641,0.0,0.0,0.0,51.46575082855388,0.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,False,0.0,soft_clearance_astar_v1,adaptive,1.0,51.46575082855388,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0,0.0,0.0,True,0.2,0.0,0.0,0.5093256639320778,0.49067433606792216,24,24,24,1,0.3230734957390533,1.0,simple_ring,True,3.775600000153645,0.15359999815700576,0.5146999992575729,0.36109999564359896,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,9,29,3.0,1.184441098770387,0.044444444444444446,0.9971996577467162,0.9004438160927887,0.49999999427765357,1.624999992847067,0.8128655391932965,0.5886330942381286,False,0.12727272727272726,0.0,0,False,,0
10,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 10)","(18, 29)","(2, 13)","(20, 32)",search_info,"(20, 32)",1768,0.999941336846012,0.9627979025679898,simple_ring_priority,False,,0,4,adaptive_knownmap_soft,4,8,40,8,0.5,2,47.12113961953124,0.0,4.344611209022641,0.0,0.0,0.0,51.46575082855388,0.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,False,0.0,soft_clearance_astar_v1,adaptive,1.0,51.46575082855388,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0,0.0,0.0,True,0.2,0.0,0.0,0.5093256639320778,0.49067433606792216,24,24,24,1,0.3230734957390533,1.0,simple_ring,True,3.775600000153645,0.15359999815700576,0.5146999992575729,0.36109999564359896,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,10,30,3.0,1.1841297706355702,0.04806201550387597,0.995025647788347,0.8821179546549582,0.49999999427765357,1.624999992847067,0.8128655391932965,0.5886330942381286,False,0.12727272727272726,0.0,0,False,,0
