step,policy_name,clue_acquisition_mode,anomaly_conditional_alpha,anomaly_conditional_triggered,anomaly_gate_reason,anomaly_top_mass_ratio,anomaly_entropy_norm,anomaly_hotspot_stability,anomaly_pre_first_alpha_capped,mode,robot_cell,viewpoint_cell,segment_endpoint_cell,anchor_cell,anchor_source,anchor_centroid_cell,anchor_cluster_size,anchor_cluster_peak,anchor_cluster_mean,viewpoint_rule,replanned_this_step,replan_reason,commit_remaining,planned_commit_window,commit_policy,path_length_current,planned_segment_length,planned_viewpoint_path_length,segment_path_length,fraction_of_path_executed_before_replan,switch_count,explore_utility_raw,explore_utility_norm,focus_utility_raw,focus_utility_norm,recency_utility_raw,recency_utility_norm,search_info_gain_raw,search_info_gain_norm,recency_bias_raw,recency_bias_norm,exec_cost_raw,exec_cost_norm,clearance_penalty_raw,segment_min_clearance_cells,segment_mean_clearance_cells,near_obstacle_step_flag,near_obstacle_step_ratio,path_safety_mode,planner_adaptation_mode,safe_nav_lambda_clearance,marginal_information_gain_raw,marginal_information_gain_norm,execution_cost_raw,execution_cost_norm,continuity_bonus_raw,continuity_bonus_anchor_raw,continuity_bonus_viewpoint_raw,marginal_information_gain_score_term,recency_bias_score_term,execution_cost_score_term,continuity_bonus_score_term,maneuver_penalty_raw,maneuver_penalty_score_term,segment_turn_count,alpha_focus,kappa_commit,same_anchor_cluster,viewpoint_drift_norm,anchor_retention_bonus,viewpoint_retention_bonus,anchor_info_clue_share,anchor_info_intensity_share,candidate_pool_size,reachable_pool_size,a_star_checked_pool_size,selected_viewpoint_rank,sampling_priority_raw,sampling_priority_norm,viewpoint_sampling_mode,selected_by_final_score,sssp_build_time_ms,path_reconstruct_time_ms,sampling_pool_build_time_ms,priority_feature_time_ms,tree_depth,tree_first_layer_top_m,tree_second_layer_top_n,tree_discount_gamma,tree_root_rank,tree_child_rank,tree_root_score_raw,tree_child_score_raw,tree_total_score,tree_conditional_gain_lvl2,tree_redundant_visible_ratio_lvl2,tree_unique_visible_count_lvl1,tree_unique_visible_count_lvl2,tree_expansion_count,tree_planning_time_ms,tree_child_oracle_score_raw,tree_child_budget_score_raw,tree_child_oracle_gap_raw,tree_child_oracle_rank_of_budgeted,tree_child_budget_matches_oracle,tree_child_oracle_viewpoint_cell,tree_child_budget_viewpoint_cell,tree_child_full_candidate_count,u_turn_penalty_term,u_turn_penalty_applied,planned_first_move_dir,current_viewpoint_score,best_alternative_score,total_score,anchor_switch_count,focus_anchor_active,focus_on_anchor_cluster_steps,time_since_last_detection,remaining_intensity_mass,peak_intensity_ratio,known_free_observation_ratio,search_info_map_peak,search_info_map_mean,anomaly_viewpoint_prob,anomaly_viewpoint_weight,anomaly_viewpoint_acq,anomaly_visible_mean,selected_in_anomaly_top_band,effective_observation_gain,stale_refresh_ratio,detected_count_this_step,collision_this_step,collision_cell,path_invalidations_per_episode
1,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(1, 2)","(18, 28)","(2, 8)","(20, 31)",search_info,"(20, 31)",1855,1.0,0.980418075242217,simple_ring_priority,True,initial_plan|commit_expired|segment_empty,4,4,adaptive_knownmap_soft,8,8,44,8,0.0,1,44.26863961953124,0.0,4.954098996577424,0.0,0.0,0.0,49.222738616108664,0.0,0.0,0.0,8.625,0.0,0.125,1.0,1.875,True,0.125,soft_clearance_astar_v1,adaptive,1.0,49.222738616108664,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2,0.0,0.0,False,0.0,0.0,0.0,0.4906534527088531,0.5093465472911468,24,24,24,1,0.1438580958803981,1.0,simple_ring,True,4.082000001289998,0.07789999835949857,0.29529999847,0.19659999816212803,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,1,21,3.0,1.0118744017673487,0.016537467700258397,1.0,0.9649912843324936,0.49999803634751505,1.6249975454343937,0.8128643151513818,0.609349574633589,False,0.1935483870967742,0.0,0,False,,0
2,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 2)","(18, 28)","(2, 8)","(20, 31)",search_info,"(20, 31)",1855,1.0,0.980418075242217,simple_ring_priority,False,,3,4,adaptive_knownmap_soft,7,8,44,8,0.125,1,44.26863961953124,0.0,4.954098996577424,0.0,0.0,0.0,49.222738616108664,0.0,0.0,0.0,8.625,0.0,0.125,1.0,1.875,True,0.125,soft_clearance_astar_v1,adaptive,1.0,49.222738616108664,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2,0.0,0.0,False,0.0,0.0,0.0,0.4906534527088531,0.5093465472911468,24,24,24,1,0.1438580958803981,1.0,simple_ring,True,4.082000001289998,0.07789999835949857,0.29529999847,0.19659999816212803,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,2,22,3.0,1.0155015471255582,0.019638242894056846,1.0,0.9101066348514165,0.49999803634751505,1.6249975454343937,0.8128643151513818,0.609349574633589,False,0.16216216216216217,0.0,0,False,,0
3,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 3)","(18, 28)","(2, 8)","(20, 31)",search_info,"(20, 31)",1855,1.0,0.980418075242217,simple_ring_priority,False,,2,4,adaptive_knownmap_soft,6,8,44,8,0.25,1,44.26863961953124,0.0,4.954098996577424,0.0,0.0,0.0,49.222738616108664,0.0,0.0,0.0,8.625,0.0,0.125,1.0,1.875,True,0.125,soft_clearance_astar_v1,adaptive,1.0,49.222738616108664,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2,0.0,0.0,False,0.0,0.0,0.0,0.4906534527088531,0.5093465472911468,24,24,24,1,0.1438580958803981,1.0,simple_ring,True,4.082000001289998,0.07789999835949857,0.29529999847,0.19659999816212803,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,3,23,3.0,1.0188068448968643,0.022739018087855296,1.0,0.9376877280879152,0.49999803634751505,1.6249975454343937,0.8128643151513818,0.609349574633589,False,0.13953488372093023,0.0,0,False,,0
4,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 4)","(18, 28)","(2, 8)","(20, 31)",search_info,"(20, 31)",1855,1.0,0.980418075242217,simple_ring_priority,False,,1,4,adaptive_knownmap_soft,5,8,44,8,0.375,1,44.26863961953124,0.0,4.954098996577424,0.0,0.0,0.0,49.222738616108664,0.0,0.0,0.0,8.625,0.0,0.125,1.0,1.875,True,0.125,soft_clearance_astar_v1,adaptive,1.0,49.222738616108664,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2,0.0,0.0,False,0.0,0.0,0.0,0.4906534527088531,0.5093465472911468,24,24,24,1,0.1438580958803981,1.0,simple_ring,True,4.082000001289998,0.07789999835949857,0.29529999847,0.19659999816212803,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,4,24,3.0,1.0221514312685551,0.02635658914728682,1.0,0.9543573706909715,0.49999803634751505,1.6249975454343937,0.8128643151513818,0.609349574633589,False,0.14285714285714285,0.0,0,False,,0
5,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 5)","(18, 28)","(2, 8)","(20, 31)",search_info,"(20, 31)",1855,1.0,0.980418075242217,simple_ring_priority,False,,0,4,adaptive_knownmap_soft,4,8,44,8,0.5,1,44.26863961953124,0.0,4.954098996577424,0.0,0.0,0.0,49.222738616108664,0.0,0.0,0.0,8.625,0.0,0.125,1.0,1.875,True,0.125,soft_clearance_astar_v1,adaptive,1.0,49.222738616108664,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2,0.0,0.0,False,0.0,0.0,0.0,0.4906534527088531,0.5093465472911468,24,24,24,1,0.1438580958803981,1.0,simple_ring,True,4.082000001289998,0.07789999835949857,0.29529999847,0.19659999816212803,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,5,25,2.999999999999999,1.0255537044616754,0.029974160206718347,1.0,0.9538240509832507,0.49999803634751505,1.6249975454343937,0.8128643151513818,0.609349574633589,False,0.12962962962962962,0.0,0,False,,0
6,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 6)","(17, 30)","(2, 13)","(20, 32)",search_info,"(20, 32)",1783,1.0,0.9968639706183883,simple_ring_priority,True,commit_expired,4,4,adaptive_knownmap_soft,8,8,40,8,0.625,2,47.12113961953124,0.0,4.570441273217913,0.0,0.0,0.0,51.69158089274916,0.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,False,0.0,soft_clearance_astar_v1,adaptive,1.0,51.69158089274916,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0,0.0,0.0,True,0.447213595499958,0.0,0.0,0.49997570754732523,0.5000242924526748,24,24,24,1,0.3768007554761743,1.0,simple_ring,True,4.19049999982235,0.15609999900334515,0.7636999998794636,0.39960000140126795,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,6,26,3.0000000000000004,1.029002248929432,0.03359173126614987,1.0,0.8915409536832254,0.4999999960679243,1.6249999950849054,0.81286554031272,0.5884513777480981,False,0.12727272727272726,0.0,0,False,,0
7,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 7)","(17, 30)","(2, 13)","(20, 32)",search_info,"(20, 32)",1783,1.0,0.9968639706183883,simple_ring_priority,False,,3,4,adaptive_knownmap_soft,7,8,40,8,0.125,2,47.12113961953124,0.0,4.570441273217913,0.0,0.0,0.0,51.69158089274916,0.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,False,0.0,soft_clearance_astar_v1,adaptive,1.0,51.69158089274916,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0,0.0,0.0,True,0.447213595499958,0.0,0.0,0.49997570754732523,0.5000242924526748,24,24,24,1,0.3768007554761743,1.0,simple_ring,True,4.19049999982235,0.15609999900334515,0.7636999998794636,0.39960000140126795,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,7,27,3.000000000000001,1.0324796756167443,0.037209302325581395,1.0,0.9452272456413457,0.4999999960679243,1.6249999950849054,0.81286554031272,0.5884513777480981,False,0.12727272727272726,0.0,0,False,,0
8,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 8)","(17, 30)","(2, 13)","(20, 32)",search_info,"(20, 32)",1783,1.0,0.9968639706183883,simple_ring_priority,False,,2,4,adaptive_knownmap_soft,6,8,40,8,0.25,2,47.12113961953124,0.0,4.570441273217913,0.0,0.0,0.0,51.69158089274916,0.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,False,0.0,soft_clearance_astar_v1,adaptive,1.0,51.69158089274916,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0,0.0,0.0,True,0.447213595499958,0.0,0.0,0.49997570754732523,0.5000242924526748,24,24,24,1,0.3768007554761743,1.0,simple_ring,True,4.19049999982235,0.15609999900334515,0.7636999998794636,0.39960000140126795,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,8,28,2.999999999999999,1.0359818482443044,0.04082687338501292,1.0,0.9402459050875517,0.4999999960679243,1.6249999950849054,0.81286554031272,0.5884513777480981,False,0.12727272727272726,0.0,0,False,,0
9,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 9)","(17, 30)","(2, 13)","(20, 32)",search_info,"(20, 32)",1783,1.0,0.9968639706183883,simple_ring_priority,False,,1,4,adaptive_knownmap_soft,5,8,40,8,0.375,2,47.12113961953124,0.0,4.570441273217913,0.0,0.0,0.0,51.69158089274916,0.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,False,0.0,soft_clearance_astar_v1,adaptive,1.0,51.69158089274916,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0,0.0,0.0,True,0.447213595499958,0.0,0.0,0.49997570754732523,0.5000242924526748,24,24,24,1,0.3768007554761743,1.0,simple_ring,True,4.19049999982235,0.15609999900334515,0.7636999998794636,0.39960000140126795,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,9,29,3.0,1.0395092829587607,0.044444444444444446,1.0,0.934747715356314,0.4999999960679243,1.6249999950849054,0.81286554031272,0.5884513777480981,False,0.12727272727272726,0.0,0,False,,0
10,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 10)","(17, 30)","(2, 13)","(20, 32)",search_info,"(20, 32)",1783,1.0,0.9968639706183883,simple_ring_priority,False,,0,4,adaptive_knownmap_soft,4,8,40,8,0.5,2,47.12113961953124,0.0,4.570441273217913,0.0,0.0,0.0,51.69158089274916,0.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,False,0.0,soft_clearance_astar_v1,adaptive,1.0,51.69158089274916,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0,0.0,0.0,True,0.447213595499958,0.0,0.0,0.49997570754732523,0.5000242924526748,24,24,24,1,0.3768007554761743,1.0,simple_ring,True,4.19049999982235,0.15609999900334515,0.7636999998794636,0.39960000140126795,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,10,30,3.0,1.0430612854455217,0.04806201550387597,1.0,0.9162949339461788,0.4999999960679243,1.6249999950849054,0.81286554031272,0.5884513777480981,False,0.12727272727272726,0.0,0,False,,0
11,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 11)","(18, 31)","(2, 18)","(21, 33)",search_info,"(21, 33)",1727,1.0,0.977831680029058,simple_ring_priority,True,commit_expired,4,4,adaptive_knownmap_soft,8,8,37,8,0.625,3,47.12113961953124,0.0,4.988842543787175,0.0,0.0,0.0,52.10998216331842,0.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,False,0.0,soft_clearance_astar_v1,adaptive,1.0,52.10998216331842,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0,0.0,0.0,True,0.282842712474619,0.0,0.0,0.4898136351641206,0.5101863648358794,24,24,24,1,0.49095257394464387,1.0,simple_ring,True,4.095800000868621,0.1506000007793773,0.5942000007053139,0.43060000280092936,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,11,31,3.0000000000000004,1.0466378238758112,0.05167958656330749,1.0,0.9250931697846166,0.4980624139226606,1.6225780174033257,0.8116540790605895,0.5771294771176454,False,0.12727272727272726,0.0,0,False,,0
12,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 12)","(18, 31)","(2, 18)","(21, 33)",search_info,"(21, 33)",1727,1.0,0.977831680029058,simple_ring_priority,False,,3,4,adaptive_knownmap_soft,7,8,37,8,0.125,3,47.12113961953124,0.0,4.988842543787175,0.0,0.0,0.0,52.10998216331842,0.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,False,0.0,soft_clearance_astar_v1,adaptive,1.0,52.10998216331842,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0,0.0,0.0,True,0.282842712474619,0.0,0.0,0.4898136351641206,0.5101863648358794,24,24,24,1,0.49095257394464387,1.0,simple_ring,True,4.095800000868621,0.1506000007793773,0.5942000007053139,0.43060000280092936,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,12,32,2.999999999999999,1.0502389900087805,0.05529715762273902,1.0,0.9142276242552657,0.4980624139226606,1.6225780174033257,0.8116540790605895,0.5771294771176454,False,0.12727272727272726,0.0,0,False,,0
13,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 13)","(18, 31)","(2, 18)","(21, 33)",search_info,"(21, 33)",1727,1.0,0.977831680029058,simple_ring_priority,False,,2,4,adaptive_knownmap_soft,6,8,37,8,0.25,3,47.12113961953124,0.0,4.988842543787175,0.0,0.0,0.0,52.10998216331842,0.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,False,0.0,soft_clearance_astar_v1,adaptive,1.0,52.10998216331842,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0,0.0,0.0,True,0.282842712474619,0.0,0.0,0.4898136351641206,0.5101863648358794,24,24,24,1,0.49095257394464387,1.0,simple_ring,True,4.095800000868621,0.1506000007793773,0.5942000007053139,0.43060000280092936,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,13,33,2.999999999999999,1.0538650227606197,0.05891472868217054,1.0,0.9185553554379289,0.4980624139226606,1.6225780174033257,0.8116540790605895,0.5771294771176454,False,0.12727272727272726,0.0,0,False,,0
14,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 14)","(18, 31)","(2, 18)","(21, 33)",search_info,"(21, 33)",1727,1.0,0.977831680029058,simple_ring_priority,False,,1,4,adaptive_knownmap_soft,5,8,37,8,0.375,3,47.12113961953124,0.0,4.988842543787175,0.0,0.0,0.0,52.10998216331842,0.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,False,0.0,soft_clearance_astar_v1,adaptive,1.0,52.10998216331842,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0,0.0,0.0,True,0.282842712474619,0.0,0.0,0.4898136351641206,0.5101863648358794,24,24,24,1,0.49095257394464387,1.0,simple_ring,True,4.095800000868621,0.1506000007793773,0.5942000007053139,0.43060000280092936,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,14,34,3.0,1.0575161805855355,0.06253229974160207,1.0,0.9014154498776196,0.4980624139226606,1.6225780174033257,0.8116540790605895,0.5771294771176454,False,0.12727272727272726,0.0,0,False,,0
15,marine_knownmap_path_v2_infosampled,ucb,0.0,False,mode_not_conditional,0.0,0.0,1.0,False,SEARCH,"(2, 15)","(18, 31)","(2, 18)","(21, 33)",search_info,"(21, 33)",1727,1.0,0.977831680029058,simple_ring_priority,False,,0,4,adaptive_knownmap_soft,4,8,37,8,0.5,3,47.12113961953124,0.0,4.988842543787175,0.0,0.0,0.0,52.10998216331842,0.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,False,0.0,soft_clearance_astar_v1,adaptive,1.0,52.10998216331842,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0,0.0,0.0,True,0.282842712474619,0.0,0.0,0.4898136351641206,0.5101863648358794,24,24,24,1,0.49095257394464387,1.0,simple_ring,True,4.095800000868621,0.1506000007793773,0.5942000007053139,0.43060000280092936,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,15,35,3.0,1.0611927255318896,0.06614987080103359,1.0,0.886932284038326,0.4980624139226606,1.6225780174033257,0.8116540790605895,0.5771294771176454,False,0.12727272727272726,0.0,0,False,,0
