file_path,sha256,size_bytes
F:\pythonprojects\baseline_GP\core_search_policy.py,ef7469cca5b04963d6ed59c9d5a32e7eef603190ec8acd69cbb1533365e61081,194402
F:\pythonprojects\baseline_GP\marine_knownmap_runtime.py,94a82208f1f50c2606ad4159a5bae150c76e022c4b1e15664569390e0af85654,160058
F:\pythonprojects\baseline_GP\marine_knownmap_runtime_2usv.py,e2eaa8c64e47ed849bf2351584ba1523570905ca7817fee88d1371aabbb02d62,154048
F:\pythonprojects\baseline_GP\core_safe_nav.py,822e4306f4b023e39dc19dbc2f565e15597f39976bed4284a285fbc502bf3330,12612
F:\pythonprojects\baseline_GP\core_execution.py,35a3622b949be6df989c7928fe021b4b9782c66d4d98358122a3b7f2eae8b75e,2070
F:\pythonprojects\baseline_GP\knownmap_experiment_contract.json,644d4d4b708320d34fdc1f3cb89c1bafacd07516b2b813318cc0cd1451095313,7500
F:\pythonprojects\baseline_GP\knownmap_experiment_contract_2usv_largegrid_template.json,00cafc89635ea5edc89984f48a316bd4dc64c06494adcd122cb730baa4b8392d,4801
F:\pythonprojects\baseline_GP\knownmap_experiment_contract_2usv_v1.json,4bf76fe6b56aaa1289f74d7b32bc2dae997e9127252dcef007ebeaf608bd4c35,6031
F:\pythonprojects\baseline_GP\knownmap_experiment_contract_largegrid_v1.json,5cf43ee0ca1730bd6add3f83839413e31424bfb768f976a3436e67e550cb3a2c,7687
F:\pythonprojects\baseline_GP\results\paper_simple_ring_mainline_20260505\paper_tables\paper_tables_markdown.md,36b6df9607e8031af66c683a74dba92e0ad7a69a355a2a223aa81d616a940632,13662
F:\pythonprojects\baseline_GP\results\paper_simple_ring_mainline_20260505\paper_tables\table_6_2_random_walk_single_ucb.csv,ffc2a900e3ccdebe3a3d25884e8229bc4b5d012e9fd4fc35072376ceade7eed0,589
F:\pythonprojects\baseline_GP\results\paper_simple_ring_mainline_20260505\paper_tables\table_6_2_static_single_ucb.csv,b63ce173660c103415a6a0cea300511931c020711b7e2949df867930ebe095e8,589
F:\pythonprojects\baseline_GP\results\paper_simple_ring_mainline_20260505\paper_tables\table_6_3_random_walk_two_usv_coord_minus_independent.csv,44736dafe67db92f8bb6467df24437d5a17d84691ef7692002387252859e515d,528
F:\pythonprojects\baseline_GP\results\paper_simple_ring_mainline_20260505\paper_tables\table_6_3_random_walk_two_usv_ucb_assignment.csv,3ab81beddf26de02855c21a8b595c881e0961617e4fdba8825691b3a67f683a0,1216
F:\pythonprojects\baseline_GP\results\paper_simple_ring_mainline_20260505\paper_tables\table_6_3_static_two_usv_coord_minus_independent.csv,a4a9e1d6e0c413ffffb2651d8fee2021b86951c9df79ad02ab1fcb2d61715d0f,522
F:\pythonprojects\baseline_GP\results\paper_simple_ring_mainline_20260505\paper_tables\table_6_3_static_two_usv_ucb_assignment.csv,2b408fa7694db598f772849d7e27c89a4a605c3db8e2ed1e4ab00095f7819bd8,1175
F:\pythonprojects\baseline_GP\results\paper_simple_ring_mainline_20260505\paper_tables\table_6_4_single_random_walk_delta_anomaly_minus_ucb.csv,5c29b18c385d9a324e55c4a7ba07265346ac9d7a85cc8c6bdf8e104d98b34752,410
F:\pythonprojects\baseline_GP\results\paper_simple_ring_mainline_20260505\paper_tables\table_6_4_single_random_walk_ucb_vs_anomaly.csv,2528451db6419f7d45a13eeb21459736dd49dc92499cf31ea32c9708adb495a1,786
F:\pythonprojects\baseline_GP\results\paper_simple_ring_mainline_20260505\paper_tables\table_6_4_single_static_delta_anomaly_minus_ucb.csv,aa4e4c2b2a111ca8941eb7d7088cd6cc3dd8f4683cf7ed6446bc3aba8ab40da9,404
F:\pythonprojects\baseline_GP\results\paper_simple_ring_mainline_20260505\paper_tables\table_6_4_single_static_ucb_vs_anomaly.csv,d6bd78e11ae24c99ea236d7c6e373472df7ce490bcc3286d23178cea7b8f0830,786
F:\pythonprojects\baseline_GP\results\paper_simple_ring_mainline_20260505\paper_tables\table_6_4_two_coordinated_random_walk_delta_anomaly_minus_ucb.csv,03eeb054eb3ac90ffd1fbdcbb6bd0db228d8b7833af3b37ced84282ebfe7b6db,408
F:\pythonprojects\baseline_GP\results\paper_simple_ring_mainline_20260505\paper_tables\table_6_4_two_coordinated_random_walk_ucb_vs_anomaly.csv,a618972876c0c745d5445f3c9fbe703da705c4259601c93cbbd4dd65bf01394b,786
F:\pythonprojects\baseline_GP\results\paper_simple_ring_mainline_20260505\paper_tables\table_6_4_two_coordinated_static_delta_anomaly_minus_ucb.csv,b342a029d1be9a5aca62fc4d912a527b7a3da62e2303f050ababcf17c30c2719,413
F:\pythonprojects\baseline_GP\results\paper_simple_ring_mainline_20260505\paper_tables\table_6_4_two_coordinated_static_ucb_vs_anomaly.csv,5fc25f17e4fab6c9bf6b7dd40bb1fc5946de042039f675e00bb21cfbf0324212,785
