tick_global,waypoint_index,target_x,target_y,gps_x,gps_y,gps_z,distance_to_target,arrived,timeout
0,0,25.0,25.0,0.010835479944944382,0.003614169778302312,0.6402432918548584,35.3451,False,False
1,0,25.0,25.0,0.020565254613757133,0.002425479469820857,0.5508310198783875,35.3391,False,False
2,0,25.0,25.0,0.03425248712301254,0.000509681471157819,0.4605664312839508,35.3308,False,False
3,0,25.0,25.0,0.051492344588041306,-0.002109087072312832,0.36953556537628174,35.3204,False,False
4,0,25.0,25.0,0.0719209685921669,-0.005404273048043251,0.2778157889842987,35.3083,False,False
5,0,25.0,25.0,0.09521147608757019,-0.009347304701805115,0.18547672033309937,35.2947,False,False
6,0,25.0,25.0,0.12106704711914062,-0.01389867253601551,0.09989125281572342,35.2797,False,False
7,0,25.0,25.0,0.14921975135803223,-0.019013240933418274,0.030754443258047104,35.2635,False,False
8,0,25.0,25.0,0.179432675242424,-0.02464853599667549,-0.015818119049072266,35.2462,False,False
9,0,25.0,25.0,0.21149727702140808,-0.03076465055346489,-0.03633582219481468,35.228,False,False
10,0,25.0,25.0,0.24522896111011505,-0.03732536733150482,-0.030480505898594856,35.2089,False,False
11,0,25.0,25.0,0.28045910596847534,-0.04429835081100464,-0.0016051101265475154,35.1891,False,False
12,0,25.0,25.0,0.3170322775840759,-0.05165403336286545,0.04433314502239227,35.1687,False,False
13,0,25.0,25.0,0.3548104166984558,-0.05936584994196892,0.09968195855617523,35.1476,False,False
14,0,25.0,25.0,0.39367276430130005,-0.06740786135196686,0.157326340675354,35.1261,False,False
15,0,25.0,25.0,0.43351390957832336,-0.07575486600399017,0.21039927005767822,35.1042,False,False
16,0,25.0,25.0,0.4742404520511627,-0.08438099175691605,0.2530750036239624,35.0819,False,False
17,0,25.0,25.0,0.5157676935195923,-0.09325742721557617,0.2821057438850403,35.0592,False,False
18,0,25.0,25.0,0.5580177903175354,-0.10235056281089783,0.2984445095062256,35.0362,False,False
19,0,25.0,25.0,0.6009212136268616,-0.11162672191858292,0.30336031317710876,35.013,False,False
20,0,25.0,25.0,0.6444158554077148,-0.12105277925729752,0.29799512028694153,34.9895,False,False
21,0,25.0,25.0,0.6884464621543884,-0.13059616088867188,0.2833767831325531,34.9657,False,False
22,0,25.0,25.0,0.7329638600349426,-0.1402249038219452,0.2604302763938904,34.9417,False,False
23,0,25.0,25.0,0.7779242396354675,-0.1499076634645462,0.2300468534231186,34.9174,False,False
24,0,25.0,25.0,0.8232871294021606,-0.1596117913722992,0.19514651596546173,34.893,False,False
25,0,25.0,25.0,0.8690149784088135,-0.1693040281534195,0.16024033725261688,34.8683,False,False
26,0,25.0,25.0,0.9150739312171936,-0.17895211279392242,0.1297999620437622,34.8434,False,False
27,0,25.0,25.0,0.9614346027374268,-0.18852603435516357,0.10684823244810104,34.8183,False,False
28,0,25.0,25.0,1.0080718994140625,-0.1979978382587433,0.09310421347618103,34.793,False,False
29,0,25.0,25.0,1.0549639463424683,-0.20734119415283203,0.08934961259365082,34.7674,False,False
30,0,25.0,25.0,1.1020913124084473,-0.2165312021970749,0.09528801590204239,34.7417,False,False
31,0,25.0,25.0,1.1494371891021729,-0.22554457187652588,0.10877129435539246,34.7157,False,False
32,0,25.0,25.0,1.196986436843872,-0.23435862362384796,0.1273966133594513,34.6894,False,False
33,0,25.0,25.0,1.2447258234024048,-0.24295133352279663,0.1485908329486847,34.6629,False,False
34,0,25.0,25.0,1.2926433086395264,-0.2513010799884796,0.17009779810905457,34.6362,False,False
35,0,25.0,25.0,1.3407286405563354,-0.25938668847084045,0.1895349770784378,34.6092,False,False
36,0,25.0,25.0,1.3889727592468262,-0.26718735694885254,0.2042882740497589,34.582,False,False
37,0,25.0,25.0,1.437366247177124,-0.2746826410293579,0.21300435066223145,34.5544,False,False
38,0,25.0,25.0,1.485899806022644,-0.28185251355171204,0.21528811752796173,34.5266,False,False
39,0,25.0,25.0,1.5345638990402222,-0.288677841424942,0.211606964468956,34.4985,False,False
40,0,25.0,25.0,1.5833491086959839,-0.29514020681381226,0.2027931809425354,34.47,False,False
41,0,25.0,25.0,1.6322460174560547,-0.3012223541736603,0.19018393754959106,34.4413,False,False
42,0,25.0,25.0,1.6812443733215332,-0.30690842866897583,0.17615897953510284,34.4123,False,False
43,0,25.0,25.0,1.730334758758545,-0.31218376755714417,0.16297763586044312,34.3829,False,False
44,0,25.0,25.0,1.7795084714889526,-0.3170343339443207,0.15190856158733368,34.3532,False,False
45,0,25.0,25.0,1.828757643699646,-0.3214467465877533,0.1437404751777649,34.3232,False,False
46,0,25.0,25.0,1.8780744075775146,-0.32540836930274963,0.1390654593706131,34.2929,False,False
47,0,25.0,25.0,1.9274516105651855,-0.32890695333480835,0.13788706064224243,34.2622,False,False
48,0,25.0,25.0,1.9768822193145752,-0.33193087577819824,0.1401497721672058,34.2311,False,False
49,0,25.0,25.0,2.0263595581054688,-0.3344684839248657,0.14509809017181396,34.1998,False,False
50,0,25.0,25.0,2.0758771896362305,-0.3365086317062378,0.15199358761310577,34.168,False,False
51,0,25.0,25.0,2.1254281997680664,-0.33804014325141907,0.15970155596733093,34.1359,False,False
52,0,25.0,25.0,2.1750059127807617,-0.3390531539916992,0.1677301973104477,34.1035,False,False
53,0,25.0,25.0,2.2246036529541016,-0.3395374119281769,0.17499038577079773,34.0707,False,False
54,0,25.0,25.0,2.274214506149292,-0.3394840359687805,0.1810312569141388,34.0375,False,False
55,0,25.0,25.0,2.323831081390381,-0.33888453245162964,0.18532957136631012,34.0039,False,False
56,0,25.0,25.0,2.373446226119995,-0.33773115277290344,0.18753208220005035,33.97,False,False
57,0,25.0,25.0,2.4230525493621826,-0.33601701259613037,0.18749737739562988,33.9357,False,False
58,0,25.0,25.0,2.472641944885254,-0.33373644948005676,0.1854509562253952,33.901,False,False
59,0,25.0,25.0,2.5222067832946777,-0.33088481426239014,0.18177224695682526,33.866,False,False
60,0,25.0,25.0,2.5717387199401855,-0.3274589776992798,0.17733190953731537,33.8306,False,False
61,0,25.0,25.0,2.621230363845825,-0.32345545291900635,0.17238430678844452,33.7948,False,False
62,0,25.0,25.0,2.6706736087799072,-0.31887155771255493,0.16727600991725922,33.7586,False,False
63,0,25.0,25.0,2.7200608253479004,-0.3137058913707733,0.16267170011997223,33.7221,False,False
64,0,25.0,25.0,2.7693841457366943,-0.30795779824256897,0.1592283546924591,33.6852,False,False
65,0,25.0,25.0,2.818636417388916,-0.3016262948513031,0.15718433260917664,33.648,False,False
66,0,25.0,25.0,2.867810010910034,-0.2947104871273041,0.15651901066303253,33.6104,False,False
67,0,25.0,25.0,2.9168975353240967,-0.28720998764038086,0.15727262198925018,33.5724,False,False
68,0,25.0,25.0,2.9658923149108887,-0.27912428975105286,0.1591874361038208,33.5341,False,False
69,0,25.0,25.0,3.014786720275879,-0.27045339345932007,0.16209037601947784,33.4955,False,False
70,0,25.0,25.0,3.0635738372802734,-0.2611968219280243,0.16541416943073273,33.4565,False,False
71,0,25.0,25.0,3.1122467517852783,-0.2513546347618103,0.16870719194412231,33.4171,False,False
72,0,25.0,25.0,3.1607985496520996,-0.24092790484428406,0.1717982292175293,33.3775,False,False
