tick_global,waypoint_index,target_row,target_col,target_x,target_y,location_x,location_y,location_z,gps_x,gps_y,gps_z,projected_row,projected_col,distance_to_target_m,arrived,timeout
1,0,40,45,25.0,0.0,0.010871605016291142,0.0039246040396392345,0.13044540584087372,0.010871605016291142,0.0039246040396392345,0.13044540584087372,40,40,24.989128703168063,False,False
2,0,40,45,25.0,0.0,0.020618820562958717,0.0028457173611968756,0.15139271318912506,0.020618820562958717,0.0028457173611968756,0.15139271318912506,40,40,24.979381341532875,False,False
3,0,40,45,25.0,0.0,0.03432689234614372,0.0010540172224864364,0.17144471406936646,0.03432689234614372,0.0010540172224864364,0.17144471406936646,40,40,24.965673129903454,False,False
4,0,40,45,25.0,0.0,0.05158964917063713,-0.0014353238511830568,0.18845778703689575,0.05158964917063713,-0.0014353238511830568,0.18845778703689575,40,40,24.948410392117655,False,False
5,0,40,45,25.0,0.0,0.07204153388738632,-0.004605819005519152,0.20114950835704803,0.07204153388738632,-0.004605819005519152,0.20114950835704803,40,40,24.927958891610125,False,False
6,0,40,45,25.0,0.0,0.09535353630781174,-0.008439633995294571,0.20907118916511536,0.09535353630781174,-0.008439633995294571,0.20907118916511536,40,40,24.90464789369482,False,False
7,0,40,45,25.0,0.0,0.12122952938079834,-0.012918557971715927,0.2117013782262802,0.12122952938079834,-0.012918557971715927,0.2117013782262802,40,40,24.87877382466616,False,False
8,0,40,45,25.0,0.0,0.14940305054187775,-0.018023215234279633,0.20921744406223297,0.14940305054187775,-0.018023215234279633,0.20921744406223297,40,40,24.850603485241656,False,False
9,0,40,45,25.0,0.0,0.17963437736034393,-0.023733025416731834,0.20248457789421082,0.17963437736034393,-0.023733025416731834,0.20248457789421082,40,40,24.82037696929698,False,False
10,0,40,45,25.0,0.0,0.21170789003372192,-0.03002646379172802,0.19281066954135895,0.21170789003372192,-0.03002646379172802,0.19281066954135895,40,40,24.788310295733034,False,False
11,0,40,45,25.0,0.0,0.24542970955371857,-0.0368821956217289,0.18107880651950836,0.24542970955371857,-0.0368821956217289,0.18107880651950836,40,40,24.754597766091848,False,False
12,0,40,45,25.0,0.0,0.280625581741333,-0.044278308749198914,0.16843652725219727,0.280625581741333,-0.044278308749198914,0.16843652725219727,40,40,24.719414074744705,False,False
13,0,40,45,25.0,0.0,0.3171389400959015,-0.05219213664531708,0.15644584596157074,0.3171389400959015,-0.05219213664531708,0.15644584596157074,40,40,24.682916240218816,False,False
14,0,40,45,25.0,0.0,0.35482919216156006,-0.060601215809583664,0.14639468491077423,0.35482919216156006,-0.060601215809583664,0.14639468491077423,40,40,24.645245315372488,False,False
