tick_global,waypoint_index,target_row,target_col,target_x,target_y,location_x,location_y,location_z,gps_x,gps_y,gps_z,projected_row,projected_col,distance_to_target_m,arrived,timeout
1,0,40,45,25.0,0.0,0.010871893726289272,0.003928311634808779,0.13383443653583527,0.010871893726289272,0.003928311634808779,0.13383443653583527,40,40,24.98912841504063,False,False
2,0,40,45,25.0,0.0,0.020619062706828117,0.002849048003554344,0.1545025110244751,0.020619062706828117,0.002849048003554344,0.1545025110244751,40,40,24.979381099768666,False,False
3,0,40,45,25.0,0.0,0.03432714566588402,0.0010575895430520177,0.17494991421699524,0.03432714566588402,0.0010575895430520177,0.17494991421699524,40,40,24.965672876734786,False,False
4,0,40,45,25.0,0.0,0.05158992111682892,-0.001431340933777392,0.19249515235424042,0.05158992111682892,-0.001431340933777392,0.19249515235424042,40,40,24.94841011994264,False,False
5,0,40,45,25.0,0.0,0.07204177975654602,-0.004602120723575354,0.20501910150051117,0.07204177975654602,-0.004602120723575354,0.20501910150051117,40,40,24.927958645057927,False,False
6,0,40,45,25.0,0.0,0.09535369277000427,-0.008437316864728928,0.21179035305976868,0.09535369277000427,-0.008437316864728928,0.21179035305976868,40,40,24.90464773644752,False,False
7,0,40,45,25.0,0.0,0.12122952938079834,-0.012918666936457157,0.2124444842338562,0.12122952938079834,-0.012918666936457157,0.2124444842338562,40,40,24.87877382472274,False,False
8,0,40,45,25.0,0.0,0.14940282702445984,-0.018026450648903847,0.20753543078899384,0.14940282702445984,-0.018026450648903847,0.20753543078899384,40,40,24.85060371110575,False,False
9,0,40,45,25.0,0.0,0.17963387072086334,-0.023739583790302277,0.19838488101959229,0.17963387072086334,-0.023739583790302277,0.19838488101959229,40,40,24.82037748220815,False,False
10,0,40,45,25.0,0.0,0.2117070108652115,-0.03003646433353424,0.18635879456996918,0.2117070108652115,-0.03003646433353424,0.18635879456996918,40,40,24.788311187016728,False,False
11,0,40,45,25.0,0.0,0.24542833864688873,-0.03689436614513397,0.17339220643043518,0.24542833864688873,-0.03689436614513397,0.17339220643043518,40,40,24.754599155133167,False,False
12,0,40,45,25.0,0.0,0.28062355518341064,-0.04429052025079727,0.16116775572299957,0.28062355518341064,-0.04429052025079727,0.16116775572299957,40,40,24.719416123176075,False,False
13,0,40,45,25.0,0.0,0.3171362280845642,-0.05220228433609009,0.15108194947242737,0.3171362280845642,-0.05220228433609009,0.15108194947242737,40,40,24.68291897368351,False,False
14,0,40,45,25.0,0.0,0.35482582449913025,-0.060607071965932846,0.14439144730567932,0.35482582449913025,-0.060607071965932846,0.14439144730567932,40,40,24.645248697425377,False,False
15,0,40,45,25.0,0.0,0.39356642961502075,-0.0694839209318161,0.14116841554641724,0.39356642961502075,-0.0694839209318161,0.14116841554641724,40,40,24.606531674923975,False,False
16,0,40,45,25.0,0.0,0.43324506282806396,-0.07881243526935577,0.1411837935447693,0.43324506282806396,-0.07881243526935577,0.1411837935447693,40,40,24.566881355658776,False,False
17,0,40,45,25.0,0.0,0.4737603962421417,-0.08857259899377823,0.14411376416683197,0.4737603962421417,-0.08857259899377823,0.14411376416683197,40,40,24.526399536137237,False,False
18,0,40,45,25.0,0.0,0.5150216221809387,-0.09874478727579117,0.14954930543899536,0.5150216221809387,-0.09874478727579117,0.14954930543899536,40,40,24.485177489560517,False,False
19,0,40,45,25.0,0.0,0.5569473505020142,-0.10930971801280975,0.1570635437965393,0.5569473505020142,-0.10930971801280975,0.1570635437965393,40,40,24.443297065669814,False,False
20,0,40,45,25.0,0.0,0.599465012550354,-0.1202496886253357,0.16539041697978973,0.599465012550354,-0.1202496886253357,0.16539041697978973,40,40,24.400831290375514,False,False
21,0,40,45,25.0,0.0,0.6425096392631531,-0.13154716789722443,0.17344951629638672,0.6425096392631531,-0.13154716789722443,0.17344951629638672,40,40,24.357845580649577,False,False
22,0,40,45,25.0,0.0,0.6860232353210449,-0.14318512380123138,0.18015097081661224,0.6860232353210449,-0.14318512380123138,0.18015097081661224,40,40,24.3143983699582,False,False
23,0,40,45,25.0,0.0,0.7299540042877197,-0.1551463007926941,0.18480797111988068,0.7299540042877197,-0.1551463007926941,0.18480797111988068,40,40,24.270541877111835,False,False
24,0,40,45,25.0,0.0,0.774255633354187,-0.16741342842578888,0.18703757226467133,0.774255633354187,-0.16741342842578888,0.18703757226467133,40,40,24.226322819901675,False,False
