tick_global,waypoint_index,target_row,target_col,target_x,target_y,location_x,location_y,location_z,gps_x,gps_y,gps_z,projected_row,projected_col,distance_to_target_m,arrived,timeout,algorithm_step
1,0,1,2,-190.0,195.0,-194.3096923828125,194.98724365234375,0.133620485663414,-194.3096923828125,194.98724365234375,0.133620485663414,1,1,4.309711261659835,False,False,1
2,0,1,2,-190.0,195.0,-194.26963806152344,194.98536682128906,0.1537315994501114,-194.26963806152344,194.98536682128906,0.1537315994501114,1,1,4.269663137336341,False,False,1
3,0,1,2,-190.0,195.0,-194.23150634765625,194.98348999023438,0.17384777963161469,-194.23150634765625,194.98348999023438,0.17384777963161469,1,1,4.231538555972,False,False,1
4,0,1,2,-190.0,195.0,-194.19512939453125,194.98158264160156,0.1908533275127411,-194.19512939453125,194.98158264160156,0.1908533275127411,1,1,4.195169822063287,False,False,1
5,0,1,2,-190.0,195.0,-194.1603546142578,194.97964477539062,0.20353148877620697,-194.1603546142578,194.97964477539062,0.20353148877620697,1,1,4.160404409615148,False,False,1
6,0,1,2,-190.0,195.0,-194.12701416015625,194.9776611328125,0.21066951751708984,-194.12701416015625,194.9776611328125,0.21066951751708984,1,1,4.127074618069973,False,False,1
7,0,1,2,-190.0,195.0,-194.09500122070312,194.97561645507812,0.2119988054037094,-194.09500122070312,194.97561645507812,0.2119988054037094,1,1,4.095073815552418,False,False,1
8,0,1,2,-190.0,195.0,-194.064208984375,194.97354125976562,0.20804183185100555,-194.064208984375,194.97354125976562,0.20804183185100555,1,1,4.064295109069869,False,False,1
9,0,1,2,-190.0,195.0,-194.03451538085938,194.9713897705078,0.19950394332408905,-194.03451538085938,194.9713897705078,0.19950394332408905,1,1,4.034616822403642,False,False,1
10,0,1,2,-190.0,195.0,-194.00582885742188,194.9691925048828,0.1881372183561325,-194.00582885742188,194.9691925048828,0.1881372183561325,1,1,4.005947320760626,False,False,1
11,0,1,2,-190.0,195.0,-193.9780731201172,194.96693420410156,0.1755184382200241,-193.9780731201172,194.96693420410156,0.1755184382200241,1,1,3.9782105394080505,False,False,1
12,0,1,2,-190.0,195.0,-193.951171875,194.96463012695312,0.16277265548706055,-193.951171875,194.96463012695312,0.16277265548706055,1,1,3.951330182825825,False,False,1
13,0,1,2,-190.0,195.0,-193.92503356933594,194.96224975585938,0.15150035917758942,-193.92503356933594,194.96224975585938,0.15150035917758942,1,1,3.925215102557653,False,False,1
14,0,1,2,-190.0,195.0,-193.8996124267578,194.95982360839844,0.1434945911169052,-193.8996124267578,194.95982360839844,0.1434945911169052,1,1,3.8998193831722614,False,False,1
15,0,1,2,-190.0,195.0,-193.87486267089844,194.9573516845703,0.13925157487392426,-193.87486267089844,194.9573516845703,0.13925157487392426,1,1,3.8750973661485157,False,False,1
16,0,1,2,-190.0,195.0,-193.85069274902344,194.954833984375,0.13898269832134247,-193.85069274902344,194.954833984375,0.13898269832134247,1,1,3.850957623286592,False,False,1
17,0,1,2,-190.0,195.0,-193.8271026611328,194.95225524902344,0.1422901749610901,-193.8271026611328,194.95225524902344,0.1422901749610901,1,1,3.827400467692879,False,False,1
18,0,1,2,-190.0,195.0,-193.8040008544922,194.9496307373047,0.1485808938741684,-193.8040008544922,194.9496307373047,0.1485808938741684,1,1,3.8043343128071383,False,False,1
19,0,1,2,-190.0,195.0,-193.78138732910156,194.9469757080078,0.1567331999540329,-193.78138732910156,194.9469757080078,0.1567331999540329,1,1,3.781759075910458,False,False,1
20,0,1,2,-190.0,195.0,-193.75921630859375,194.9442596435547,0.16562007367610931,-193.75921630859375,194.9442596435547,0.16562007367610931,1,1,3.759629535224697,False,False,1
21,0,1,2,-190.0,195.0,-193.73744201660156,194.94151306152344,0.17334546148777008,-193.73744201660156,194.94151306152344,0.17334546148777008,1,1,3.7378996173561316,False,False,1
22,0,1,2,-190.0,195.0,-193.71604919433594,194.93870544433594,0.17908495664596558,-193.71604919433594,194.93870544433594,0.17908495664596558,1,1,3.7165546729839485,False,False,1
23,0,1,2,-190.0,195.0,-193.6949920654297,194.93588256835938,0.18250814080238342,-193.6949920654297,194.93588256835938,0.18250814080238342,1,1,3.6955483231353554,False,False,1
24,0,1,2,-190.0,195.0,-193.6742706298828,194.93299865722656,0.1835528314113617,-193.6742706298828,194.93299865722656,0.1835528314113617,1,1,3.674881473129832,False,False,1
25,0,1,2,-190.0,195.0,-193.6538543701172,194.9300994873047,0.1823982447385788,-193.6538543701172,194.9300994873047,0.1823982447385788,1,1,3.6545229291522494,False,False,1
26,0,1,2,-190.0,195.0,-193.6337127685547,194.9271697998047,0.17938199639320374,-193.6337127685547,194.9271697998047,0.17938199639320374,1,1,3.6344425600658297,False,False,1
27,0,1,2,-190.0,195.0,-193.6138458251953,194.9241943359375,0.17486678063869476,-193.6138458251953,194.9241943359375,0.17486678063869476,1,1,3.6146408046976877,False,False,1
28,0,1,2,-190.0,195.0,-193.59422302246094,194.92120361328125,0.16941414773464203,-193.59422302246094,194.92120361328125,0.16941414773464203,1,1,3.5950866478776513,False,False,1
29,0,1,2,-190.0,195.0,-193.57484436035156,194.91819763183594,0.16399990022182465,-193.57484436035156,194.91819763183594,0.16399990022182465,1,1,3.575780170560632,False,False,1
30,0,1,2,-190.0,195.0,-193.55567932128906,194.91517639160156,0.15920816361904144,-193.55567932128906,194.91517639160156,0.15920816361904144,1,1,3.556690945300755,False,False,1
31,0,1,2,-190.0,195.0,-193.53672790527344,194.91212463378906,0.15597625076770782,-193.53672790527344,194.91212463378906,0.15597625076770782,1,1,3.537819435178475,False,False,1
32,0,1,2,-190.0,195.0,-193.51795959472656,194.90907287597656,0.15485364198684692,-193.51795959472656,194.90907287597656,0.15485364198684692,1,1,3.5191344748406324,False,False,1
33,0,1,2,-190.0,195.0,-193.4993896484375,194.906005859375,0.15574684739112854,-193.4993896484375,194.906005859375,0.15574684739112854,1,1,3.500651769322873,False,False,1
34,0,1,2,-190.0,195.0,-193.48098754882812,194.90293884277344,0.15839533507823944,-193.48098754882812,194.90293884277344,0.15839533507823944,1,1,3.482340474930416,False,False,1
35,0,1,2,-190.0,195.0,-193.46275329589844,194.89987182617188,0.16215308010578156,-193.46275329589844,194.89987182617188,0.16215308010578156,1,1,3.4642006349877668,False,False,1
36,0,1,2,-190.0,195.0,-193.44468688964844,194.89678955078125,0.16573315858840942,-193.44468688964844,194.89678955078125,0.16573315858840942,1,1,3.446232749618598,False,False,1
37,0,1,2,-190.0,195.0,-193.4267578125,194.8937225341797,0.16891813278198242,-193.4267578125,194.8937225341797,0.16891813278198242,1,1,3.428405461037386,False,False,1
38,0,1,2,-190.0,195.0,-193.4089813232422,194.89064025878906,0.17133593559265137,-193.4089813232422,194.89064025878906,0.17133593559265137,1,1,3.410734996333163,False,False,1
39,0,1,2,-190.0,195.0,-193.391357421875,194.8875732421875,0.17271055281162262,-193.391357421875,194.8875732421875,0.17271055281162262,1,1,3.393220437693207,False,False,1
40,0,1,2,-190.0,195.0,-193.3738555908203,194.88450622558594,0.17296993732452393,-193.3738555908203,194.88450622558594,0.17296993732452393,1,1,3.375831802628485,False,False,1
41,0,1,2,-190.0,195.0,-193.35647583007812,194.88145446777344,0.1721668392419815,-193.35647583007812,194.88145446777344,0.1721668392419815,1,1,3.358568600030304,False,False,1
42,0,1,2,-190.0,195.0,-193.3392333984375,194.87840270996094,0.17052511870861053,-193.3392333984375,194.87840270996094,0.17052511870861053,1,1,3.3414466313537465,False,False,1
43,0,1,2,-190.0,195.0,-193.32211303710938,194.87538146972656,0.16836386919021606,-193.32211303710938,194.87538146972656,0.16836386919021606,1,1,3.3244495498382265,False,False,1
44,0,1,2,-190.0,195.0,-193.3050994873047,194.8723602294922,0.1660878211259842,-193.3050994873047,194.8723602294922,0.1660878211259842,1,1,3.3075632317458417,False,False,1
45,0,1,2,-190.0,195.0,-193.2882080078125,194.86935424804688,0.16388483345508575,-193.2882080078125,194.86935424804688,0.16388483345508575,1,1,3.2908023664671275,False,False,1
46,0,1,2,-190.0,195.0,-193.2714080810547,194.8663787841797,0.16239434480667114,-193.2714080810547,194.8663787841797,0.16239434480667114,1,1,3.274135834400768,False,False,1
