tick_global,waypoint_index,target_row,target_col,target_x,target_y,location_x,location_y,location_z,gps_x,gps_y,gps_z,projected_row,projected_col,distance_to_target_m,arrived,timeout,algorithm_step
1,0,1,2,-190.0,195.0,-194.3096923828125,194.9872283935547,0.13828550279140472,-194.3096923828125,194.9872283935547,0.13828550279140472,1,1,4.309711306851455,False,False,1
2,0,1,2,-190.0,195.0,-194.26963806152344,194.98536682128906,0.1606900990009308,-194.26963806152344,194.98536682128906,0.1606900990009308,1,1,4.269663137336341,False,False,1
3,0,1,2,-190.0,195.0,-194.2315216064453,194.98348999023438,0.18239974975585938,-194.2315216064453,194.98348999023438,0.18239974975585938,1,1,4.23155381464492,False,False,1
4,0,1,2,-190.0,195.0,-194.1951446533203,194.98158264160156,0.20066285133361816,-194.1951446533203,194.98158264160156,0.20066285133361816,1,1,4.195185080705306,False,False,1
5,0,1,2,-190.0,195.0,-194.1603546142578,194.97964477539062,0.2132970094680786,-194.1603546142578,194.97964477539062,0.2132970094680786,1,1,4.160404409615148,False,False,1
6,0,1,2,-190.0,195.0,-194.1270294189453,194.9776611328125,0.2194547951221466,-194.1270294189453,194.9776611328125,0.2194547951221466,1,1,4.12708987663551,False,False,1
7,0,1,2,-190.0,195.0,-194.0950164794922,194.97561645507812,0.21860846877098083,-194.0950164794922,194.97561645507812,0.21860846877098083,1,1,4.095089074070984,False,False,1
8,0,1,2,-190.0,195.0,-194.06422424316406,194.97354125976562,0.21181157231330872,-194.06422424316406,194.97354125976562,0.21181157231330872,1,1,4.06431036753559,False,False,1
9,0,1,2,-190.0,195.0,-194.03453063964844,194.9713897705078,0.20077669620513916,-194.03453063964844,194.9713897705078,0.20077669620513916,1,1,4.034632080809057,False,False,1
10,0,1,2,-190.0,195.0,-194.00584411621094,194.9691925048828,0.18704523146152496,-194.00584411621094,194.9691925048828,0.18704523146152496,1,1,4.005962579098459,False,False,1
11,0,1,2,-190.0,195.0,-193.97808837890625,194.96693420410156,0.17282763123512268,-193.97808837890625,194.96693420410156,0.17282763123512268,1,1,3.978225797670031,False,False,1
12,0,1,2,-190.0,195.0,-193.951171875,194.96461486816406,0.15970157086849213,-193.951171875,194.96461486816406,0.15970157086849213,1,1,3.951330319442562,False,False,1
13,0,1,2,-190.0,195.0,-193.925048828125,194.96224975585938,0.14955715835094452,-193.925048828125,194.96224975585938,0.14955715835094452,1,1,3.9252303606410304,False,False,1
14,0,1,2,-190.0,195.0,-193.89962768554688,194.95982360839844,0.14315436780452728,-193.89962768554688,194.95982360839844,0.14315436780452728,1,1,3.8998346411515707,False,False,1
15,0,1,2,-190.0,195.0,-193.87486267089844,194.9573516845703,0.14064785838127136,-193.87486267089844,194.9573516845703,0.14064785838127136,1,1,3.8750973661485157,False,False,1
