tick_global,waypoint_index,target_row,target_col,target_x,target_y,location_x,location_y,location_z,gps_x,gps_y,gps_z,projected_row,projected_col,distance_to_target_m,arrived,timeout,algorithm_step
1,0,1,2,-190.0,195.0,-194.3096923828125,194.9872283935547,0.1385100781917572,-194.3096923828125,194.9872283935547,0.1385100781917572,1,1,4.309711306851455,False,False,1
2,0,1,2,-190.0,195.0,-194.26963806152344,194.98536682128906,0.1603623777627945,-194.26963806152344,194.98536682128906,0.1603623777627945,1,1,4.269663137336341,False,False,1
3,0,1,2,-190.0,195.0,-194.2315216064453,194.98348999023438,0.18192774057388306,-194.2315216064453,194.98348999023438,0.18192774057388306,1,1,4.23155381464492,False,False,1
4,0,1,2,-190.0,195.0,-194.1951446533203,194.98158264160156,0.20100148022174835,-194.1951446533203,194.98158264160156,0.20100148022174835,1,1,4.195185080705306,False,False,1
5,0,1,2,-190.0,195.0,-194.1603546142578,194.97964477539062,0.21489419043064117,-194.1603546142578,194.97964477539062,0.21489419043064117,1,1,4.160404409615148,False,False,1
6,0,1,2,-190.0,195.0,-194.1270294189453,194.9776611328125,0.22230218350887299,-194.1270294189453,194.9776611328125,0.22230218350887299,1,1,4.12708987663551,False,False,1
7,0,1,2,-190.0,195.0,-194.0950164794922,194.9756317138672,0.22299253940582275,-194.0950164794922,194.9756317138672,0.22299253940582275,1,1,4.095088983243421,False,False,1
8,0,1,2,-190.0,195.0,-194.06422424316406,194.97354125976562,0.21763740479946136,-194.06422424316406,194.97354125976562,0.21763740479946136,1,1,4.06431036753559,False,False,1
9,0,1,2,-190.0,195.0,-194.03453063964844,194.9713897705078,0.2073708474636078,-194.03453063964844,194.9713897705078,0.2073708474636078,1,1,4.034632080809057,False,False,1
10,0,1,2,-190.0,195.0,-194.00584411621094,194.9691925048828,0.19391918182373047,-194.00584411621094,194.9691925048828,0.19391918182373047,1,1,4.005962579098459,False,False,1
11,0,1,2,-190.0,195.0,-193.97808837890625,194.96693420410156,0.17983576655387878,-193.97808837890625,194.96693420410156,0.17983576655387878,1,1,3.978225797670031,False,False,1
12,0,1,2,-190.0,195.0,-193.951171875,194.96461486816406,0.16712448000907898,-193.951171875,194.96461486816406,0.16712448000907898,1,1,3.951330319442562,False,False,1
13,0,1,2,-190.0,195.0,-193.925048828125,194.96224975585938,0.15711811184883118,-193.925048828125,194.96224975585938,0.15711811184883118,1,1,3.9252303606410304,False,False,1
14,0,1,2,-190.0,195.0,-193.89962768554688,194.95982360839844,0.1501339077949524,-193.89962768554688,194.95982360839844,0.1501339077949524,1,1,3.8998346411515707,False,False,1
15,0,1,2,-190.0,195.0,-193.8748779296875,194.9573516845703,0.1463986039161682,-193.8748779296875,194.9573516845703,0.1463986039161682,1,1,3.8751126240134335,False,False,1
16,0,1,2,-190.0,195.0,-193.8507080078125,194.954833984375,0.14593981206417084,-193.8507080078125,194.954833984375,0.14593981206417084,1,1,3.8509728810261374,False,False,1
17,0,1,2,-190.0,195.0,-193.82711791992188,194.95225524902344,0.14848841726779938,-193.82711791992188,194.95225524902344,0.14848841726779938,1,1,3.827415725294674,False,False,1
18,0,1,2,-190.0,195.0,-193.80401611328125,194.9496307373047,0.1535082757472992,-193.80401611328125,194.9496307373047,0.1535082757472992,1,1,3.8043495702587395,False,False,1
19,0,1,2,-190.0,195.0,-193.78140258789062,194.94696044921875,0.16034051775932312,-193.78140258789062,194.94696044921875,0.16034051775932312,1,1,3.7817745471739843,False,False,1
20,0,1,2,-190.0,195.0,-193.7592315673828,194.9442596435547,0.16833344101905823,-193.7592315673828,194.9442596435547,0.16833344101905823,1,1,3.7596447923366494,False,False,1
21,0,1,2,-190.0,195.0,-193.73745727539062,194.94149780273438,0.17666541039943695,-193.73745727539062,194.94149780273438,0.17666541039943695,1,1,3.7379151130617214,False,False,1
22,0,1,2,-190.0,195.0,-193.71604919433594,194.93870544433594,0.1844206154346466,-193.71604919433594,194.93870544433594,0.1844206154346466,1,1,3.7165546729839485,False,False,1
23,0,1,2,-190.0,195.0,-193.69500732421875,194.9358673095703,0.19042213261127472,-193.69500732421875,194.9358673095703,0.19042213261127472,1,1,3.6955638443966783,False,False,1
24,0,1,2,-190.0,195.0,-193.67428588867188,194.93299865722656,0.19425755739212036,-193.67428588867188,194.93299865722656,0.19425755739212036,1,1,3.6748967293825707,False,False,1
25,0,1,2,-190.0,195.0,-193.65386962890625,194.9300994873047,0.19561447203159332,-193.65386962890625,194.9300994873047,0.19561447203159332,1,1,3.654538185149878,False,False,1
