tick_global,waypoint_index,target_row,target_col,target_x,target_y,location_x,location_y,location_z,gps_x,gps_y,gps_z,projected_row,projected_col,distance_to_target_m,arrived,timeout,algorithm_step
1,0,1,2,-190.0,195.0,-194.3096923828125,194.9872283935547,0.1343059092760086,-194.3096923828125,194.9872283935547,0.1343059092760086,1,1,4.309711306851455,False,False,1
2,0,1,2,-190.0,195.0,-194.26963806152344,194.98536682128906,0.15616768598556519,-194.26963806152344,194.98536682128906,0.15616768598556519,1,1,4.269663137336341,False,False,1
3,0,1,2,-190.0,195.0,-194.23150634765625,194.98348999023438,0.17791789770126343,-194.23150634765625,194.98348999023438,0.17791789770126343,1,1,4.231538555972,False,False,1
4,0,1,2,-190.0,195.0,-194.19512939453125,194.98158264160156,0.19674652814865112,-194.19512939453125,194.98158264160156,0.19674652814865112,1,1,4.195169822063287,False,False,1
5,0,1,2,-190.0,195.0,-194.1603546142578,194.97964477539062,0.21065379679203033,-194.1603546142578,194.97964477539062,0.21065379679203033,1,1,4.160404409615148,False,False,1
6,0,1,2,-190.0,195.0,-194.12701416015625,194.9776611328125,0.21848641335964203,-194.12701416015625,194.9776611328125,0.21848641335964203,1,1,4.127074618069973,False,False,1
7,0,1,2,-190.0,195.0,-194.0950164794922,194.9756317138672,0.22002923488616943,-194.0950164794922,194.9756317138672,0.22002923488616943,1,1,4.095088983243421,False,False,1
8,0,1,2,-190.0,195.0,-194.064208984375,194.97354125976562,0.2156764715909958,-194.064208984375,194.97354125976562,0.2156764715909958,1,1,4.064295109069869,False,False,1
9,0,1,2,-190.0,195.0,-194.03451538085938,194.9713897705078,0.2064296156167984,-194.03451538085938,194.9713897705078,0.2064296156167984,1,1,4.034616822403642,False,False,1
10,0,1,2,-190.0,195.0,-194.00584411621094,194.9691925048828,0.19383680820465088,-194.00584411621094,194.9691925048828,0.19383680820465088,1,1,4.005962579098459,False,False,1
11,0,1,2,-190.0,195.0,-193.97808837890625,194.96693420410156,0.17993827164173126,-193.97808837890625,194.96693420410156,0.17993827164173126,1,1,3.978225797670031,False,False,1
12,0,1,2,-190.0,195.0,-193.951171875,194.96463012695312,0.16651125252246857,-193.951171875,194.96463012695312,0.16651125252246857,1,1,3.951330182825825,False,False,1
13,0,1,2,-190.0,195.0,-193.925048828125,194.96224975585938,0.15474353730678558,-193.925048828125,194.96224975585938,0.15474353730678558,1,1,3.9252303606410304,False,False,1
14,0,1,2,-190.0,195.0,-193.89962768554688,194.95982360839844,0.1464683562517166,-193.89962768554688,194.95982360839844,0.1464683562517166,1,1,3.8998346411515707,False,False,1
15,0,1,2,-190.0,195.0,-193.87486267089844,194.9573516845703,0.14198291301727295,-193.87486267089844,194.9573516845703,0.14198291301727295,1,1,3.8750973661485157,False,False,1
16,0,1,2,-190.0,195.0,-193.8507080078125,194.954833984375,0.1416134536266327,-193.8507080078125,194.954833984375,0.1416134536266327,1,1,3.8509728810261374,False,False,1
17,0,1,2,-190.0,195.0,-193.8271026611328,194.95225524902344,0.14494802057743073,-193.8271026611328,194.95225524902344,0.14494802057743073,1,1,3.827400467692879,False,False,1
18,0,1,2,-190.0,195.0,-193.80401611328125,194.9496307373047,0.15102794766426086,-193.80401611328125,194.9496307373047,0.15102794766426086,1,1,3.8043495702587395,False,False,1
19,0,1,2,-190.0,195.0,-193.78140258789062,194.9469757080078,0.15904933214187622,-193.78140258789062,194.9469757080078,0.15904933214187622,1,1,3.781774333199588,False,False,1
20,0,1,2,-190.0,195.0,-193.75921630859375,194.9442596435547,0.16799479722976685,-193.75921630859375,194.9442596435547,0.16799479722976685,1,1,3.759629535224697,False,False,1
21,0,1,2,-190.0,195.0,-193.73745727539062,194.94149780273438,0.1763608306646347,-193.73745727539062,194.94149780273438,0.1763608306646347,1,1,3.7379151130617214,False,False,1
22,0,1,2,-190.0,195.0,-193.71604919433594,194.93870544433594,0.18332359194755554,-193.71604919433594,194.93870544433594,0.18332359194755554,1,1,3.7165546729839485,False,False,1
23,0,1,2,-190.0,195.0,-193.69500732421875,194.93588256835938,0.18849439918994904,-193.69500732421875,194.93588256835938,0.18849439918994904,1,1,3.695563579627659,False,False,1
24,0,1,2,-190.0,195.0,-193.67428588867188,194.93301391601562,0.19140581786632538,-193.67428588867188,194.93301391601562,0.19140581786632538,1,1,3.6748964512133986,False,False,1
25,0,1,2,-190.0,195.0,-193.65386962890625,194.9300994873047,0.19187240302562714,-193.65386962890625,194.9300994873047,0.19187240302562714,1,1,3.654538185149878,False,False,1
26,0,1,2,-190.0,195.0,-193.63372802734375,194.9271697998047,0.19013874232769012,-193.63372802734375,194.9271697998047,0.19013874232769012,1,1,3.634457815790959,False,False,1
27,0,1,2,-190.0,195.0,-193.61386108398438,194.92420959472656,0.1865425854921341,-193.61386108398438,194.92420959472656,0.1865425854921341,1,1,3.614655740159529,False,False,1
28,0,1,2,-190.0,195.0,-193.59423828125,194.9212188720703,0.18156427145004272,-193.59423828125,194.9212188720703,0.18156427145004272,1,1,3.5951015685959176,False,False,1
