step,target_waypoint_cell,target_waypoint_world,target_world_observed,target_cell_observed,target_distance_to_waypoint_m,target_ticks_this_step,target_proxy_agent_name,target_motion_source
1,"[20, 20]","[-100.0, 100.0]","[-99.0729751586914, 99.97737884521484, -0.03460312262177467]","[20, 20]",0.9273007996583619,10,target,holoocean_agent_proxy
2,"[20, 20]","[-100.0, 100.0]","[-98.59109497070312, 99.63908386230469, 0.16989031434059143]","[20, 20]",1.454398102318251,10,target,holoocean_agent_proxy
3,"[20, 20]","[-100.0, 100.0]","[-99.39085388183594, 99.65008544921875, 0.1645078808069229]","[20, 20]",0.7024949723113967,10,target,holoocean_agent_proxy
4,"[20, 20]","[-100.0, 100.0]","[-99.74091339111328, 99.86260223388672, 0.16064037382602692]","[20, 20]",0.2932644148841443,10,target,holoocean_agent_proxy
5,"[20, 20]","[-100.0, 100.0]","[-99.86967468261719, 99.93047332763672, 0.1625605672597885]","[20, 20]",0.14771136219276385,10,target,holoocean_agent_proxy
6,"[20, 20]","[-100.0, 100.0]","[-99.91083526611328, 99.95245361328125, 0.16222599148750305]","[20, 20]",0.10104953566987973,10,target,holoocean_agent_proxy
7,"[20, 20]","[-100.0, 100.0]","[-99.92408752441406, 99.95951843261719, 0.16230028867721558]","[20, 20]",0.08603174557891259,10,target,holoocean_agent_proxy
8,"[20, 20]","[-100.0, 100.0]","[-99.92835235595703, 99.9617919921875, 0.16230937838554382]","[20, 20]",0.0811987484996414,10,target,holoocean_agent_proxy
9,"[20, 20]","[-100.0, 100.0]","[-99.9297103881836, 99.96251678466797, 0.1623096466064453]","[20, 20]",0.07965940597900853,10,target,holoocean_agent_proxy
10,"[20, 20]","[-100.0, 100.0]","[-99.93014526367188, 99.96275329589844, 0.16230982542037964]","[20, 20]",0.07916439322006592,10,target,holoocean_agent_proxy
11,"[20, 20]","[-100.0, 100.0]","[-99.93029022216797, 99.96282958984375, 0.16227823495864868]","[20, 20]",0.07900058554577306,10,target,holoocean_agent_proxy
12,"[20, 20]","[-100.0, 100.0]","[-99.93033599853516, 99.96285247802734, 0.16227850317955017]","[20, 20]",0.07894942361285946,10,target,holoocean_agent_proxy
13,"[20, 20]","[-100.0, 100.0]","[-99.93034362792969, 99.96286010742188, 0.16227874159812927]","[20, 20]",0.07893910178556933,10,target,holoocean_agent_proxy
14,"[20, 20]","[-100.0, 100.0]","[-99.93035125732422, 99.96286010742188, 0.16221117973327637]","[20, 20]",0.07893236964029306,10,target,holoocean_agent_proxy
15,"[20, 20]","[-100.0, 100.0]","[-99.93035125732422, 99.96286010742188, 0.16221140325069427]","[20, 20]",0.07893236964029306,10,target,holoocean_agent_proxy
16,"[20, 25]","[-75.0, 100.0]","[-100.11270141601562, 100.0605697631836, 0.16101230680942535]","[20, 20]",25.112774460544284,10,target,holoocean_agent_proxy
17,"[20, 25]","[-75.0, 100.0]","[-95.91188049316406, 103.85150146484375, 0.16395586729049683]","[19, 21]",21.26360292363618,10,target,holoocean_agent_proxy
18,"[20, 25]","[-75.0, 100.0]","[-85.31937408447266, 101.72531127929688, 0.16258405148983002]","[20, 23]",10.462608685493064,10,target,holoocean_agent_proxy
19,"[20, 25]","[-75.0, 100.0]","[-78.38615417480469, 100.57038879394531, 0.16316187381744385]","[20, 24]",3.433858394256467,10,target,holoocean_agent_proxy
20,"[20, 25]","[-75.0, 100.0]","[-76.13426971435547, 100.19100952148438, 0.16221867501735687]","[20, 25]",1.1502401584894029,10,target,holoocean_agent_proxy
21,"[20, 25]","[-75.0, 100.0]","[-75.4168472290039, 100.07019805908203, 0.16226832568645477]","[20, 25]",0.4227166661336165,10,target,holoocean_agent_proxy
22,"[20, 25]","[-75.0, 100.0]","[-75.18604278564453, 100.03132629394531, 0.16225884854793549]","[20, 25]",0.18866174700432817,10,target,holoocean_agent_proxy
23,"[20, 25]","[-75.0, 100.0]","[-75.112548828125, 100.01895141601562, 0.16225506365299225]","[20, 25]",0.11413323302749326,10,target,holoocean_agent_proxy
24,"[20, 25]","[-75.0, 100.0]","[-75.08891296386719, 100.01496887207031, 0.1623317003250122]","[20, 25]",0.09016419619064528,10,target,holoocean_agent_proxy
25,"[20, 25]","[-75.0, 100.0]","[-75.08139038085938, 100.01370239257812, 0.1622542291879654]","[20, 25]",0.08253574776300976,10,target,holoocean_agent_proxy
26,"[20, 25]","[-75.0, 100.0]","[-75.07897186279297, 100.01329803466797, 0.16227297484874725]","[20, 25]",0.0800836614985977,10,target,holoocean_agent_proxy
27,"[20, 25]","[-75.0, 100.0]","[-75.07819366455078, 100.01316833496094, 0.16223780810832977]","[20, 25]",0.07929473009931715,10,target,holoocean_agent_proxy
28,"[20, 25]","[-75.0, 100.0]","[-75.07794952392578, 100.01313018798828, 0.16230778396129608]","[20, 25]",0.07904764460035194,10,target,holoocean_agent_proxy
29,"[20, 25]","[-75.0, 100.0]","[-75.07787322998047, 100.01311492919922, 0.1623074859380722]","[20, 25]",0.0789698760002287,10,target,holoocean_agent_proxy
30,"[20, 25]","[-75.0, 100.0]","[-75.07784271240234, 100.01310729980469, 0.16228370368480682]","[20, 25]",0.07893851520217468,10,target,holoocean_agent_proxy
31,"[25, 25]","[-75.0, 75.0]","[-74.8739013671875, 99.97834014892578, 0.16107702255249023]","[20, 25]",24.978658439969006,10,target,holoocean_agent_proxy
32,"[25, 25]","[-75.0, 75.0]","[-72.6933822631836, 91.08480834960938, 0.16187748312950134]","[22, 25]",16.249355218822053,10,target,holoocean_agent_proxy
33,"[25, 25]","[-75.0, 75.0]","[-74.15847778320312, 81.19950866699219, 0.1608715057373047]","[24, 25]",6.256362150121585,10,target,holoocean_agent_proxy
