tick_global,waypoint_index,target_row,target_col,target_x,target_y,location_x,location_y,location_z,gps_x,gps_y,gps_z,projected_row,projected_col,distance_to_target_m,arrived,timeout,algorithm_step,target_proxy_x,target_proxy_y,target_proxy_z
1,0,1,2,-190.0,195.0,-193.84017944335938,194.94984436035156,-0.02730444073677063,-193.84017944335938,194.94984436035156,-0.02730444073677063,1,1,3.840506964632204,False,False,1,-99.05584716796875,99.97669982910156,-0.029300963506102562
2,0,1,2,-190.0,195.0,-193.7979736328125,194.9453887939453,0.0021037335973232985,-193.7979736328125,194.9453887939453,0.0021037335973232985,1,1,3.798366240815349,False,False,1,-99.03990936279297,99.97608947753906,-0.0017567601753398776
3,0,1,2,-190.0,195.0,-193.75819396972656,194.9410858154297,0.0478648841381073,-193.75819396972656,194.9410858154297,0.0478648841381073,1,1,3.758655716507257,False,False,1,-99.02503967285156,99.97550964355469,0.04262329638004303
4,0,1,2,-190.0,195.0,-193.7205810546875,194.93690490722656,0.10304544866085052,-193.7205810546875,194.93690490722656,0.10304544866085052,1,1,3.7211160120629994,False,False,1,-99.01111602783203,99.97496032714844,0.09756159782409668
5,0,1,2,-190.0,195.0,-193.68495178222656,194.93280029296875,0.15988431870937347,-193.68495178222656,194.93280029296875,0.15988431870937347,1,1,3.6855644666671896,False,False,1,-98.99803924560547,99.97442626953125,0.15535679459571838
6,0,1,2,-190.0,195.0,-193.651123046875,194.9287567138672,0.21257725358009338,-193.651123046875,194.9287567138672,0.21257725358009338,1,1,3.651818055330904,False,False,1,-98.98572540283203,99.973876953125,0.20855586230754852
7,0,1,2,-190.0,195.0,-193.61892700195312,194.9247589111328,0.25502097606658936,-193.61892700195312,194.9247589111328,0.25502097606658936,1,1,3.6197090859514325,False,False,1,-98.97408294677734,99.97331237792969,0.2516283392906189
8,0,1,2,-190.0,195.0,-193.5882110595703,194.92079162597656,0.28383541107177734,-193.5882110595703,194.92079162597656,0.28383541107177734,1,1,3.5890852002339177,False,False,1,-98.96305084228516,99.97270965576172,0.2812988758087158
9,0,1,2,-190.0,195.0,-193.55885314941406,194.9168243408203,0.2999723553657532,-193.55885314941406,194.9168243408203,0.2999723553657532,1,1,3.5598249857787065,False,False,1,-98.95256042480469,99.97206115722656,0.29820266366004944
10,0,1,2,-190.0,195.0,-193.53074645996094,194.91287231445312,0.30469968914985657,-193.53074645996094,194.91287231445312,0.30469968914985657,1,1,3.531821314579129,False,False,1,-98.94255065917969,99.97135925292969,0.3036164939403534
