step,robot_pos_before,sv_world_before,target_waypoint_cell,target_waypoint_world,target_world_current,target_cell_current,target_motion_ticks,target_distance_to_waypoint_m,segment_path,next_cell,next_cell_world,sv_final_world,sv_final_projected_cell,arrived,timeout,ticks,distance_to_next_cell_m,found_count_before,found_count_after,detected_count_this_step,found_mask,find_times,remaining_intensity_mass,search_info_map_peak,search_info_map_mean,replanned,replan_reason,committed_viewpoint,committed_anchor,anchor_source,target_cell_source,target_motion_source,target_motion_mode_for_policy,viewpoint_generation_mode,path_safety_mode,clue_acquisition_mode,run_label,phase_note,world,sv_control_scheme,target_control_scheme,sv_controller_type,sv_controller_config,sv_fast_controller_enabled
1,"[1, 1]","[-192.36724853515625, 195.0]","[20, 20]","[-100.0, 100.0]","[-98.818359375, 99.95124053955078, 0.18144573271274567]","[20, 20]",10,0.9273086129285067,"[[1, 1], [1, 2], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8]]","[1, 2]","[-190.0, 195.0]","[-192.36724853515625, 195.0, 0.19999808073043823]","[1, 2]",True,False,27,2.36724853515625,0,0,0,[False],[63],0.9999999999999998,1.0,0.9148519323210821,True,initial_plan|commit_expired|segment_empty,"[37, 38]","[40, 40]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_fastsv,"Phase 3D-1 fast search-USV controller run; sv uses control_scheme=0 fast controller, target remains control_scheme=1 waypoint proxy; OpenWater, no sonar/camera.",OpenWater,0,1,fast_twin_propeller_controller,"{'MAX_FORCE': 8000.0, 'MIN_FORCE': 1500.0, 'TURN_GAIN': 0.8, 'DIST_SLOW_RADIUS_M': 8.0, 'SV_ARRIVAL_RADIUS_M': 2.5, 'MAX_TICKS_PER_CELL': 400}",True
2,"[1, 2]","[-189.68128967285156, 192.44235229492188]","[20, 20]","[-100.0, 100.0]","[-98.6041488647461, 99.58124542236328, 0.17870783805847168]","[20, 20]",10,1.253060445021456,"[[1, 2], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8]]","[2, 2]","[-190.0, 190.0]","[-189.68128967285156, 192.44235229492188, 0.21336661279201508]","[2, 2]",True,False,57,2.4630592776344655,0,0,0,[False],[63],1.0,1.0,0.9420469965839596,False,none,"[37, 38]","[40, 40]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_fastsv,"Phase 3D-1 fast search-USV controller run; sv uses control_scheme=0 fast controller, target remains control_scheme=1 waypoint proxy; OpenWater, no sonar/camera.",OpenWater,0,1,fast_twin_propeller_controller,"{'MAX_FORCE': 8000.0, 'MIN_FORCE': 1500.0, 'TURN_GAIN': 0.8, 'DIST_SLOW_RADIUS_M': 8.0, 'SV_ARRIVAL_RADIUS_M': 2.5, 'MAX_TICKS_PER_CELL': 400}",True
3,"[2, 2]","[-187.4134979248047, 190.03392028808594]","[20, 20]","[-100.0, 100.0]","[-99.0197525024414, 99.42420196533203, 0.16968263685703278]","[20, 20]",10,1.4434964609675671,"[[2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8]]","[2, 3]","[-185.0, 190.0]","[-187.4134979248047, 190.03392028808594, 0.23204189538955688]","[2, 3]",True,False,66,2.4137362778440328,0,0,0,[False],[63],1.0,1.0,0.9405179007166709,False,none,"[37, 38]","[40, 40]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_fastsv,"Phase 3D-1 fast search-USV controller run; sv uses control_scheme=0 fast controller, target remains control_scheme=1 waypoint proxy; OpenWater, no sonar/camera.",OpenWater,0,1,fast_twin_propeller_controller,"{'MAX_FORCE': 8000.0, 'MIN_FORCE': 1500.0, 'TURN_GAIN': 0.8, 'DIST_SLOW_RADIUS_M': 8.0, 'SV_ARRIVAL_RADIUS_M': 2.5, 'MAX_TICKS_PER_CELL': 400}",True
4,"[2, 3]","[-182.0839080810547, 191.33270263671875]","[20, 20]","[-100.0, 100.0]","[-99.30484771728516, 99.58931732177734, 0.16478928923606873]","[20, 20]",10,1.0788057533785576,"[[2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8]]","[2, 4]","[-180.0, 190.0]","[-182.0839080810547, 191.33270263671875, 0.2054462879896164]","[2, 4]",True,False,62,2.47361460381405,0,0,0,[False],[63],0.9999999999999999,1.0,0.9384408981080699,False,none,"[37, 38]","[40, 40]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_fastsv,"Phase 3D-1 fast search-USV controller run; sv uses control_scheme=0 fast controller, target remains control_scheme=1 waypoint proxy; OpenWater, no sonar/camera.",OpenWater,0,1,fast_twin_propeller_controller,"{'MAX_FORCE': 8000.0, 'MIN_FORCE': 1500.0, 'TURN_GAIN': 0.8, 'DIST_SLOW_RADIUS_M': 8.0, 'SV_ARRIVAL_RADIUS_M': 2.5, 'MAX_TICKS_PER_CELL': 400}",True
5,"[2, 4]","[-177.3548583984375, 189.28451538085938]","[20, 20]","[-100.0, 100.0]","[-99.48101806640625, 99.71190643310547, 0.16551350057125092]","[20, 20]",10,0.7670327664419884,"[[2, 4], [2, 5], [2, 6], [2, 7], [2, 8]]","[2, 5]","[-175.0, 190.0]","[-177.3548583984375, 189.28451538085938, 0.18232737481594086]","[2, 5]",True,False,57,2.461153452533676,0,0,0,[False],[63],1.0000000000000002,1.0,0.9235897311520895,False,none,"[37, 38]","[40, 40]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_fastsv,"Phase 3D-1 fast search-USV controller run; sv uses control_scheme=0 fast controller, target remains control_scheme=1 waypoint proxy; OpenWater, no sonar/camera.",OpenWater,0,1,fast_twin_propeller_controller,"{'MAX_FORCE': 8000.0, 'MIN_FORCE': 1500.0, 'TURN_GAIN': 0.8, 'DIST_SLOW_RADIUS_M': 8.0, 'SV_ARRIVAL_RADIUS_M': 2.5, 'MAX_TICKS_PER_CELL': 400}",True
6,"[2, 5]","[-172.31251525878906, 190.912353515625]","[20, 20]","[-100.0, 100.0]","[-99.61779022216797, 99.797119140625, 0.16714830696582794]","[20, 20]",10,0.5649851837790446,"[[2, 5], [2, 6], [2, 7], [2, 8], [2, 9], [2, 10], [2, 11], [2, 12], [2, 13]]","[2, 6]","[-170.0, 190.0]","[-172.31251525878906, 190.912353515625, 0.18332809209823608]","[2, 6]",True,False,62,2.485983861493381,0,0,0,[False],[63],1.0000000000000002,1.0,0.936571742650439,True,commit_expired,"[38, 39]","[41, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_fastsv,"Phase 3D-1 fast search-USV controller run; sv uses control_scheme=0 fast controller, target remains control_scheme=1 waypoint proxy; OpenWater, no sonar/camera.",OpenWater,0,1,fast_twin_propeller_controller,"{'MAX_FORCE': 8000.0, 'MIN_FORCE': 1500.0, 'TURN_GAIN': 0.8, 'DIST_SLOW_RADIUS_M': 8.0, 'SV_ARRIVAL_RADIUS_M': 2.5, 'MAX_TICKS_PER_CELL': 400}",True
7,"[2, 6]","[-167.2755584716797, 189.08763122558594]","[20, 20]","[-100.0, 100.0]","[-99.71543884277344, 99.8495101928711, 0.16567473113536835]","[20, 20]",10,0.4129964453819789,"[[2, 6], [2, 7], [2, 8], [2, 9], [2, 10], [2, 11], [2, 12], [2, 13]]","[2, 7]","[-165.0, 190.0]","[-167.2755584716797, 189.08763122558594, 0.16961205005645752]","[2, 7]",True,False,62,2.451649065131267,0,0,0,[False],[63],0.9999999999999997,1.0,0.9349222335731657,False,none,"[38, 39]","[41, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_fastsv,"Phase 3D-1 fast search-USV controller run; sv uses control_scheme=0 fast controller, target remains control_scheme=1 waypoint proxy; OpenWater, no sonar/camera.",OpenWater,0,1,fast_twin_propeller_controller,"{'MAX_FORCE': 8000.0, 'MIN_FORCE': 1500.0, 'TURN_GAIN': 0.8, 'DIST_SLOW_RADIUS_M': 8.0, 'SV_ARRIVAL_RADIUS_M': 2.5, 'MAX_TICKS_PER_CELL': 400}",True
8,"[2, 7]","[-162.31390380859375, 190.85293579101562]","[20, 20]","[-100.0, 100.0]","[-99.7815933227539, 99.88370513916016, 0.16500568389892578]","[20, 20]",10,0.308334822915588,"[[2, 7], [2, 8], [2, 9], [2, 10], [2, 11], [2, 12], [2, 13]]","[2, 8]","[-160.0, 190.0]","[-162.31390380859375, 190.85293579101562, 0.18035836517810822]","[2, 8]",True,False,60,2.466100220798034,0,0,0,[False],[63],1.0,1.0,0.9339342512787149,False,none,"[38, 39]","[41, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_fastsv,"Phase 3D-1 fast search-USV controller run; sv uses control_scheme=0 fast controller, target remains control_scheme=1 waypoint proxy; OpenWater, no sonar/camera.",OpenWater,0,1,fast_twin_propeller_controller,"{'MAX_FORCE': 8000.0, 'MIN_FORCE': 1500.0, 'TURN_GAIN': 0.8, 'DIST_SLOW_RADIUS_M': 8.0, 'SV_ARRIVAL_RADIUS_M': 2.5, 'MAX_TICKS_PER_CELL': 400}",True
9,"[2, 8]","[-157.2569122314453, 189.0916748046875]","[20, 20]","[-100.0, 100.0]","[-99.82835388183594, 99.90847778320312, 0.16474157571792603]","[20, 20]",10,0.23801649199965638,"[[2, 8], [2, 9], [2, 10], [2, 11], [2, 12], [2, 13]]","[2, 9]","[-155.0, 190.0]","[-157.2569122314453, 189.0916748046875, 0.16949129104614258]","[2, 9]",True,False,62,2.432839386578356,0,0,0,[False],[63],1.0000000000000002,1.0,0.9328141684101805,False,none,"[38, 39]","[41, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_fastsv,"Phase 3D-1 fast search-USV controller run; sv uses control_scheme=0 fast controller, target remains control_scheme=1 waypoint proxy; OpenWater, no sonar/camera.",OpenWater,0,1,fast_twin_propeller_controller,"{'MAX_FORCE': 8000.0, 'MIN_FORCE': 1500.0, 'TURN_GAIN': 0.8, 'DIST_SLOW_RADIUS_M': 8.0, 'SV_ARRIVAL_RADIUS_M': 2.5, 'MAX_TICKS_PER_CELL': 400}",True
10,"[2, 9]","[-152.25531005859375, 190.88101196289062]","[20, 20]","[-100.0, 100.0]","[-99.86006927490234, 99.92535400390625, 0.165038600564003]","[20, 20]",10,0.1880470731998258,"[[2, 9], [2, 10], [2, 11], [2, 12], [2, 13]]","[2, 10]","[-150.0, 190.0]","[-152.25531005859375, 190.88101196289062, 0.17810772359371185]","[2, 10]",True,False,61,2.4212817967247298,0,0,0,[False],[63],1.0000000000000002,1.0,0.9304620347220269,False,none,"[38, 39]","[41, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_fastsv,"Phase 3D-1 fast search-USV controller run; sv uses control_scheme=0 fast controller, target remains control_scheme=1 waypoint proxy; OpenWater, no sonar/camera.",OpenWater,0,1,fast_twin_propeller_controller,"{'MAX_FORCE': 8000.0, 'MIN_FORCE': 1500.0, 'TURN_GAIN': 0.8, 'DIST_SLOW_RADIUS_M': 8.0, 'SV_ARRIVAL_RADIUS_M': 2.5, 'MAX_TICKS_PER_CELL': 400}",True
