step,target_waypoint_cell,target_waypoint_world,target_world_observed,target_cell_observed,target_distance_to_waypoint_m,target_ticks_this_step,target_proxy_agent_name,target_motion_source
1,"[20, 20]","[-100.0, 100.0]","[-99.07296752929688, 99.97737121582031, -0.03684939071536064]","[20, 20]",0.9273086129285067,10,target,holoocean_agent_proxy
2,"[20, 20]","[-100.0, 100.0]","[-98.7492904663086, 99.92327880859375, 0.1408313363790512]","[20, 20]",1.253060445021456,10,target,holoocean_agent_proxy
3,"[20, 20]","[-100.0, 100.0]","[-98.6419906616211, 99.5106201171875, 0.175270676612854]","[20, 20]",1.4434964609675671,10,target,holoocean_agent_proxy
4,"[20, 20]","[-100.0, 100.0]","[-99.07418060302734, 99.44621276855469, 0.1694011688232422]","[20, 20]",1.0788057533785576,10,target,holoocean_agent_proxy
5,"[20, 20]","[-100.0, 100.0]","[-99.33790588378906, 99.61273956298828, 0.16615837812423706]","[20, 20]",0.7670327664419884,10,target,holoocean_agent_proxy
6,"[20, 20]","[-100.0, 100.0]","[-99.50495147705078, 99.72772216796875, 0.16533084213733673]","[20, 20]",0.5649851837790446,10,target,holoocean_agent_proxy
7,"[20, 20]","[-100.0, 100.0]","[-99.63497924804688, 99.80680084228516, 0.16622264683246613]","[20, 20]",0.4129964453819789,10,target,holoocean_agent_proxy
8,"[20, 20]","[-100.0, 100.0]","[-99.72750854492188, 99.855712890625, 0.16547313332557678]","[20, 20]",0.308334822915588,10,target,holoocean_agent_proxy
9,"[20, 20]","[-100.0, 100.0]","[-99.78993225097656, 99.88809204101562, 0.16543905436992645]","[20, 20]",0.23801649199965638,10,target,holoocean_agent_proxy
10,"[20, 20]","[-100.0, 100.0]","[-99.83406829833984, 99.9115219116211, 0.16482654213905334]","[20, 20]",0.1880470731998258,10,target,holoocean_agent_proxy
11,"[20, 20]","[-100.0, 100.0]","[-99.864013671875, 99.92745208740234, 0.16513988375663757]","[20, 20]",0.15412813195259759,10,target,holoocean_agent_proxy
12,"[20, 20]","[-100.0, 100.0]","[-99.8846435546875, 99.9384765625, 0.16520589590072632]","[20, 20]",0.1307373046875,10,target,holoocean_agent_proxy
13,"[20, 20]","[-100.0, 100.0]","[-99.89886474609375, 99.94607543945312, 0.16526532173156738]","[20, 20]",0.1146132532164376,10,target,holoocean_agent_proxy
14,"[20, 20]","[-100.0, 100.0]","[-99.9086685180664, 99.95130157470703, 0.16530373692512512]","[20, 20]",0.10350350824103123,10,target,holoocean_agent_proxy
15,"[20, 20]","[-100.0, 100.0]","[-99.9154281616211, 99.95490264892578, 0.1652514636516571]","[20, 20]",0.09584449342919592,10,target,holoocean_agent_proxy
16,"[20, 25]","[-75.0, 100.0]","[-100.10220336914062, 100.05496978759766, 0.16421988606452942]","[20, 20]",25.102263556564843,10,target,holoocean_agent_proxy
17,"[20, 25]","[-75.0, 100.0]","[-101.93988037109375, 102.63968658447266, 0.16476504504680634]","[19, 20]",27.068895427650666,10,target,holoocean_agent_proxy
18,"[20, 25]","[-75.0, 100.0]","[-99.47452545166016, 104.60478973388672, 0.18140166997909546]","[19, 20]",24.903945160903106,10,target,holoocean_agent_proxy
19,"[20, 25]","[-75.0, 100.0]","[-96.04423522949219, 103.89006805419922, 0.1692158430814743]","[19, 21]",21.400758534699218,10,target,holoocean_agent_proxy
20,"[20, 25]","[-75.0, 100.0]","[-92.62940216064453, 102.98346710205078, 0.1645742505788803]","[19, 21]",17.88006981224507,10,target,holoocean_agent_proxy
21,"[20, 25]","[-75.0, 100.0]","[-89.14972686767578, 102.34148406982422, 0.16798904538154602]","[20, 22]",14.34215179389294,10,target,holoocean_agent_proxy
22,"[20, 25]","[-75.0, 100.0]","[-85.65343475341797, 101.77767944335938, 0.16482867300510406]","[20, 23]",10.800732208914184,10,target,holoocean_agent_proxy
23,"[20, 25]","[-75.0, 100.0]","[-82.42558288574219, 101.2486801147461, 0.16557197272777557]","[20, 24]",7.529839521662437,10,target,holoocean_agent_proxy
24,"[20, 25]","[-75.0, 100.0]","[-80.13695526123047, 100.86503601074219, 0.16537700593471527]","[20, 24]",5.209279859612473,10,target,holoocean_agent_proxy
25,"[20, 25]","[-75.0, 100.0]","[-78.56079864501953, 100.59931182861328, 0.16495752334594727]","[20, 24]",3.6108810086028487,10,target,holoocean_agent_proxy
26,"[20, 25]","[-75.0, 100.0]","[-77.47543334960938, 100.41650390625, 0.16513784229755402]","[20, 25]",2.5102282311136173,10,target,holoocean_agent_proxy
27,"[20, 25]","[-75.0, 100.0]","[-76.72815704345703, 100.2907485961914, 0.1651434451341629]","[20, 25]",1.7524444393581842,10,target,holoocean_agent_proxy
28,"[20, 25]","[-75.0, 100.0]","[-76.21372985839844, 100.2042007446289, 0.16519439220428467]","[20, 25]",1.230787598765478,10,target,holoocean_agent_proxy
29,"[20, 25]","[-75.0, 100.0]","[-75.85962677001953, 100.1446304321289, 0.16525690257549286]","[20, 25]",0.8717087504619913,10,target,holoocean_agent_proxy
30,"[20, 25]","[-75.0, 100.0]","[-75.61589813232422, 100.10362243652344, 0.16529524326324463]","[20, 25]",0.6245543361081681,10,target,holoocean_agent_proxy
31,"[25, 25]","[-75.0, 75.0]","[-75.25215148925781, 100.04199981689453, 0.16410718858242035]","[20, 25]",25.043269259481292,10,target,holoocean_agent_proxy
32,"[25, 25]","[-75.0, 75.0]","[-72.54244232177734, 98.25880432128906, 0.16464082896709442]","[20, 25]",23.388278435956032,10,target,holoocean_agent_proxy
33,"[25, 25]","[-75.0, 75.0]","[-72.23185729980469, 94.8062744140625, 0.16981148719787598]","[21, 26]",19.99877796701067,10,target,holoocean_agent_proxy
34,"[25, 25]","[-75.0, 75.0]","[-72.91626739501953, 91.33721160888672, 0.16536134481430054]","[22, 25]",16.469560550379043,10,target,holoocean_agent_proxy
35,"[25, 25]","[-75.0, 75.0]","[-73.47606658935547, 87.84278106689453, 0.16720546782016754]","[22, 25]",12.93288052106967,10,target,holoocean_agent_proxy
36,"[25, 25]","[-75.0, 75.0]","[-73.89900970458984, 84.33465576171875, 0.16533523797988892]","[23, 25]",9.399360500607283,10,target,holoocean_agent_proxy
37,"[25, 25]","[-75.0, 75.0]","[-74.23043823242188, 81.45638275146484, 0.16565264761447906]","[24, 25]",6.502084554012714,10,target,holoocean_agent_proxy
38,"[25, 25]","[-75.0, 75.0]","[-74.46473693847656, 79.46939086914062, 0.16530458629131317]","[24, 25]",4.501328835598332,10,target,holoocean_agent_proxy
39,"[25, 25]","[-75.0, 75.0]","[-74.6340560913086, 78.05388641357422, 0.16502149403095245]","[24, 25]",3.0757335988868655,10,target,holoocean_agent_proxy
40,"[25, 25]","[-75.0, 75.0]","[-74.74531555175781, 77.12659454345703, 0.1651228368282318]","[25, 25]",2.1417909609571253,10,target,holoocean_agent_proxy
41,"[25, 25]","[-75.0, 75.0]","[-74.82091522216797, 76.49562072753906, 0.16518017649650574]","[25, 25]",1.5063043245956718,10,target,holoocean_agent_proxy
42,"[25, 25]","[-75.0, 75.0]","[-74.8725814819336, 76.06415557861328, 0.16526004672050476]","[25, 25]",1.0717567700929191,10,target,holoocean_agent_proxy
43,"[25, 25]","[-75.0, 75.0]","[-74.91022491455078, 75.74974060058594, 0.16530732810497284]","[25, 25]",0.7550963740704737,10,target,holoocean_agent_proxy
44,"[25, 25]","[-75.0, 75.0]","[-74.93499755859375, 75.5428695678711, 0.16527855396270752]","[25, 25]",0.5467473686350224,10,target,holoocean_agent_proxy
