tick_global,waypoint_index,target_row,target_col,target_x,target_y,location_x,location_y,location_z,gps_x,gps_y,gps_z,projected_row,projected_col,distance_to_target_m,arrived,timeout,algorithm_step,target_proxy_x,target_proxy_y,target_proxy_z,sv_command_0,sv_command_1,sv_heading_deg,sv_target_heading_deg,sv_heading_error_deg,sv_control_scheme,target_control_scheme
1,0,1,2,-190.0,195.0,-195.0,195.0,-0.02680886536836624,-195.0,195.0,-0.02680886536836624,1,1,5.0,False,False,1,-99.07296752929688,99.97737121582031,-0.03684939071536064,5562.5,5562.5,0.0,0.0,0.0,0,1
2,0,1,2,-190.0,195.0,-194.98500061035156,195.0,-0.017059173434972763,-194.98500061035156,195.0,-0.017059173434972763,1,1,4.9850006103515625,False,False,1,-99.05584716796875,99.97669982910156,-0.031322553753852844,5550.3129959106445,5550.3129959106445,0.0,0.0,0.0,0,1
3,0,1,2,-190.0,195.0,-194.9564971923828,195.0,0.014782077632844448,-194.9564971923828,195.0,0.014782077632844448,1,1,4.9564971923828125,False,False,1,-99.03990936279297,99.97608184814453,-0.0032234173268079758,5527.153968811035,5527.153968811035,0.0,0.0,0.0,0,1
4,0,1,2,-190.0,195.0,-194.91586303710938,195.0,0.06273234635591507,-194.91586303710938,195.0,0.06273234635591507,1,1,4.915863037109375,False,False,1,-99.02503204345703,99.97550964355469,0.04194970056414604,5494.138717651367,5494.138717651367,0.0,0.0,0.0,0,1
5,0,1,2,-190.0,195.0,-194.86431884765625,195.0,0.11929169297218323,-194.86431884765625,195.0,0.11929169297218323,1,1,4.86431884765625,False,False,1,-99.01111602783203,99.97496032714844,0.09701364487409592,5452.259063720703,5452.259063720703,0.0,0.0,0.0,0,1
6,0,1,2,-190.0,195.0,-194.8029327392578,195.0,0.1761324554681778,-194.8029327392578,195.0,0.1761324554681778,1,1,4.8029327392578125,False,False,1,-98.99803924560547,99.97442626953125,0.15427570044994354,5402.382850646973,5402.382850646973,0.0,0.0,0.0,0,1
7,0,1,2,-190.0,195.0,-194.7327117919922,195.0,0.22694221138954163,-194.7327117919922,195.0,0.22694221138954163,1,1,4.7327117919921875,False,False,1,-98.98572540283203,99.973876953125,0.20728881657123566,5345.328330993652,5345.328330993652,0.0,0.0,0.0,0,1
8,0,1,2,-190.0,195.0,-194.65451049804688,195.0,0.2654550075531006,-194.65451049804688,195.0,0.2654550075531006,1,1,4.654510498046875,False,False,1,-98.97408294677734,99.97331237792969,0.25013524293899536,5281.789779663086,5281.789779663086,0.0,0.0,0.0,0,1
9,0,1,2,-190.0,195.0,-194.5691375732422,195.0,0.2903169095516205,-194.5691375732422,195.0,0.2903169095516205,1,1,4.5691375732421875,False,False,1,-98.96305084228516,99.97270965576172,0.27983736991882324,5212.424278259277,5212.424278259277,0.0,0.0,0.0,0,1
10,0,1,2,-190.0,195.0,-194.477294921875,195.0,0.3028930127620697,-194.477294921875,195.0,0.3028930127620697,1,1,4.477294921875,False,False,1,-98.95256042480469,99.97206115722656,0.2967695891857147,5137.8021240234375,5137.8021240234375,0.0,0.0,0.0,0,1
11,0,1,2,-190.0,195.0,-194.379638671875,195.0,0.3044118881225586,-194.379638671875,195.0,0.3044118881225586,1,1,4.379638671875,False,False,1,-98.94255065917969,99.97135925292969,0.3022090196609497,5058.4564208984375,5058.4564208984375,0.0,0.0,0.0,0,1
12,0,1,2,-190.0,195.0,-194.27674865722656,195.0,0.29597926139831543,-194.27674865722656,195.0,0.29597926139831543,1,1,4.2767486572265625,False,False,1,-98.93296813964844,99.97061157226562,0.29730507731437683,4974.858283996582,4974.858283996582,0.0,0.0,0.0,0,1
13,0,1,2,-190.0,195.0,-194.16915893554688,195.0,0.2785903215408325,-194.16915893554688,195.0,0.2785903215408325,1,1,4.169158935546875,False,False,1,-98.92377471923828,99.96979522705078,0.2830922603607178,4887.441635131836,4887.441635131836,0.0,0.0,0.0,0,1
14,0,1,2,-190.0,195.0,-194.05731201171875,195.0,0.2531406283378601,-194.05731201171875,195.0,0.2531406283378601,1,1,4.05731201171875,False,False,1,-98.91493225097656,99.96891021728516,0.2605016827583313,4796.566009521484,4796.566009521484,0.0,0.0,0.0,0,1
15,0,1,2,-190.0,195.0,-193.94166564941406,195.0,0.22043631970882416,-193.94166564941406,195.0,0.22043631970882416,1,1,3.9416656494140625,False,False,1,-98.9063949584961,99.96796417236328,0.2310769110918045,4702.603340148926,4702.603340148926,0.0,0.0,0.0,0,1
16,0,1,2,-190.0,195.0,-193.8225860595703,195.0,0.18491151928901672,-193.8225860595703,195.0,0.18491151928901672,1,1,3.8225860595703125,False,False,1,-98.89813232421875,99.9669418334961,0.1971483826637268,4605.851173400879,4605.851173400879,0.0,0.0,0.0,0,1
17,0,1,2,-190.0,195.0,-193.70046997070312,195.0,0.15132348239421844,-193.70046997070312,195.0,0.15132348239421844,1,1,3.700469970703125,False,False,1,-98.89010620117188,99.96585083007812,0.16287226974964142,4506.631851196289,4506.631851196289,0.0,0.0,0.0,0,1
18,0,1,2,-190.0,195.0,-193.5756072998047,195.0,0.12271619588136673,-193.5756072998047,195.0,0.12271619588136673,1,1,3.5756072998046875,False,False,1,-98.8823013305664,99.96469116210938,0.13240069150924683,4405.180931091309,4405.180931091309,0.0,0.0,0.0,0,1
19,0,1,2,-190.0,195.0,-193.44830322265625,195.0,0.10247451066970825,-193.44830322265625,195.0,0.10247451066970825,1,1,3.44830322265625,False,False,1,-98.87468719482422,99.9634780883789,0.1084107831120491,4301.746368408203,4301.746368408203,0.0,0.0,0.0,0,1
20,0,1,2,-190.0,195.0,-193.31883239746094,195.0,0.09258148819208145,-193.31883239746094,195.0,0.09258148819208145,1,1,3.3188323974609375,False,False,1,-98.86724090576172,99.96219635009766,0.09278173744678497,4196.551322937012,4196.551322937012,0.0,0.0,0.0,0,1
