step,target_waypoint_cell,target_waypoint_world,target_world_observed,target_cell_observed,target_distance_to_waypoint_m,target_ticks_this_step,target_proxy_agent_name,target_motion_source
1,"[20, 20]","[-100.0, 100.0]","[-99.0729751586914, 99.97738647460938, -0.02492348477244377]","[20, 20]",0.9273006135735142,10,target,holoocean_agent_proxy
2,"[20, 20]","[-100.0, 100.0]","[-98.59104919433594, 99.63908386230469, 0.19137199223041534]","[20, 20]",1.4544424468607593,10,target,holoocean_agent_proxy
3,"[20, 20]","[-100.0, 100.0]","[-99.39085388183594, 99.65007781982422, 0.17395594716072083]","[20, 20]",0.7024987725635667,10,target,holoocean_agent_proxy
4,"[20, 20]","[-100.0, 100.0]","[-99.74091339111328, 99.86259460449219, 0.17779436707496643]","[20, 20]",0.2932679894210719,10,target,holoocean_agent_proxy
5,"[20, 20]","[-100.0, 100.0]","[-99.86967468261719, 99.93047332763672, 0.17850136756896973]","[20, 20]",0.14771136219276385,10,target,holoocean_agent_proxy
6,"[20, 20]","[-100.0, 100.0]","[-99.91083526611328, 99.95245361328125, 0.17822985351085663]","[20, 20]",0.10104953566987973,10,target,holoocean_agent_proxy
7,"[20, 20]","[-100.0, 100.0]","[-99.92408752441406, 99.95951843261719, 0.17816531658172607]","[20, 20]",0.08603174557891259,10,target,holoocean_agent_proxy
8,"[20, 20]","[-100.0, 100.0]","[-99.92835235595703, 99.9617919921875, 0.1781480312347412]","[20, 20]",0.0811987484996414,10,target,holoocean_agent_proxy
9,"[20, 20]","[-100.0, 100.0]","[-99.9297103881836, 99.96251678466797, 0.17814749479293823]","[20, 20]",0.07965940597900853,10,target,holoocean_agent_proxy
10,"[20, 20]","[-100.0, 100.0]","[-99.93014526367188, 99.96275329589844, 0.17814700305461884]","[20, 20]",0.07916439322006592,10,target,holoocean_agent_proxy
11,"[20, 20]","[-100.0, 100.0]","[-99.93029022216797, 99.96282958984375, 0.17817609012126923]","[20, 20]",0.07900058554577306,10,target,holoocean_agent_proxy
12,"[20, 20]","[-100.0, 100.0]","[-99.93033599853516, 99.96285247802734, 0.17811644077301025]","[20, 20]",0.07894942361285946,10,target,holoocean_agent_proxy
13,"[20, 20]","[-100.0, 100.0]","[-99.93034362792969, 99.96286010742188, 0.1781715452671051]","[20, 20]",0.07893910178556933,10,target,holoocean_agent_proxy
