tick_global,waypoint_index,target_row,target_col,target_x,target_y,location_x,location_y,location_z,gps_x,gps_y,gps_z,projected_row,projected_col,distance_to_target_m,arrived,timeout,algorithm_step,target_proxy_x,target_proxy_y,target_proxy_z
1,0,1,2,-190.0,195.0,-193.8401641845703,194.9498291015625,-0.0315338559448719,-193.8401641845703,194.9498291015625,-0.0315338559448719,1,1,3.8404919064498233,False,False,1,-99.05584716796875,99.97671508789062,-0.017002681270241737
2,0,1,2,-190.0,195.0,-193.7979736328125,194.9453887939453,-0.002349086105823517,-193.7979736328125,194.9453887939453,-0.002349086105823517,1,1,3.798366240815349,False,False,1,-99.03990936279297,99.97610473632812,0.012662588618695736
3,0,1,2,-190.0,195.0,-193.7581787109375,194.9410858154297,0.04315236583352089,-193.7581787109375,194.9410858154297,0.04315236583352089,1,1,3.758640459592728,False,False,1,-99.02503967285156,99.97552490234375,0.058950506150722504
4,0,1,2,-190.0,195.0,-193.7205810546875,194.9368896484375,0.09827562421560287,-193.7205810546875,194.9368896484375,0.09827562421560287,1,1,3.7211162708216863,False,False,1,-99.01111602783203,99.97498321533203,0.11454696953296661
5,0,1,2,-190.0,195.0,-193.68495178222656,194.93280029296875,0.15565024316310883,-193.68495178222656,194.93280029296875,0.15565024316310883,1,1,3.6855644666671896,False,False,1,-98.998046875,99.97444152832031,0.17252293229103088
6,0,1,2,-190.0,195.0,-193.65110778808594,194.9287567138672,0.20829662680625916,-193.65110778808594,194.9287567138672,0.20829662680625916,1,1,3.6518027994458833,False,False,1,-98.98572540283203,99.9738998413086,0.22553221881389618
7,0,1,2,-190.0,195.0,-193.61891174316406,194.9247589111328,0.25011107325553894,-193.61891174316406,194.9247589111328,0.25011107325553894,1,1,3.6196938304592385,False,False,1,-98.97409057617188,99.97332763671875,0.26649534702301025
8,0,1,2,-190.0,195.0,-193.5882110595703,194.9207763671875,0.27877044677734375,-193.5882110595703,194.9207763671875,0.27877044677734375,1,1,3.589085537016179,False,False,1,-98.96305847167969,99.97271728515625,0.2937386631965637
9,0,1,2,-190.0,195.0,-193.55885314941406,194.9168243408203,0.2947678565979004,-193.55885314941406,194.9168243408203,0.2947678565979004,1,1,3.5598249857787065,False,False,1,-98.95256805419922,99.9720687866211,0.3084579408168793
10,0,1,2,-190.0,195.0,-193.53073120117188,194.91287231445312,0.29936960339546204,-193.53073120117188,194.91287231445312,0.29936960339546204,1,1,3.5318060604338606,False,False,1,-98.94255828857422,99.97136688232422,0.31190571188926697
