step,target_waypoint_cell,target_waypoint_world,target_world_observed,target_cell_observed,target_distance_to_waypoint_m,target_ticks_this_step,target_proxy_agent_name,target_motion_source
1,"[20, 20]","[-100.0, 100.0]","[-99.0729751586914, 99.97737884521484, -0.03064831718802452]","[20, 20]",0.9273007996583619,10,target,holoocean_agent_proxy
2,"[20, 20]","[-100.0, 100.0]","[-98.591064453125, 99.63906860351562, 0.17553670704364777]","[20, 20]",1.4544314518794332,10,target,holoocean_agent_proxy
3,"[20, 20]","[-100.0, 100.0]","[-99.39085388183594, 99.65007781982422, 0.16282683610916138]","[20, 20]",0.7024987725635667,10,target,holoocean_agent_proxy
4,"[20, 20]","[-100.0, 100.0]","[-99.74091339111328, 99.86260223388672, 0.1610063910484314]","[20, 20]",0.2932644148841443,10,target,holoocean_agent_proxy
5,"[20, 20]","[-100.0, 100.0]","[-99.86967468261719, 99.93047332763672, 0.160853311419487]","[20, 20]",0.14771136219276385,10,target,holoocean_agent_proxy
6,"[20, 20]","[-100.0, 100.0]","[-99.91083526611328, 99.95245361328125, 0.1611728072166443]","[20, 20]",0.10104953566987973,10,target,holoocean_agent_proxy
7,"[20, 20]","[-100.0, 100.0]","[-99.92408752441406, 99.95951843261719, 0.16135849058628082]","[20, 20]",0.08603174557891259,10,target,holoocean_agent_proxy
8,"[20, 20]","[-100.0, 100.0]","[-99.92835235595703, 99.9617919921875, 0.16137751936912537]","[20, 20]",0.0811987484996414,10,target,holoocean_agent_proxy
9,"[20, 20]","[-100.0, 100.0]","[-99.9297103881836, 99.96251678466797, 0.16113023459911346]","[20, 20]",0.07965940597900853,10,target,holoocean_agent_proxy
10,"[20, 20]","[-100.0, 100.0]","[-99.93014526367188, 99.96275329589844, 0.16134430468082428]","[20, 20]",0.07916439322006592,10,target,holoocean_agent_proxy
11,"[20, 20]","[-100.0, 100.0]","[-99.93029022216797, 99.96282958984375, 0.16135773062705994]","[20, 20]",0.07900058554577306,10,target,holoocean_agent_proxy
12,"[20, 20]","[-100.0, 100.0]","[-99.93033599853516, 99.96285247802734, 0.16121087968349457]","[20, 20]",0.07894942361285946,10,target,holoocean_agent_proxy
13,"[20, 20]","[-100.0, 100.0]","[-99.93034362792969, 99.96286010742188, 0.1613190472126007]","[20, 20]",0.07893910178556933,10,target,holoocean_agent_proxy
14,"[20, 20]","[-100.0, 100.0]","[-99.93035125732422, 99.96286010742188, 0.16119927167892456]","[20, 20]",0.07893236964029306,10,target,holoocean_agent_proxy
15,"[20, 20]","[-100.0, 100.0]","[-99.93035125732422, 99.96286010742188, 0.16126090288162231]","[20, 20]",0.07893236964029306,10,target,holoocean_agent_proxy
16,"[20, 20]","[-100.0, 100.0]","[-99.93035125732422, 99.96286010742188, 0.16125014424324036]","[20, 20]",0.07893236964029306,10,target,holoocean_agent_proxy
17,"[20, 20]","[-100.0, 100.0]","[-99.93035125732422, 99.96286010742188, 0.1613016128540039]","[20, 20]",0.07893236964029306,10,target,holoocean_agent_proxy
18,"[20, 20]","[-100.0, 100.0]","[-99.93035125732422, 99.96286010742188, 0.1611301749944687]","[20, 20]",0.07893236964029306,10,target,holoocean_agent_proxy
19,"[20, 20]","[-100.0, 100.0]","[-99.93035125732422, 99.96286010742188, 0.16132928431034088]","[20, 20]",0.07893236964029306,10,target,holoocean_agent_proxy
20,"[20, 20]","[-100.0, 100.0]","[-99.93035125732422, 99.96286010742188, 0.16130000352859497]","[20, 20]",0.07893236964029306,10,target,holoocean_agent_proxy
21,"[20, 25]","[-75.0, 100.0]","[-100.11270141601562, 100.0605697631836, 0.16118378937244415]","[20, 20]",25.112774460544284,10,target,holoocean_agent_proxy
22,"[20, 25]","[-75.0, 100.0]","[-95.86431884765625, 103.8370590209961, 0.16380497813224792]","[19, 21]",21.214212757188783,10,target,holoocean_agent_proxy
23,"[20, 25]","[-75.0, 100.0]","[-85.31938934326172, 101.7253189086914, 0.16088064014911652]","[20, 23]",10.462624993495258,10,target,holoocean_agent_proxy
24,"[20, 25]","[-75.0, 100.0]","[-78.36881256103516, 100.56746673583984, 0.1607343554496765]","[20, 24]",3.4162723204792935,10,target,holoocean_agent_proxy
25,"[20, 25]","[-75.0, 100.0]","[-76.13426971435547, 100.19100952148438, 0.16112487018108368]","[20, 25]",1.1502401584894029,10,target,holoocean_agent_proxy
26,"[20, 25]","[-75.0, 100.0]","[-75.41506958007812, 100.06990051269531, 0.16124968230724335]","[20, 25]",0.4209142881648217,10,target,holoocean_agent_proxy
27,"[20, 25]","[-75.0, 100.0]","[-75.18604278564453, 100.03132629394531, 0.16125193238258362]","[20, 25]",0.18866174700432817,10,target,holoocean_agent_proxy
28,"[20, 25]","[-75.0, 100.0]","[-75.11237335205078, 100.0189208984375, 0.1612577885389328]","[20, 25]",0.11395512559253758,10,target,holoocean_agent_proxy
29,"[20, 25]","[-75.0, 100.0]","[-75.08891296386719, 100.01497650146484, 0.16129468381404877]","[20, 25]",0.09016546312072188,10,target,holoocean_agent_proxy
30,"[20, 25]","[-75.0, 100.0]","[-75.08136749267578, 100.01370239257812, 0.16127145290374756]","[20, 25]",0.08251317729131735,10,target,holoocean_agent_proxy
31,"[20, 25]","[-75.0, 100.0]","[-75.07896423339844, 100.01329803466797, 0.1613197922706604]","[20, 25]",0.08007613803270866,10,target,holoocean_agent_proxy
