tick_global,waypoint_index,target_cell,target_world_x,target_world_y,location_x,location_y,location_z,projected_row,projected_col,distance_to_target_m,heading_deg,target_heading_deg,heading_error_deg,command_0,command_1,arrived,timeout
1,0,"[40, 45]",25.0,0.0,0.0,0.0,0.6402697563171387,40,40,25.0,0.0,0.0,0.0,8000.0,8000.0,False,False
2,0,"[40, 45]",25.0,0.0,0.01499940175563097,0.0,0.5508517622947693,40,40,24.98500059824437,0.0,0.0,0.0,8000.0,8000.0,False,False
3,0,"[40, 45]",25.0,0.0,0.043498262763023376,0.0,0.46057599782943726,40,40,24.956501737236977,0.0,0.0,0.0,8000.0,8000.0,False,False
4,0,"[40, 45]",25.0,0.0,0.0841466411948204,0.0,0.3695281744003296,40,40,24.91585335880518,0.0,0.0,0.0,8000.0,8000.0,False,False
5,0,"[40, 45]",25.0,0.0,0.13572958111763,0.0,0.2777855098247528,40,40,24.86427041888237,0.0,0.0,0.0,8000.0,8000.0,False,False
6,0,"[40, 45]",25.0,0.0,0.19715362787246704,0.0,0.1854175329208374,40,40,24.802846372127533,0.0,0.0,0.0,8000.0,8000.0,False,False
7,0,"[40, 45]",25.0,0.0,0.267418771982193,0.0,0.1001543328166008,40,40,24.732581228017807,0.0,0.0,0.0,8000.0,8000.0,False,False
8,0,"[40, 45]",25.0,0.0,0.3456169664859772,0.0,0.030482320114970207,40,40,24.654383033514023,0.0,0.0,0.0,8000.0,8000.0,False,False
9,0,"[40, 45]",25.0,0.0,0.43092891573905945,0.0,-0.015622086822986603,40,40,24.56907108426094,0.0,0.0,0.0,8000.0,8000.0,False,False
10,0,"[40, 45]",25.0,0.0,0.5226268172264099,0.0,-0.034297313541173935,40,40,24.47737318277359,0.0,0.0,0.0,8000.0,8000.0,False,False
11,0,"[40, 45]",25.0,0.0,0.6200628280639648,0.0,-0.02596019208431244,40,40,24.379937171936035,0.0,0.0,0.0,8000.0,8000.0,False,False
12,0,"[40, 45]",25.0,0.0,0.7226560115814209,0.0,0.0056614140048623085,40,40,24.27734398841858,0.0,0.0,0.0,8000.0,8000.0,False,False
