tick_global,waypoint_index,target_cell,target_world_x,target_world_y,location_x,location_y,location_z,projected_row,projected_col,distance_to_target_m,heading_deg,target_heading_deg,heading_error_deg,command_0,command_1,arrived,timeout
1,0,"[40, 41]",10.0,0.0,0.0,0.0,0.6402697563171387,40,40,10.0,0.0,0.0,0.0,6916.666666666667,6916.666666666667,False,False
2,0,"[40, 41]",10.0,0.0,0.01499940175563097,0.0,0.5508517622947693,40,40,9.985000598244369,0.0,0.0,0.0,6908.5419907157,6908.5419907157,False,False
3,0,"[40, 41]",10.0,0.0,0.043498262763023376,0.0,0.46057599782943726,40,40,9.956501737236977,0.0,0.0,0.0,6893.105107670029,6893.105107670029,False,False
4,0,"[40, 41]",10.0,0.0,0.0841466411948204,0.0,0.3695281744003296,40,40,9.91585335880518,0.0,0.0,0.0,6871.087236019473,6871.087236019473,False,False
5,0,"[40, 41]",10.0,0.0,0.13572958111763,0.0,0.2777855098247528,40,40,9.86427041888237,0.0,0.0,0.0,6843.146476894617,6843.146476894617,False,False
6,0,"[40, 41]",10.0,0.0,0.19715362787246704,0.0,0.1854175329208374,40,40,9.802846372127533,0.0,0.0,0.0,6809.875118235747,6809.875118235747,False,False
7,0,"[40, 41]",10.0,0.0,0.26741644740104675,0.0,0.10127498209476471,40,40,9.732583552598953,0.0,0.0,0.0,6771.816090991099,6771.816090991099,False,False
8,0,"[40, 41]",10.0,0.0,0.3456098437309265,0.0,0.03390773385763168,40,40,9.654390156269073,0.0,0.0,0.0,6729.461334645748,6729.461334645748,False,False
9,0,"[40, 41]",10.0,0.0,0.4309209883213043,0.0,-0.011185752227902412,40,40,9.569079011678696,0.0,0.0,0.0,6683.25113132596,6683.25113132596,False,False
10,0,"[40, 41]",10.0,0.0,0.522624671459198,0.0,-0.031366243958473206,40,40,9.477375328540802,0.0,0.0,0.0,6633.578302959601,6633.578302959601,False,False
11,0,"[40, 41]",10.0,0.0,0.6200695633888245,0.0,-0.025911914184689522,40,40,9.379930436611176,0.0,0.0,0.0,6580.795653164387,6580.795653164387,False,False
12,0,"[40, 41]",10.0,0.0,0.7226748466491699,0.0,0.0017659837612882257,40,40,9.27732515335083,0.0,0.0,0.0,6525.217791398366,6525.217791398366,False,False
13,0,"[40, 41]",10.0,0.0,0.829923152923584,0.0,0.04566146805882454,40,40,9.170076847076416,0.0,0.0,0.0,6467.124958833058,6467.124958833058,False,False
14,0,"[40, 41]",10.0,0.0,0.9413545727729797,0.0,0.0994374081492424,40,40,9.05864542722702,0.0,0.0,0.0,6406.766273081303,6406.766273081303,False,False
