step,robot_pos_before,segment_path_head,next_cell,final_projected_cell,ticks,arrived,timeout,distance_to_waypoint_m,distance_to_target_cells_after,intensity_mass_before,intensity_mass_after,peak_intensity_before,peak_intensity_after,found_count
1,"[40, 40]","[[40, 40], [39, 40], [38, 40]]","[39, 40]","[39, 40]",76,True,False,4.98861581608974,11.180339887498949,0.9999999999999998,1.0000000000000002,1.0068331772523353,1.010186949142552,0
2,"[39, 40]","[[39, 40], [38, 40], [38, 41]]","[38, 40]","[38, 40]",111,True,False,4.961914681231754,10.295630140987,1.0000000000000002,1.0,1.010186949142552,1.0123581976092841,0
3,"[38, 40]","[[38, 40], [38, 41], [38, 42]]","[38, 41]","[38, 41]",85,True,False,4.981343079502813,9.848857801796104,1.0,1.0,1.0123581976092841,1.0138435062985502,0
4,"[38, 41]","[[38, 41], [38, 42], [38, 43]]","[38, 42]","[38, 42]",68,True,False,4.855370796811768,9.486832980505138,1.0,1.0,1.0138435062985502,1.0152679924508912,0
5,"[38, 42]","[[38, 42], [38, 43], [38, 44]]","[38, 43]","[38, 43]",66,True,False,4.896328923969893,9.219544457292887,1.0,0.9999999999999999,1.0152679924508912,1.0167426688593497,0
6,"[38, 43]","[[38, 43], [39, 43], [40, 43]]","[39, 43]","[39, 43]",67,True,False,4.973742070621167,10.198039027185569,0.9999999999999999,1.0,1.0167426688593497,1.017719495562168,0
7,"[39, 43]","[[39, 43], [40, 43], [41, 43]]","[40, 43]","[40, 43]",74,True,False,4.944128295976434,11.180339887498949,1.0,1.0,1.017719495562168,1.0187200754196155,0
8,"[40, 43]","[[40, 43], [41, 43], [42, 43]]","[41, 43]","[41, 43]",67,True,False,4.877495526039701,12.165525060596439,1.0,1.0000000000000004,1.0187200754196155,1.0198943293498774,0
9,"[41, 43]","[[41, 43], [42, 43], [43, 43]]","[42, 43]","[42, 43]",66,True,False,4.9973119299408735,13.152946437965905,1.0000000000000004,0.9999999999999996,1.0198943293498774,1.0212511050187312,0
10,"[42, 43]","[[42, 43], [43, 43], [44, 43]]","[43, 43]","[43, 43]",85,True,False,4.985099988263296,14.142135623730951,0.9999999999999996,1.0000000000000004,1.0212511050187312,1.0227303137057595,0
11,"[43, 43]","[[43, 43], [44, 43], [45, 43]]","[44, 43]","[44, 43]",92,True,False,4.964930227725881,15.132745950421556,1.0000000000000004,0.9999999999999998,1.0227303137057595,1.024285655793518,0
12,"[44, 43]","[[44, 43], [45, 43], [46, 43]]","[45, 43]","[45, 43]",69,True,False,4.936486437809418,16.1245154965971,0.9999999999999998,0.9999999999999998,1.024285655793518,1.0258964503409358,0
13,"[45, 43]","[[45, 43], [46, 43], [47, 43]]","[46, 43]","[46, 43]",99,True,False,4.9686902333721354,17.11724276862369,0.9999999999999998,1.0000000000000002,1.0258964503409358,1.027523707586769,0
14,"[46, 43]","[[46, 43], [47, 43], [48, 43]]","[47, 43]","[47, 43]",85,True,False,4.985945029866171,18.110770276274835,1.0000000000000002,1.0,1.027523707586769,1.0291611754441268,0
15,"[47, 43]","[[47, 43], [48, 43], [49, 43]]","[48, 43]","[48, 43]",70,True,False,4.967333360625135,19.1049731745428,1.0,0.9999999999999998,1.0291611754441268,1.0308058919455527,0
16,"[48, 43]","[[48, 43], [49, 43], [50, 43]]","[49, 43]","[49, 43]",100,True,False,4.937214381866487,20.09975124224178,0.9999999999999998,1.0000000000000004,1.0308058919455527,1.0324562683870175,0
17,"[49, 43]","[[49, 43], [50, 43], [51, 43]]","[50, 43]","[50, 43]",85,True,False,4.983005675658892,21.095023109728988,1.0000000000000004,0.9999999999999993,1.0324562683870175,1.0341120634646492,0
18,"[50, 43]","[[50, 43], [51, 43], [52, 43]]","[51, 43]","[51, 43]",70,True,False,4.89311276746999,22.090722034374522,0.9999999999999993,1.0000000000000004,1.0341120634646492,1.0357731780146906,0
19,"[51, 43]","[[51, 43], [52, 43], [53, 43]]","[52, 43]","[52, 43]",98,True,False,4.969376601500938,23.08679276123039,1.0000000000000004,1.0,1.0357731780146906,1.037439637712705,0
20,"[52, 43]","[[52, 43], [53, 43], [54, 43]]","[53, 43]","[53, 43]",85,True,False,4.971687666374653,24.08318915758459,1.0,0.9999999999999999,1.037439637712705,1.0391114683997598,0
21,"[53, 43]","[[53, 43], [53, 42], [53, 41]]","[53, 42]","[53, 42]",80,True,False,4.928448484925268,24.186773244895647,0.9999999999999999,1.0,1.0391114683997598,1.040364862399888,0
22,"[53, 42]","[[53, 42], [53, 41], [53, 40]]","[53, 41]","[53, 41]",95,True,False,4.925584855525158,24.331050121192877,1.0,1.0,1.040364862399888,1.0416890580173161,0
23,"[53, 41]","[[53, 41], [53, 40], [53, 39]]","[53, 40]","[53, 40]",85,True,False,4.910643041916069,24.515301344262525,1.0,1.0,1.0416890580173161,1.0431425533038763,0
24,"[53, 40]","[[53, 40], [53, 39], [53, 38]]","[53, 39]","[53, 39]",72,True,False,4.981251496615905,24.73863375370596,1.0,0.9999999999999998,1.0431425533038763,1.0446899717851115,0
25,"[53, 39]","[[53, 39], [53, 38], [53, 37]]","[53, 38]","[53, 38]",99,True,False,4.98095369208578,25.0,0.9999999999999998,1.0000000000000002,1.0446899717851115,1.0463254397682122,0
26,"[53, 38]","[[53, 38], [52, 38], [51, 38]]","[52, 38]","[52, 38]",66,True,False,4.911227130522666,24.041630560342615,1.0000000000000002,1.0000000000000002,1.0463254397682122,1.0473959230765424,0
27,"[52, 38]","[[52, 38], [51, 38], [50, 38]]","[51, 38]","[51, 38]",99,True,False,4.9891994424467905,23.08679276123039,1.0000000000000002,0.9999999999999998,1.0473959230765424,1.0483231260665749,0
28,"[51, 38]","[[51, 38], [50, 38], [49, 38]]","[50, 38]","[50, 38]",71,True,False,4.952238174330009,22.135943621178654,0.9999999999999998,1.0,1.0483231260665749,1.049215072443562,0
29,"[50, 38]","[[50, 38], [49, 38], [48, 38]]","[49, 38]","[49, 38]",83,True,False,4.941385029423179,21.18962010041709,1.0,1.0,1.049215072443562,1.0500854893609324,0
30,"[49, 38]","[[49, 38], [48, 38], [47, 38]]","[48, 38]","[48, 38]",67,True,False,4.916972738711956,20.248456731316587,1.0,1.0,1.0500854893609324,1.050899718926057,0
31,"[48, 38]","[[48, 38], [47, 38], [46, 38]]","[47, 38]","[47, 38]",98,True,False,4.967750329275004,19.313207915827967,1.0,1.0,1.050899718926057,1.051618281755322,0
32,"[47, 38]","[[47, 38], [46, 38], [45, 38]]","[46, 38]","[46, 38]",85,True,False,4.957085180867846,18.384776310850235,1.0,0.9999999999999996,1.051618281755322,1.0522398490504923,0
33,"[46, 38]","[[46, 38], [45, 38], [44, 38]]","[45, 38]","[45, 38]",72,True,False,4.977229739309081,17.46424919657298,0.9999999999999996,1.0,1.0522398490504923,1.052783002926846,0
34,"[45, 38]","[[45, 38], [44, 38], [43, 38]]","[44, 38]","[44, 38]",100,True,False,4.953212621914698,16.55294535724685,1.0,1.0000000000000002,1.052783002926846,1.0532554265068341,0
35,"[44, 38]","[[44, 38], [43, 38], [42, 38]]","[43, 38]","[43, 38]",86,True,False,4.912483919523042,15.652475842498529,1.0000000000000002,1.0,1.0532554265068341,1.0536868437151208,0
36,"[43, 38]","[[43, 38], [42, 38], [41, 38]]","[42, 38]","[42, 38]",68,True,False,4.969297577183452,14.7648230602334,1.0,0.9999999999999998,1.0536868437151208,1.0540925485578736,0
37,"[42, 38]","[[42, 38], [41, 38], [40, 38]]","[41, 38]","[41, 38]",96,True,False,4.974306761133675,13.892443989449804,0.9999999999999998,1.0,1.0540925485578736,1.054520792049656,0
38,"[41, 38]","[[41, 38], [40, 38], [39, 38]]","[40, 38]","[40, 38]",85,True,False,4.954924766483539,13.038404810405298,1.0,1.0000000000000002,1.054520792049656,1.0549888109315473,0
