step,robot_pos_before,next_cell,final_projected_cell,ticks,arrived,timeout,intensity_mass_before,intensity_mass_after,peak_intensity_before,peak_intensity_after,found_count
1,"[40, 40]","[39, 40]","[39, 40]",76,True,False,0.9999999999999998,1.0000000000000002,1.0068331772523353,1.010186949142552,0
2,"[39, 40]","[38, 40]","[38, 40]",111,True,False,1.0000000000000002,1.0,1.010186949142552,1.0123581976092841,0
3,"[38, 40]","[37, 40]","[37, 40]",89,True,False,1.0,1.0,1.0123581976092841,1.0141290840264567,0
4,"[37, 40]","[36, 40]","[36, 40]",68,True,False,1.0,0.9999999999999991,1.0141290840264567,1.0157771468336187,0
5,"[36, 40]","[35, 40]","[35, 40]",91,True,False,0.9999999999999991,1.0000000000000004,1.0157771468336187,1.0173929094072043,0
6,"[35, 40]","[34, 40]","[34, 40]",89,True,False,1.0000000000000004,0.9999999999999998,1.0173929094072043,1.0190034430417194,0
7,"[34, 40]","[34, 39]","[34, 39]",81,True,False,0.9999999999999998,0.9999999999999999,1.0190034430417194,1.0202109824569754,0
8,"[34, 39]","[34, 38]","[34, 38]",93,True,False,0.9999999999999999,1.0,1.0202109824569754,1.0214858257809276,0
9,"[34, 38]","[34, 37]","[34, 37]",86,True,False,1.0,1.0,1.0214858257809276,1.022885048422913,0
10,"[34, 37]","[34, 36]","[34, 36]",72,True,False,1.0,1.0000000000000004,1.022885048422913,1.0243757882703004,0
11,"[34, 36]","[34, 35]","[34, 35]",99,True,False,1.0000000000000004,0.9999999999999997,1.0243757882703004,1.0259484138425494,0
12,"[34, 35]","[34, 34]","[34, 34]",87,True,False,0.9999999999999997,1.0000000000000004,1.0259484138425494,1.0275678942650288,0
13,"[34, 34]","[34, 33]","[34, 33]",68,True,False,1.0000000000000004,1.0,1.0275678942650288,1.0292018320181975,0
14,"[34, 33]","[34, 32]","[34, 32]",94,True,False,1.0,1.0,1.0292018320181975,1.0308455132923893,0
15,"[34, 32]","[34, 31]","[34, 31]",86,True,False,1.0,0.9999999999999999,1.0308455132923893,1.0324959797691362,0
16,"[34, 31]","[35, 31]","[35, 31]",80,True,False,0.9999999999999999,0.9999999999999998,1.0324959797691362,1.0337327768543405,0
