tick_global,step,target_cell,location_x,location_y,location_z,projected_row,projected_col,distance_to_target_m,heading_deg,target_heading_deg,heading_error_deg,command_0,command_1,arrived,timeout
1,1,"[39, 40]",0.0,0.0,0.6402697563171387,40,40,10.0,0.0,90.0,90.0,-8000.0,8000.0,False,False
2,1,"[39, 40]",7.376117139301641e-08,-6.491417298093438e-05,0.5508517622947693,40,40,10.000064914172981,0.13008423149585724,90.00000042261765,89.86991619112177,-8000.0,8000.0,False,False
3,1,"[39, 40]",6.52414200885687e-07,-0.00019311820506118238,0.4605759382247925,40,40,10.00019311820508,0.38700026273727417,90.00000373798584,89.61300347524855,-8000.0,8000.0,False,False
4,1,"[39, 40]",2.5660801838967018e-06,-0.00038302221219055355,0.3695279359817505,40,40,10.00038302221252,0.7675765752792358,90.00001470199334,89.2324381267141,-8000.0,8000.0,False,False
5,1,"[39, 40]",7.010029094089987e-06,-0.0006330611649900675,0.27778491377830505,40,40,10.000633061167447,1.268720269203186,90.00004016196564,88.73131989276249,-8000.0,8000.0,False,False
6,1,"[39, 40]",1.5512725440203212e-05,-0.000941682024858892,0.18541617691516876,40,40,10.00094168203689,1.8874157667160034,90.00008887300064,88.11267310628466,-8000.0,8000.0,False,False
7,1,"[39, 40]",2.996005059685558e-05,-0.0013087944826111197,0.10014770925045013,40,40,10.001308794527485,2.6207194328308105,90.0001716359817,87.37945220315089,-8000.0,8000.0,False,False
8,1,"[39, 40]",5.266102743917145e-05,-0.0017361028585582972,0.03163764625787735,40,40,10.001736102997194,3.46575927734375,90.00030167308816,86.53454239574444,-8000.0,8000.0,False,False
9,1,"[39, 40]",8.638347935630009e-05,-0.0022261326666921377,-0.013973028399050236,40,40,10.002226133039715,4.419731616973877,90.00049483072279,85.58076321374892,-8000.0,8000.0,False,False
10,1,"[39, 40]",0.00013439277245197445,-0.0027818649541586637,-0.033464714884757996,40,40,10.00278186585698,5.47990083694458,90.00076979971793,84.52086896277336,-8000.0,8000.0,False,False
11,1,"[39, 40]",0.00020043758559040725,-0.003406006610020995,-0.02652578242123127,40,40,10.003406008618096,6.643599510192871,90.00114803175049,83.35754852155765,-8000.0,8000.0,False,False
12,1,"[39, 40]",0.0002885636349674314,-0.004099351353943348,0.0032550098840147257,40,40,10.004099355515686,7.908224582672119,90.00165267035236,82.09342808768025,-8000.0,8000.0,False,False
13,1,"[39, 40]",0.00040289427852258086,-0.004860193934291601,0.049704842269420624,40,40,10.004860202046537,9.271241188049316,90.00230729278465,80.7310661047353,-7903.263970803716,8000.0,False,False
14,1,"[39, 40]",0.0005474037607200444,-0.005684297531843185,0.10550402104854584,40,40,10.005684312505874,10.73017692565918,90.00313461070876,79.27295768504956,-7566.899571801186,8000.0,False,False
15,1,"[39, 40]",0.0007256211247295141,-0.006564725190401077,0.16283734142780304,40,40,10.006564751499429,12.282623291015625,90.00415477529417,77.72153148427856,-7209.901702332598,8000.0,False,False
16,1,"[39, 40]",0.0009405636810697615,-0.0074930209666490555,0.214912548661232,40,40,10.007493065166532,13.926229476928711,90.00538499792276,76.07915552099405,-6833.1269672861745,8000.0,False,False
17,1,"[39, 40]",0.001194965559989214,-0.008461066521704197,0.25726306438446045,40,40,10.008461137858479,15.658699989318848,90.00684086019524,74.34814087087639,-6437.472817544058,8000.0,False,False
18,1,"[39, 40]",0.0014908587327226996,-0.009459654800593853,0.28610238432884216,40,40,10.009459765828552,17.47779655456543,90.00853391846807,72.53073736390263,-6023.8802735282425,8000.0,False,False
19,1,"[39, 40]",0.001831350033171475,-0.010484866797924042,0.3022521138191223,40,40,10.010485034314431,19.381330490112305,90.01048187255039,70.62915138243807,-5593.339961538737,8000.0,False,False
20,1,"[39, 40]",0.002219661371782422,-0.011533327400684357,0.30698058009147644,40,40,10.01153357346172,21.36715316772461,90.01270307177818,68.64554990405355,-5146.895953611031,8000.0,False,False
21,1,"[39, 40]",0.0026589082553982735,-0.012601412832736969,0.30142924189567566,40,40,10.012601765877502,23.433181762695312,90.01521524839394,66.58203348569862,-4685.641693289377,8000.0,False,False
22,1,"[39, 40]",0.0031520691700279713,-0.013685245998203754,0.2866254448890686,40,40,10.013685742096273,25.577377319335938,90.01803534360971,64.44065802427377,-4210.726248082388,8000.0,False,False
23,1,"[39, 40]",0.003702071961015463,-0.014780944213271141,0.2636113166809082,40,40,10.014781628468693,27.797746658325195,90.02118000287173,62.22343334454655,-3723.3545673318795,8000.0,False,False
