step,robot_pos_before,segment_path_head,next_cell,final_projected_cell,ticks,arrived,timeout,distance_to_waypoint_m,distance_to_target_cells_after,intensity_mass_before,intensity_mass_after,peak_intensity_before,peak_intensity_after,found_count
1,"[40, 40]","[[40, 40], [39, 40], [38, 40]]","[39, 40]","[39, 40]",76,True,False,4.988738869940345,20.8806130178211,0.9999999999999998,1.0000000000000002,1.0068331772523353,1.010186949142552,0
2,"[39, 40]","[[39, 40], [38, 40], [37, 40]]","[38, 40]","[38, 40]",110,True,False,4.992880642851105,21.18962010041709,1.0000000000000002,1.0,1.010186949142552,1.0123581976092841,0
3,"[38, 40]","[[38, 40], [37, 40], [36, 40]]","[37, 40]","[37, 40]",96,True,False,4.997264809563813,21.540659228538015,1.0,1.0,1.0123581976092841,1.0141290840264567,0
4,"[37, 40]","[[37, 40], [36, 40], [35, 40]]","[36, 40]","[36, 40]",95,True,False,4.90237855184847,21.93171219946131,1.0,0.9999999999999991,1.0141290840264567,1.0157771468336187,0
5,"[36, 40]","[[36, 40], [35, 40], [35, 39]]","[35, 40]","[35, 40]",90,True,False,4.922148624934125,22.360679774997898,0.9999999999999991,1.0000000000000004,1.0157771468336187,1.0173929094072043,0
6,"[35, 40]","[[35, 40], [34, 40], [34, 39]]","[34, 40]","[34, 40]",94,True,False,4.923018118773275,22.825424421026653,1.0000000000000004,0.9999999999999998,1.0173929094072043,1.0190034430417194,0
7,"[34, 40]","[[34, 40], [34, 39], [34, 38]]","[34, 39]","[34, 39]",67,True,False,4.975364407724005,23.706539182259394,0.9999999999999998,0.9999999999999999,1.0190034430417194,1.0202109824569754,0
8,"[34, 39]","[[34, 39], [34, 38], [34, 37]]","[34, 38]","[34, 38]",111,True,False,4.951047950591645,24.596747752497688,0.9999999999999999,1.0,1.0202109824569754,1.0214858257809276,0
9,"[34, 38]","[[34, 38], [34, 37], [34, 36]]","[34, 37]","[34, 37]",95,True,False,4.947638332467455,25.495097567963924,1.0,1.0,1.0214858257809276,1.022885048422913,0
10,"[34, 37]","[[34, 37], [34, 36], [34, 35]]","[34, 36]","[34, 36]",95,True,False,4.9383608967838315,26.40075756488817,1.0,1.0000000000000004,1.022885048422913,1.0243757882703004,0
11,"[34, 36]","[[34, 36], [34, 35], [34, 34]]","[34, 35]","[34, 35]",90,True,False,4.916254842831501,27.313000567495326,1.0000000000000004,0.9999999999999997,1.0243757882703004,1.0259484138425494,0
12,"[34, 35]","[[34, 35], [34, 34], [34, 33]]","[34, 34]","[34, 34]",94,True,False,4.941584395074122,28.231188426986208,0.9999999999999997,1.0000000000000004,1.0259484138425494,1.0275678942650288,0
13,"[34, 34]","[[34, 34], [34, 33], [34, 32]]","[34, 33]","[34, 33]",90,True,False,4.921262424146598,29.154759474226502,1.0000000000000004,1.0,1.0275678942650288,1.0292018320181975,0
14,"[34, 33]","[[34, 33], [34, 32], [34, 31]]","[34, 32]","[34, 32]",94,True,False,4.907209520909388,30.083217912982647,1.0,1.0,1.0292018320181975,1.0308455132923893,0
15,"[34, 32]","[[34, 32], [34, 31], [34, 30]]","[34, 31]","[34, 31]",90,True,False,4.936582413663586,31.016124838541646,1.0,0.9999999999999999,1.0308455132923893,1.0324959797691362,0
16,"[34, 31]","[[34, 31], [35, 31], [36, 31]]","[35, 31]","[35, 31]",97,True,False,4.924972040605493,30.675723300355934,0.9999999999999999,0.9999999999999998,1.0324959797691362,1.0337327768543405,0
17,"[35, 31]","[[35, 31], [36, 31], [37, 31]]","[36, 31]","[36, 31]",93,True,False,4.920406686481526,30.364452901377952,0.9999999999999998,0.9999999999999998,1.0337327768543405,1.035024939383305,0
18,"[36, 31]","[[36, 31], [37, 31], [38, 31]]","[37, 31]","[37, 31]",89,True,False,4.9351322644068985,30.083217912982647,0.9999999999999998,1.0,1.035024939383305,1.0364257462361544,0
19,"[37, 31]","[[37, 31], [38, 31], [39, 31]]","[38, 31]","[38, 31]",96,True,False,4.945775176243265,29.832867780352597,1.0,1.0,1.0364257462361544,1.0379286512580306,0
20,"[38, 31]","[[38, 31], [39, 31]]","[39, 31]","[39, 31]",89,True,False,4.986830183643644,29.614185789921695,1.0,0.9999999999999996,1.0379286512580306,1.0394910298221616,0
21,"[39, 31]","[[39, 31], [39, 32], [39, 33]]","[39, 32]","[39, 32]",96,True,False,4.959642353239813,28.635642126552707,0.9999999999999996,1.0,1.0394910298221616,1.0403045773436308,0
22,"[39, 32]","[[39, 32], [39, 33], [39, 34]]","[39, 33]","[39, 33]",93,True,False,4.9255381179823345,26.68332812825267,1.0,1.0000000000000004,1.0403045773436308,1.040792300575122,0
23,"[39, 33]","[[39, 33], [39, 34], [39, 35]]","[39, 34]","[39, 34]",90,True,False,4.90449865455137,25.495097567963924,1.0000000000000004,0.9999999999999996,1.040792300575122,1.0411043771607271,0
24,"[39, 34]","[[39, 34], [39, 35], [39, 36]]","[39, 35]","[39, 35]",95,True,False,4.908916904193091,23.53720459187964,0.9999999999999996,1.0000000000000004,1.0411043771607271,1.0413244929352068,0
25,"[39, 35]","[[39, 35], [39, 36], [39, 37]]","[39, 36]","[39, 36]",89,True,False,4.977420751447099,22.360679774997898,1.0000000000000004,1.0000000000000002,1.0413244929352068,1.0414918609207509,0
26,"[39, 36]","[[39, 36], [39, 37], [39, 38]]","[39, 37]","[39, 37]",94,True,False,4.980711342968144,21.37755832643195,1.0000000000000002,1.0000000000000004,1.0414918609207509,1.0416070464502667,0
27,"[39, 37]","[[39, 37], [39, 38], [39, 39]]","[39, 38]","[39, 38]",90,True,False,4.975679965896432,19.235384061671343,1.0000000000000004,0.9999999999999999,1.0416070464502667,1.0417184163561888,0
28,"[39, 38]","[[39, 38], [39, 39], [39, 40]]","[39, 39]","[39, 39]",94,True,False,4.913042977999376,18.24828759089466,0.9999999999999999,1.0000000000000002,1.0417184163561888,1.0418450118172435,0
29,"[39, 39]","[[39, 39], [39, 40], [39, 41]]","[39, 40]","[39, 40]",90,True,False,4.971587307735149,16.1245154965971,1.0000000000000002,0.9999999999999997,1.0418450118172435,1.0420442065789515,0
30,"[39, 40]","[[39, 40], [39, 41], [39, 42]]","[39, 41]","[39, 41]",93,True,False,4.949175855807998,15.132745950421556,0.9999999999999997,1.0,1.0420442065789515,1.042626782326741,0
31,"[39, 41]","[[39, 41], [39, 42], [39, 43]]","[39, 42]","[39, 42]",91,True,False,4.940154845344752,13.038404810405298,1.0,1.0,1.042626782326741,1.043636073956651,0
32,"[39, 42]","[[39, 42], [39, 43], [39, 44]]","[39, 43]","[39, 43]",92,True,False,4.989173143787629,12.041594578792296,1.0,1.0,1.043636073956651,1.0449456915881363,0
33,"[39, 43]","[[39, 43], [39, 44], [39, 45]]","[39, 44]","[39, 44]",91,True,False,4.986919518513854,11.045361017187261,1.0,0.9999999999999998,1.0449456915881363,1.0464504785389304,0
34,"[39, 44]","[[39, 44], [39, 45], [39, 46]]","[39, 45]","[39, 45]",93,True,False,4.9260708547556735,10.04987562112089,0.9999999999999998,1.0,1.0464504785389304,1.048073099479837,0
35,"[39, 45]","[[39, 45], [39, 46], [39, 47]]","[39, 46]","[39, 46]",91,True,False,4.938176683278214,9.055385138137417,1.0,1.0,1.048073099479837,1.0497571893090965,0
36,"[39, 46]","[[39, 46], [39, 47], [39, 48]]","[39, 47]","[39, 47]",92,True,False,4.972805712634152,8.06225774829855,1.0,1.0,1.0497571893090965,1.0514607108817227,0
