step,desired_cell,desired_world,observed_world,observed_cell,observed_cell_changed_from_previous,distance_desired_to_observed_m,target_position_source
1,"[45, 60]","[200.0, -50.0]","[201.21060180664062, -49.90918731689453, 0.20874856412410736]","[45, 60]",False,1.214003162127002,holoocean_agent_projection
2,"[45, 60]","[200.0, -50.0]","[201.0166778564453, -49.4177360534668, 0.17106136679649353]","[45, 60]",False,1.1716079409165236,holoocean_agent_projection
3,"[45, 60]","[200.0, -50.0]","[200.5069580078125, -49.713130950927734, 0.16431409120559692]","[45, 60]",False,0.5824948695060281,holoocean_agent_projection
4,"[45, 60]","[200.0, -50.0]","[200.2880096435547, -49.84540557861328, 0.16238026320934296]","[45, 60]",False,0.32687763751041843,holoocean_agent_projection
5,"[45, 60]","[200.0, -50.0]","[200.17703247070312, -49.90409851074219, 0.16416305303573608]","[45, 60]",False,0.20133949271099086,holoocean_agent_projection
6,"[45, 60]","[200.0, -50.0]","[200.1238250732422, -49.93287658691406, 0.16404052078723907]","[45, 60]",False,0.14084814996207265,holoocean_agent_projection
7,"[45, 60]","[200.0, -50.0]","[200.09632873535156, -49.94780349731445, 0.16416721045970917]","[45, 60]",False,0.109561398982642,holoocean_agent_projection
8,"[45, 60]","[200.0, -50.0]","[200.08474731445312, -49.954078674316406, 0.16420143842697144]","[45, 60]",False,0.09638918746184935,holoocean_agent_projection
9,"[45, 60]","[200.0, -50.0]","[200.0763397216797, -49.95863723754883, 0.16423490643501282]","[45, 60]",False,0.08682529138289272,holoocean_agent_projection
10,"[45, 60]","[200.0, -50.0]","[200.07281494140625, -49.960548400878906, 0.16421951353549957]","[45, 60]",False,0.08281572534976135,holoocean_agent_projection
11,"[45, 60]","[200.0, -50.0]","[200.07107543945312, -49.96148681640625, 0.16419677436351776]","[45, 60]",False,0.08083924420713452,holoocean_agent_projection
12,"[45, 60]","[200.0, -50.0]","[200.0702362060547, -49.96194076538086, 0.16422715783119202]","[45, 60]",False,0.07988510487413353,holoocean_agent_projection
13,"[45, 60]","[200.0, -50.0]","[200.06980895996094, -49.9621696472168, 0.1642545610666275]","[45, 60]",False,0.07940041865462284,holoocean_agent_projection
14,"[45, 60]","[200.0, -50.0]","[200.06961059570312, -49.962284088134766, 0.1642065793275833]","[45, 60]",False,0.0791714913461282,holoocean_agent_projection
15,"[45, 60]","[200.0, -50.0]","[200.0695037841797, -49.96234130859375, 0.16419008374214172]","[45, 60]",False,0.07905031975727704,holoocean_agent_projection
16,"[45, 60]","[200.0, -50.0]","[200.06944274902344, -49.96236801147461, 0.16425465047359467]","[45, 60]",False,0.07898393477351746,holoocean_agent_projection
17,"[45, 60]","[200.0, -50.0]","[200.06942749023438, -49.96238327026367, 0.1642172485589981]","[45, 60]",False,0.07896324940312544,holoocean_agent_projection
18,"[45, 60]","[200.0, -50.0]","[200.0694122314453, -49.9623908996582, 0.1642259657382965]","[45, 60]",False,0.07894619878586287,holoocean_agent_projection
19,"[45, 60]","[200.0, -50.0]","[200.06939697265625, -49.96239471435547, 0.1642540842294693]","[45, 60]",False,0.07893096554749028,holoocean_agent_projection
20,"[45, 60]","[200.0, -50.0]","[200.06939697265625, -49.96239471435547, 0.1642010360956192]","[45, 60]",False,0.07893096554749028,holoocean_agent_projection
21,"[40, 55]","[150.0, 0.0]","[198.63714599609375, -50.550148010253906, 0.16348758339881897]","[45, 60]",False,70.14905155812097,holoocean_agent_projection
22,"[40, 55]","[150.0, 0.0]","[193.175537109375, -47.282569885253906, 0.1663338840007782]","[45, 59]",True,64.02943400996871,holoocean_agent_projection
23,"[40, 55]","[150.0, 0.0]","[188.86822509765625, -42.24363708496094, 0.16370360553264618]","[44, 59]",True,57.404388302706984,holoocean_agent_projection
24,"[40, 55]","[150.0, 0.0]","[184.46376037597656, -37.48114776611328, 0.1645282357931137]","[44, 58]",True,50.91745493559111,holoocean_agent_projection
25,"[40, 55]","[150.0, 0.0]","[179.90274047851562, -32.52064895629883, 0.16395790874958038]","[43, 58]",True,44.17880143987925,holoocean_agent_projection
26,"[40, 55]","[150.0, 0.0]","[175.5440216064453, -27.780071258544922, 0.16411535441875458]","[43, 58]",False,37.73896393596913,holoocean_agent_projection
27,"[40, 55]","[150.0, 0.0]","[171.0160369873047, -22.855764389038086, 0.1641823649406433]","[42, 57]",True,31.049312012651427,holoocean_agent_projection
28,"[40, 55]","[150.0, 0.0]","[166.62319946289062, -18.078378677368164, 0.16409975290298462]","[42, 57]",False,24.559286145679543,holoocean_agent_projection
29,"[40, 55]","[150.0, 0.0]","[162.09518432617188, -13.153985977172852, 0.1642640233039856]","[41, 56]",True,17.869550385270855,holoocean_agent_projection
30,"[40, 55]","[150.0, 0.0]","[157.70233154296875, -8.376585960388184, 0.16421018540859222]","[41, 56]",False,11.379503660071638,holoocean_agent_projection
31,"[40, 55]","[150.0, 0.0]","[153.92230224609375, -4.265664100646973, 0.16417592763900757]","[40, 55]",True,5.794855056794813,holoocean_agent_projection
32,"[40, 55]","[150.0, 0.0]","[151.99607849121094, -2.170811891555786, 0.16417750716209412]","[40, 55]",False,2.9490258750297436,holoocean_agent_projection
33,"[40, 55]","[150.0, 0.0]","[151.02349853515625, -1.1130945682525635, 0.16419823467731476]","[40, 55]",False,1.5121272331852074,holoocean_agent_projection
34,"[40, 55]","[150.0, 0.0]","[150.5403289794922, -0.5876273512840271, 0.16426962614059448]","[40, 55]",False,0.7982864836987722,holoocean_agent_projection
