tick_global,waypoint_index,wp_ticks,sv0_target_cell,sv0_target_world,sv0_loc_x,sv0_loc_y,sv0_loc_z,sv0_proj_row,sv0_proj_col,sv0_dist_m,sv0_heading_deg,sv0_t_heading_deg,sv0_err_deg,sv0_cmd_l,sv0_cmd_r,sv0_arrived,sv0_timeout,sv1_target_cell,sv1_target_world,sv1_loc_x,sv1_loc_y,sv1_loc_z,sv1_proj_row,sv1_proj_col,sv1_dist_m,sv1_heading_deg,sv1_t_heading_deg,sv1_err_deg,sv1_cmd_l,sv1_cmd_r,sv1_arrived,sv1_timeout,inter_vessel_distance_m
1,0,1,"[39, 35]","[-50.0, 10.0]",-50.0,0.0,0.6402697563171387,40,35,10.0,0.0,90.0,90.0,-8000.0,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.0,0.0,0.6402697563171387,40,45,10.0,0.0,270.0,-90.0,8000.0,-8000.0,False,False,100.0
2,0,2,"[39, 35]","[-50.0, 10.0]",-50.0,-6.491417298093438e-05,0.5508517622947693,40,35,10.000064914172981,0.13008423149585724,90.0,89.86991576850414,-8000.0,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.0,6.491417298093438e-05,0.5508517622947693,40,45,10.000064914172981,359.86991576850414,270.0,-89.86991576850414,8000.0,-8000.0,False,False,100.00000000008427
3,0,3,"[39, 35]","[-50.0, 10.0]",-50.0,-0.00019311820506118238,0.4605759382247925,40,35,10.000193118205061,0.38700026273727417,90.0,89.61299973726273,-8000.0,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.0,0.00019311820506118238,0.4605759382247925,40,45,10.000193118205061,359.6129997372627,270.0,-89.61299973726273,8000.0,-8000.0,False,False,100.0000000007459
4,0,4,"[39, 35]","[-50.0, 10.0]",-49.999996185302734,-0.00038302221219055355,0.3695279359817505,40,35,10.000383022212917,0.7675765752792358,90.00002185576821,89.23244528048895,-8000.0,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.0,0.00038302221219055355,0.3695279359817505,40,45,10.00038302221219,359.23242342472076,270.0,-89.23242342472076,8000.0,-8000.0,False,False,99.99999618823685
5,0,5,"[39, 35]","[-50.0, 10.0]",-49.99999237060547,-0.0006330611649900675,0.27778491377830505,40,35,10.0006330611679,1.268720269203186,90.00004371044356,88.73132344124036,-8000.0,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.00000762939453,0.0006330612231977284,0.27778491377830505,40,45,10.000633061226107,358.7312797307968,269.99995628955645,-88.73132344124036,8000.0,-8000.0,False,False,100.00000000801532
6,0,6,"[39, 35]","[-50.0, 10.0]",-49.99998474121094,-0.000941682024858892,0.18541617691516876,40,35,10.0009416820365,1.8874157667160034,90.00008741818937,88.11267165147336,-8000.0,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.00001525878906,0.0009416820830665529,0.18541617691516876,40,45,10.000941682094707,358.112584233284,269.99991258181063,-88.11267165147336,8000.0,-8000.0,False,False,100.0000000177353
7,0,7,"[39, 35]","[-50.0, 10.0]",-49.999969482421875,-0.0013091553701087832,0.10203413665294647,40,35,10.001309155416669,2.6207191944122314,90.0001748299548,87.37945563554257,-8000.0,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.000030517578125,0.0013088283594697714,0.10032456368207932,40,45,10.00130882840603,357.3792805671692,269.99982517003946,-87.37945539712973,8000.0,-8000.0,False,False,100.00000003426919
8,0,8,"[39, 35]","[-50.0, 10.0]",-49.99994659423828,-0.0017370491987094283,0.03610393777489662,40,35,10.001737049341294,3.4657580852508545,90.00030593933164,86.53454785408076,-8000.0,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.00005340576172,0.0017359351040795445,0.03108958713710308,40,45,10.001735935246664,356.53424048423767,269.9996940606343,-86.53454642360339,8000.0,-8000.0,False,False,100.0000000603081
9,0,9,"[39, 35]","[-50.0, 10.0]",-49.99991226196289,-0.0022281825076788664,-0.005656818393617868,40,35,10.002228182892491,4.419728755950928,90.00050258993669,85.58077383398575,-8000.0,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.000083923339844,0.0022254185751080513,-0.016173742711544037,40,45,10.002225418927186,355.5802674293518,269.9995192616668,-85.58074816768499,8000.0,-8000.0,False,False,99.99999628447556
10,0,10,"[39, 35]","[-50.0, 10.0]",-49.99986267089844,-0.00278516486287117,-0.021274998784065247,40,35,10.002785165805573,5.4798970222473145,90.00078661870607,84.52088959645874,-8000.0,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.0001335144043,0.0027800456155091524,-0.03844578191637993,40,45,10.002780046506567,354.5200972557068,269.9992352314222,-84.52086202428461,8000.0,-8000.0,False,False,99.99999634016056
