step,step_targets_called,target_motion_mode,target_positions_before_step_targets,target_positions_after_step_targets,target_positions_static_after_step_targets,predict_intensity_called,joint_assignment_called,assignment_count,assignment_mode,apply_assignment_called,resolve_conflict_called,conflict_type,conflict_penalty,wait_applied_map,execute_next_step_called_count,local_update_called_count,local_before,local_after,exec_results,last_seen_refreshed,staleness_rebuilt,apply_known_occupancy_constraints_called,remaining_target_mass_before,detect_targets_called,detected_by_usv,detection_masks_by_usv,team_detected_mask,update_found_mask_called,new_found_indices,team_detected_count,team_miss_update_called,hit_update_called,team_gp_update_called,team_search_info_update_called,team_trace_row_written,local_trace_rows_written,found_count_after,found_mask_after,find_times_after,remaining_intensity_mass_after,peak_intensity_ratio_after,known_free_observation_ratio_after,planning_time_ms,step_elapsed_ms,gp_n_obs,gp_x_obs_len,gp_y_obs_len,gp_count_consistent,search_info_shape,search_info_expected_shape,search_info_has_nan,search_info_free_valid_count,search_info_map_peak,search_info_map_mean,search_info_shape_ok,search_info_valid
1,True,static,"[[23, 21]]","[[23, 21]]",True,True,True,2,coordinated,True,True,,0.0,"{""0"": false, ""1"": false}",2,2,"{""0"": {""commit_remaining"": 4, ""committed_segment"": [[25, 2], [24, 2], [23, 2], [22, 2], [21, 2], [20, 2], [19, 2], [18, 2], [17, 2]], ""robot_pos"": [25, 2]}, ""1"": {""commit_remaining"": 4, ""committed_segment"": [[35, 2], [35, 3], [35, 4], [35, 5], [35, 6], [35, 7], [35, 8], [35, 9], [35, 10]], ""robot_pos"": [35, 2]}}","{""0"": {""commit_remaining"": 3, ""committed_segment"": [[24, 2], [23, 2], [22, 2], [21, 2], [20, 2], [19, 2], [18, 2], [17, 2]], ""robot_pos"": [24, 2]}, ""1"": {""commit_remaining"": 3, ""committed_segment"": [[35, 3], [35, 4], [35, 5], [35, 6], [35, 7], [35, 8], [35, 9], [35, 10]], ""robot_pos"": [35, 3]}}","{""0"": {""exec_collision"": false, ""exec_collision_cell"": null, ""exec_move_success"": true, ""exec_new_robot_pos"": [24, 2], ""exec_result_present"": true}, ""1"": {""exec_collision"": false, ""exec_collision_cell"": null, ""exec_move_success"": true, ""exec_new_robot_pos"": [35, 3], ""exec_result_present"": true}}",True,True,True,1.0,True,"{""0"": 0, ""1"": 0}","{""0"": [false], ""1"": [false]}",[false],True,[],0,True,False,True,True,True,2,0,[false],[null],1.0000000000000004,1.0147606447439264,0.020349302996314694,157.39549999852898,189.28849999792874,96,96,96,True,"[81, 81]","[81, 81]",False,6241,1.0,0.962330820103602,True,True
2,True,static,"[[23, 21]]","[[23, 21]]",True,True,True,2,coordinated,True,True,,0.0,"{""0"": false, ""1"": false}",2,2,"{""0"": {""commit_remaining"": 4, ""committed_segment"": [[24, 2], [23, 2], [22, 2], [21, 2], [20, 2], [19, 2], [18, 2], [18, 3], [18, 4]], ""robot_pos"": [24, 2]}, ""1"": {""commit_remaining"": 4, ""committed_segment"": [[35, 3], [35, 4], [35, 5], [35, 6], [35, 7], [35, 8], [35, 9], [35, 10], [35, 11]], ""robot_pos"": [35, 3]}}","{""0"": {""commit_remaining"": 3, ""committed_segment"": [[23, 2], [22, 2], [21, 2], [20, 2], [19, 2], [18, 2], [18, 3], [18, 4]], ""robot_pos"": [23, 2]}, ""1"": {""commit_remaining"": 3, ""committed_segment"": [[35, 4], [35, 5], [35, 6], [35, 7], [35, 8], [35, 9], [35, 10], [35, 11]], ""robot_pos"": [35, 4]}}","{""0"": {""exec_collision"": false, ""exec_collision_cell"": null, ""exec_move_success"": true, ""exec_new_robot_pos"": [23, 2], ""exec_result_present"": true}, ""1"": {""exec_collision"": false, ""exec_collision_cell"": null, ""exec_move_success"": true, ""exec_new_robot_pos"": [35, 4], ""exec_result_present"": true}}",True,True,True,1.0,True,"{""0"": 0, ""1"": 0}","{""0"": [false], ""1"": [false]}",[false],True,[],0,True,False,True,True,True,2,0,[false],[null],1.0,1.0182625378376318,0.023233456176894728,220.62159999768483,275.0794000021415,144,144,144,True,"[81, 81]","[81, 81]",False,6241,1.0,0.9401085807497632,True,True
3,True,static,"[[23, 21]]","[[23, 21]]",True,True,True,2,coordinated,True,True,,0.0,"{""0"": false, ""1"": false}",2,2,"{""0"": {""commit_remaining"": 4, ""committed_segment"": [[23, 2], [22, 2], [21, 2], [20, 2], [19, 2], [18, 2], [18, 3], [18, 4], [18, 5]], ""robot_pos"": [23, 2]}, ""1"": {""commit_remaining"": 4, ""committed_segment"": [[35, 4], [35, 5], [35, 6], [35, 7], [35, 8], [35, 9], [35, 10], [35, 11], [35, 12]], ""robot_pos"": [35, 4]}}","{""0"": {""commit_remaining"": 3, ""committed_segment"": [[22, 2], [21, 2], [20, 2], [19, 2], [18, 2], [18, 3], [18, 4], [18, 5]], ""robot_pos"": [22, 2]}, ""1"": {""commit_remaining"": 3, ""committed_segment"": [[35, 5], [35, 6], [35, 7], [35, 8], [35, 9], [35, 10], [35, 11], [35, 12]], ""robot_pos"": [35, 5]}}","{""0"": {""exec_collision"": false, ""exec_collision_cell"": null, ""exec_move_success"": true, ""exec_new_robot_pos"": [22, 2], ""exec_result_present"": true}, ""1"": {""exec_collision"": false, ""exec_collision_cell"": null, ""exec_move_success"": true, ""exec_new_robot_pos"": [35, 5], ""exec_result_present"": true}}",True,True,True,1.0,True,"{""0"": 0, ""1"": 0}","{""0"": [false], ""1"": [false]}",[false],True,[],0,True,False,True,True,True,2,0,[false],[null],0.9999999999999997,1.0212144196711532,0.026117609357474765,156.01890000107232,219.30330000031972,192,192,192,True,"[81, 81]","[81, 81]",False,6241,1.0,0.9505931127833618,True,True
4,True,static,"[[23, 21]]","[[23, 21]]",True,True,True,2,coordinated,True,True,,0.0,"{""0"": false, ""1"": false}",2,2,"{""0"": {""commit_remaining"": 4, ""committed_segment"": [[22, 2], [21, 2], [20, 2], [19, 2], [18, 2], [18, 3], [18, 4], [18, 5], [18, 6]], ""robot_pos"": [22, 2]}, ""1"": {""commit_remaining"": 4, ""committed_segment"": [[35, 5], [35, 6], [35, 7], [35, 8], [35, 9], [35, 10], [35, 11], [35, 12], [35, 13]], ""robot_pos"": [35, 5]}}","{""0"": {""commit_remaining"": 3, ""committed_segment"": [[21, 2], [20, 2], [19, 2], [18, 2], [18, 3], [18, 4], [18, 5], [18, 6]], ""robot_pos"": [21, 2]}, ""1"": {""commit_remaining"": 3, ""committed_segment"": [[35, 6], [35, 7], [35, 8], [35, 9], [35, 10], [35, 11], [35, 12], [35, 13]], ""robot_pos"": [35, 6]}}","{""0"": {""exec_collision"": false, ""exec_collision_cell"": null, ""exec_move_success"": true, ""exec_new_robot_pos"": [21, 2], ""exec_result_present"": true}, ""1"": {""exec_collision"": false, ""exec_collision_cell"": null, ""exec_move_success"": true, ""exec_new_robot_pos"": [35, 6], ""exec_result_present"": true}}",True,True,True,1.0,True,"{""0"": 0, ""1"": 0}","{""0"": [false], ""1"": [false]}",[false],True,[],0,True,False,True,True,True,2,0,[false],[null],1.0,1.0239777049750958,0.0290017625380548,206.86099999875296,278.3062999951653,240,240,240,True,"[81, 81]","[81, 81]",False,6241,1.0,0.9578895683648531,True,True
5,True,static,"[[23, 21]]","[[23, 21]]",True,True,True,2,coordinated,True,True,,0.0,"{""0"": false, ""1"": false}",2,2,"{""0"": {""commit_remaining"": 4, ""committed_segment"": [[21, 2], [20, 2], [19, 2], [18, 2], [18, 3], [18, 4], [18, 5], [18, 6], [18, 7]], ""robot_pos"": [21, 2]}, ""1"": {""commit_remaining"": 4, ""committed_segment"": [[35, 6], [35, 7], [35, 8], [35, 9], [35, 10], [35, 11], [35, 12], [35, 13], [35, 14]], ""robot_pos"": [35, 6]}}","{""0"": {""commit_remaining"": 3, ""committed_segment"": [[20, 2], [19, 2], [18, 2], [18, 3], [18, 4], [18, 5], [18, 6], [18, 7]], ""robot_pos"": [20, 2]}, ""1"": {""commit_remaining"": 3, ""committed_segment"": [[35, 7], [35, 8], [35, 9], [35, 10], [35, 11], [35, 12], [35, 13], [35, 14]], ""robot_pos"": [35, 7]}}","{""0"": {""exec_collision"": false, ""exec_collision_cell"": null, ""exec_move_success"": true, ""exec_new_robot_pos"": [20, 2], ""exec_result_present"": true}, ""1"": {""exec_collision"": false, ""exec_collision_cell"": null, ""exec_move_success"": true, ""exec_new_robot_pos"": [35, 7], ""exec_result_present"": true}}",True,True,True,1.0,True,"{""0"": 0, ""1"": 0}","{""0"": [false], ""1"": [false]}",[false],True,[],0,True,False,True,True,True,2,0,[false],[null],0.9999999999999998,1.026696227279051,0.03188591571863483,202.75240000046324,283.81969999463763,288,288,288,True,"[81, 81]","[81, 81]",False,6241,1.0,0.9560995524013366,True,True
6,True,static,"[[23, 21]]","[[23, 21]]",True,True,True,2,coordinated,True,True,,0.0,"{""0"": false, ""1"": false}",2,2,"{""0"": {""commit_remaining"": 4, ""committed_segment"": [[20, 2], [19, 2], [18, 2], [18, 3], [18, 4], [18, 5], [18, 6], [18, 7], [18, 8]], ""robot_pos"": [20, 2]}, ""1"": {""commit_remaining"": 4, ""committed_segment"": [[35, 7], [35, 8], [35, 9], [35, 10], [35, 11], [35, 12], [35, 13], [35, 14], [35, 15]], ""robot_pos"": [35, 7]}}","{""0"": {""commit_remaining"": 3, ""committed_segment"": [[19, 2], [18, 2], [18, 3], [18, 4], [18, 5], [18, 6], [18, 7], [18, 8]], ""robot_pos"": [19, 2]}, ""1"": {""commit_remaining"": 3, ""committed_segment"": [[35, 8], [35, 9], [35, 10], [35, 11], [35, 12], [35, 13], [35, 14], [35, 15]], ""robot_pos"": [35, 8]}}","{""0"": {""exec_collision"": false, ""exec_collision_cell"": null, ""exec_move_success"": true, ""exec_new_robot_pos"": [19, 2], ""exec_result_present"": true}, ""1"": {""exec_collision"": false, ""exec_collision_cell"": null, ""exec_move_success"": true, ""exec_new_robot_pos"": [35, 8], ""exec_result_present"": true}}",True,True,True,1.0,True,"{""0"": 0, ""1"": 0}","{""0"": [false], ""1"": [false]}",[false],True,[],0,True,False,True,True,True,2,0,[false],[null],0.9999999999999998,1.0294130911924777,0.03477006889921487,155.85060000012163,259.54710000223713,336,336,336,True,"[81, 81]","[81, 81]",False,6241,1.0,0.9268364705788296,True,True
7,True,static,"[[23, 21]]","[[23, 21]]",True,True,True,2,coordinated,True,True,,0.0,"{""0"": false, ""1"": false}",2,2,"{""0"": {""commit_remaining"": 4, ""committed_segment"": [[19, 2], [18, 2], [18, 3], [18, 4], [18, 5], [18, 6], [18, 7], [18, 8], [18, 9]], ""robot_pos"": [19, 2]}, ""1"": {""commit_remaining"": 4, ""committed_segment"": [[35, 8], [35, 9], [35, 10], [35, 11], [35, 12], [35, 13], [35, 14], [35, 15], [35, 16]], ""robot_pos"": [35, 8]}}","{""0"": {""commit_remaining"": 3, ""committed_segment"": [[18, 2], [18, 3], [18, 4], [18, 5], [18, 6], [18, 7], [18, 8], [18, 9]], ""robot_pos"": [18, 2]}, ""1"": {""commit_remaining"": 3, ""committed_segment"": [[35, 9], [35, 10], [35, 11], [35, 12], [35, 13], [35, 14], [35, 15], [35, 16]], ""robot_pos"": [35, 9]}}","{""0"": {""exec_collision"": false, ""exec_collision_cell"": null, ""exec_move_success"": true, ""exec_new_robot_pos"": [18, 2], ""exec_result_present"": true}, ""1"": {""exec_collision"": false, ""exec_collision_cell"": null, ""exec_move_success"": true, ""exec_new_robot_pos"": [35, 9], ""exec_result_present"": true}}",True,True,True,1.0,True,"{""0"": 0, ""1"": 0}","{""0"": [false], ""1"": [false]}",[false],True,[],0,True,False,True,True,True,2,0,[false],[null],0.9999999999999999,1.032140908208938,0.03765422207979491,153.56730000348762,272.97810000163736,384,384,384,True,"[81, 81]","[81, 81]",False,6241,1.0,0.9401938491421259,True,True
8,True,static,"[[23, 21]]","[[23, 21]]",True,True,True,2,coordinated,True,True,,0.0,"{""0"": false, ""1"": false}",2,2,"{""0"": {""commit_remaining"": 4, ""committed_segment"": [[18, 2], [18, 3], [18, 4], [18, 5], [18, 6], [18, 7], [18, 8], [18, 9], [18, 10]], ""robot_pos"": [18, 2]}, ""1"": {""commit_remaining"": 4, ""committed_segment"": [[35, 9], [35, 10], [35, 11], [35, 12], [35, 13], [35, 14], [35, 15], [35, 16], [35, 17]], ""robot_pos"": [35, 9]}}","{""0"": {""commit_remaining"": 3, ""committed_segment"": [[18, 3], [18, 4], [18, 5], [18, 6], [18, 7], [18, 8], [18, 9], [18, 10]], ""robot_pos"": [18, 3]}, ""1"": {""commit_remaining"": 3, ""committed_segment"": [[35, 10], [35, 11], [35, 12], [35, 13], [35, 14], [35, 15], [35, 16], [35, 17]], ""robot_pos"": [35, 10]}}","{""0"": {""exec_collision"": false, ""exec_collision_cell"": null, ""exec_move_success"": true, ""exec_new_robot_pos"": [18, 3], ""exec_result_present"": true}, ""1"": {""exec_collision"": false, ""exec_collision_cell"": null, ""exec_move_success"": true, ""exec_new_robot_pos"": [35, 10], ""exec_result_present"": true}}",True,True,True,1.0,True,"{""0"": 0, ""1"": 0}","{""0"": [false], ""1"": [false]}",[false],True,[],0,True,False,True,True,True,2,0,[false],[null],0.9999999999999996,1.0349041326817496,0.040378144528120496,151.74110000225483,275.44009999837726,400,400,400,True,"[81, 81]","[81, 81]",False,6241,1.0,0.943360992820128,True,True
9,True,static,"[[23, 21]]","[[23, 21]]",True,True,True,2,coordinated,True,True,,0.0,"{""0"": false, ""1"": false}",2,2,"{""0"": {""commit_remaining"": 4, ""committed_segment"": [[18, 3], [18, 4], [18, 5], [18, 6], [18, 7], [18, 8], [18, 9], [18, 10], [18, 11]], ""robot_pos"": [18, 3]}, ""1"": {""commit_remaining"": 4, ""committed_segment"": [[35, 10], [35, 11], [35, 12], [35, 13], [35, 14], [35, 15], [35, 16], [35, 17], [35, 18]], ""robot_pos"": [35, 10]}}","{""0"": {""commit_remaining"": 3, ""committed_segment"": [[18, 4], [18, 5], [18, 6], [18, 7], [18, 8], [18, 9], [18, 10], [18, 11]], ""robot_pos"": [18, 4]}, ""1"": {""commit_remaining"": 3, ""committed_segment"": [[35, 11], [35, 12], [35, 13], [35, 14], [35, 15], [35, 16], [35, 17], [35, 18]], ""robot_pos"": [35, 11]}}","{""0"": {""exec_collision"": false, ""exec_collision_cell"": null, ""exec_move_success"": true, ""exec_new_robot_pos"": [18, 4], ""exec_result_present"": true}, ""1"": {""exec_collision"": false, ""exec_collision_cell"": null, ""exec_move_success"": true, ""exec_new_robot_pos"": [35, 11], ""exec_result_present"": true}}",True,True,True,1.0,True,"{""0"": 0, ""1"": 0}","{""0"": [false], ""1"": [false]}",[false],True,[],0,True,False,True,True,True,2,0,[false],[null],0.9999999999999999,1.0378628425097518,0.043582759173209425,153.73080000426853,276.2018000066746,400,400,400,True,"[81, 81]","[81, 81]",False,6241,1.0,0.9200817650332744,True,True
10,True,static,"[[23, 21]]","[[23, 21]]",True,True,True,2,coordinated,True,True,,0.0,"{""0"": false, ""1"": false}",2,2,"{""0"": {""commit_remaining"": 4, ""committed_segment"": [[18, 4], [18, 5], [18, 6], [18, 7], [18, 8], [18, 9], [18, 10], [18, 11], [18, 12]], ""robot_pos"": [18, 4]}, ""1"": {""commit_remaining"": 4, ""committed_segment"": [[35, 11], [35, 12], [35, 13], [35, 14], [35, 15], [35, 16], [35, 17], [35, 18], [35, 19]], ""robot_pos"": [35, 11]}}","{""0"": {""commit_remaining"": 3, ""committed_segment"": [[18, 5], [18, 6], [18, 7], [18, 8], [18, 9], [18, 10], [18, 11], [18, 12]], ""robot_pos"": [18, 5]}, ""1"": {""commit_remaining"": 3, ""committed_segment"": [[35, 12], [35, 13], [35, 14], [35, 15], [35, 16], [35, 17], [35, 18], [35, 19]], ""robot_pos"": [35, 12]}}","{""0"": {""exec_collision"": false, ""exec_collision_cell"": null, ""exec_move_success"": true, ""exec_new_robot_pos"": [18, 5], ""exec_result_present"": true}, ""1"": {""exec_collision"": false, ""exec_collision_cell"": null, ""exec_move_success"": true, ""exec_new_robot_pos"": [35, 12], ""exec_result_present"": true}}",True,True,True,1.0,True,"{""0"": 0, ""1"": 0}","{""0"": [false], ""1"": [false]}",[false],True,[],0,True,False,True,True,True,2,0,[false],[null],1.0,1.0409837310719265,0.046947604550552795,152.2672999999486,252.94730000314303,400,400,400,True,"[81, 81]","[81, 81]",False,6241,1.0,0.9333266136700938,True,True
