scene,tick,rgb_present,semantic_present,rangefinder_present,rangefinder_hit,rangefinder_min_positive_range_m
baseline,1,True,True,True,False,
baseline,2,False,False,True,False,
baseline,3,False,False,True,False,
baseline,4,False,False,True,False,
baseline,5,False,False,True,False,
baseline,6,False,False,True,False,
baseline,7,True,True,True,False,
baseline,8,False,False,True,False,
baseline,9,False,False,True,False,
baseline,10,False,False,True,False,
baseline,11,False,False,True,False,
baseline,12,False,False,True,False,
baseline,13,True,True,True,False,
baseline,14,False,False,True,False,
baseline,15,False,False,True,False,
baseline,16,False,False,True,False,
baseline,17,False,False,True,False,
baseline,18,False,False,True,False,
baseline,19,True,True,True,False,
baseline,20,False,False,True,False,
baseline,21,False,False,True,False,
baseline,22,False,False,True,False,
baseline,23,False,False,True,False,
baseline,24,False,False,True,False,
baseline,25,True,True,True,False,
target_only,1,True,True,True,True,9.808594703674316
target_only,2,False,False,True,True,9.806900024414062
target_only,3,False,False,True,True,9.806139945983887
target_only,4,False,False,True,True,9.806924819946289
target_only,5,False,False,True,True,9.809453964233398
target_only,6,False,False,True,True,9.813199996948242
target_only,7,True,True,True,True,9.817981719970703
target_only,8,False,False,True,True,9.822698593139648
target_only,9,False,False,True,True,9.827059745788574
target_only,10,False,False,True,True,9.829926490783691
target_only,11,False,False,True,True,9.831096649169922
target_only,12,False,False,True,True,9.830384254455566
target_only,13,True,True,True,True,9.827508926391602
target_only,14,False,False,True,True,9.82280445098877
target_only,15,False,False,True,True,9.817100524902344
target_only,16,False,False,True,True,9.811321258544922
target_only,17,False,False,True,True,9.80588436126709
target_only,18,False,False,True,True,9.801578521728516
target_only,19,True,True,True,True,9.799291610717773
target_only,20,False,False,True,True,9.799291610717773
target_only,21,False,False,True,True,9.80123233795166
target_only,22,False,False,True,True,9.805035591125488
target_only,23,False,False,True,True,9.809870719909668
target_only,24,False,False,True,True,9.814986228942871
target_only,25,True,True,True,True,9.819884300231934
distractor_only,1,True,True,True,True,11.555341720581055
distractor_only,2,False,False,True,True,11.566181182861328
distractor_only,3,False,False,True,True,11.577733039855957
distractor_only,4,False,False,True,True,11.588369369506836
distractor_only,5,False,False,True,True,11.596922874450684
distractor_only,6,False,False,True,True,11.601988792419434
distractor_only,7,True,True,True,True,11.603297233581543
distractor_only,8,False,False,True,True,11.600951194763184
distractor_only,9,False,False,True,True,11.595684051513672
distractor_only,10,False,False,True,True,11.588417053222656
distractor_only,11,False,False,True,True,11.580599784851074
distractor_only,12,False,False,True,True,11.572929382324219
distractor_only,13,True,True,True,True,11.566413879394531
distractor_only,14,False,False,True,True,11.56148910522461
distractor_only,15,False,False,True,True,11.558693885803223
distractor_only,16,False,False,True,True,11.557917594909668
distractor_only,17,False,False,True,True,11.559008598327637
distractor_only,18,False,False,True,True,11.561644554138184
distractor_only,19,True,True,True,True,11.565617561340332
distractor_only,20,False,False,True,True,11.570067405700684
distractor_only,21,False,False,True,True,11.574458122253418
distractor_only,22,False,False,True,True,11.578194618225098
distractor_only,23,False,False,True,True,11.580826759338379
distractor_only,24,False,False,True,True,11.58209228515625
distractor_only,25,True,True,True,True,11.581938743591309
target_and_distractor,1,True,True,True,True,9.831196784973145
target_and_distractor,2,False,False,True,True,9.832413673400879
target_and_distractor,3,False,False,True,True,9.832096099853516
target_and_distractor,4,False,False,True,True,9.83022403717041
target_and_distractor,5,False,False,True,True,9.826716423034668
target_and_distractor,6,False,False,True,True,9.822619438171387
target_and_distractor,7,True,True,True,True,9.818696022033691
target_and_distractor,8,False,False,True,True,9.81534194946289
target_and_distractor,9,False,False,True,True,9.813088417053223
target_and_distractor,10,False,False,True,True,9.811823844909668
target_and_distractor,11,False,False,True,True,9.811156272888184
target_and_distractor,12,False,False,True,True,9.8108491897583
target_and_distractor,13,True,True,True,True,9.811925888061523
target_and_distractor,14,False,False,True,True,9.813953399658203
target_and_distractor,15,False,False,True,True,9.816483497619629
target_and_distractor,16,False,False,True,True,9.819171905517578
target_and_distractor,17,False,False,True,True,9.821825981140137
target_and_distractor,18,False,False,True,True,9.824097633361816
target_and_distractor,19,True,True,True,True,9.826025009155273
target_and_distractor,20,False,False,True,True,9.827229499816895
target_and_distractor,21,False,False,True,True,9.82749080657959
target_and_distractor,22,False,False,True,True,9.826491355895996
target_and_distractor,23,False,False,True,True,9.824591636657715
target_and_distractor,24,False,False,True,True,9.821941375732422
target_and_distractor,25,True,True,True,True,9.818909645080566
