scene,tick,rgb_present,rangefinder_present,rangefinder_hit,rangefinder_min_positive_range_m
baseline,1,True,True,False,
baseline,2,False,True,False,
baseline,3,False,True,False,
baseline,4,False,True,False,
baseline,5,False,True,False,
baseline,6,False,True,False,
baseline,7,True,True,False,
baseline,8,False,True,False,
baseline,9,False,True,False,
baseline,10,False,True,False,
baseline,11,False,True,False,
baseline,12,False,True,False,
baseline,13,True,True,False,
baseline,14,False,True,False,
baseline,15,False,True,False,
baseline,16,False,True,False,
baseline,17,False,True,False,
baseline,18,False,True,False,
baseline,19,True,True,False,
baseline,20,False,True,False,
baseline,21,False,True,False,
baseline,22,False,True,False,
baseline,23,False,True,False,
baseline,24,False,True,False,
baseline,25,True,True,False,
target_calibration,1,True,True,True,7.813977241516113
target_calibration,2,False,True,True,7.811336040496826
target_calibration,3,False,True,True,7.8084893226623535
target_calibration,4,False,True,True,7.806045055389404
target_calibration,5,False,True,True,7.80513858795166
target_calibration,6,False,True,True,7.805263042449951
target_calibration,7,True,True,True,7.806139945983887
target_calibration,8,False,True,True,7.8075761795043945
target_calibration,9,False,True,True,7.8094563484191895
target_calibration,10,False,True,True,7.811854362487793
target_calibration,11,False,True,True,7.814306259155273
target_calibration,12,False,True,True,7.81610107421875
target_calibration,13,True,True,True,7.816717147827148
target_calibration,14,False,True,True,7.8162126541137695
target_calibration,15,False,True,True,7.814582347869873
target_calibration,16,False,True,True,7.811881065368652
target_calibration,17,False,True,True,7.808803081512451
target_calibration,18,False,True,True,7.8055620193481445
target_calibration,19,True,True,True,7.802587509155273
target_calibration,20,False,True,True,7.800262451171875
target_calibration,21,False,True,True,7.798758029937744
target_calibration,22,False,True,True,7.798638820648193
target_calibration,23,False,True,True,7.799943447113037
target_calibration,24,False,True,True,7.802468776702881
target_calibration,25,True,True,True,7.806035995483398
detection_step,1,True,True,True,7.827948093414307
detection_step,2,False,True,True,7.829953193664551
detection_step,3,False,True,True,7.83175802230835
detection_step,4,False,True,True,7.833616256713867
detection_step,5,False,True,True,7.835289478302002
detection_step,6,False,True,True,7.836500644683838
detection_step,7,True,True,True,7.837062358856201
detection_step,8,False,True,True,7.8366265296936035
detection_step,9,False,True,True,7.835822582244873
detection_step,10,False,True,True,7.834923267364502
detection_step,11,False,True,True,7.833878040313721
detection_step,12,False,True,True,7.832938194274902
detection_step,13,True,True,True,7.831856727600098
detection_step,14,False,True,True,7.830589771270752
detection_step,15,False,True,True,7.829684257507324
detection_step,16,False,True,True,7.828927993774414
detection_step,17,False,True,True,7.8284831047058105
detection_step,18,False,True,True,7.828494071960449
detection_step,19,True,True,True,7.828739643096924
detection_step,20,False,True,True,7.829136371612549
detection_step,21,False,True,True,7.829611301422119
detection_step,22,False,True,True,7.830567836761475
detection_step,23,False,True,True,7.831605434417725
detection_step,24,False,True,True,7.832656383514404
detection_step,25,True,True,True,7.833601474761963
