scene,tick,rgb_present,rangefinder_present,rangefinder_hit,rangefinder_min_positive_range_m
baseline,1,True,True,False,
baseline,2,False,True,False,
baseline,3,False,True,False,
baseline,4,False,True,False,
baseline,5,False,True,False,
baseline,6,False,True,False,
baseline,7,True,True,False,
baseline,8,False,True,False,
baseline,9,False,True,False,
baseline,10,False,True,False,
baseline,11,False,True,False,
baseline,12,False,True,False,
baseline,13,True,True,False,
baseline,14,False,True,False,
baseline,15,False,True,False,
baseline,16,False,True,False,
baseline,17,False,True,False,
baseline,18,False,True,False,
baseline,19,True,True,False,
baseline,20,False,True,False,
baseline,21,False,True,False,
baseline,22,False,True,False,
baseline,23,False,True,False,
baseline,24,False,True,False,
baseline,25,True,True,False,
target_only,1,True,True,True,7.820077419281006
target_only,2,False,True,True,7.821289539337158
target_only,3,False,True,True,7.821733474731445
target_only,4,False,True,True,7.82148551940918
target_only,5,False,True,True,7.819734573364258
target_only,6,False,True,True,7.8171000480651855
target_only,7,True,True,True,7.813788414001465
target_only,8,False,True,True,7.810396671295166
target_only,9,False,True,True,7.8070502281188965
target_only,10,False,True,True,7.8043317794799805
target_only,11,False,True,True,7.802355766296387
target_only,12,False,True,True,7.801519393920898
target_only,13,True,True,True,7.8022356033325195
target_only,14,False,True,True,7.80476188659668
target_only,15,False,True,True,7.808623790740967
target_only,16,False,True,True,7.813097953796387
target_only,17,False,True,True,7.8175950050354
target_only,18,False,True,True,7.8215250968933105
target_only,19,True,True,True,7.824532985687256
target_only,20,False,True,True,7.826240062713623
target_only,21,False,True,True,7.826718330383301
target_only,22,False,True,True,7.826266288757324
target_only,23,False,True,True,7.824625015258789
target_only,24,False,True,True,7.822089672088623
target_only,25,True,True,True,7.818691253662109
distractor_only,1,True,True,True,9.555031776428223
distractor_only,2,False,True,True,9.566915512084961
distractor_only,3,False,True,True,9.57955551147461
distractor_only,4,False,True,True,9.591222763061523
distractor_only,5,False,True,True,9.600135803222656
distractor_only,6,False,True,True,9.605025291442871
distractor_only,7,True,True,True,9.605408668518066
distractor_only,8,False,True,True,9.601653099060059
distractor_only,9,False,True,True,9.594922065734863
distractor_only,10,False,True,True,9.586560249328613
distractor_only,11,False,True,True,9.577824592590332
distractor_only,12,False,True,True,9.569814682006836
distractor_only,13,True,True,True,9.563206672668457
distractor_only,14,False,True,True,9.558951377868652
distractor_only,15,False,True,True,9.557175636291504
distractor_only,16,False,True,True,9.557668685913086
distractor_only,17,False,True,True,9.56017017364502
distractor_only,18,False,True,True,9.564358711242676
distractor_only,19,True,True,True,9.569636344909668
distractor_only,20,False,True,True,9.574767112731934
distractor_only,21,False,True,True,9.579068183898926
distractor_only,22,False,True,True,9.582194328308105
distractor_only,23,False,True,True,9.583907127380371
distractor_only,24,False,True,True,9.58414077758789
distractor_only,25,True,True,True,9.583035469055176
target_and_distractor,1,True,True,True,7.831895351409912
target_and_distractor,2,False,True,True,7.833156585693359
target_and_distractor,3,False,True,True,7.834056377410889
target_and_distractor,4,False,True,True,7.834278106689453
target_and_distractor,5,False,True,True,7.8334784507751465
target_and_distractor,6,False,True,True,7.832111835479736
target_and_distractor,7,True,True,True,7.83017635345459
target_and_distractor,8,False,True,True,7.8281402587890625
target_and_distractor,9,False,True,True,7.826013565063477
target_and_distractor,10,False,True,True,7.824100494384766
target_and_distractor,11,False,True,True,7.822790145874023
target_and_distractor,12,False,True,True,7.822021961212158
target_and_distractor,13,True,True,True,7.822213172912598
target_and_distractor,14,False,True,True,7.82356071472168
target_and_distractor,15,False,True,True,7.825127124786377
target_and_distractor,16,False,True,True,7.82682991027832
target_and_distractor,17,False,True,True,7.828362941741943
target_and_distractor,18,False,True,True,7.829507350921631
target_and_distractor,19,True,True,True,7.830243110656738
target_and_distractor,20,False,True,True,7.831082344055176
target_and_distractor,21,False,True,True,7.831425189971924
target_and_distractor,22,False,True,True,7.831498622894287
target_and_distractor,23,False,True,True,7.831094264984131
target_and_distractor,24,False,True,True,7.830202102661133
target_and_distractor,25,True,True,True,7.829103946685791
