scene,target_orientation,target_position,target_distance,distractor_condition,rangefinder_boundary_condition,target_present,rgb_has_target_signature,rgb_has_distractor_signature,rangefinder_hit,sensor_detected_target,rangefinder_min_positive_range_m,outcome_class,failure_mode,target_presence_match,rangefinder_hit_identity_ambiguous,rgb_artifact
baseline,none,center,none,none,no_object_no_range_hit,False,False,False,False,False,,true_negative,none,True,False,baseline_GP\results\holoocean_bridge_v1\phase5c4d_rgb_rangefinder_static_detection_adapter_robustness_boundary\visuals\baseline_rgb.png
target_front_center_near,front_yaw0,center,near_10m,none,rangefinder_centerline_hit_expected,True,True,False,True,True,7.829494476318359,true_positive,none,True,False,baseline_GP\results\holoocean_bridge_v1\phase5c4d_rgb_rangefinder_static_detection_adapter_robustness_boundary\visuals\target_front_center_near_rgb.png
target_yaw45_center_near,oblique_yaw45,center,near_10m,none,rangefinder_centerline_hit_expected,True,True,True,True,True,8.239830017089844,true_positive,none,True,False,baseline_GP\results\holoocean_bridge_v1\phase5c4d_rgb_rangefinder_static_detection_adapter_robustness_boundary\visuals\target_yaw45_center_near_rgb.png
target_yaw90_center_near,side_yaw90,center,near_10m,none,rangefinder_centerline_hit_expected,True,True,True,True,True,8.755372047424316,true_positive,none,True,False,baseline_GP\results\holoocean_bridge_v1\phase5c4d_rgb_rangefinder_static_detection_adapter_robustness_boundary\visuals\target_yaw90_center_near_rgb.png
target_left_offset_near,front_yaw0,left_offset,near_10m,none,rgb_visible_but_single_ray_may_miss,True,True,False,False,False,,false_negative,false_negative_no_range_hit,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4d_rgb_rangefinder_static_detection_adapter_robustness_boundary\visuals\target_left_offset_near_rgb.png
target_right_offset_near,front_yaw0,right_offset,near_10m,none,rgb_visible_but_single_ray_may_miss,True,True,False,False,False,,false_negative,false_negative_no_range_hit,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4d_rgb_rangefinder_static_detection_adapter_robustness_boundary\visuals\target_right_offset_near_rgb.png
target_right_fov_edge_near,front_yaw0,right_fov_edge,near_10m,none,rgb_edge_and_single_ray_miss_candidate,True,False,False,False,False,,false_negative,false_negative_no_rgb_signature_and_no_range_hit,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4d_rgb_rangefinder_static_detection_adapter_robustness_boundary\visuals\target_right_fov_edge_near_rgb.png
target_front_center_mid,front_yaw0,center,mid_30m,none,rangefinder_centerline_hit_expected,True,False,True,True,False,27.80121421813965,false_negative,false_negative_no_rgb_signature,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4d_rgb_rangefinder_static_detection_adapter_robustness_boundary\visuals\target_front_center_mid_rgb.png
target_front_center_far,front_yaw0,center,far_70m,none,rangefinder_centerline_hit_expected_but_rgb_small,True,False,True,True,False,67.81819152832031,false_negative,false_negative_no_rgb_signature,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4d_rgb_rangefinder_static_detection_adapter_robustness_boundary\visuals\target_front_center_far_rgb.png
distractor_only_center,none,center,near_10m,distractor_only,rangefinder_hit_rgb_not_target,False,False,True,True,False,9.553488731384277,true_negative,none,True,False,baseline_GP\results\holoocean_bridge_v1\phase5c4d_rgb_rangefinder_static_detection_adapter_robustness_boundary\visuals\distractor_only_center_rgb.png
target_with_side_distractor,front_yaw0,center,near_10m,side_distractor,rangefinder_centerline_hit_expected,True,True,True,True,True,7.809057235717773,true_positive,none,True,False,baseline_GP\results\holoocean_bridge_v1\phase5c4d_rgb_rangefinder_static_detection_adapter_robustness_boundary\visuals\target_with_side_distractor_rgb.png
distractor_occludes_target,front_yaw0,center,near_14m_occluded,occluding_distractor,rangefinder_hit_may_be_distractor,True,True,True,True,True,8.561053276062012,true_positive,none,True,True,baseline_GP\results\holoocean_bridge_v1\phase5c4d_rgb_rangefinder_static_detection_adapter_robustness_boundary\visuals\distractor_occludes_target_rgb.png
target_rgb_rangefinder_mismatch_candidate,front_yaw0,right_edge_outside_single_ray,near_12m,none,rgb_target_signature_but_rangefinder_miss_candidate,True,False,True,False,False,,false_negative,false_negative_no_rgb_signature_and_no_range_hit,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4d_rgb_rangefinder_static_detection_adapter_robustness_boundary\visuals\target_rgb_rangefinder_mismatch_candidate_rgb.png
