scene,tick,rgb_present,rangefinder_present,rangefinder_hit,rangefinder_min_positive_range_m
baseline,1,True,True,False,
baseline,2,False,True,False,
baseline,3,False,True,False,
baseline,4,False,True,False,
baseline,5,False,True,False,
baseline,6,False,True,False,
baseline,7,True,True,False,
baseline,8,False,True,False,
baseline,9,False,True,False,
baseline,10,False,True,False,
baseline,11,False,True,False,
baseline,12,False,True,False,
target_front_center_near,1,True,True,True,7.829494476318359
target_front_center_near,2,False,True,True,7.832174777984619
target_front_center_near,3,False,True,True,7.8321757316589355
target_front_center_near,4,False,True,True,7.829178333282471
target_front_center_near,5,False,True,True,7.823599815368652
target_front_center_near,6,False,True,True,7.8168158531188965
target_front_center_near,7,True,True,True,7.810004711151123
target_front_center_near,8,False,True,True,7.803815841674805
target_front_center_near,9,False,True,True,7.798892974853516
target_front_center_near,10,False,True,True,7.795462131500244
target_front_center_near,11,False,True,True,7.793785572052002
target_front_center_near,12,False,True,True,7.793982028961182
target_yaw45_center_near,1,True,True,True,8.239830017089844
target_yaw45_center_near,2,False,True,True,8.239830017089844
target_yaw45_center_near,3,False,True,True,8.239830017089844
target_yaw45_center_near,4,False,True,True,8.239830017089844
target_yaw45_center_near,5,False,True,True,8.239830017089844
target_yaw45_center_near,6,False,True,True,8.239830017089844
target_yaw45_center_near,7,True,True,True,8.239830017089844
target_yaw45_center_near,8,False,True,True,8.239830017089844
target_yaw45_center_near,9,False,True,True,8.239830017089844
target_yaw45_center_near,10,False,True,True,8.239830017089844
target_yaw45_center_near,11,False,True,True,8.239830017089844
target_yaw45_center_near,12,False,True,True,8.239830017089844
target_yaw90_center_near,1,True,True,True,8.755372047424316
target_yaw90_center_near,2,False,True,True,8.755372047424316
target_yaw90_center_near,3,False,True,True,8.755372047424316
target_yaw90_center_near,4,False,True,True,8.755372047424316
target_yaw90_center_near,5,False,True,True,8.755372047424316
target_yaw90_center_near,6,False,True,True,8.755372047424316
target_yaw90_center_near,7,True,True,True,8.755372047424316
target_yaw90_center_near,8,False,True,True,8.755372047424316
target_yaw90_center_near,9,False,True,True,8.755372047424316
target_yaw90_center_near,10,False,True,True,8.755372047424316
target_yaw90_center_near,11,False,True,True,8.755372047424316
target_yaw90_center_near,12,False,True,True,8.755372047424316
target_left_offset_near,1,True,True,False,
target_left_offset_near,2,False,True,False,
target_left_offset_near,3,False,True,False,
target_left_offset_near,4,False,True,False,
target_left_offset_near,5,False,True,False,
target_left_offset_near,6,False,True,False,
target_left_offset_near,7,True,True,False,
target_left_offset_near,8,False,True,False,
target_left_offset_near,9,False,True,False,
target_left_offset_near,10,False,True,False,
target_left_offset_near,11,False,True,False,
target_left_offset_near,12,False,True,False,
target_right_offset_near,1,True,True,False,
target_right_offset_near,2,False,True,False,
target_right_offset_near,3,False,True,False,
target_right_offset_near,4,False,True,False,
target_right_offset_near,5,False,True,False,
target_right_offset_near,6,False,True,False,
target_right_offset_near,7,True,True,False,
target_right_offset_near,8,False,True,False,
target_right_offset_near,9,False,True,False,
target_right_offset_near,10,False,True,False,
target_right_offset_near,11,False,True,False,
target_right_offset_near,12,False,True,False,
target_right_fov_edge_near,1,True,True,False,
target_right_fov_edge_near,2,False,True,False,
target_right_fov_edge_near,3,False,True,False,
target_right_fov_edge_near,4,False,True,False,
target_right_fov_edge_near,5,False,True,False,
target_right_fov_edge_near,6,False,True,False,
target_right_fov_edge_near,7,True,True,False,
target_right_fov_edge_near,8,False,True,False,
target_right_fov_edge_near,9,False,True,False,
target_right_fov_edge_near,10,False,True,False,
target_right_fov_edge_near,11,False,True,False,
target_right_fov_edge_near,12,False,True,False,
target_front_center_mid,1,True,True,True,27.80121421813965
target_front_center_mid,2,False,True,True,27.797029495239258
target_front_center_mid,3,False,True,True,27.79437828063965
target_front_center_mid,4,False,True,True,27.794639587402344
target_front_center_mid,5,False,True,True,27.797460556030273
target_front_center_mid,6,False,True,True,27.802001953125
target_front_center_mid,7,True,True,True,27.807790756225586
target_front_center_mid,8,False,True,True,27.814001083374023
target_front_center_mid,9,False,True,True,27.82000160217285
target_front_center_mid,10,False,True,True,27.824522018432617
target_front_center_mid,11,False,True,True,27.826765060424805
target_front_center_mid,12,False,True,True,27.82666778564453
target_front_center_far,1,True,True,True,67.81819152832031
target_front_center_far,2,False,True,True,67.81982421875
target_front_center_far,3,False,True,True,67.8205337524414
target_front_center_far,4,False,True,True,67.81941223144531
target_front_center_far,5,False,True,True,67.81622314453125
target_front_center_far,6,False,True,True,67.81241607666016
target_front_center_far,7,True,True,True,67.80851745605469
target_front_center_far,8,False,True,True,67.80506896972656
target_front_center_far,9,False,True,True,67.802490234375
target_front_center_far,10,False,True,True,67.80052947998047
target_front_center_far,11,False,True,True,67.7984619140625
target_front_center_far,12,False,True,True,67.79719543457031
distractor_only_center,1,True,True,True,9.553488731384277
distractor_only_center,2,False,True,True,9.563727378845215
distractor_only_center,3,False,True,True,9.574305534362793
distractor_only_center,4,False,True,True,9.583909034729004
distractor_only_center,5,False,True,True,9.591269493103027
distractor_only_center,6,False,True,True,9.59525203704834
distractor_only_center,7,True,True,True,9.595320701599121
distractor_only_center,8,False,True,True,9.5918550491333
distractor_only_center,9,False,True,True,9.585887908935547
distractor_only_center,10,False,True,True,9.578895568847656
distractor_only_center,11,False,True,True,9.571656227111816
distractor_only_center,12,False,True,True,9.565221786499023
target_with_side_distractor,1,True,True,True,7.809057235717773
target_with_side_distractor,2,False,True,True,7.807844638824463
target_with_side_distractor,3,False,True,True,7.806812763214111
target_with_side_distractor,4,False,True,True,7.806530952453613
target_with_side_distractor,5,False,True,True,7.807569980621338
target_with_side_distractor,6,False,True,True,7.809564113616943
target_with_side_distractor,7,True,True,True,7.812475681304932
target_with_side_distractor,8,False,True,True,7.815919876098633
target_with_side_distractor,9,False,True,True,7.819253921508789
target_with_side_distractor,10,False,True,True,7.821960926055908
target_with_side_distractor,11,False,True,True,7.823397159576416
target_with_side_distractor,12,False,True,True,7.823572158813477
distractor_occludes_target,1,True,True,True,8.561053276062012
distractor_occludes_target,2,False,True,True,8.57374382019043
distractor_occludes_target,3,False,True,True,8.587788581848145
distractor_occludes_target,4,False,True,True,8.601333618164062
distractor_occludes_target,5,False,True,True,8.61231517791748
distractor_occludes_target,6,False,True,True,8.618836402893066
distractor_occludes_target,7,True,True,True,8.61960506439209
distractor_occludes_target,8,False,True,True,8.61496639251709
distractor_occludes_target,9,False,True,True,8.606616973876953
distractor_occludes_target,10,False,True,True,8.596667289733887
distractor_occludes_target,11,False,True,True,8.586838722229004
distractor_occludes_target,12,False,True,True,8.578143119812012
target_rgb_rangefinder_mismatch_candidate,1,True,True,False,
target_rgb_rangefinder_mismatch_candidate,2,False,True,False,
target_rgb_rangefinder_mismatch_candidate,3,False,True,False,
target_rgb_rangefinder_mismatch_candidate,4,False,True,False,
target_rgb_rangefinder_mismatch_candidate,5,False,True,False,
target_rgb_rangefinder_mismatch_candidate,6,False,True,False,
target_rgb_rangefinder_mismatch_candidate,7,True,True,False,
target_rgb_rangefinder_mismatch_candidate,8,False,True,False,
target_rgb_rangefinder_mismatch_candidate,9,False,True,False,
target_rgb_rangefinder_mismatch_candidate,10,False,True,False,
target_rgb_rangefinder_mismatch_candidate,11,False,True,False,
target_rgb_rangefinder_mismatch_candidate,12,False,True,False,
