scene,target_position,target_distance,distractor_condition,target_present,rgb_has_target_signature,rgb_has_distractor_signature,rgb_signature_bbox_xyxy,rgb_signature_sector,rangefinder_raw_beams,rangefinder_hit_beam_indices,rangefinder_hit_sectors,any_rangefinder_hit,matched_rangefinder_beam_hit,found_any_hit,found_aligned,outcome_any_hit,outcome_aligned,failure_mode_any_hit,failure_mode_aligned,any_beam_without_aligned_match,rangefinder_min_positive_range_m,rgb_artifact
baseline,center,none,none,False,False,False,,none,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],[],False,False,False,False,true_negative,true_negative,none,none,False,,baseline_GP\results\holoocean_bridge_v1\phase5c4e_rgb_multiray_rangefinder_fan_boundary\visuals\baseline_rgb.png
target_front_center_near,center,near_10m,none,True,True,False,"[134, 123, 184, 164]",center,"[-1.0, -1.0, -1.0, 7.882734298706055, 7.815296173095703, 7.882734298706055, -1.0, -1.0, -1.0]","[3, 4, 5]","[""center""]",True,True,True,True,true_positive,true_positive,none,none,False,7.815296173095703,baseline_GP\results\holoocean_bridge_v1\phase5c4e_rgb_multiray_rangefinder_fan_boundary\visuals\target_front_center_near_rgb.png
target_left_offset_near,left_offset,near_10m,none,True,True,False,"[25, 123, 220, 164]",center,"[11.504491806030273, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[0],"[""left""]",True,False,True,False,true_positive,false_negative,none,false_negative_no_required_range_hit,True,11.504491806030273,baseline_GP\results\holoocean_bridge_v1\phase5c4e_rgb_multiray_rangefinder_fan_boundary\visuals\target_left_offset_near_rgb.png
target_right_offset_near,right_offset,near_10m,none,True,True,False,"[235, 123, 293, 165]",right,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 11.510743141174316]",[8],"[""right""]",True,True,True,True,true_positive,true_positive,none,none,False,11.510743141174316,baseline_GP\results\holoocean_bridge_v1\phase5c4e_rgb_multiray_rangefinder_fan_boundary\visuals\target_right_offset_near_rgb.png
target_left_fov_edge_near,left_fov_edge,near_10m,none,True,False,False,,none,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],[],False,False,False,False,false_negative,false_negative,false_negative_no_rgb_signature_and_no_required_range_hit,false_negative_no_rgb_signature_and_no_required_range_hit,False,,baseline_GP\results\holoocean_bridge_v1\phase5c4e_rgb_multiray_rangefinder_fan_boundary\visuals\target_left_fov_edge_near_rgb.png
target_right_fov_edge_near,right_fov_edge,near_10m,none,True,False,True,"[219, 132, 254, 138]",right,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],[],False,False,False,False,false_negative,false_negative,false_negative_no_rgb_signature_and_no_required_range_hit,false_negative_no_rgb_signature_and_no_required_range_hit,False,,baseline_GP\results\holoocean_bridge_v1\phase5c4e_rgb_multiray_rangefinder_fan_boundary\visuals\target_right_fov_edge_near_rgb.png
target_front_center_mid,center,mid_30m,none,True,False,True,"[153, 121, 167, 131]",center,"[-1.0, -1.0, -1.0, -1.0, 27.82425308227539, -1.0, -1.0, -1.0, -1.0]",[4],"[""center""]",True,True,False,False,false_negative,false_negative,false_negative_no_rgb_signature,false_negative_no_rgb_signature,False,27.82425308227539,baseline_GP\results\holoocean_bridge_v1\phase5c4e_rgb_multiray_rangefinder_fan_boundary\visuals\target_front_center_mid_rgb.png
target_front_center_far,center,far_70m,none,True,False,True,"[157, 121, 162, 124]",center,"[-1.0, -1.0, -1.0, -1.0, 67.81669616699219, -1.0, -1.0, -1.0, -1.0]",[4],"[""center""]",True,True,False,False,false_negative,false_negative,false_negative_no_rgb_signature,false_negative_no_rgb_signature,False,67.81669616699219,baseline_GP\results\holoocean_bridge_v1\phase5c4e_rgb_multiray_rangefinder_fan_boundary\visuals\target_front_center_far_rgb.png
distractor_only_center,center,near_10m,distractor_only_center,False,False,True,"[152, 138, 167, 155]",center,"[-1.0, -1.0, -1.0, -1.0, 9.555858612060547, -1.0, -1.0, -1.0, -1.0]",[4],"[""center""]",True,True,False,False,true_negative,true_negative,none,none,False,9.555858612060547,baseline_GP\results\holoocean_bridge_v1\phase5c4e_rgb_multiray_rangefinder_fan_boundary\visuals\distractor_only_center_rgb.png
distractor_only_left,left_offset,near_10m,distractor_only_left,False,True,True,"[38, 137, 57, 156]",left,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],[],False,False,False,False,true_negative,true_negative,none,none,False,,baseline_GP\results\holoocean_bridge_v1\phase5c4e_rgb_multiray_rangefinder_fan_boundary\visuals\distractor_only_left_rgb.png
distractor_only_right,right_offset,near_10m,distractor_only_right,False,True,True,"[262, 138, 281, 155]",right,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],[],False,False,False,False,true_negative,true_negative,none,none,False,,baseline_GP\results\holoocean_bridge_v1\phase5c4e_rgb_multiray_rangefinder_fan_boundary\visuals\distractor_only_right_rgb.png
