scene,tick,rgb_present,rangefinder_present,native_multiray_rangefinder_raw_beams,native_multiray_any_hit,rangefinder_raw_beams,rangefinder_hit_beam_indices,rangefinder_hit_sectors,any_rangefinder_hit,rangefinder_min_positive_range_m
baseline,1,True,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],[],False,
baseline,2,False,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],[],False,
baseline,3,False,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],[],False,
baseline,4,False,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],[],False,
baseline,5,False,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],[],False,
baseline,6,False,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],[],False,
baseline,7,True,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],[],False,
baseline,8,False,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],[],False,
baseline,9,False,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],[],False,
baseline,10,False,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],[],False,
baseline,11,False,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],[],False,
baseline,12,False,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],[],False,
target_front_center_near,1,True,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False,"[-1.0, -1.0, -1.0, 7.882734298706055, 7.815296173095703, 7.882734298706055, -1.0, -1.0, -1.0]","[3, 4, 5]","[""center""]",True,7.815296173095703
target_front_center_near,2,False,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False,"[-1.0, -1.0, -1.0, 7.882898330688477, 7.81545877456665, 7.882898330688477, -1.0, -1.0, -1.0]","[3, 4, 5]","[""center""]",True,7.81545877456665
target_front_center_near,3,False,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False,"[-1.0, -1.0, -1.0, 7.882275581359863, 7.814841270446777, 7.882275581359863, -1.0, -1.0, -1.0]","[3, 4, 5]","[""center""]",True,7.814841270446777
target_front_center_near,4,False,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False,"[-1.0, -1.0, -1.0, 7.881833076477051, 7.8144025802612305, 7.881833076477051, -1.0, -1.0, -1.0]","[3, 4, 5]","[""center""]",True,7.8144025802612305
target_front_center_near,5,False,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False,"[-1.0, -1.0, -1.0, 7.881079196929932, 7.813655376434326, 7.881079196929932, -1.0, -1.0, -1.0]","[3, 4, 5]","[""center""]",True,7.813655376434326
target_front_center_near,6,False,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False,"[-1.0, -1.0, -1.0, 7.880401134490967, 7.812982559204102, 7.880401134490967, -1.0, -1.0, -1.0]","[3, 4, 5]","[""center""]",True,7.812982559204102
target_front_center_near,7,True,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False,"[-1.0, -1.0, -1.0, 7.880323886871338, 7.8129072189331055, 7.880323886871338, -1.0, -1.0, -1.0]","[3, 4, 5]","[""center""]",True,7.8129072189331055
target_front_center_near,8,False,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False,"[-1.0, -1.0, -1.0, 7.880670070648193, 7.8132500648498535, 7.880670070648193, -1.0, -1.0, -1.0]","[3, 4, 5]","[""center""]",True,7.8132500648498535
target_front_center_near,9,False,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False,"[-1.0, -1.0, -1.0, 7.88145637512207, 7.814028739929199, 7.88145637512207, -1.0, -1.0, -1.0]","[3, 4, 5]","[""center""]",True,7.814028739929199
