scene,tick,rgb_present,rangefinder_raw_beams,rangefinder_hit_beam_indices,any_rangefinder_hit,rangefinder_min_positive_range_m
baseline,1,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,2,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,3,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,4,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,5,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,6,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,7,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,8,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,9,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,10,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,11,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,12,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
target_front_center_10m,1,True,"[-1.0, -1.0, -1.0, 7.8847336769104, 7.8172783851623535, 7.8847336769104, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.8172783851623535
target_front_center_10m,2,False,"[-1.0, -1.0, -1.0, 7.8850531578063965, 7.817595958709717, 7.8850531578063965, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.817595958709717
target_front_center_10m,3,False,"[-1.0, -1.0, -1.0, 7.885282039642334, 7.817822456359863, 7.885282039642334, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.817822456359863
target_front_center_10m,4,False,"[-1.0, -1.0, -1.0, 7.885605335235596, 7.818143367767334, 7.885605335235596, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.818143367767334
target_front_center_10m,5,False,"[-1.0, -1.0, -1.0, 7.886134624481201, 7.818667411804199, 7.886134624481201, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.818667411804199
target_front_center_10m,6,False,"[-1.0, -1.0, -1.0, 7.886788368225098, 7.8193159103393555, 7.886788368225098, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.8193159103393555
target_front_center_10m,7,True,"[-1.0, -1.0, -1.0, 7.887555122375488, 7.820075511932373, 7.887555122375488, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.820075511932373
target_front_center_10m,8,False,"[-1.0, -1.0, -1.0, 7.888303756713867, 7.8208184242248535, 7.888303756713867, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.8208184242248535
target_front_center_10m,9,False,"[-1.0, -1.0, -1.0, 7.8892741203308105, 7.821780204772949, 7.8892741203308105, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.821780204772949
target_front_center_10m,10,False,"[-1.0, -1.0, -1.0, 7.889614105224609, 7.822117328643799, 7.889614105224609, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.822117328643799
target_front_center_10m,11,False,"[-1.0, -1.0, -1.0, 7.889564037322998, 7.822067737579346, 7.889564037322998, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.822067737579346
target_front_center_10m,12,False,"[-1.0, -1.0, -1.0, 7.889519214630127, 7.822023391723633, 7.889519214630127, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.822023391723633
target_front_center_15m,1,True,"[-1.0, -1.0, -1.0, -1.0, 12.81556510925293, -1.0, -1.0, -1.0, -1.0]",[4],True,12.81556510925293
target_front_center_15m,2,False,"[-1.0, -1.0, -1.0, -1.0, 12.815936088562012, -1.0, -1.0, -1.0, -1.0]",[4],True,12.815936088562012
target_front_center_15m,3,False,"[-1.0, -1.0, -1.0, -1.0, 12.816445350646973, -1.0, -1.0, -1.0, -1.0]",[4],True,12.816445350646973
target_front_center_15m,4,False,"[-1.0, -1.0, -1.0, -1.0, 12.816493034362793, -1.0, -1.0, -1.0, -1.0]",[4],True,12.816493034362793
target_front_center_15m,5,False,"[-1.0, -1.0, -1.0, -1.0, 12.815771102905273, -1.0, -1.0, -1.0, -1.0]",[4],True,12.815771102905273
