scene,tick,rgb_present,rangefinder_raw_beams,rangefinder_hit_beam_indices,any_rangefinder_hit,rangefinder_min_positive_range_m
baseline,1,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,2,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,3,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,4,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,5,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,6,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,7,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,8,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,9,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,10,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,11,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,12,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
calibration_target_front_center_10m,1,True,"[-1.0, -1.0, -1.0, 7.883257865905762, 7.8158159255981445, 7.883257865905762, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.8158159255981445
calibration_target_front_center_10m,2,False,"[-1.0, -1.0, -1.0, 7.88111686706543, 7.813692569732666, 7.88111686706543, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.813692569732666
calibration_target_front_center_10m,3,False,"[-1.0, -1.0, -1.0, 7.87972354888916, 7.812311172485352, 7.87972354888916, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.812311172485352
calibration_target_front_center_10m,4,False,"[-1.0, -1.0, -1.0, 7.879062652587891, 7.811656475067139, 7.879062652587891, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.811656475067139
calibration_target_front_center_10m,5,False,"[-1.0, -1.0, -1.0, 7.87971305847168, 7.812301158905029, 7.87971305847168, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.812301158905029
calibration_target_front_center_10m,6,False,"[-1.0, -1.0, -1.0, 7.88154411315918, 7.81411600112915, 7.88154411315918, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.81411600112915
calibration_target_front_center_10m,7,True,"[-1.0, -1.0, -1.0, 7.883784770965576, 7.816338062286377, 7.883784770965576, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.816338062286377
calibration_target_front_center_10m,8,False,"[-1.0, -1.0, -1.0, 7.886157035827637, 7.818690299987793, 7.886157035827637, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.818690299987793
calibration_target_front_center_10m,9,False,"[-1.0, -1.0, -1.0, 7.888470649719238, 7.82098388671875, 7.888470649719238, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.82098388671875
calibration_target_front_center_10m,10,False,"[-1.0, -1.0, -1.0, 7.891026496887207, 7.8235182762146, 7.891026496887207, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.8235182762146
calibration_target_front_center_10m,11,False,"[-1.0, -1.0, -1.0, 7.893267631530762, 7.825739860534668, 7.893267631530762, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.825739860534668
calibration_target_front_center_10m,12,False,"[-1.0, -1.0, -1.0, 7.894869804382324, 7.827327728271484, 7.894869804382324, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.827327728271484
target_front_center_35m,1,True,"[-1.0, -1.0, -1.0, -1.0, 32.830570220947266, -1.0, -1.0, -1.0, -1.0]",[4],True,32.830570220947266
target_front_center_35m,2,False,"[-1.0, -1.0, -1.0, -1.0, 32.83296203613281, -1.0, -1.0, -1.0, -1.0]",[4],True,32.83296203613281
target_front_center_35m,3,False,"[-1.0, -1.0, -1.0, -1.0, 32.83323669433594, -1.0, -1.0, -1.0, -1.0]",[4],True,32.83323669433594
target_front_center_35m,4,False,"[-1.0, -1.0, -1.0, -1.0, 32.830894470214844, -1.0, -1.0, -1.0, -1.0]",[4],True,32.830894470214844
target_front_center_35m,5,False,"[-1.0, -1.0, -1.0, -1.0, 32.826438903808594, -1.0, -1.0, -1.0, -1.0]",[4],True,32.826438903808594
