scene,distance_m,angle_label,angle_deg,scenario_kind,is_calibration_scene,expected_target_present_for_audit,rgb_has_target_signature,rgb_signature_overlap,rgb_bbox,rgb_signature_bbox_xyxy,rgb_signature_sector,rgb_changed_pixels,rangefinder_raw_beams,rangefinder_hit_beam_indices,rangefinder_hit_sectors,any_rangefinder_hit,rangefinder_min_positive_range_m,matched_rangefinder_beam_hit,matched_rangefinder_beam_hit_is_diagnostic_only,found,found_rule,outcome,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,rgb_artifact
baseline,,,,baseline,False,False,False,[],,,none,0,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],[],False,,False,True,False,rgb_has_target_signature and any_rangefinder_hit,true_negative,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4h_fan_area_distance_boundary\visuals\baseline_rgb.png
calibration_target_front_center_10m,10.0,center,0.0,calibration,True,True,True,"[""128,128,128,255"", ""128,128,96,255"", ""128,64,32,255"", ""128,96,64,255"", ""128,96,96,255"", ""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""160,160,160,255"", ""160,96,64,255"", ""192,128,96,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255"", ""224,160,128,255"", ""224,160,96,255"", ""64,32,0,255"", ""64,32,32,255"", ""64,64,32,255"", ""96,32,32,255"", ""96,64,32,255"", ""96,64,64,255"", ""96,96,64,255""]","[135, 123, 184, 164]","[135, 123, 184, 164]",center,868,"[-1.0, -1.0, -1.0, 7.896933555603027, 7.829374313354492, 7.896933555603027, -1.0, -1.0, -1.0]","[3, 4, 5]","[""center""]",True,7.829374313354492,True,True,True,rgb_has_target_signature and any_rangefinder_hit,true_positive,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4h_fan_area_distance_boundary\visuals\calibration_target_front_center_10m_rgb.png
target_left_outer_20m,20.0,left_outer,25.0,target,False,True,True,"[""128,128,128,255"", ""128,128,96,255"", ""128,96,64,255"", ""128,96,96,255"", ""160,128,128,255"", ""160,128,96,255"", ""160,160,160,255"", ""160,96,64,255"", ""192,128,96,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255"", ""224,160,128,255"", ""224,160,96,255"", ""64,32,0,255"", ""64,32,32,255"", ""64,64,32,255"", ""96,64,32,255"", ""96,64,64,255"", ""96,96,64,255""]","[65, 122, 102, 139]","[65, 122, 102, 139]",left,282,"[20.576560974121094, 21.11804962158203, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0, 1]","[""left""]",True,20.576560974121094,True,True,True,rgb_has_target_signature and any_rangefinder_hit,true_positive,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4h_fan_area_distance_boundary\visuals\target_left_outer_20m_rgb.png
target_left_inner_20m,20.0,left_inner,15.0,target,False,True,True,"[""128,128,128,255"", ""128,128,96,255"", ""128,64,32,255"", ""128,96,64,255"", ""128,96,96,255"", ""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""160,160,160,255"", ""160,96,64,255"", ""192,128,96,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255"", ""224,160,128,255"", ""96,64,32,255"", ""96,64,64,255"", ""96,96,64,255""]","[101, 122, 129, 138]","[101, 122, 129, 138]",center,207,"[-1.0, -1.0, 18.44902992248535, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[2],"[""left""]",True,18.44902992248535,False,True,True,rgb_has_target_signature and any_rangefinder_hit,true_positive,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4h_fan_area_distance_boundary\visuals\target_left_inner_20m_rgb.png
target_center_20m,20.0,center,0.0,target,False,True,True,"[""128,128,128,255"", ""128,128,96,255"", ""128,96,64,255"", ""128,96,96,255"", ""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""160,160,160,255"", ""192,128,96,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255""]","[149, 122, 170, 139]","[149, 122, 170, 139]",center,111,"[-1.0, -1.0, -1.0, -1.0, 17.833585739135742, -1.0, -1.0, -1.0, -1.0]",[4],"[""center""]",True,17.833585739135742,True,True,True,rgb_has_target_signature and any_rangefinder_hit,true_positive,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4h_fan_area_distance_boundary\visuals\target_center_20m_rgb.png
target_right_inner_20m,20.0,right_inner,-15.0,target,False,True,True,"[""128,128,96,255"", ""128,96,64,255"", ""128,96,96,255"", ""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""160,160,160,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255"", ""224,160,128,255"", ""96,64,64,255"", ""96,96,64,255""]","[91, 122, 220, 138]","[91, 122, 220, 138]",center,189,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 18.44969367980957, -1.0, -1.0]",[6],"[""right""]",True,18.44969367980957,False,True,True,rgb_has_target_signature and any_rangefinder_hit,true_positive,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4h_fan_area_distance_boundary\visuals\target_right_inner_20m_rgb.png
target_right_outer_20m,20.0,right_outer,-25.0,target,False,True,True,"[""128,128,128,255"", ""128,128,96,255"", ""128,64,32,255"", ""128,96,64,255"", ""128,96,96,255"", ""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""160,160,160,255"", ""160,96,64,255"", ""192,128,96,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255"", ""224,160,96,255"", ""64,32,0,255"", ""64,32,32,255"", ""64,64,32,255"", ""96,64,32,255"", ""96,64,64,255"", ""96,96,64,255""]","[218, 122, 254, 139]","[218, 122, 254, 139]",right,299,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 21.118051528930664, 20.552040100097656]","[7, 8]","[""right""]",True,20.552040100097656,True,True,True,rgb_has_target_signature and any_rangefinder_hit,true_positive,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4h_fan_area_distance_boundary\visuals\target_right_outer_20m_rgb.png
target_left_outer_35m,35.0,left_outer,25.0,target,False,True,True,"[""128,128,96,255"", ""128,96,64,255"", ""128,96,96,255"", ""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""160,160,160,255"", ""160,96,64,255"", ""192,128,96,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255"", ""224,160,96,255"", ""96,64,32,255"", ""96,64,64,255"", ""96,96,64,255""]","[74, 121, 95, 129]","[74, 121, 95, 129]",left,92,"[-1.0, 39.39585876464844, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[1],"[""left""]",True,39.39585876464844,True,True,True,rgb_has_target_signature and any_rangefinder_hit,true_positive,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4h_fan_area_distance_boundary\visuals\target_left_outer_35m_rgb.png
target_left_inner_35m,35.0,left_inner,15.0,target,False,True,True,"[""128,128,128,255"", ""128,128,96,255"", ""128,96,64,255"", ""128,96,96,255"", ""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""160,160,160,255"", ""160,96,64,255"", ""192,128,96,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255"", ""224,160,128,255"", ""224,160,96,255"", ""96,64,32,255"", ""96,64,64,255"", ""96,96,64,255""]","[108, 121, 124, 129]","[108, 121, 124, 129]",center,67,"[-1.0, -1.0, 33.98145294189453, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[2],"[""left""]",True,33.98145294189453,False,True,True,rgb_has_target_signature and any_rangefinder_hit,true_positive,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4h_fan_area_distance_boundary\visuals\target_left_inner_35m_rgb.png
target_center_35m,35.0,center,0.0,target,False,True,True,"[""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""160,160,160,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255""]","[91, 121, 254, 138]","[91, 121, 254, 138]",center,42,"[-1.0, -1.0, -1.0, -1.0, 32.8143424987793, -1.0, -1.0, -1.0, -1.0]",[4],"[""center""]",True,32.8143424987793,True,True,True,rgb_has_target_signature and any_rangefinder_hit,true_positive,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4h_fan_area_distance_boundary\visuals\target_center_35m_rgb.png
