scene,tick,rgb_present,rangefinder_raw_beams,rangefinder_hit_beam_indices,any_rangefinder_hit,rangefinder_min_positive_range_m
baseline,1,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,2,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,3,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,4,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,5,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,6,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,7,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,8,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,9,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,10,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,11,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,12,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
calibration_target_front_center_10m,1,True,"[-1.0, -1.0, -1.0, 7.896933555603027, 7.829374313354492, 7.896933555603027, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.829374313354492
calibration_target_front_center_10m,2,False,"[-1.0, -1.0, -1.0, 7.899587631225586, 7.832005500793457, 7.899587631225586, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.832005500793457
calibration_target_front_center_10m,3,False,"[-1.0, -1.0, -1.0, 7.900848865509033, 7.833255767822266, 7.900848865509033, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.833255767822266
calibration_target_front_center_10m,4,False,"[-1.0, -1.0, -1.0, 7.899730205535889, 7.832147121429443, 7.899730205535889, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.832147121429443
calibration_target_front_center_10m,5,False,"[-1.0, -1.0, -1.0, 7.896648406982422, 7.829092025756836, 7.896648406982422, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.829092025756836
calibration_target_front_center_10m,6,False,"[-1.0, -1.0, -1.0, 7.892392635345459, 7.824872016906738, 7.892392635345459, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.824872016906738
calibration_target_front_center_10m,7,True,"[-1.0, -1.0, -1.0, 7.887612819671631, 7.820133686065674, 7.887612819671631, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.820133686065674
calibration_target_front_center_10m,8,False,"[-1.0, -1.0, -1.0, 7.8830742835998535, 7.815633773803711, 7.8830742835998535, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.815633773803711
calibration_target_front_center_10m,9,False,"[-1.0, -1.0, -1.0, 7.879345893859863, 7.811936855316162, 7.879345893859863, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.811936855316162
calibration_target_front_center_10m,10,False,"[-1.0, -1.0, -1.0, 7.876049041748047, 7.80866813659668, 7.876049041748047, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.80866813659668
calibration_target_front_center_10m,11,False,"[-1.0, -1.0, -1.0, 7.874209403991699, 7.806844711303711, 7.874209403991699, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.806844711303711
calibration_target_front_center_10m,12,False,"[-1.0, -1.0, -1.0, 7.87320613861084, 7.805849552154541, 7.87320613861084, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.805849552154541
target_left_outer_20m,1,True,"[20.576560974121094, 21.11804962158203, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0, 1]",True,20.576560974121094
target_left_outer_20m,2,False,"[20.577106475830078, 21.11804962158203, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0, 1]",True,20.577106475830078
target_left_outer_20m,3,False,"[20.576854705810547, 21.11804962158203, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0, 1]",True,20.576854705810547
target_left_outer_20m,4,False,"[20.575946807861328, 21.11804962158203, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0, 1]",True,20.575946807861328
