scene,distance_m,angle_label,angle_deg,scenario_kind,is_calibration_scene,expected_target_present_for_audit,rgb_signature_overlap,rgb_signature_overlap_count,rgb_changed_pixels,rgb_has_target_signature_5c4h_baseline,stronger_rgb_target_signature,target_overlap_min,rgb_changed_pixels_min,rgb_bbox,rgb_signature_bbox_xyxy,rgb_signature_sector_legacy,rgb_target_overlap_bbox_xyxy,rgb_target_angle_deg,rangefinder_raw_beams,rangefinder_hit_beam_indices,rangefinder_hit_sectors,any_rangefinder_hit,rangefinder_min_positive_range_m,old_matched_rangefinder_beam_hit,old_direction_matching_used_for_detection,recalibrated_direction_matches,recalibrated_direction_matching_used_for_detection,selected_recalibrated_direction_tolerance_deg,selected_recalibrated_direction_match,selected_recalibrated_direction_data,distractor_signature_overlap,distractor_signature_overlap_count,distractor_like,distractor_rejection_enabled,found,found_rule,outcome,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,rgb_artifact
baseline,,,,baseline,False,False,[],0,0,False,False,7,0,,,none,,,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],[],False,,False,False,"{""7.5"": {""matched"": false, ""best_delta_deg"": null, ""best_hit_beam_yaw_deg"": null}, ""10.0"": {""matched"": false, ""best_delta_deg"": null, ""best_hit_beam_yaw_deg"": null}, ""12.5"": {""matched"": false, ""best_delta_deg"": null, ""best_hit_beam_yaw_deg"": null}, ""15.0"": {""matched"": false, ""best_delta_deg"": null, ""best_hit_beam_yaw_deg"": null}}",False,,,,[],0,False,False,False,stronger_rgb_target_signature and any_rangefinder_hit,true_negative,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4i_direction_matched_distractor_rejection_calibration\visuals\baseline_rgb.png
calibration_target_front_center_10m,10.0,center,0.0,calibration,True,True,"[""128,128,128,255"", ""128,128,96,255"", ""128,64,32,255"", ""128,96,64,255"", ""128,96,96,255"", ""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""160,160,160,255"", ""160,96,64,255"", ""192,128,96,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255"", ""224,160,128,255"", ""224,160,96,255"", ""64,32,0,255"", ""64,32,32,255"", ""64,64,32,255"", ""96,32,32,255"", ""96,64,32,255"", ""96,64,64,255"", ""96,96,64,255""]",24,865,True,True,7,0,"[135, 123, 185, 164]","[135, 123, 185, 164]",center,"[135, 123, 185, 164]",0.0,"[-1.0, -1.0, -1.0, 7.8845696449279785, 7.8171162605285645, 7.8845696449279785, -1.0, -1.0, -1.0]","[3, 4, 5]","[""center""]",True,7.8171162605285645,True,False,"{""7.5"": {""matched"": true, ""best_delta_deg"": 0.0, ""best_hit_beam_yaw_deg"": 0.0}, ""10.0"": {""matched"": true, ""best_delta_deg"": 0.0, ""best_hit_beam_yaw_deg"": 0.0}, ""12.5"": {""matched"": true, ""best_delta_deg"": 0.0, ""best_hit_beam_yaw_deg"": 0.0}, ""15.0"": {""matched"": true, ""best_delta_deg"": 0.0, ""best_hit_beam_yaw_deg"": 0.0}}",False,,,,"[""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255""]",7,False,False,True,stronger_rgb_target_signature and any_rangefinder_hit,true_positive,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4i_direction_matched_distractor_rejection_calibration\visuals\calibration_target_front_center_10m_rgb.png
target_left_outer_20m,20.0,left_outer,25.0,target,False,True,"[""128,128,128,255"", ""128,128,96,255"", ""128,96,64,255"", ""128,96,96,255"", ""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""160,160,160,255"", ""192,128,96,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255"", ""224,160,96,255"", ""64,32,0,255"", ""64,32,32,255"", ""64,64,32,255"", ""96,64,32,255"", ""96,64,64,255"", ""96,96,64,255""]",20,295,True,True,7,0,"[64, 122, 269, 139]","[64, 122, 269, 139]",center,"[65, 122, 101, 139]",21.65625,"[20.57604217529297, 21.11804962158203, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0, 1]","[""left""]",True,20.57604217529297,False,False,"{""7.5"": {""matched"": true, ""best_delta_deg"": 0.84375, ""best_hit_beam_yaw_deg"": 22.5}, ""10.0"": {""matched"": true, ""best_delta_deg"": 0.84375, ""best_hit_beam_yaw_deg"": 22.5}, ""12.5"": {""matched"": true, ""best_delta_deg"": 0.84375, ""best_hit_beam_yaw_deg"": 22.5}, ""15.0"": {""matched"": true, ""best_delta_deg"": 0.84375, ""best_hit_beam_yaw_deg"": 22.5}}",False,,,,"[""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255"", ""224,192,128,255"", ""224,192,160,255""]",9,False,False,True,stronger_rgb_target_signature and any_rangefinder_hit,true_positive,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4i_direction_matched_distractor_rejection_calibration\visuals\target_left_outer_20m_rgb.png
target_left_inner_20m,20.0,left_inner,15.0,target,False,True,"[""128,128,128,255"", ""128,128,96,255"", ""128,64,32,255"", ""128,96,64,255"", ""128,96,96,255"", ""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""160,160,160,255"", ""160,96,64,255"", ""192,128,96,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255"", ""224,160,128,255"", ""96,64,32,255"", ""96,64,64,255"", ""96,96,64,255""]",19,209,True,True,7,0,"[101, 122, 129, 138]","[101, 122, 129, 138]",center,"[101, 122, 129, 138]",12.65625,"[-1.0, -1.0, 18.453359603881836, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[2],"[""left""]",True,18.453359603881836,False,False,"{""7.5"": {""matched"": true, ""best_delta_deg"": 2.34375, ""best_hit_beam_yaw_deg"": 15.0}, ""10.0"": {""matched"": true, ""best_delta_deg"": 2.34375, ""best_hit_beam_yaw_deg"": 15.0}, ""12.5"": {""matched"": true, ""best_delta_deg"": 2.34375, ""best_hit_beam_yaw_deg"": 15.0}, ""15.0"": {""matched"": true, ""best_delta_deg"": 2.34375, ""best_hit_beam_yaw_deg"": 15.0}}",False,,,,"[""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255"", ""224,224,224,255""]",8,False,False,True,stronger_rgb_target_signature and any_rangefinder_hit,true_positive,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4i_direction_matched_distractor_rejection_calibration\visuals\target_left_inner_20m_rgb.png
target_center_20m,20.0,center,0.0,target,False,True,"[""128,128,128,255"", ""128,128,96,255"", ""128,96,64,255"", ""128,96,96,255"", ""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""160,160,160,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255""]",12,114,True,True,7,0,"[149, 122, 170, 139]","[149, 122, 170, 139]",center,"[149, 122, 170, 138]",0.140625,"[-1.0, -1.0, -1.0, -1.0, 17.821491241455078, -1.0, -1.0, -1.0, -1.0]",[4],"[""center""]",True,17.821491241455078,True,False,"{""7.5"": {""matched"": true, ""best_delta_deg"": 0.140625, ""best_hit_beam_yaw_deg"": 0.0}, ""10.0"": {""matched"": true, ""best_delta_deg"": 0.140625, ""best_hit_beam_yaw_deg"": 0.0}, ""12.5"": {""matched"": true, ""best_delta_deg"": 0.140625, ""best_hit_beam_yaw_deg"": 0.0}, ""15.0"": {""matched"": true, ""best_delta_deg"": 0.140625, ""best_hit_beam_yaw_deg"": 0.0}}",False,,,,"[""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255"", ""224,192,160,255"", ""224,224,192,255""]",9,False,False,True,stronger_rgb_target_signature and any_rangefinder_hit,true_positive,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4i_direction_matched_distractor_rejection_calibration\visuals\target_center_20m_rgb.png
target_right_inner_20m,20.0,right_inner,-15.0,target,False,True,"[""128,128,128,255"", ""128,128,96,255"", ""128,96,64,255"", ""128,96,96,255"", ""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""160,160,160,255"", ""160,96,64,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255"", ""224,160,128,255"", ""96,64,64,255"", ""96,96,64,255""]",16,243,True,True,7,0,"[27, 121, 292, 158]","[27, 121, 292, 158]",center,"[27, 121, 287, 157]",0.84375,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 18.44806671142578, -1.0, -1.0]",[6],"[""right""]",True,18.44806671142578,False,False,"{""7.5"": {""matched"": false, ""best_delta_deg"": 15.84375, ""best_hit_beam_yaw_deg"": -15.0}, ""10.0"": {""matched"": false, ""best_delta_deg"": 15.84375, ""best_hit_beam_yaw_deg"": -15.0}, ""12.5"": {""matched"": false, ""best_delta_deg"": 15.84375, ""best_hit_beam_yaw_deg"": -15.0}, ""15.0"": {""matched"": false, ""best_delta_deg"": 15.84375, ""best_hit_beam_yaw_deg"": -15.0}}",False,,,,"[""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255"", ""224,192,128,255"", ""224,192,160,255"", ""224,224,192,255"", ""224,224,224,255""]",11,False,False,True,stronger_rgb_target_signature and any_rangefinder_hit,true_positive,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4i_direction_matched_distractor_rejection_calibration\visuals\target_right_inner_20m_rgb.png
target_right_outer_20m,20.0,right_outer,-25.0,target,False,True,"[""128,128,128,255"", ""128,128,96,255"", ""128,64,32,255"", ""128,96,64,255"", ""128,96,96,255"", ""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""160,160,160,255"", ""160,96,64,255"", ""192,128,96,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,192,255"", ""224,160,96,255"", ""64,32,0,255"", ""64,32,32,255"", ""64,64,32,255"", ""96,64,32,255"", ""96,64,64,255"", ""96,96,64,255""]",21,299,True,True,7,0,"[218, 122, 254, 139]","[218, 122, 254, 139]",right,"[218, 122, 254, 139]",-21.375,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 21.118051528930664, 20.57064437866211]","[7, 8]","[""right""]",True,20.57064437866211,True,False,"{""7.5"": {""matched"": true, ""best_delta_deg"": 1.125, ""best_hit_beam_yaw_deg"": -22.5}, ""10.0"": {""matched"": true, ""best_delta_deg"": 1.125, ""best_hit_beam_yaw_deg"": -22.5}, ""12.5"": {""matched"": true, ""best_delta_deg"": 1.125, ""best_hit_beam_yaw_deg"": -22.5}, ""15.0"": {""matched"": true, ""best_delta_deg"": 1.125, ""best_hit_beam_yaw_deg"": -22.5}}",False,,,,"[""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,192,255"", ""224,192,160,255""]",7,False,False,True,stronger_rgb_target_signature and any_rangefinder_hit,true_positive,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4i_direction_matched_distractor_rejection_calibration\visuals\target_right_outer_20m_rgb.png
target_left_outer_35m,35.0,left_outer,25.0,target,False,True,"[""128,128,96,255"", ""128,96,64,255"", ""128,96,96,255"", ""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""160,160,160,255"", ""160,96,64,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255"", ""224,160,96,255"", ""96,64,32,255"", ""96,64,64,255"", ""96,96,64,255""]",16,95,True,True,7,0,"[74, 121, 95, 130]","[74, 121, 95, 130]",left,"[74, 121, 94, 129]",21.375,"[-1.0, 39.39585876464844, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[1],"[""left""]",True,39.39585876464844,True,False,"{""7.5"": {""matched"": true, ""best_delta_deg"": 1.125, ""best_hit_beam_yaw_deg"": 22.5}, ""10.0"": {""matched"": true, ""best_delta_deg"": 1.125, ""best_hit_beam_yaw_deg"": 22.5}, ""12.5"": {""matched"": true, ""best_delta_deg"": 1.125, ""best_hit_beam_yaw_deg"": 22.5}, ""15.0"": {""matched"": true, ""best_delta_deg"": 1.125, ""best_hit_beam_yaw_deg"": 22.5}}",False,,,,"[""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255"", ""224,192,160,255"", ""224,224,224,255""]",9,False,False,True,stronger_rgb_target_signature and any_rangefinder_hit,true_positive,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4i_direction_matched_distractor_rejection_calibration\visuals\target_left_outer_35m_rgb.png
target_left_inner_35m,35.0,left_inner,15.0,target,False,True,"[""128,128,128,255"", ""128,128,96,255"", ""128,96,64,255"", ""128,96,96,255"", ""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""160,160,160,255"", ""160,96,64,255"", ""192,128,96,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255"", ""224,160,128,255"", ""224,160,96,255"", ""96,64,64,255"", ""96,96,64,255""]",18,74,True,True,7,0,"[108, 121, 124, 130]","[108, 121, 124, 130]",center,"[108, 121, 124, 129]",12.375000000000002,"[-1.0, -1.0, 33.963966369628906, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[2],"[""left""]",True,33.963966369628906,False,False,"{""7.5"": {""matched"": true, ""best_delta_deg"": 2.6249999999999982, ""best_hit_beam_yaw_deg"": 15.0}, ""10.0"": {""matched"": true, ""best_delta_deg"": 2.6249999999999982, ""best_hit_beam_yaw_deg"": 15.0}, ""12.5"": {""matched"": true, ""best_delta_deg"": 2.6249999999999982, ""best_hit_beam_yaw_deg"": 15.0}, ""15.0"": {""matched"": true, ""best_delta_deg"": 2.6249999999999982, ""best_hit_beam_yaw_deg"": 15.0}}",False,,,,"[""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255"", ""224,192,128,255"", ""224,192,160,255"", ""224,192,192,255""]",10,False,False,True,stronger_rgb_target_signature and any_rangefinder_hit,true_positive,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4i_direction_matched_distractor_rejection_calibration\visuals\target_left_inner_35m_rgb.png
target_center_35m,35.0,center,0.0,target,False,True,"[""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""160,160,160,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,192,255""]",7,34,True,True,7,0,"[154, 121, 285, 133]","[154, 121, 285, 133]",right,"[154, 121, 165, 129]",0.140625,"[-1.0, -1.0, -1.0, -1.0, 32.8104133605957, -1.0, -1.0, -1.0, -1.0]",[4],"[""center""]",True,32.8104133605957,False,False,"{""7.5"": {""matched"": true, ""best_delta_deg"": 0.140625, ""best_hit_beam_yaw_deg"": 0.0}, ""10.0"": {""matched"": true, ""best_delta_deg"": 0.140625, ""best_hit_beam_yaw_deg"": 0.0}, ""12.5"": {""matched"": true, ""best_delta_deg"": 0.140625, ""best_hit_beam_yaw_deg"": 0.0}, ""15.0"": {""matched"": true, ""best_delta_deg"": 0.140625, ""best_hit_beam_yaw_deg"": 0.0}}",False,,,,"[""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,192,255"", ""224,192,160,255""]",7,False,False,True,stronger_rgb_target_signature and any_rangefinder_hit,true_positive,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4i_direction_matched_distractor_rejection_calibration\visuals\target_center_35m_rgb.png
