scene,tick,rgb_present,rangefinder_raw_beams,rangefinder_hit_beam_indices,any_rangefinder_hit,rangefinder_min_positive_range_m
baseline,1,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,2,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,3,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,4,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,5,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,6,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,7,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,8,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,9,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,10,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,11,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,12,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
calibration_target_front_center_10m,1,True,"[-1.0, -1.0, -1.0, 7.8845696449279785, 7.8171162605285645, 7.8845696449279785, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.8171162605285645
calibration_target_front_center_10m,2,False,"[-1.0, -1.0, -1.0, 7.885968208312988, 7.818502902984619, 7.885968208312988, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.818502902984619
calibration_target_front_center_10m,3,False,"[-1.0, -1.0, -1.0, 7.887048721313477, 7.819573879241943, 7.887048721313477, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.819573879241943
calibration_target_front_center_10m,4,False,"[-1.0, -1.0, -1.0, 7.888139724731445, 7.820655345916748, 7.888139724731445, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.820655345916748
calibration_target_front_center_10m,5,False,"[-1.0, -1.0, -1.0, 7.888944149017334, 7.821452617645264, 7.888944149017334, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.821452617645264
calibration_target_front_center_10m,6,False,"[-1.0, -1.0, -1.0, 7.889370918273926, 7.821876049041748, 7.889370918273926, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.821876049041748
calibration_target_front_center_10m,7,True,"[-1.0, -1.0, -1.0, 7.889280319213867, 7.821786403656006, 7.889280319213867, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.821786403656006
calibration_target_front_center_10m,8,False,"[-1.0, -1.0, -1.0, 7.888665676116943, 7.8211774826049805, 7.888665676116943, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.8211774826049805
calibration_target_front_center_10m,9,False,"[-1.0, -1.0, -1.0, 7.887697219848633, 7.820216655731201, 7.887697219848633, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.820216655731201
calibration_target_front_center_10m,10,False,"[-1.0, -1.0, -1.0, 7.886648178100586, 7.819176197052002, 7.886648178100586, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.819176197052002
calibration_target_front_center_10m,11,False,"[-1.0, -1.0, -1.0, 7.885703086853027, 7.818239688873291, 7.885703086853027, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.818239688873291
calibration_target_front_center_10m,12,False,"[-1.0, -1.0, -1.0, 7.884912014007568, 7.817456245422363, 7.884912014007568, -1.0, -1.0, -1.0]","[3, 4, 5]",True,7.817456245422363
target_left_outer_20m,1,True,"[20.57604217529297, 21.11804962158203, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0, 1]",True,20.57604217529297
target_left_outer_20m,2,False,"[20.57589340209961, 21.11804962158203, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0, 1]",True,20.57589340209961
target_left_outer_20m,3,False,"[20.57738494873047, 21.11804962158203, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0, 1]",True,20.57738494873047
target_left_outer_20m,4,False,"[20.579679489135742, 21.11804962158203, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0, 1]",True,20.579679489135742
