scene,tick,rgb_present,rangefinder_raw_beams,rangefinder_hit_beam_indices,any_rangefinder_hit,rangefinder_min_positive_range_m
baseline,1,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,2,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,3,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,4,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,5,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,6,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,7,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,8,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,9,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,10,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,11,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
baseline,12,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
calibration_sphere_front_center_10m,1,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 9.55051040649414, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[6],True,9.55051040649414
calibration_sphere_front_center_10m,2,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 9.559438705444336, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[6],True,9.559438705444336
calibration_sphere_front_center_10m,3,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 9.570116996765137, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[6],True,9.570116996765137
calibration_sphere_front_center_10m,4,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 9.581463813781738, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[6],True,9.581463813781738
calibration_sphere_front_center_10m,5,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 9.592194557189941, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[6],True,9.592194557189941
calibration_sphere_front_center_10m,6,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 9.600772857666016, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[6],True,9.600772857666016
calibration_sphere_front_center_10m,7,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 9.605818748474121, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[6],True,9.605818748474121
calibration_sphere_front_center_10m,8,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 9.606969833374023, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[6],True,9.606969833374023
calibration_sphere_front_center_10m,9,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 9.604259490966797, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[6],True,9.604259490966797
calibration_sphere_front_center_10m,10,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 9.598694801330566, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[6],True,9.598694801330566
calibration_sphere_front_center_10m,11,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 9.591202735900879, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[6],True,9.591202735900879
calibration_sphere_front_center_10m,12,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 9.58324146270752, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[6],True,9.58324146270752
target_sphere_left_outer_20m,1,True,"[-1.0, 21.621938705444336, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[1],True,21.621938705444336
target_sphere_left_outer_20m,2,False,"[-1.0, 21.632009506225586, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[1],True,21.632009506225586
target_sphere_left_outer_20m,3,False,"[-1.0, 21.64334487915039, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[1],True,21.64334487915039
target_sphere_left_outer_20m,4,False,"[-1.0, 21.654382705688477, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[1],True,21.654382705688477
target_sphere_left_outer_20m,5,False,"[-1.0, 21.663684844970703, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[1],True,21.663684844970703
target_sphere_left_outer_20m,6,False,"[-1.0, 21.669784545898438, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[1],True,21.669784545898438
target_sphere_left_outer_20m,7,True,"[-1.0, 21.671977996826172, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[1],True,21.671977996826172
target_sphere_left_outer_20m,8,False,"[-1.0, 21.67017364501953, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[1],True,21.67017364501953
target_sphere_left_outer_20m,9,False,"[-1.0, 21.665205001831055, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[1],True,21.665205001831055
target_sphere_left_outer_20m,10,False,"[-1.0, 21.658184051513672, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[1],True,21.658184051513672
target_sphere_left_outer_20m,11,False,"[-1.0, 21.650415420532227, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[1],True,21.650415420532227
target_sphere_left_outer_20m,12,False,"[-1.0, 21.643049240112305, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[1],True,21.643049240112305
target_sphere_left_inner_20m,1,True,"[-1.0, -1.0, -1.0, 20.261137008666992, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[3],True,20.261137008666992
target_sphere_left_inner_20m,2,False,"[-1.0, -1.0, -1.0, 20.271268844604492, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[3],True,20.271268844604492
target_sphere_left_inner_20m,3,False,"[-1.0, -1.0, -1.0, 20.282636642456055, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[3],True,20.282636642456055
target_sphere_left_inner_20m,4,False,"[-1.0, -1.0, -1.0, 20.293729782104492, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[3],True,20.293729782104492
target_sphere_left_inner_20m,5,False,"[-1.0, -1.0, -1.0, 20.303068161010742, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[3],True,20.303068161010742
target_sphere_left_inner_20m,6,False,"[-1.0, -1.0, -1.0, 20.309263229370117, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[3],True,20.309263229370117
target_sphere_left_inner_20m,7,True,"[-1.0, -1.0, -1.0, 20.311599731445312, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[3],True,20.311599731445312
target_sphere_left_inner_20m,8,False,"[-1.0, -1.0, -1.0, 20.310110092163086, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[3],True,20.310110092163086
target_sphere_left_inner_20m,9,False,"[-1.0, -1.0, -1.0, 20.305408477783203, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[3],True,20.305408477783203
target_sphere_left_inner_20m,10,False,"[-1.0, -1.0, -1.0, 20.298564910888672, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[3],True,20.298564910888672
target_sphere_left_inner_20m,11,False,"[-1.0, -1.0, -1.0, 20.290664672851562, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[3],True,20.290664672851562
target_sphere_left_inner_20m,12,False,"[-1.0, -1.0, -1.0, 20.283021926879883, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[3],True,20.283021926879883
target_sphere_center_20m,1,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 19.563640594482422, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[6],True,19.563640594482422
target_sphere_center_20m,2,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 19.576690673828125, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[6],True,19.576690673828125
target_sphere_center_20m,3,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 19.590341567993164, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[6],True,19.590341567993164
