case_name,case_source,tick,rgb_changed_pixels,rgb_change_bbox_xyxy,sphere_blob_candidate_count,sphere_blob_local_candidate_count,sphere_blob_white_neutral_changed_pixels,sphere_blob_largest,sphere_blob_local_best,local_range_scaled_blob_present,local_blob_area,local_blob_range_scaled_area,matched,blob_yaw_deg,matched_beam_index,matched_beam_yaw_deg,matched_range_m,beam_yaw_error_deg,rangefinder_hit_beam_indices,rangefinder_min_positive_range_m,roi_xyxy,diff_ge_threshold_roi_pixels,bright_roi_pixels,neutral_roi_pixels,diff_and_bright_roi_pixels,diff_and_neutral_roi_pixels,white_neutral_mask_pixels,max_diff_roi
control_5d9_planner_front_center_30m,phase5d9_known_good_static_geometry,1,23,"[27, 126, 162, 151]",0,1,16,"{""area"": 16, ""aspect"": 1.5, ""cx"": 159.5, ""cy"": 127.75, ""fill"": 0.6666666666666666, ""h"": 4, ""w"": 6, ""x"": 157, ""y"": 126}","{""area"": 16, ""aspect"": 1.5, ""cx"": 159.5, ""cy"": 127.75, ""fill"": 0.6666666666666666, ""h"": 4, ""w"": 6, ""x"": 157, ""y"": 126}",True,16,13973.88526863238,True,0.165625,30,0.0,29.552797317504883,0.165625,[30],29.552797317504883,"[25, 43, 294, 196]",41,41157,14679,41,16,16,57.0
control_5d9_planner_front_center_30m,phase5d9_known_good_static_geometry,2,0,,0,0,0,,,False,0,,False,,,,,,[30],29.562707901000977,,,,,,,,
control_5d9_planner_front_center_30m,phase5d9_known_good_static_geometry,3,0,,0,0,0,,,False,0,,False,,,,,,[30],29.573078155517578,,,,,,,,
control_5d9_planner_front_center_30m,phase5d9_known_good_static_geometry,4,0,,0,0,0,,,False,0,,False,,,,,,[30],29.582714080810547,,,,,,,,
control_5d9_planner_front_center_30m,phase5d9_known_good_static_geometry,5,0,,0,0,0,,,False,0,,False,,,,,,[30],29.59041976928711,,,,,,,,
control_5d9_planner_front_center_30m,phase5d9_known_good_static_geometry,6,0,,0,0,0,,,False,0,,False,,,,,,[30],29.59527015686035,,,,,,,,
control_5d9_planner_front_center_30m,phase5d9_known_good_static_geometry,7,91,"[27, 126, 293, 185]",1,1,22,"{""area"": 21, ""aspect"": 1.2, ""cx"": 159.42857142857142, ""cy"": 128.1904761904762, ""fill"": 0.7, ""h"": 5, ""w"": 6, ""x"": 157, ""y"": 126}","{""area"": 21, ""aspect"": 1.2, ""cx"": 159.42857142857142, ""cy"": 128.1904761904762, ""fill"": 0.7, ""h"": 5, ""w"": 6, ""x"": 157, ""y"": 126}",True,21,18395.21819331772,True,0.18928571428571833,30,0.0,29.596668243408203,0.18928571428571833,[30],29.596668243408203,"[25, 43, 294, 196]",284,41157,15150,284,22,22,68.0
control_5d9_planner_front_center_30m,phase5d9_known_good_static_geometry,8,0,,0,0,0,,,False,0,,False,,,,,,[30],29.594810485839844,,,,,,,,
control_5d9_planner_front_center_30m,phase5d9_known_good_static_geometry,9,0,,0,0,0,,,False,0,,False,,,,,,[30],29.590225219726562,,,,,,,,
control_5d9_planner_front_center_30m,phase5d9_known_good_static_geometry,10,0,,0,0,0,,,False,0,,False,,,,,,[30],29.583984375,,,,,,,,
