run_kind,policy_step,tick_in_policy_step,tick_global,agent_id,capture_phase,source_event_rgb_changed_pixels,source_event_local_candidate_count,source_event_rangefinder_hit_beam_indices,target_capture_present,baseline_capture_present,exact_baseline_capture_present,target_rgb_present,baseline_rgb_present,target_observer_world_location,baseline_observer_world_location,target_observer_heading_deg,baseline_observer_heading_deg,target_vs_baseline_observer_distance_m,rgb_changed_pixels_recomputed,rgb_change_bbox_xyxy_recomputed,exact_tick_rgb_changed_pixels,sphere_blob_candidate_count_recomputed,sphere_blob_local_candidate_count_recomputed,sphere_blob_white_neutral_changed_pixels_recomputed,local_range_scaled_blob_present_recomputed,local_blob_area_recomputed,local_blob_range_scaled_area_recomputed,matched_range_m_recomputed,matched_beam_index_recomputed,rangefinder_hit_beam_indices_recomputed,rangefinder_min_positive_range_m_recomputed,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection,target_rgb_preview_path,baseline_rgb_preview_path,diff_preview_path,white_neutral_mask_preview_path,overlay_preview_path
target,16,240,5305,sv0,post_arrival_scan,0,0,[56],True,True,True,False,False,"[-293.0908203125, 222.17430114746094, 0.16541993618011475]","[-293.09136962890625, 222.17361450195312, 0.1680954098701477]",23.10461123567669,23.104765568140373,0.0008793352987197211,0,,0,0,0,0,False,0,,,,[56],23.03546142578125,False,False,False,False,,,,,
target,16,241,5306,sv0,post_arrival_scan,0,0,[58],True,True,True,False,False,"[-293.0904541015625, 222.1732635498047, 0.16511879861354828]","[-293.09100341796875, 222.17257690429688, 0.1687384396791458]",25.108089570250826,25.108223058118654,0.0008793352987197211,0,,0,0,0,0,False,0,,,,[58],22.922510147094727,False,False,False,False,,,,,
target,16,242,5307,sv0,post_arrival_scan,0,0,[60],True,True,True,False,False,"[-293.09002685546875, 222.17221069335938, 0.16503852605819702]","[-293.090576171875, 222.17152404785156, 0.16962550580501556]",27.165448548196892,27.165561361398765,0.0008793352987197211,0,,0,0,0,0,False,0,,,,[60],22.854700088500977,False,False,False,False,,,,,
target,18,335,6084,sv0,post_arrival_scan,24744,0,[],True,True,True,True,True,"[-269.82708740234375, 218.0951385498047, 1.0161510705947876]","[-271.3834228515625, 219.39161682128906, 0.19730393588542938]",0.721128130903408,115.41649646018101,2.0255952060878406,24744,"[25, 43, 293, 195]",24744,0,0,17527,False,0,,,,[],,False,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step18_tick335_sv0_target_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step18_tick335_sv0_baseline_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step18_tick335_sv0_diff.png,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step18_tick335_sv0_white_neutral_mask.png,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step18_tick335_sv0_overlay.png
target,18,329,6078,sv0,post_arrival_scan,24173,1,[],True,True,True,True,True,"[-269.8294372558594, 218.06558227539062, 0.8971449732780457]","[-271.3819274902344, 219.39447021484375, 0.20103532075881958]",18.065225361392972,125.14509618683637,2.0435677340019134,24173,"[25, 43, 293, 195]",24173,0,1,17346,False,0,,,,[],,False,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step18_tick329_sv0_target_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step18_tick329_sv0_baseline_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step18_tick329_sv0_diff.png,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step18_tick329_sv0_white_neutral_mask.png,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step18_tick329_sv0_overlay.png
target,18,293,6042,sv0,post_arrival_scan,21921,0,[],True,True,True,True,True,"[-270.1482238769531, 218.03797912597656, 0.5007107257843018]","[-271.4081726074219, 219.38526916503906, 0.20180630683898926]",52.82424874557383,113.52639164239838,1.844630383780677,21921,"[25, 43, 293, 195]",21921,0,0,9045,False,0,,,,[],,False,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step18_tick293_sv0_target_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step18_tick293_sv0_baseline_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step18_tick293_sv0_diff.png,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step18_tick293_sv0_white_neutral_mask.png,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step18_tick293_sv0_overlay.png
target,18,341,6090,sv0,post_scan_recenter,21506,1,[],True,True,True,True,True,"[-269.8220520019531, 218.12118530273438, 1.0721495151519775]","[-271.3866882324219, 219.3885955810547, 0.19797822833061218]",342.03178982374493,103.83732777956021,2.0135578827755194,21506,"[25, 43, 293, 195]",21506,1,1,14213,False,0,,,,[],,False,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step18_tick341_sv0_target_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step18_tick341_sv0_baseline_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step18_tick341_sv0_diff.png,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step18_tick341_sv0_white_neutral_mask.png,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step18_tick341_sv0_overlay.png
target,19,86,6198,sv0,post_arrival_stabilization,16212,6,[],True,True,True,True,True,"[-268.23541259765625, 212.85171508789062, 0.2054334580898285]","[-270.9215393066406, 215.4647674560547, 0.17833943665027618]",247.2458951526333,231.04460861778458,3.747441710752423,16212,"[25, 43, 293, 195]",16212,1,6,7106,False,0,,,,[],,False,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step19_tick086_sv0_target_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step19_tick086_sv0_baseline_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step19_tick086_sv0_diff.png,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step19_tick086_sv0_white_neutral_mask.png,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step19_tick086_sv0_overlay.png
target,19,98,6210,sv0,standoff_viewpoint_hold,14060,6,[],True,True,True,True,True,"[-268.20703125, 212.8338165283203, 0.19621488451957703]","[-270.9871826171875, 215.23577880859375, 0.18118013441562653]",243.098705129214,242.4491879182027,3.6740528603071154,14060,"[25, 43, 293, 195]",14060,2,6,5122,False,0,,,,[],,False,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step19_tick098_sv0_target_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step19_tick098_sv0_baseline_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step19_tick098_sv0_diff.png,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step19_tick098_sv0_white_neutral_mask.png,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step19_tick098_sv0_overlay.png
target,20,313,6738,sv1,post_scan_recenter,11894,6,[],True,True,True,True,True,"[-364.06890869140625, -131.291259765625, 0.1769525706768036]","[-362.00115966796875, -130.53610229492188, 0.19647951424121857]",71.89038577343536,107.77661233501743,2.2013288780837534,11894,"[25, 43, 293, 195]",11894,3,6,4169,False,0,,,,[],,False,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step20_tick313_sv1_target_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step20_tick313_sv1_baseline_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step20_tick313_sv1_diff.png,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step20_tick313_sv1_white_neutral_mask.png,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step20_tick313_sv1_overlay.png
target,19,62,6174,sv0,post_arrival_stabilization,9676,6,[],True,True,True,True,True,"[-268.2997741699219, 213.04991149902344, 0.20571988821029663]","[-270.6226806640625, 217.82601928710938, 0.20430874824523926]",260.77072658819475,260.2779113518941,5.311035697859301,9676,"[25, 48, 293, 195]",9676,3,6,1400,False,0,,,,[],,False,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step19_tick062_sv0_target_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step19_tick062_sv0_baseline_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step19_tick062_sv0_diff.png,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step19_tick062_sv0_white_neutral_mask.png,baseline_GP\results\holoocean_bridge_v1\phase5d12_live_raw_frame_baseline_sync_diagnostic\visuals\phase5d12_step19_tick062_sv0_overlay.png
