run_kind,policy_step,tick_in_policy_step,tick_global,agent_id,capture_phase,source_event_rgb_changed_pixels,source_event_local_candidate_count,source_event_rangefinder_hit_beam_indices,source_event_rgb_range_sync_attempted,source_event_rgb_range_sync_applied,source_event_rgb_sync_target_tick,source_event_rgb_sync_baseline_tick,source_event_rgb_sync_target_offset_ticks,source_event_rgb_sync_baseline_offset_ticks,source_event_rgb_sync_candidate_count,source_event_rgb_sync_failure_reason,target_capture_present,baseline_capture_present,exact_baseline_capture_present,exact_target_rgb_present,exact_baseline_rgb_present,synced_target_capture_present,synced_baseline_capture_present,synced_target_rgb_present,synced_baseline_rgb_present,target_rgb_present,baseline_rgb_present,target_observer_world_location,baseline_observer_world_location,target_observer_heading_deg,baseline_observer_heading_deg,target_vs_baseline_observer_distance_m,rgb_changed_pixels_recomputed,rgb_change_bbox_xyxy_recomputed,exact_tick_rgb_changed_pixels,sphere_blob_candidate_count_recomputed,sphere_blob_local_candidate_count_recomputed,sphere_blob_white_neutral_changed_pixels_recomputed,local_range_scaled_blob_present_recomputed,local_blob_area_recomputed,local_blob_range_scaled_area_recomputed,matched_range_m_recomputed,matched_beam_index_recomputed,rangefinder_hit_beam_indices_recomputed,rangefinder_min_positive_range_m_recomputed,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection,target_rgb_preview_path,baseline_rgb_preview_path,diff_preview_path,white_neutral_mask_preview_path,overlay_preview_path
target,16,240,5305,sv0,post_arrival_scan,81,1,[56],True,True,245,245,5,5,9,,True,True,True,False,False,True,True,True,True,True,True,"[-293.0905456542969, 222.173828125, 0.1678161472082138]","[-293.0908508300781, 222.17489624023438, 0.15392504632472992]",23.104939085718602,23.10439031540265,0.0011108566115235166,81,"[28, 131, 282, 187]",0,1,1,51,True,45,23913.9528883624,23.052574157714844,56,[56],23.052574157714844,False,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step16_tick240_sv0_target_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step16_tick240_sv0_baseline_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step16_tick240_sv0_diff.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step16_tick240_sv0_white_neutral_mask.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step16_tick240_sv0_overlay.png
target,16,241,5306,sv0,post_arrival_scan,81,1,[58],True,True,245,245,4,4,9,,True,True,True,False,False,True,True,True,True,True,True,"[-293.0901794433594, 222.1728057861328, 0.16805420815944672]","[-293.0904846191406, 222.17385864257812, 0.15370850265026093]",25.1084084444797,25.107880013615315,0.0010961929355262335,81,"[28, 131, 282, 187]",0,1,1,51,True,45,23660.364427960758,22.930021286010742,58,[58],22.930021286010742,False,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step16_tick241_sv0_target_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step16_tick241_sv0_baseline_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step16_tick241_sv0_diff.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step16_tick241_sv0_white_neutral_mask.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step16_tick241_sv0_overlay.png
target,16,242,5307,sv0,post_arrival_scan,81,1,[60],True,True,245,245,3,3,4,,True,True,True,False,False,True,True,True,True,True,True,"[-293.0897521972656, 222.17173767089844, 0.16834162175655365]","[-293.0900573730469, 222.1728057861328, 0.15352797508239746]",27.16576043503533,27.16525307426199,0.0011108566115235166,81,"[28, 131, 282, 187]",0,1,1,51,True,45,23516.769992107747,22.860334396362305,60,[60],22.860334396362305,False,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step16_tick242_sv0_target_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step16_tick242_sv0_baseline_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step16_tick242_sv0_diff.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step16_tick242_sv0_white_neutral_mask.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step16_tick242_sv0_overlay.png
target,7,20,2070,sv0,transit,693,0,[],False,False,,,,,0,no_rangefinder_hit,True,True,True,True,True,False,False,,,True,True,"[-380.7578430175781, 208.77349853515625, 0.22376666963100433]","[-380.7581481933594, 208.77325439453125, 0.19658154249191284]",77.6360297053291,77.63657515741652,0.000390815688319876,693,"[25, 132, 290, 195]",693,0,0,3,False,0,,,,[],,False,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step07_tick020_sv0_target_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step07_tick020_sv0_baseline_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step07_tick020_sv0_diff.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step07_tick020_sv0_white_neutral_mask.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step07_tick020_sv0_overlay.png
target,7,14,2064,sv0,transit,551,0,[],False,False,,,,,0,no_rangefinder_hit,True,True,True,True,True,False,False,,,True,True,"[-380.82421875, 208.0284881591797, 0.23673731088638306]","[-380.8244934082031, 208.0282440185547, 0.20816172659397125]",81.91027380225178,81.9108020831512,0.00036748030330787035,551,"[25, 134, 293, 195]",551,0,0,7,False,0,,,,[],,False,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step07_tick014_sv0_target_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step07_tick014_sv0_baseline_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step07_tick014_sv0_diff.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step07_tick014_sv0_white_neutral_mask.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step07_tick014_sv0_overlay.png
target,11,30,3420,sv0,transit,546,1,[],False,False,,,,,0,no_rangefinder_hit,True,True,True,True,True,False,False,,,True,True,"[-350.43798828125, 221.24937438964844, 0.21222367882728577]","[-350.4383239746094, 221.24978637695312, 0.18737100064754486]",356.0347083893175,356.03368682606396,0.0005314353871846924,546,"[25, 126, 293, 195]",546,1,1,24,False,0,,,,[],,False,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step11_tick030_sv0_target_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step11_tick030_sv0_baseline_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step11_tick030_sv0_diff.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step11_tick030_sv0_white_neutral_mask.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step11_tick030_sv0_overlay.png
target,10,136,3198,sv0,standoff_viewpoint_hold,524,0,[],False,False,,,,,0,no_rangefinder_hit,True,True,True,True,True,False,False,,,True,True,"[-353.5828857421875, 220.7984619140625, 0.1747041940689087]","[-353.5832214355469, 220.7989501953125, 0.1553025245666504]",347.41567775824007,347.4143346019285,0.0005925441845381958,524,"[25, 130, 293, 195]",524,0,0,14,False,0,,,,[],,False,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step10_tick136_sv0_target_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step10_tick136_sv0_baseline_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step10_tick136_sv0_diff.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step10_tick136_sv0_white_neutral_mask.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step10_tick136_sv0_overlay.png
target,16,53,5118,sv0,transit,335,2,[],False,False,,,,,0,no_rangefinder_hit,True,True,True,True,True,False,False,,,True,True,"[-296.9190979003906, 222.3794708251953, 0.2130218744277954]","[-296.9193420410156, 222.38046264648438, 0.18839852511882782]",357.1353170182988,357.136246359327,0.001021427488475315,335,"[25, 136, 293, 182]",335,0,2,80,False,0,,,,[],,False,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step16_tick053_sv0_target_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step16_tick053_sv0_baseline_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step16_tick053_sv0_diff.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step16_tick053_sv0_white_neutral_mask.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step16_tick053_sv0_overlay.png
target,13,144,4200,sv0,standoff_viewpoint_hold,295,2,[],False,False,,,,,0,no_rangefinder_hit,True,True,True,True,True,False,False,,,True,True,"[-322.2978210449219, 223.00035095214844, 0.17678582668304443]","[-322.2980651855469, 223.00057983398438, 0.15700377523899078]",317.83616623987257,317.8415515558542,0.00033465137023103804,295,"[25, 125, 293, 195]",295,2,2,34,False,0,,,,[],,False,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step13_tick144_sv0_target_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step13_tick144_sv0_baseline_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step13_tick144_sv0_diff.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step13_tick144_sv0_white_neutral_mask.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step13_tick144_sv0_overlay.png
target,12,40,3762,sv0,transit,263,2,[],False,False,,,,,0,no_rangefinder_hit,True,True,True,True,True,False,False,,,True,True,"[-339.1597595214844, 221.3542938232422, 0.21488501131534576]","[-339.16015625, 221.3545684814453, 0.192778542637825]",0.5369161474752633,0.5364637987243874,0.0004825252777356536,263,"[26, 134, 293, 195]",263,1,2,34,False,0,,,,[],,False,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step12_tick040_sv0_target_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step12_tick040_sv0_baseline_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step12_tick040_sv0_diff.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step12_tick040_sv0_white_neutral_mask.png,baseline_GP\results\holoocean_bridge_v1\phase5d13_live_rgb_range_sync_fix\visuals\phase5d13_step12_tick040_sv0_overlay.png
