run_kind,policy_step,tick_in_policy_step,tick_global,agent_id,camera_channel_id,camera_sensor_name,capture_phase,source_event_rgb_changed_pixels,source_event_local_candidate_count,source_event_rangefinder_hit_beam_indices,source_event_rgb_range_sync_attempted,source_event_rgb_range_sync_applied,source_event_rgb_sync_target_tick,source_event_rgb_sync_baseline_tick,source_event_rgb_sync_target_offset_ticks,source_event_rgb_sync_baseline_offset_ticks,source_event_rgb_sync_candidate_count,source_event_rgb_sync_failure_reason,target_capture_present,baseline_capture_present,exact_baseline_capture_present,exact_target_rgb_present,exact_baseline_rgb_present,synced_target_capture_present,synced_baseline_capture_present,synced_target_rgb_present,synced_baseline_rgb_present,target_rgb_present,baseline_rgb_present,target_observer_world_location,baseline_observer_world_location,target_observer_heading_deg,baseline_observer_heading_deg,target_vs_baseline_observer_distance_m,rgb_changed_pixels_recomputed,rgb_change_bbox_xyxy_recomputed,exact_tick_rgb_changed_pixels,sphere_blob_candidate_count_recomputed,sphere_blob_local_candidate_count_recomputed,sphere_blob_white_neutral_changed_pixels_recomputed,local_range_scaled_blob_present_recomputed,local_blob_area_recomputed,local_blob_range_scaled_area_recomputed,matched_range_m_recomputed,matched_beam_index_recomputed,rangefinder_hit_beam_indices_recomputed,rangefinder_min_positive_range_m_recomputed,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection,target_rgb_preview_path,baseline_rgb_preview_path,diff_preview_path,white_neutral_mask_preview_path,overlay_preview_path
target,19,12,1531,sv0,left,LeftRGBCamera,transit,5022,2,[60],True,True,17,5,5,-7,9,,True,True,True,False,False,True,True,True,True,True,True,"[-273.67486572265625, 218.744140625, 0.16927428543567657]","[-273.6825256347656, 218.7403106689453, 0.16885951161384583]",335.10044244832426,335.1349289999343,0.008564042089118153,5022,"[25, 43, 293, 195]",0,1,2,2168,False,0,,,,[60],4.207610607147217,False,False,False,False,,,,,
target,19,13,1532,sv0,left,LeftRGBCamera,transit,5022,2,"[59, 60]",True,True,17,5,4,-8,9,,True,True,True,False,False,True,True,True,True,True,True,"[-273.5736389160156, 218.69491577148438, 0.16794098913669586]","[-273.5812072753906, 218.6910400390625, 0.16818377375602722]",335.0798515105247,335.11974516127304,0.00850302095934871,5022,"[25, 43, 293, 195]",0,1,2,2168,False,0,,,,"[59, 60]",4.011380672454834,False,False,False,False,,,,,
target,19,14,1533,sv0,left,LeftRGBCamera,transit,3029,2,"[57, 58, 59, 60]",True,True,11,17,-3,3,4,,True,True,True,False,False,True,True,True,True,True,True,"[-273.4754638671875, 218.6473846435547, 0.16651581227779388]","[-273.48297119140625, 218.6434783935547, 0.16729196906089783]",334.9976256579475,335.04287565252184,0.008462783583900176,3029,"[25, 50, 293, 195]",0,1,2,929,False,0,,,,"[57, 58, 59, 60]",3.903733253479004,False,False,False,False,,,,,
target,19,15,1534,sv0,left,LeftRGBCamera,transit,5199,2,"[56, 57, 58, 59, 60]",True,True,23,11,8,-4,9,,True,True,True,False,False,True,True,True,True,True,True,"[-273.3805236816406, 218.60157775878906, 0.16516032814979553]","[-273.3879089355469, 218.59764099121094, 0.1661815047264099]",334.85090685627347,334.90141970407024,0.008368997205397853,5199,"[25, 117, 293, 195]",0,2,2,1458,True,771,12137.318358991235,3.9676575660705566,56,"[56, 57, 58, 59, 60]",3.836972236633301,False,False,False,False,,,,,
target,19,16,1535,sv0,left,LeftRGBCamera,transit,5199,2,"[54, 55, 56, 57, 58, 59, 60]",True,True,23,11,7,-5,9,,True,True,True,False,False,True,True,True,True,True,True,"[-273.288818359375, 218.5574951171875, 0.16390572488307953]","[-273.296142578125, 218.55352783203125, 0.16491228342056274]",334.63755973710266,334.6931957047982,0.008329677773410754,5199,"[25, 117, 293, 195]",0,2,2,1458,True,771,12145.71594649093,3.9690299034118652,54,"[54, 55, 56, 57, 58, 59, 60]",3.7808282375335693,False,False,False,False,,,,,
target,19,17,1536,sv0,left,LeftRGBCamera,transit,4229,3,"[53, 54, 55, 56, 57, 58, 59, 60]",True,True,17,23,0,6,9,,True,True,True,True,True,True,True,True,True,True,True,"[-273.2004089355469, 218.5150909423828, 0.16313639283180237]","[-273.2076416015625, 218.5111083984375, 0.16348284482955933]",334.35618183546757,334.41676209230553,0.008256640598325815,4229,"[25, 48, 293, 195]",777,0,3,1006,False,0,,,,"[53, 54, 55, 56, 57, 58, 59, 60]",3.7300260066986084,False,False,False,False,,,,,
target,19,18,1537,sv0,left,LeftRGBCamera,transit,4229,3,"[51, 52, 53, 54, 55, 56, 57, 58, 59]",True,True,17,23,-1,5,9,,True,True,True,False,False,True,True,True,True,True,True,"[-273.11517333984375, 218.4742889404297, 0.1628488004207611]","[-273.12237548828125, 218.4702911376953, 0.16213063895702362]",334.0060933653249,334.0713988528655,0.0082373156318524,4229,"[25, 48, 293, 195]",0,0,3,1006,False,0,,,,"[51, 52, 53, 54, 55, 56, 57, 58, 59]",3.681863307952881,False,False,False,False,,,,,
target,19,19,1538,sv0,left,LeftRGBCamera,transit,4229,3,"[49, 50, 51, 52, 53, 54, 55, 56, 57, 58]",True,True,17,23,-2,4,9,,True,True,True,False,False,True,True,True,True,True,True,"[-273.0330505371094, 218.43496704101562, 0.16304327547550201]","[-273.0401916503906, 218.43099975585938, 0.16083753108978271]",333.58732466433116,333.6571044163788,0.008169140126515564,4229,"[25, 48, 293, 195]",0,0,3,1006,False,0,,,,"[49, 50, 51, 52, 53, 54, 55, 56, 57, 58]",3.6393163204193115,False,False,False,False,,,,,
target,19,20,1539,sv0,left,LeftRGBCamera,transit,4229,3,"[47, 48, 49, 50, 51, 52, 53, 54, 55, 56]",True,True,17,23,-3,3,4,,True,True,True,False,False,True,True,True,True,True,True,"[-272.9537658691406, 218.3970184326172, 0.1634882390499115]","[-272.9609069824219, 218.39305114746094, 0.1597081869840622]",333.100597490279,333.1745693107595,0.008169140126515564,4229,"[25, 48, 293, 195]",0,0,3,1006,False,0,,,,"[47, 48, 49, 50, 51, 52, 53, 54, 55, 56]",3.5970919132232666,False,False,False,False,,,,,
target,19,21,1540,sv0,left,LeftRGBCamera,transit,5663,5,"[46, 47, 48, 49, 50, 51, 52, 53, 54, 55]",True,True,29,23,8,2,9,,True,True,True,False,False,True,True,True,True,True,True,"[-272.8771667480469, 218.36024475097656, 0.16397851705551147]","[-272.8843078613281, 218.35633850097656, 0.15872237086296082]",332.5472828070206,332.6251369737605,0.008139673700962781,5663,"[25, 43, 293, 195]",0,1,5,2188,False,825,11251.268250593308,3.692952871322632,46,"[46, 47, 48, 49, 50, 51, 52, 53, 54, 55]",3.559027910232544,False,False,False,False,,,,,
