run_kind,policy_step,tick_in_policy_step,tick_global,agent_id,camera_channel_id,camera_sensor_name,capture_phase,source_event_rgb_changed_pixels,source_event_local_candidate_count,source_event_rangefinder_hit_beam_indices,source_event_rgb_range_sync_attempted,source_event_rgb_range_sync_applied,source_event_rgb_sync_target_tick,source_event_rgb_sync_baseline_tick,source_event_rgb_sync_target_offset_ticks,source_event_rgb_sync_baseline_offset_ticks,source_event_rgb_sync_candidate_count,source_event_rgb_sync_failure_reason,target_capture_present,baseline_capture_present,exact_baseline_capture_present,exact_target_rgb_present,exact_baseline_rgb_present,synced_target_capture_present,synced_baseline_capture_present,synced_target_rgb_present,synced_baseline_rgb_present,target_rgb_present,baseline_rgb_present,target_observer_world_location,baseline_observer_world_location,target_observer_heading_deg,baseline_observer_heading_deg,target_vs_baseline_observer_distance_m,rgb_changed_pixels_recomputed,rgb_change_bbox_xyxy_recomputed,exact_tick_rgb_changed_pixels,sphere_blob_candidate_count_recomputed,sphere_blob_local_candidate_count_recomputed,sphere_blob_white_neutral_changed_pixels_recomputed,local_range_scaled_blob_present_recomputed,local_blob_area_recomputed,local_blob_range_scaled_area_recomputed,matched_range_m_recomputed,matched_beam_index_recomputed,rangefinder_hit_beam_indices_recomputed,rangefinder_min_positive_range_m_recomputed,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection,target_rgb_preview_path,baseline_rgb_preview_path,diff_preview_path,white_neutral_mask_preview_path,overlay_preview_path
target,19,12,1531,sv0,left,LeftRGBCamera,transit,2986,3,[60],True,True,11,17,-1,5,9,,True,True,True,False,False,True,True,True,True,True,True,"[-273.66644287109375, 218.74850463867188, 0.18149660527706146]","[-273.678466796875, 218.74232482910156, 0.17917194962501526]",335.0594930472135,335.11730798998263,0.013519054608896823,2986,"[25, 49, 293, 195]",0,1,3,950,False,12,215.68532496105308,4.239549160003662,60,[60],4.239549160003662,False,False,False,False,,,,,
target,19,13,1532,sv0,left,LeftRGBCamera,transit,2986,3,"[59, 60]",True,True,11,17,-2,4,9,,True,True,True,False,False,True,True,True,True,True,True,"[-273.5653076171875, 218.69932556152344, 0.1801430583000183]","[-273.57720947265625, 218.69308471679688, 0.17837229371070862]",335.03291732576434,335.0992721865124,0.013438835756868123,2986,"[25, 49, 293, 195]",0,1,3,950,False,12,193.70307027083982,4.017701148986816,60,"[59, 60]",4.017701148986816,False,False,False,False,,,,,
target,19,14,1533,sv0,left,LeftRGBCamera,transit,2986,3,"[57, 58, 59, 60]",True,True,11,17,-3,3,4,,True,True,True,False,False,True,True,True,True,True,True,"[-273.4671936035156, 218.65184020996094, 0.17869892716407776]","[-273.47900390625, 218.6455535888672, 0.17754492163658142]",334.94478805255676,335.0195732191262,0.013379269615863493,2986,"[25, 49, 293, 195]",0,1,3,950,False,12,183.30668967792008,3.908395767211914,60,"[57, 58, 59, 60]",3.908395767211914,False,False,False,False,,,,,
target,19,15,1534,sv0,left,LeftRGBCamera,transit,2986,3,"[56, 57, 58, 59, 60]",True,True,11,17,-4,2,9,,True,True,True,False,False,True,True,True,True,True,True,"[-273.372314453125, 218.60604858398438, 0.17732588946819305]","[-273.3840026855469, 218.5997314453125, 0.1767272800207138]",334.79229370016145,334.8753330231035,0.013286121260453277,2986,"[25, 49, 293, 195]",0,1,3,950,False,12,177.1719118245535,3.842437505722046,60,"[56, 57, 58, 59, 60]",3.842437505722046,False,False,False,False,,,,,
target,19,16,1535,sv0,left,LeftRGBCamera,transit,2986,3,"[54, 55, 56, 57, 58, 59, 60]",True,True,11,17,-5,1,9,,True,True,True,False,False,True,True,True,True,True,True,"[-273.2806701660156, 218.56198120117188, 0.17611409723758698]","[-273.29229736328125, 218.55563354492188, 0.17589767277240753]",334.5733459496324,334.6643932724468,0.013247054620628751,2986,"[25, 49, 293, 195]",0,1,3,950,False,12,174.59901655838894,3.8144354820251465,60,"[54, 55, 56, 57, 58, 59, 60]",3.785118341445923,False,False,False,False,,,,,
target,19,17,1536,sv0,left,LeftRGBCamera,transit,2986,3,"[53, 54, 55, 56, 57, 58, 59, 60]",True,True,11,17,-6,0,9,,True,True,True,True,True,True,True,True,True,True,True,"[-273.19232177734375, 218.5195770263672, 0.17503046989440918]","[-273.203857421875, 218.5132293701172, 0.17509888112545013]",334.2865830351859,334.3853319348434,0.013166770090630506,2986,"[25, 49, 293, 195]",2986,1,3,950,False,12,176.71613720017194,3.837491989135742,60,"[53, 54, 55, 56, 57, 58, 59, 60]",3.7342238426208496,False,False,False,False,,,,,
target,19,18,1537,sv0,left,LeftRGBCamera,transit,2986,3,"[51, 52, 53, 54, 55, 56, 57, 58, 59]",True,True,11,17,-7,-1,9,,True,True,True,False,False,True,True,True,True,True,True,"[-273.1071472167969, 218.478759765625, 0.17416636645793915]","[-273.1186218261719, 218.472412109375, 0.17431409657001495]",333.93136680046536,334.0374575154797,0.013113329103511508,2986,"[25, 49, 293, 195]",0,1,3,950,False,12,176.27257266623815,3.8326728343963623,59,"[51, 52, 53, 54, 55, 56, 57, 58, 59]",3.684389352798462,False,False,False,False,,,,,
target,19,19,1538,sv0,left,LeftRGBCamera,transit,2986,3,"[49, 50, 51, 52, 53, 54, 55, 56, 57, 58]",True,True,11,17,-8,-2,9,,True,True,True,False,False,True,True,True,True,True,True,"[-273.0249938964844, 218.43942260742188, 0.1734897941350937]","[-273.03643798828125, 218.43310546875, 0.17359043657779694]",333.5077621192987,333.62078276765067,0.013071858247969196,2986,"[25, 49, 293, 195]",0,1,3,950,False,12,179.21343288970365,3.8645119667053223,58,"[49, 50, 51, 52, 53, 54, 55, 56, 57, 58]",3.6402902603149414,False,False,False,False,,,,,
target,19,20,1539,sv0,left,LeftRGBCamera,transit,4139,1,"[47, 48, 49, 50, 51, 52, 53, 54, 55, 56]",True,True,17,23,-3,3,4,,True,True,True,False,False,True,True,True,True,True,True,"[-272.94573974609375, 218.4014129638672, 0.17309287190437317]","[-272.9571838378906, 218.39517211914062, 0.17291486263275146]",333.0165216396175,333.13601232422917,0.013035159375947986,4139,"[25, 47, 293, 195]",0,1,1,961,False,0,,,,"[47, 48, 49, 50, 51, 52, 53, 54, 55, 56]",3.597574234008789,False,False,False,False,,,,,
target,19,21,1540,sv0,left,LeftRGBCamera,transit,5748,3,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55]",True,True,29,23,8,2,9,,True,True,True,False,False,True,True,True,True,True,True,"[-272.8691101074219, 218.36459350585938, 0.17300288379192352]","[-272.88055419921875, 218.35841369628906, 0.17227883636951447]",332.45904185389287,332.58450940256637,0.013006047953956944,5748,"[25, 43, 293, 195]",0,2,3,2237,True,806,12037.047118835813,3.864492416381836,45,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55]",3.5582358837127686,False,False,False,False,,,,,
