run_kind,tick_global,policy_step,tick_in_policy_step,reporter_usv_id,agent_id,sensor_id,recommended_rule_id,expected_target_present_for_audit,raw_sensor_found,accepted_candidate,teammate_rejected,range_limited,estimated_world_position,target_world_location_for_audit,target_position_error_m,observer_world_location,matched_range_m,bearing_deg,blob_yaw_deg,matched_beam_index,matched_beam_yaw_deg,beam_yaw_error_deg,local_range_scaled_blob_present,local_blob_area,local_blob_range_scaled_area,sphere_blob_local_candidate_count,sphere_blob_candidate_count,rgb_changed_pixels,rgb_change_bbox_xyxy,rangefinder_hit_beam_indices,rangefinder_min_positive_range_m,nearest_teammate_agent_name,nearest_teammate_distance_m,within_teammate_exclusion_radius,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection
target,1,1,1,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[2.0, -6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,1,1,1,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[2.0, 6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,2,1,2,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[2.3404255319148937, -6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,2,1,2,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[2.3404255319148937, 6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,3,1,3,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[2.6808510638297873, -6.0, 0.0]",,,,,,,False,0,,0,0,0,,[6],28.759361267089844,,,False,False,False,False,False
target,3,1,3,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[2.6808510638297873, 6.0, 0.0]",,,,,,,False,0,,0,0,0,,[6],28.80303955078125,,,False,False,False,False,False
target,4,1,4,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[3.0212765957446805, -6.0, 0.0]",,,,,,,False,0,,0,0,0,,[6],28.76129722595215,,,False,False,False,False,False
target,4,1,4,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[3.0212765957446805, 6.0, 0.0]",,,,,,,False,0,,0,0,0,,[6],28.693571090698242,,,False,False,False,False,False
target,5,1,5,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[3.3617021276595747, -6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,5,1,5,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[3.3617021276595747, 6.0, 0.0]",,,,,,,False,0,,0,0,0,,[6],28.936613082885742,,,False,False,False,False,False
target,6,1,6,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[3.702127659574468, -6.0, 0.0]",,,,,,,False,0,,1,1,18,"[152, 127, 157, 131]",[],,,,False,False,False,False,False
target,6,1,6,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[3.702127659574468, 6.0, 0.0]",,,,,,,False,0,,1,1,21,"[163, 127, 167, 131]",[],,,,False,False,False,False,False
target,7,1,7,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[4.042553191489361, -6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,7,1,7,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[4.042553191489361, 6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,8,1,8,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[4.382978723404255, -6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,8,1,8,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[4.382978723404255, 6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,9,1,9,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[4.723404255319149, -6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,9,1,9,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[4.723404255319149, 6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,10,1,10,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[5.0638297872340425, -6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,10,1,10,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[5.0638297872340425, 6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,11,1,11,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[5.404255319148936, -6.0, 0.0]",,,,,,,False,0,,0,0,0,,[7],28.410818099975586,,,False,False,False,False,False
target,11,1,11,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[5.404255319148936, 6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,12,1,12,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,True,True,False,True,"[33.965628212478165, -8.469012968085591, 0.0]","[31.0, 0.0, 0.5]",8.973245307482035,"[5.74468085106383, -6.0, 0.0]",28.328746795654297,-5.0,-1.9401785714285729,7,-5.0,3.059821428571427,True,21,16852.875795258165,1,1,25,"[45, 127, 248, 154]",[7],28.328746795654297,sv0,28.328746795654297,False,False,False,False,False
target,12,1,12,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[5.74468085106383, 6.0, 0.0]",,,,,,,False,0,,1,1,46,"[60, 127, 291, 176]",[],,,,False,False,False,False,False
target,13,2,1,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[6.085106382978723, -6.0, 0.0]",,,,,,,False,0,,0,0,0,,[7],28.446420669555664,,,False,False,False,False,False
target,13,2,1,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[6.085106382978723, 6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,14,2,2,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[6.425531914893617, -6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,14,2,2,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[6.425531914893617, 6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,15,2,3,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[6.76595744680851, -6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,15,2,3,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[6.76595744680851, 6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,16,2,4,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[7.1063829787234045, -6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,16,2,4,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[7.1063829787234045, 6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,17,2,5,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[7.446808510638298, -6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,17,2,5,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[7.446808510638298, 6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,18,2,6,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[7.787234042553192, -6.0, 0.0]",,,,,,,False,0,,1,1,32,"[25, 127, 262, 155]",[],,,,False,False,False,False,False
