run_kind,tick_global,policy_step,tick_in_policy_step,agent_name,rgb_present,rangefinder_present,any_rangefinder_hit,rangefinder_hit_beam_indices,rangefinder_min_positive_range_m,loc_x,loc_y,loc_z,selected_sensor,fallback_used,target_waypoint,distance_to_waypoint_m,heading_deg,target_heading_deg,heading_error_deg,cmd_l,cmd_r,inter_vessel_distance_m
baseline,1,1,1,sv0,False,True,False,[],,2.4427695274353027,-5.988882064819336,0.12985855340957642,LocationSensor,False,"[2.0, -6.0, 0.0]",0.4429090910197744,9.243221282958984,181.43839377622197,172.195172493263,-8000.0,8000.0,11.977758407592887
baseline,1,1,1,sv1,False,True,False,[],,2.442767858505249,5.9888763427734375,0.13108138740062714,LocationSensor,False,"[2.0, 6.0, 0.0]",0.44290756628829253,350.7567729949951,178.56086081745775,-172.19591217753737,8000.0,-8000.0,11.977758407592887
baseline,2,1,2,sv0,False,True,False,[],,2.4737589359283447,-5.986365795135498,0.1514052152633667,LocationSensor,False,"[2.3404255319148937, -6.0, 0.0]",0.13402868412433727,10.009252548217773,185.8385711751432,175.82931862692544,-8000.0,8000.0,11.972712039948116
baseline,2,1,2,sv1,False,True,False,[],,2.473755121231079,5.986346244812012,0.1519766002893448,LocationSensor,False,"[2.3404255319148937, 6.0, 0.0]",0.13402687946063724,350.0175714492798,174.15294863005136,-175.86462281922843,8000.0,-8000.0,11.972712039948116
baseline,3,1,3,sv0,False,True,False,[],,2.5065865516662598,-5.983298301696777,0.17240658402442932,LocationSensor,False,"[2.6808510638297873, -6.0, 0.0]",0.17506303700611422,10.79946517944336,354.52543223141504,-16.27403294802832,3348.7518884036244,-286.9019678668835,11.96655273437791
baseline,3,1,3,sv1,False,True,False,[],,2.506578207015991,5.983254432678223,0.17303864657878876,LocationSensor,False,"[2.6808510638297873, 6.0, 0.0]",0.17507553411876275,349.28081130981445,5.488598459773728,16.2077871499593,-278.98003136289026,3341.8743715710966,11.96655273437791
baseline,4,1,4,sv0,False,True,False,[],,2.5410523414611816,-5.979636192321777,0.19056731462478638,LocationSensor,False,"[3.0212765957446805, -6.0, 0.0]",0.4806558218364761,11.552562713623047,357.57183933328577,-13.980723380337281,3269.870136448112,146.54655504091852,11.959200382242706
baseline,4,1,4,sv1,False,True,False,[],,2.54103684425354,5.979564189910889,0.1918419748544693,LocationSensor,False,"[3.0212765957446805, 6.0, 0.0]",0.480674360920437,348.60584354400635,2.4366572957117087,13.830813751705364,164.40826970416265,3254.241718630474,11.959200382242706
baseline,5,1,5,sv0,False,True,False,[],,2.576979875564575,-5.975374698638916,0.2037038505077362,LocationSensor,False,"[3.3617021276595747, -6.0, 0.0]",0.7851085392480278,12.274181365966797,358.2025959312513,-14.071585434715416,3439.306258850569,295.683899663861,11.950648307824075
baseline,5,1,5,sv1,False,True,False,[],,2.576956033706665,5.975273609161377,0.20643873512744904,LocationSensor,False,"[3.3617021276595747, 6.0, 0.0]",0.7851355465002544,347.99112129211426,1.8047229377869907,13.813601645672748,326.6039221211995,3412.5921496526757,11.950648307824075
