run_kind,call_index,mainline_step,mainline_usv_id,mainline_step_detect_call_index,robot_pos,target_count,found_mask_before_detect,sensor_range_cells,source_policy_step,source_shared_found,source_expected_target_present_for_audit,source_raw_sensor_detection_count,source_accepted_candidate_count,source_fused_candidate_count,source_teammate_rejected_count,source_candidate_count_first_cluster,source_reporter_usv_ids_first_cluster,source_fused_world_position_first_cluster,source_per_agent_event_count,source_accepted_event_count,injected_detection,injected_target_index,detected_mask,recommended_rule_id,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection,detection_source
target,1,0,0,0,"[25, 2]",1,[false],5,0,False,False,0,0,0,0,0,[],,0,0,False,,[false],sphere_blob_local_range_scaled_any_hit,False,False,False,False,phase5d3_sensor_event_candidate_fusion
target,2,0,1,1,"[35, 2]",1,[false],5,0,False,False,0,0,0,0,0,[],,0,0,False,,[false],sphere_blob_local_range_scaled_any_hit,False,False,False,False,phase5d3_sensor_event_candidate_fusion
target,3,1,0,0,"[24, 2]",1,[false],5,1,True,True,1,1,1,0,1,"[""sv0""]","[33.965628212478165, -8.469012968085591, 0.0]",24,1,True,0,[true],sphere_blob_local_range_scaled_any_hit,False,False,False,False,phase5d3_sensor_event_candidate_fusion
target,4,1,1,1,"[36, 2]",1,[false],5,1,True,True,1,1,1,0,1,"[""sv0""]","[33.965628212478165, -8.469012968085591, 0.0]",24,1,False,,[false],sphere_blob_local_range_scaled_any_hit,False,False,False,False,phase5d3_sensor_event_candidate_fusion
coexist,1,0,0,0,"[25, 2]",1,[false],5,0,False,False,0,0,0,0,0,[],,0,0,False,,[false],sphere_blob_local_range_scaled_any_hit,False,False,False,False,phase5d3_sensor_event_candidate_fusion
coexist,2,0,1,1,"[35, 2]",1,[false],5,0,False,False,0,0,0,0,0,[],,0,0,False,,[false],sphere_blob_local_range_scaled_any_hit,False,False,False,False,phase5d3_sensor_event_candidate_fusion
coexist,3,1,0,0,"[24, 2]",1,[false],5,1,True,True,1,1,1,0,1,"[""sv0""]","[33.95683649329315, -8.468243792324, 0.0]",24,1,True,0,[true],sphere_blob_local_range_scaled_any_hit,False,False,False,False,phase5d3_sensor_event_candidate_fusion
coexist,4,1,1,1,"[36, 2]",1,[false],5,1,True,True,1,1,1,0,1,"[""sv0""]","[33.95683649329315, -8.468243792324, 0.0]",24,1,False,,[false],sphere_blob_local_range_scaled_any_hit,False,False,False,False,phase5d3_sensor_event_candidate_fusion
teammate_only,1,0,0,0,"[25, 2]",1,[false],5,0,False,False,0,0,0,0,0,[],,0,0,False,,[false],sphere_blob_local_range_scaled_any_hit,False,False,False,False,phase5d3_sensor_event_candidate_fusion
teammate_only,2,0,1,1,"[35, 2]",1,[false],5,0,False,False,0,0,0,0,0,[],,0,0,False,,[false],sphere_blob_local_range_scaled_any_hit,False,False,False,False,phase5d3_sensor_event_candidate_fusion
teammate_only,3,1,0,0,"[24, 2]",1,[false],5,1,False,False,0,0,0,0,0,[],,24,0,False,,[false],sphere_blob_local_range_scaled_any_hit,False,False,False,False,phase5d3_sensor_event_candidate_fusion
teammate_only,4,1,1,1,"[36, 2]",1,[false],5,1,False,False,0,0,0,0,0,[],,24,0,False,,[false],sphere_blob_local_range_scaled_any_hit,False,False,False,False,phase5d3_sensor_event_candidate_fusion
teammate_only,5,2,0,0,"[23, 2]",1,[false],5,2,False,False,0,0,0,0,0,[],,24,0,False,,[false],sphere_blob_local_range_scaled_any_hit,False,False,False,False,phase5d3_sensor_event_candidate_fusion
teammate_only,6,2,1,1,"[37, 2]",1,[false],5,2,False,False,0,0,0,0,0,[],,24,0,False,,[false],sphere_blob_local_range_scaled_any_hit,False,False,False,False,phase5d3_sensor_event_candidate_fusion
teammate_only,7,3,0,0,"[22, 2]",1,[false],5,3,False,False,0,0,0,0,0,[],,24,0,False,,[false],sphere_blob_local_range_scaled_any_hit,False,False,False,False,phase5d3_sensor_event_candidate_fusion
teammate_only,8,3,1,1,"[38, 2]",1,[false],5,3,False,False,0,0,0,0,0,[],,24,0,False,,[false],sphere_blob_local_range_scaled_any_hit,False,False,False,False,phase5d3_sensor_event_candidate_fusion
teammate_only,9,4,0,0,"[21, 2]",1,[false],5,4,False,False,0,0,0,0,0,[],,24,0,False,,[false],sphere_blob_local_range_scaled_any_hit,False,False,False,False,phase5d3_sensor_event_candidate_fusion
teammate_only,10,4,1,1,"[39, 2]",1,[false],5,4,False,False,0,0,0,0,0,[],,24,0,False,,[false],sphere_blob_local_range_scaled_any_hit,False,False,False,False,phase5d3_sensor_event_candidate_fusion
duplicate_replay,1,0,0,0,"[25, 2]",1,[false],5,0,False,False,0,0,0,0,0,[],,0,0,False,,[false],sphere_blob_local_range_scaled_any_hit,False,False,False,False,phase5d3_sensor_event_candidate_fusion
duplicate_replay,2,0,1,1,"[35, 2]",1,[false],5,0,False,False,0,0,0,0,0,[],,0,0,False,,[false],sphere_blob_local_range_scaled_any_hit,False,False,False,False,phase5d3_sensor_event_candidate_fusion
duplicate_replay,3,1,0,0,"[24, 2]",1,[false],5,1,True,True,1,1,1,0,1,"[""sv0""]","[33.965628212478165, -8.469012968085591, 0.0]",24,1,False,,[false],sphere_blob_local_range_scaled_any_hit,False,False,False,False,phase5d3_sensor_event_candidate_fusion
duplicate_replay,4,1,1,1,"[36, 2]",1,[false],5,1,True,True,1,1,1,0,1,"[""sv0""]","[33.965628212478165, -8.469012968085591, 0.0]",24,1,False,,[false],sphere_blob_local_range_scaled_any_hit,False,False,False,False,phase5d3_sensor_event_candidate_fusion
duplicate_replay,5,2,0,0,"[23, 2]",1,[false],5,2,True,True,1,1,1,0,1,"[""sv0""]","[37.18506309574579, -10.823473199141283, 0.0]",24,1,False,,[false],sphere_blob_local_range_scaled_any_hit,False,False,False,False,phase5d3_sensor_event_candidate_fusion
duplicate_replay,6,2,1,1,"[37, 2]",1,[false],5,2,True,True,1,1,1,0,1,"[""sv0""]","[37.18506309574579, -10.823473199141283, 0.0]",24,1,False,,[false],sphere_blob_local_range_scaled_any_hit,False,False,False,False,phase5d3_sensor_event_candidate_fusion
duplicate_replay,7,3,0,0,"[22, 2]",1,[false],5,3,True,True,2,2,1,0,2,"[""sv1""]","[40.363954246058654, 4.810430037320117, 0.0]",24,2,True,0,[true],sphere_blob_local_range_scaled_any_hit,False,False,False,False,phase5d3_sensor_event_candidate_fusion
duplicate_replay,8,3,1,1,"[38, 2]",1,[false],5,3,True,True,2,2,1,0,2,"[""sv1""]","[40.363954246058654, 4.810430037320117, 0.0]",24,2,False,,[false],sphere_blob_local_range_scaled_any_hit,False,False,False,False,phase5d3_sensor_event_candidate_fusion
