run_kind,step_index,detected_mask,shared_found,accepted_candidate_count,fused_candidate_count,fused_candidates,new_found_candidate_count,found_update_trace,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection,source_run_kind,found_mask_after_replay,find_times_after_replay,new_found_indices,all_found_after_replay,offline_replay_update_applied,adapter_module
target,1,[true],True,1,1,"[{""candidate_count"": 1, ""cluster_id"": 0, ""confirmed_static_target_candidate_for_audit"": true, ""fused_world_position"": [33.965628212478165, -8.469012968085591, 0.0], ""positions"": [[33.965628212478165, -8.469012968085591, 0.0]], ""reporter_usv_ids"": [""sv0""], ""target_position_error_m"": 8.973245307482035}]",1,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""phase5d6_offline_target"", ""detected_mask_from_adapter"": [true], ""detection_source"": ""holoocean_sensor_event_candidate_fusion"", ""episode_id"": ""phase5d6_offline_target"", ""found_mask_before_adapter"": [false], ""known_teammate_count"": 2, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 1, ""source_accepted_event_count"": 1, ""source_fused_candidate_count"": 1, ""source_fused_world_position_first_cluster"": [33.965628212478165, -8.469012968085591, 0.0], ""source_per_agent_event_count"": 24, ""source_policy_step"": 1, ""source_raw_sensor_detection_count"": 1, ""source_reporter_usv_ids_first_cluster"": [""sv0""], ""source_shared_found"": true, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,target,[true],[1],[0],True,True,baseline_GP.holoocean_bridge.mainline_perception_adapter
target,2,[false],False,1,1,"[{""candidate_count"": 1, ""cluster_id"": 0, ""confirmed_static_target_candidate_for_audit"": true, ""fused_world_position"": [37.18506309574579, -10.823473199141283, 0.0], ""positions"": [[37.18506309574579, -10.823473199141283, 0.0]], ""reporter_usv_ids"": [""sv0""], ""target_position_error_m"": 12.466057018595981}]",0,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""phase5d6_offline_target"", ""detected_mask_from_adapter"": [false], ""detection_source"": ""holoocean_sensor_event_candidate_fusion"", ""episode_id"": ""phase5d6_offline_target"", ""found_mask_before_adapter"": [true], ""known_teammate_count"": 2, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 1, ""source_accepted_event_count"": 1, ""source_fused_candidate_count"": 1, ""source_fused_world_position_first_cluster"": [37.18506309574579, -10.823473199141283, 0.0], ""source_per_agent_event_count"": 24, ""source_policy_step"": 2, ""source_raw_sensor_detection_count"": 1, ""source_reporter_usv_ids_first_cluster"": [""sv0""], ""source_shared_found"": true, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,target,[true],[1],[],True,True,baseline_GP.holoocean_bridge.mainline_perception_adapter
target,3,[false],False,2,1,"[{""candidate_count"": 2, ""cluster_id"": 0, ""confirmed_static_target_candidate_for_audit"": true, ""fused_world_position"": [40.363954246058654, 4.810430037320117, 0.0], ""positions"": [[39.619321092646175, 6.0, 0.0], [41.108587399471126, 3.6208600746402335, 0.0]], ""reporter_usv_ids"": [""sv1""], ""target_position_error_m"": 10.527291972118544}]",0,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""phase5d6_offline_target"", ""detected_mask_from_adapter"": [false], ""detection_source"": ""holoocean_sensor_event_candidate_fusion"", ""episode_id"": ""phase5d6_offline_target"", ""found_mask_before_adapter"": [true], ""known_teammate_count"": 2, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 2, ""source_accepted_event_count"": 2, ""source_fused_candidate_count"": 1, ""source_fused_world_position_first_cluster"": [40.363954246058654, 4.810430037320117, 0.0], ""source_per_agent_event_count"": 24, ""source_policy_step"": 3, ""source_raw_sensor_detection_count"": 2, ""source_reporter_usv_ids_first_cluster"": [""sv1""], ""source_shared_found"": true, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,target,[true],[1],[],True,True,baseline_GP.holoocean_bridge.mainline_perception_adapter
target,4,[false],False,1,1,"[{""candidate_count"": 1, ""cluster_id"": 0, ""confirmed_static_target_candidate_for_audit"": false, ""fused_world_position"": [43.76037226817618, -12.902470945982895, 0.0], ""positions"": [[43.76037226817618, -12.902470945982895, 0.0]], ""reporter_usv_ids"": [""sv0""], ""target_position_error_m"": 18.146648641949632}]",0,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""phase5d6_offline_target"", ""detected_mask_from_adapter"": [false], ""detection_source"": ""holoocean_sensor_event_candidate_fusion"", ""episode_id"": ""phase5d6_offline_target"", ""found_mask_before_adapter"": [true], ""known_teammate_count"": 2, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 1, ""source_accepted_event_count"": 1, ""source_fused_candidate_count"": 1, ""source_fused_world_position_first_cluster"": [43.76037226817618, -12.902470945982895, 0.0], ""source_per_agent_event_count"": 24, ""source_policy_step"": 4, ""source_raw_sensor_detection_count"": 1, ""source_reporter_usv_ids_first_cluster"": [""sv0""], ""source_shared_found"": true, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,target,[true],[1],[],True,True,baseline_GP.holoocean_bridge.mainline_perception_adapter
coexist,1,[true],True,1,1,"[{""candidate_count"": 1, ""cluster_id"": 0, ""confirmed_static_target_candidate_for_audit"": true, ""fused_world_position"": [33.95683649329315, -8.468243792324, 0.0], ""positions"": [[33.95683649329315, -8.468243792324, 0.0]], ""reporter_usv_ids"": [""sv0""], ""target_position_error_m"": 8.969617325967931}]",1,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""phase5d6_offline_coexist"", ""detected_mask_from_adapter"": [true], ""detection_source"": ""holoocean_sensor_event_candidate_fusion"", ""episode_id"": ""phase5d6_offline_coexist"", ""found_mask_before_adapter"": [false], ""known_teammate_count"": 3, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 1, ""source_accepted_event_count"": 1, ""source_fused_candidate_count"": 1, ""source_fused_world_position_first_cluster"": [33.95683649329315, -8.468243792324, 0.0], ""source_per_agent_event_count"": 24, ""source_policy_step"": 1, ""source_raw_sensor_detection_count"": 1, ""source_reporter_usv_ids_first_cluster"": [""sv0""], ""source_shared_found"": true, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,coexist,[true],[1],[0],True,True,baseline_GP.holoocean_bridge.mainline_perception_adapter
coexist,2,[false],False,1,1,"[{""candidate_count"": 1, ""cluster_id"": 0, ""confirmed_static_target_candidate_for_audit"": true, ""fused_world_position"": [37.181225582319186, -10.822796541985344, 0.0], ""positions"": [[37.181225582319186, -10.822796541985344, 0.0]], ""reporter_usv_ids"": [""sv0""], ""target_position_error_m"": 12.463565889773562}]",0,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""phase5d6_offline_coexist"", ""detected_mask_from_adapter"": [false], ""detection_source"": ""holoocean_sensor_event_candidate_fusion"", ""episode_id"": ""phase5d6_offline_coexist"", ""found_mask_before_adapter"": [true], ""known_teammate_count"": 3, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 1, ""source_accepted_event_count"": 1, ""source_fused_candidate_count"": 1, ""source_fused_world_position_first_cluster"": [37.181225582319186, -10.822796541985344, 0.0], ""source_per_agent_event_count"": 24, ""source_policy_step"": 2, ""source_raw_sensor_detection_count"": 1, ""source_reporter_usv_ids_first_cluster"": [""sv0""], ""source_shared_found"": true, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,coexist,[true],[1],[],True,True,baseline_GP.holoocean_bridge.mainline_perception_adapter
coexist,3,[false],False,2,1,"[{""candidate_count"": 2, ""cluster_id"": 0, ""confirmed_static_target_candidate_for_audit"": true, ""fused_world_position"": [40.371782095058904, 4.809580236910941, 0.0], ""positions"": [[39.615550264399104, 6.0, 0.0], [41.128013925718705, 3.6191604738218817, 0.0]], ""reporter_usv_ids"": [""sv1""], ""target_position_error_m"": 10.533867366383108}]",0,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""phase5d6_offline_coexist"", ""detected_mask_from_adapter"": [false], ""detection_source"": ""holoocean_sensor_event_candidate_fusion"", ""episode_id"": ""phase5d6_offline_coexist"", ""found_mask_before_adapter"": [true], ""known_teammate_count"": 3, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 2, ""source_accepted_event_count"": 2, ""source_fused_candidate_count"": 1, ""source_fused_world_position_first_cluster"": [40.371782095058904, 4.809580236910941, 0.0], ""source_per_agent_event_count"": 24, ""source_policy_step"": 3, ""source_raw_sensor_detection_count"": 2, ""source_reporter_usv_ids_first_cluster"": [""sv1""], ""source_shared_found"": true, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,coexist,[true],[1],[],True,True,baseline_GP.holoocean_bridge.mainline_perception_adapter
coexist,4,[false],False,1,1,"[{""candidate_count"": 1, ""cluster_id"": 0, ""confirmed_static_target_candidate_for_audit"": false, ""fused_world_position"": [43.75282597265829, -12.90044892219303, 0.0], ""positions"": [[43.75282597265829, -12.90044892219303, 0.0]], ""reporter_usv_ids"": [""sv0""], ""target_position_error_m"": 18.139904979988714}]",0,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""phase5d6_offline_coexist"", ""detected_mask_from_adapter"": [false], ""detection_source"": ""holoocean_sensor_event_candidate_fusion"", ""episode_id"": ""phase5d6_offline_coexist"", ""found_mask_before_adapter"": [true], ""known_teammate_count"": 3, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 1, ""source_accepted_event_count"": 1, ""source_fused_candidate_count"": 1, ""source_fused_world_position_first_cluster"": [43.75282597265829, -12.90044892219303, 0.0], ""source_per_agent_event_count"": 24, ""source_policy_step"": 4, ""source_raw_sensor_detection_count"": 1, ""source_reporter_usv_ids_first_cluster"": [""sv0""], ""source_shared_found"": true, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,coexist,[true],[1],[],True,True,baseline_GP.holoocean_bridge.mainline_perception_adapter
teammate_only,1,[false],False,0,0,[],0,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""phase5d6_offline_teammate_only"", ""detected_mask_from_adapter"": [false], ""detection_source"": ""holoocean_sensor_event_candidate_fusion"", ""episode_id"": ""phase5d6_offline_teammate_only"", ""found_mask_before_adapter"": [false], ""known_teammate_count"": 2, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 0, ""source_accepted_event_count"": 0, ""source_fused_candidate_count"": 0, ""source_fused_world_position_first_cluster"": null, ""source_per_agent_event_count"": 24, ""source_policy_step"": 1, ""source_raw_sensor_detection_count"": 0, ""source_reporter_usv_ids_first_cluster"": [], ""source_shared_found"": false, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,teammate_only,[false],[null],[],False,True,baseline_GP.holoocean_bridge.mainline_perception_adapter
teammate_only,2,[false],False,0,0,[],0,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""phase5d6_offline_teammate_only"", ""detected_mask_from_adapter"": [false], ""detection_source"": ""holoocean_sensor_event_candidate_fusion"", ""episode_id"": ""phase5d6_offline_teammate_only"", ""found_mask_before_adapter"": [false], ""known_teammate_count"": 2, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 0, ""source_accepted_event_count"": 0, ""source_fused_candidate_count"": 0, ""source_fused_world_position_first_cluster"": null, ""source_per_agent_event_count"": 24, ""source_policy_step"": 2, ""source_raw_sensor_detection_count"": 0, ""source_reporter_usv_ids_first_cluster"": [], ""source_shared_found"": false, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,teammate_only,[false],[null],[],False,True,baseline_GP.holoocean_bridge.mainline_perception_adapter
