run_kind,policy_step,expected_target_present_for_audit,raw_sensor_detection_count,accepted_candidate_count,teammate_rejected_count,fused_candidate_count,fused_candidates,shared_found_this_step,new_found_this_step,run_found_mask_after,run_find_times_after,global_found_mask_after,global_find_times_after,shared_target_count_after,outcome,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection
target,1,True,1,1,0,1,"[{""candidate_count"": 1, ""cluster_id"": 0, ""confirmed_static_target_candidate_for_audit"": true, ""fused_world_position"": [31.069489795223493, -8.397048483120226, 0.0], ""positions"": [[31.069489795223493, -8.397048483120226, 0.0]], ""reporter_usv_ids"": [""sv0""], ""target_position_error_m"": 8.397336009682588}]",True,True,[true],[1],[true],[1],1,true_positive,False,False,False,False
target,2,True,1,1,0,1,"[{""candidate_count"": 1, ""cluster_id"": 0, ""confirmed_static_target_candidate_for_audit"": true, ""fused_world_position"": [30.742301540254687, -10.611506894814168, 0.0], ""positions"": [[30.742301540254687, -10.611506894814168, 0.0]], ""reporter_usv_ids"": [""sv0""], ""target_position_error_m"": 10.614635513047244}]",True,False,[true],[1],[true],[1],1,true_positive,False,False,False,False
target,3,True,2,2,0,1,"[{""candidate_count"": 2, ""cluster_id"": 0, ""confirmed_static_target_candidate_for_audit"": true, ""fused_world_position"": [31.30616834725971, 4.51378223277427, 0.0], ""positions"": [[31.427207708358765, 5.736650466918945, 0.0], [31.185128986160656, 3.290913998629595, 0.0]], ""reporter_usv_ids"": [""sv1""], ""target_position_error_m"": 4.524153965303615}]",True,False,[true],[1],[true],[1],1,true_positive,False,False,False,False
target,4,True,1,1,0,1,"[{""candidate_count"": 1, ""cluster_id"": 0, ""confirmed_static_target_candidate_for_audit"": true, ""fused_world_position"": [30.25551054906596, -12.267600281446722, 0.0], ""positions"": [[30.25551054906596, -12.267600281446722, 0.0]], ""reporter_usv_ids"": [""sv0""], ""target_position_error_m"": 12.290170104921401}]",True,False,[true],[1],[true],[1],1,true_positive,False,False,False,False
coexist,1,True,1,1,0,1,"[{""candidate_count"": 1, ""cluster_id"": 0, ""confirmed_static_target_candidate_for_audit"": true, ""fused_world_position"": [31.080430993709083, -8.398024745721585, 0.0], ""positions"": [[31.080430993709083, -8.398024745721585, 0.0]], ""reporter_usv_ids"": [""sv0""], ""target_position_error_m"": 8.398409895599352}]",True,True,[true],[1],[true],[1],1,true_positive,False,False,False,False
coexist,2,True,1,1,0,1,"[{""candidate_count"": 1, ""cluster_id"": 0, ""confirmed_static_target_candidate_for_audit"": true, ""fused_world_position"": [30.75670045159128, -10.614057998943611, 0.0], ""positions"": [[30.75670045159128, -10.614057998943611, 0.0]], ""reporter_usv_ids"": [""sv0""], ""target_position_error_m"": 10.616846135985712}]",True,False,[true],[1],[true],[1],1,true_positive,False,False,False,False
coexist,3,True,2,2,0,1,"[{""candidate_count"": 2, ""cluster_id"": 0, ""confirmed_static_target_candidate_for_audit"": true, ""fused_world_position"": [31.28521768758923, 4.5144695458550075, 0.0], ""positions"": [[31.401098251342773, 5.73664665222168, 0.0], [31.169337123835685, 3.292292439488335, 0.0]], ""reporter_usv_ids"": [""sv1""], ""target_position_error_m"": 4.5234703944832075}]",True,False,[true],[1],[true],[1],1,true_positive,False,False,False,False
coexist,4,True,1,1,0,1,"[{""candidate_count"": 1, ""cluster_id"": 0, ""confirmed_static_target_candidate_for_audit"": true, ""fused_world_position"": [30.26622452860086, -12.270492310808706, 0.0], ""positions"": [[30.26622452860086, -12.270492310808706, 0.0]], ""reporter_usv_ids"": [""sv0""], ""target_position_error_m"": 12.292412618849182}]",True,False,[true],[1],[true],[1],1,true_positive,False,False,False,False
teammate_only,1,False,0,0,0,0,[],False,False,[false],[null],[true],[1],1,true_negative,False,False,False,False
teammate_only,2,False,1,0,1,0,[],False,False,[false],[null],[true],[1],1,true_negative,False,False,False,False
teammate_only,3,False,0,0,0,0,[],False,False,[false],[null],[true],[1],1,true_negative,False,False,False,False
teammate_only,4,False,1,0,1,0,[],False,False,[false],[null],[true],[1],1,true_negative,False,False,False,False
