run_kind,tick_global,policy_step,tick_in_policy_step,reporter_usv_id,agent_id,sensor_id,recommended_rule_id,expected_target_present_for_audit,raw_sensor_found,accepted_candidate,teammate_rejected,range_limited,estimated_world_position,target_world_location_for_audit,target_position_error_m,observer_world_location,planned_observer_world_location,observer_pose_source,matched_range_m,bearing_deg,blob_yaw_deg,matched_beam_index,matched_beam_yaw_deg,beam_yaw_error_deg,local_range_scaled_blob_present,local_blob_area,local_blob_range_scaled_area,sphere_blob_local_candidate_count,sphere_blob_candidate_count,rgb_changed_pixels,rgb_change_bbox_xyxy,rangefinder_hit_beam_indices,rangefinder_min_positive_range_m,nearest_teammate_agent_name,nearest_teammate_distance_m,within_teammate_exclusion_radius,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection
target,1,1,1,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[2.442765474319458, -5.988884449005127, 0.14257586002349854]","[2.0, -6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,1,1,1,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[2.4427690505981445, 5.9888811111450195, 0.13087792694568634]","[2.0, 6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,2,1,2,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[2.473754405975342, -5.986368656158447, 0.16508261859416962]","[2.3404255319148937, -6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,2,1,2,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[2.473757028579712, 5.986349582672119, 0.15044328570365906]","[2.3404255319148937, 6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,3,1,3,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[2.506582021713257, -5.983300685882568, 0.18606619536876678]","[2.6808510638297873, -6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[6],28.768573760986328,,,False,False,False,False,False
target,3,1,3,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[2.5065805912017822, 5.983256816864014, 0.17048503458499908]","[2.6808510638297873, 6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[6],28.806795120239258,,,False,False,False,False,False
target,4,1,4,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[2.5410475730895996, -5.979637145996094, 0.202564999461174]","[3.0212765957446805, -6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[6],28.767711639404297,,,False,False,False,False,False
target,4,1,4,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[2.5410399436950684, 5.979564666748047, 0.18813513219356537]","[3.0212765957446805, 6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[6],28.697744369506836,,,False,False,False,False,False
target,5,1,5,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[2.5769755840301514, -5.975372791290283, 0.21320661902427673]","[3.3617021276595747, -6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,5,1,5,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[2.5769596099853516, 5.9752726554870605, 0.2015177458524704]","[3.3617021276595747, 6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[6],28.973424911499023,,,False,False,False,False,False
