run_kind,tick_global,policy_step,tick_in_policy_step,reporter_usv_id,agent_id,sensor_id,recommended_rule_id,expected_target_present_for_audit,raw_sensor_found,accepted_candidate,teammate_rejected,range_limited,estimated_world_position,target_world_location_for_audit,target_position_error_m,observer_world_location,observer_heading_deg,observer_pose_source,observer_orientation_source,world_projection_uses_observer_heading,matched_range_m,bearing_deg,blob_yaw_deg,matched_beam_index,matched_beam_yaw_deg,beam_yaw_error_deg,local_range_scaled_blob_present,local_blob_area,local_blob_range_scaled_area,sphere_blob_local_candidate_count,sphere_blob_candidate_count,rgb_changed_pixels,rgb_change_bbox_xyxy,rangefinder_hit_beam_indices,rangefinder_min_positive_range_m,live_capture_primary_detection_source,replay_events_used_for_detection,calibration_reference_used,calibration_reference_role,nearest_teammate_agent_name,nearest_teammate_distance_m,within_teammate_exclusion_radius,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection
target,1,1,1,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-380.0, 149.99993896484375, 0.14857524633407593]",0.13008423760418752,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,1,1,1,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-380.0, 50.000064849853516, 0.14443524181842804]",359.8699157623958,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,2,1,2,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-380.0, 149.9998016357422, 0.16731852293014526]",0.38700010708596083,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,2,1,2,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-380.0, 50.00019073486328, 0.16323886811733246]",359.61299989291405,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,3,1,3,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-380.0, 149.99961853027344, 0.1840883046388626]",0.7675757890660708,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,3,1,3,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-380.0, 50.00038146972656, 0.1803569197654724]",359.2324242109339,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,4,1,4,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.9999694824219, 149.99935913085938, 0.19690671563148499]",1.26871836315859,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,4,1,4,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.9999694824219, 50.000633239746094, 0.19431182742118835]",358.73128174353695,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,5,1,5,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.9999694824219, 149.99905395507812, 0.20464032888412476]",1.8874118204284887,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,5,1,5,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.9999694824219, 50.000946044921875, 0.2037149965763092]",358.1125886062267,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,6,1,6,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.9999694824219, 149.99868774414062, 0.20703329145908356]",2.6207140725765306,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,25,"[55, 122, 287, 163]",[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,6,1,6,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.9999694824219, 50.001312255859375, 0.2081984430551529]",357.37928656708397,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,43,"[45, 126, 287, 163]",[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,7,1,7,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.99993896484375, 149.99826049804688, 0.20414911210536957]",3.465756287617482,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,7,1,7,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.99993896484375, 50.001739501953125, 0.20784246921539307]",356.53424477764776,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,8,1,8,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.9999084472656, 149.99777221679688, 0.19680924713611603]",4.4197396025409486,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,8,1,8,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.9999084472656, 50.002220153808594, 0.20313073694705963]",355.58026209992863,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,9,1,9,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.9998474121094, 149.9972381591797, 0.18657615780830383]",5.479931690967783,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,9,1,9,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.9998474121094, 50.00275421142578, 0.194851353764534]",354.5200704337115,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,10,1,10,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.9997863769531, 149.9966583251953, 0.17526771128177643]",6.643668366898322,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,10,1,10,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.9997863769531, 50.00334548950195, 0.1843603551387787]",353.35633332918286,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,11,1,11,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.9997253417969, 149.99600219726562, 0.1641082614660263]",7.908348125459017,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,11,1,11,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.9997253417969, 50.00398635864258, 0.1731133759021759]",352.09165272019504,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,12,1,12,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.9996032714844, 149.9953155517578, 0.15414083003997803]",9.271432223682401,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,4,"[69, 122, 278, 157]",[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,12,1,12,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.9996032714844, 50.00468444824219, 0.16253797709941864]",350.728566933697,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,13,1,13,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.9994812011719, 149.9945526123047, 0.14630399644374847]",10.730444088580576,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,13,1,13,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.9994812011719, 50.005435943603516, 0.15315444767475128]",349.2695533948829,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,14,1,14,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.99932861328125, 149.99375915527344, 0.14120718836784363]",12.282964458595005,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,14,1,14,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.99932861328125, 50.0062370300293, 0.14554853737354279]",347.7170305360163,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
target,15,1,15,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[-270.0, 221.0, 0.5]",,"[-379.9991149902344, 149.99288940429688, 0.13886964321136475]",13.926631504447773,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,,,False,False,False,False,False
