run_kind,policy_step,planner_callback_called,planner_decision_source,planned_path_source,preset_trajectory_used,joint_assignment_score,assignment_order,same_viewpoint_selected,sv0_viewpoint_cell,sv1_viewpoint_cell,sv0_segment_path,sv1_segment_path,sv0_next_target_cell,sv1_next_target_cell,local_before,local_after,expected_execute_next_step,physical_result,candidate_fusion_called,adapter_observe_step_called,update_found_mask_original_called,new_found_indices,found_mask_after,find_times_after,all_found_after_update,terminated_reason_after_step,step_wall_time_s,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection
calibration,1,True,baseline_GP.marine_knownmap_runtime_2usv._joint_assign_two_usv_segments,baseline_GP_mainline_planner,False,6.486486486486487,"[0, 1]",False,"[16, 39]","[53, 39]","[[25, 2], [24, 2], [23, 2], [22, 2], [21, 2], [20, 2], [19, 2], [18, 2], [17, 2]]","[[35, 2], [36, 2], [37, 2], [38, 2], [39, 2], [40, 2], [41, 2], [42, 2], [43, 2]]","[24, 2]","[36, 2]","{""0"": {""commit_remaining"": 4, ""committed_segment"": [[25, 2], [24, 2], [23, 2], [22, 2], [21, 2], [20, 2], [19, 2], [18, 2], [17, 2]], ""robot_pos"": [25, 2]}, ""1"": {""commit_remaining"": 4, ""committed_segment"": [[35, 2], [36, 2], [37, 2], [38, 2], [39, 2], [40, 2], [41, 2], [42, 2], [43, 2]], ""robot_pos"": [35, 2]}}","{""0"": {""commit_remaining"": 3, ""committed_segment"": [[24, 2], [23, 2], [22, 2], [21, 2], [20, 2], [19, 2], [18, 2], [17, 2]], ""robot_pos"": [24, 2]}, ""1"": {""commit_remaining"": 3, ""committed_segment"": [[36, 2], [37, 2], [38, 2], [39, 2], [40, 2], [41, 2], [42, 2], [43, 2]], ""robot_pos"": [36, 2]}}","{""0"": {""collision"": false, ""collision_cell"": null, ""move_success"": true, ""new_robot_pos"": [24, 2]}, ""1"": {""collision"": false, ""collision_cell"": null, ""move_success"": true, ""new_robot_pos"": [36, 2]}}","{""arrived"": {""0"": true, ""1"": true}, ""final_by_usv"": {""0"": {""arrived"": true, ""final_distance_to_target_m"": 2.6777932825658906, ""final_projected_cell"": [24, 2], ""last_known_world"": [-380.5204772949219, 157.37327575683594, 0.21959561109542847], ""observer_pose_source"": ""live_location_sensor"", ""orientation_source"": ""live_orientation_sensor"", ""projection_matches_target"": true, ""target_cell"": [24, 2], ""target_world"": [-380.0, 160.0, 0.0]}, ""1"": {""arrived"": true, ""final_distance_to_target_m"": 2.677776762751101, ""final_projected_cell"": [36, 2], ""last_known_world"": [-380.5205078125, 42.62670135498047, 0.21108801662921906], ""observer_pose_source"": ""live_location_sensor"", ""orientation_source"": ""live_orientation_sensor"", ""projection_matches_target"": true, ""target_cell"": [36, 2], ""target_world"": [-380.0, 40.0, 0.0]}}, ""per_step_fallback_counts"": {""0"": 0, ""1"": 0}, ""policy_step"": 1, ""run_kind"": ""calibration"", ""step_min_inter_vessel_distance_m"": 99.95892715454568, ""step_ticks"": 111, ""target_cells"": {""0"": [24, 2], ""1"": [36, 2]}, ""target_world"": {""0"": [-380.0, 160.0, 0.0], ""1"": [-380.0, 40.0, 0.0]}, ""timeout"": false}",True,False,True,[],[false],[null],False,running,5.221068,False,False,False,False
calibration,2,True,baseline_GP.marine_knownmap_runtime_2usv._joint_assign_two_usv_segments,baseline_GP_mainline_planner,False,6.15,"[0, 1]",False,"[18, 41]","[54, 39]","[[24, 2], [23, 2], [22, 2], [21, 2], [20, 2], [19, 2], [18, 2], [18, 3], [18, 4]]","[[36, 2], [37, 2], [38, 2], [39, 2], [40, 2], [41, 2], [42, 2], [43, 2], [44, 2]]","[23, 2]","[37, 2]","{""0"": {""commit_remaining"": 4, ""committed_segment"": [[24, 2], [23, 2], [22, 2], [21, 2], [20, 2], [19, 2], [18, 2], [18, 3], [18, 4]], ""robot_pos"": [24, 2]}, ""1"": {""commit_remaining"": 4, ""committed_segment"": [[36, 2], [37, 2], [38, 2], [39, 2], [40, 2], [41, 2], [42, 2], [43, 2], [44, 2]], ""robot_pos"": [36, 2]}}","{""0"": {""commit_remaining"": 3, ""committed_segment"": [[23, 2], [22, 2], [21, 2], [20, 2], [19, 2], [18, 2], [18, 3], [18, 4]], ""robot_pos"": [23, 2]}, ""1"": {""commit_remaining"": 3, ""committed_segment"": [[37, 2], [38, 2], [39, 2], [40, 2], [41, 2], [42, 2], [43, 2], [44, 2]], ""robot_pos"": [37, 2]}}","{""0"": {""collision"": false, ""collision_cell"": null, ""move_success"": true, ""new_robot_pos"": [23, 2]}, ""1"": {""collision"": false, ""collision_cell"": null, ""move_success"": true, ""new_robot_pos"": [37, 2]}}","{""arrived"": {""0"": true, ""1"": true}, ""final_by_usv"": {""0"": {""arrived"": true, ""final_distance_to_target_m"": 1.4712932543819564, ""final_projected_cell"": [23, 2], ""last_known_world"": [-378.6713562011719, 169.36801147460938, 0.18955080211162567], ""observer_pose_source"": ""live_location_sensor"", ""orientation_source"": ""live_orientation_sensor"", ""projection_matches_target"": true, ""target_cell"": [23, 2], ""target_world"": [-380.0, 170.0, 0.0]}, ""1"": {""arrived"": true, ""final_distance_to_target_m"": 1.4713988708799204, ""final_projected_cell"": [37, 2], ""last_known_world"": [-378.6712646484375, 30.632041931152344, 0.17753054201602936], ""observer_pose_source"": ""live_location_sensor"", ""orientation_source"": ""live_orientation_sensor"", ""projection_matches_target"": true, ""target_cell"": [37, 2], ""target_world"": [-380.0, 30.0, 0.0]}}, ""per_step_fallback_counts"": {""0"": 0, ""1"": 0}, ""policy_step"": 2, ""run_kind"": ""calibration"", ""step_min_inter_vessel_distance_m"": 114.89388656616616, ""step_ticks"": 116, ""target_cells"": {""0"": [23, 2], ""1"": [37, 2]}, ""target_world"": {""0"": [-380.0, 170.0, 0.0], ""1"": [-380.0, 30.0, 0.0]}, ""timeout"": false}",True,False,True,[],[false],[null],False,running,4.908897,False,False,False,False
calibration,3,True,baseline_GP.marine_knownmap_runtime_2usv._joint_assign_two_usv_segments,baseline_GP_mainline_planner,False,6.15,"[0, 1]",False,"[18, 41]","[54, 40]","[[23, 2], [22, 2], [21, 2], [20, 2], [19, 2], [18, 2], [18, 3], [18, 4], [18, 5]]","[[37, 2], [38, 2], [39, 2], [40, 2], [41, 2], [42, 2], [43, 2], [44, 2], [45, 2]]","[22, 2]","[38, 2]","{""0"": {""commit_remaining"": 4, ""committed_segment"": [[23, 2], [22, 2], [21, 2], [20, 2], [19, 2], [18, 2], [18, 3], [18, 4], [18, 5]], ""robot_pos"": [23, 2]}, ""1"": {""commit_remaining"": 4, ""committed_segment"": [[37, 2], [38, 2], [39, 2], [40, 2], [41, 2], [42, 2], [43, 2], [44, 2], [45, 2]], ""robot_pos"": [37, 2]}}","{""0"": {""commit_remaining"": 3, ""committed_segment"": [[22, 2], [21, 2], [20, 2], [19, 2], [18, 2], [18, 3], [18, 4], [18, 5]], ""robot_pos"": [22, 2]}, ""1"": {""commit_remaining"": 3, ""committed_segment"": [[38, 2], [39, 2], [40, 2], [41, 2], [42, 2], [43, 2], [44, 2], [45, 2]], ""robot_pos"": [38, 2]}}","{""0"": {""collision"": false, ""collision_cell"": null, ""move_success"": true, ""new_robot_pos"": [22, 2]}, ""1"": {""collision"": false, ""collision_cell"": null, ""move_success"": true, ""new_robot_pos"": [38, 2]}}","{""arrived"": {""0"": true, ""1"": true}, ""final_by_usv"": {""0"": {""arrived"": true, ""final_distance_to_target_m"": 1.9775518885537988, ""final_projected_cell"": [22, 2], ""last_known_world"": [-381.6654968261719, 178.93377685546875, 0.18997515738010406], ""observer_pose_source"": ""live_location_sensor"", ""orientation_source"": ""live_orientation_sensor"", ""projection_matches_target"": true, ""target_cell"": [22, 2], ""target_world"": [-380.0, 180.0, 0.0]}, ""1"": {""arrived"": true, ""final_distance_to_target_m"": 1.9775930160953978, ""final_projected_cell"": [38, 2], ""last_known_world"": [-381.66552734375, 21.066251754760742, 0.17881213128566742], ""observer_pose_source"": ""live_location_sensor"", ""orientation_source"": ""live_orientation_sensor"", ""projection_matches_target"": true, ""target_cell"": [38, 2], ""target_world"": [-380.0, 20.0, 0.0]}}, ""per_step_fallback_counts"": {""0"": 0, ""1"": 0}, ""policy_step"": 3, ""run_kind"": ""calibration"", ""step_min_inter_vessel_distance_m"": 138.8721084595028, ""step_ticks"": 111, ""target_cells"": {""0"": [22, 2], ""1"": [38, 2]}, ""target_world"": {""0"": [-380.0, 180.0, 0.0], ""1"": [-380.0, 20.0, 0.0]}, ""timeout"": false}",True,False,True,[],[false],[null],False,running,4.553491,False,False,False,False
calibration,4,True,baseline_GP.marine_knownmap_runtime_2usv._joint_assign_two_usv_segments,baseline_GP_mainline_planner,False,6.15,"[0, 1]",False,"[18, 40]","[54, 40]","[[22, 2], [21, 2], [20, 2], [19, 2], [18, 2], [18, 3], [18, 4], [18, 5], [18, 6]]","[[38, 2], [39, 2], [40, 2], [41, 2], [42, 2], [43, 2], [44, 2], [45, 2], [46, 2]]","[21, 2]","[39, 2]","{""0"": {""commit_remaining"": 4, ""committed_segment"": [[22, 2], [21, 2], [20, 2], [19, 2], [18, 2], [18, 3], [18, 4], [18, 5], [18, 6]], ""robot_pos"": [22, 2]}, ""1"": {""commit_remaining"": 4, ""committed_segment"": [[38, 2], [39, 2], [40, 2], [41, 2], [42, 2], [43, 2], [44, 2], [45, 2], [46, 2]], ""robot_pos"": [38, 2]}}","{""0"": {""commit_remaining"": 3, ""committed_segment"": [[21, 2], [20, 2], [19, 2], [18, 2], [18, 3], [18, 4], [18, 5], [18, 6]], ""robot_pos"": [21, 2]}, ""1"": {""commit_remaining"": 3, ""committed_segment"": [[39, 2], [40, 2], [41, 2], [42, 2], [43, 2], [44, 2], [45, 2], [46, 2]], ""robot_pos"": [39, 2]}}","{""0"": {""collision"": false, ""collision_cell"": null, ""move_success"": true, ""new_robot_pos"": [21, 2]}, ""1"": {""collision"": false, ""collision_cell"": null, ""move_success"": true, ""new_robot_pos"": [39, 2]}}","{""arrived"": {""0"": true, ""1"": true}, ""final_by_usv"": {""0"": {""arrived"": true, ""final_distance_to_target_m"": 2.0194503513878517, ""final_projected_cell"": [21, 2], ""last_known_world"": [-378.3115539550781, 188.89215087890625, 0.1921873241662979], ""observer_pose_source"": ""live_location_sensor"", ""orientation_source"": ""live_orientation_sensor"", ""projection_matches_target"": true, ""target_cell"": [21, 2], ""target_world"": [-380.0, 190.0, 0.0]}, ""1"": {""arrived"": true, ""final_distance_to_target_m"": 2.019417511437107, ""final_projected_cell"": [39, 2], ""last_known_world"": [-378.31158447265625, 11.10783576965332, 0.1811685413122177], ""observer_pose_source"": ""live_location_sensor"", ""orientation_source"": ""live_orientation_sensor"", ""projection_matches_target"": true, ""target_cell"": [39, 2], ""target_world"": [-380.0, 10.0, 0.0]}}, ""per_step_fallback_counts"": {""0"": 0, ""1"": 0}, ""policy_step"": 4, ""run_kind"": ""calibration"", ""step_min_inter_vessel_distance_m"": 158.01161956787405, ""step_ticks"": 114, ""target_cells"": {""0"": [21, 2], ""1"": [39, 2]}, ""target_world"": {""0"": [-380.0, 190.0, 0.0], ""1"": [-380.0, 10.0, 0.0]}, ""timeout"": false}",True,False,True,[],[false],[null],False,running,4.867115,False,False,False,False
calibration,5,True,baseline_GP.marine_knownmap_runtime_2usv._joint_assign_two_usv_segments,baseline_GP_mainline_planner,False,8.5,"[0, 1]",False,"[18, 40]","[54, 40]","[[21, 2], [20, 2], [19, 2], [18, 2], [18, 3], [18, 4], [18, 5], [18, 6], [18, 7]]","[[39, 2], [40, 2], [41, 2], [42, 2], [43, 2], [44, 2], [45, 2], [46, 2], [47, 2]]","[20, 2]","[40, 2]","{""0"": {""commit_remaining"": 4, ""committed_segment"": [[21, 2], [20, 2], [19, 2], [18, 2], [18, 3], [18, 4], [18, 5], [18, 6], [18, 7]], ""robot_pos"": [21, 2]}, ""1"": {""commit_remaining"": 4, ""committed_segment"": [[39, 2], [40, 2], [41, 2], [42, 2], [43, 2], [44, 2], [45, 2], [46, 2], [47, 2]], ""robot_pos"": [39, 2]}}","{""0"": {""commit_remaining"": 3, ""committed_segment"": [[20, 2], [19, 2], [18, 2], [18, 3], [18, 4], [18, 5], [18, 6], [18, 7]], ""robot_pos"": [20, 2]}, ""1"": {""commit_remaining"": 3, ""committed_segment"": [[40, 2], [41, 2], [42, 2], [43, 2], [44, 2], [45, 2], [46, 2], [47, 2]], ""robot_pos"": [40, 2]}}","{""0"": {""collision"": false, ""collision_cell"": null, ""move_success"": true, ""new_robot_pos"": [20, 2]}, ""1"": {""collision"": false, ""collision_cell"": null, ""move_success"": true, ""new_robot_pos"": [40, 2]}}","{""arrived"": {""0"": true, ""1"": true}, ""final_by_usv"": {""0"": {""arrived"": true, ""final_distance_to_target_m"": 2.034610993349938, ""final_projected_cell"": [20, 2], ""last_known_world"": [-381.69903564453125, 198.8806610107422, 0.19411636888980865], ""observer_pose_source"": ""live_location_sensor"", ""orientation_source"": ""live_orientation_sensor"", ""projection_matches_target"": true, ""target_cell"": [20, 2], ""target_world"": [-380.0, 200.0, 0.0]}, ""1"": {""arrived"": true, ""final_distance_to_target_m"": 2.0345210032914083, ""final_projected_cell"": [40, 2], ""last_known_world"": [-381.698974609375, 1.1192680597305298, 0.18468792736530304], ""observer_pose_source"": ""live_location_sensor"", ""orientation_source"": ""live_orientation_sensor"", ""projection_matches_target"": true, ""target_cell"": [40, 2], ""target_world"": [-380.0, 0.0, 0.0]}}, ""per_step_fallback_counts"": {""0"": 0, ""1"": 0}, ""policy_step"": 5, ""run_kind"": ""calibration"", ""step_min_inter_vessel_distance_m"": 177.93046188355538, ""step_ticks"": 114, ""target_cells"": {""0"": [20, 2], ""1"": [40, 2]}, ""target_world"": {""0"": [-380.0, 200.0, 0.0], ""1"": [-380.0, 0.0, 0.0]}, ""timeout"": false}",True,False,True,[],[false],[null],False,running,4.359897,False,False,False,False
calibration,6,True,baseline_GP.marine_knownmap_runtime_2usv._joint_assign_two_usv_segments,baseline_GP_mainline_planner,False,8.5,"[0, 1]",False,"[18, 41]","[54, 40]","[[20, 2], [19, 2], [18, 2], [18, 3], [18, 4], [18, 5], [18, 6], [18, 7], [18, 8]]","[[40, 2], [41, 2], [42, 2], [43, 2], [44, 2], [45, 2], [46, 2], [47, 2], [48, 2]]","[19, 2]","[41, 2]","{""0"": {""commit_remaining"": 4, ""committed_segment"": [[20, 2], [19, 2], [18, 2], [18, 3], [18, 4], [18, 5], [18, 6], [18, 7], [18, 8]], ""robot_pos"": [20, 2]}, ""1"": {""commit_remaining"": 4, ""committed_segment"": [[40, 2], [41, 2], [42, 2], [43, 2], [44, 2], [45, 2], [46, 2], [47, 2], [48, 2]], ""robot_pos"": [40, 2]}}","{""0"": {""commit_remaining"": 3, ""committed_segment"": [[19, 2], [18, 2], [18, 3], [18, 4], [18, 5], [18, 6], [18, 7], [18, 8]], ""robot_pos"": [19, 2]}, ""1"": {""commit_remaining"": 3, ""committed_segment"": [[41, 2], [42, 2], [43, 2], [44, 2], [45, 2], [46, 2], [47, 2], [48, 2]], ""robot_pos"": [41, 2]}}","{""0"": {""collision"": false, ""collision_cell"": null, ""move_success"": true, ""new_robot_pos"": [19, 2]}, ""1"": {""collision"": false, ""collision_cell"": null, ""move_success"": true, ""new_robot_pos"": [41, 2]}}","{""arrived"": {""0"": true, ""1"": true}, ""final_by_usv"": {""0"": {""arrived"": true, ""final_distance_to_target_m"": 2.0400858776592705, ""final_projected_cell"": [19, 2], ""last_known_world"": [-378.2965393066406, 208.87742614746094, 0.19225244224071503], ""observer_pose_source"": ""live_location_sensor"", ""orientation_source"": ""live_orientation_sensor"", ""projection_matches_target"": true, ""target_cell"": [19, 2], ""target_world"": [-380.0, 210.0, 0.0]}, ""1"": {""arrived"": true, ""final_distance_to_target_m"": 2.040009200055032, ""final_projected_cell"": [41, 2], ""last_known_world"": [-378.2966003417969, -8.877472877502441, 0.18104287981987], ""observer_pose_source"": ""live_location_sensor"", ""orientation_source"": ""live_orientation_sensor"", ""projection_matches_target"": true, ""target_cell"": [41, 2], ""target_world"": [-380.0, -10.0, 0.0]}}, ""per_step_fallback_counts"": {""0"": 0, ""1"": 0}, ""policy_step"": 6, ""run_kind"": ""calibration"", ""step_min_inter_vessel_distance_m"": 197.90860867501246, ""step_ticks"": 114, ""target_cells"": {""0"": [19, 2], ""1"": [41, 2]}, ""target_world"": {""0"": [-380.0, 210.0, 0.0], ""1"": [-380.0, -10.0, 0.0]}, ""timeout"": false}",True,False,True,[],[false],[null],False,running,4.788353,False,False,False,False
calibration,7,True,baseline_GP.marine_knownmap_runtime_2usv._joint_assign_two_usv_segments,baseline_GP_mainline_planner,False,8.5,"[0, 1]",False,"[18, 41]","[55, 38]","[[19, 2], [18, 2], [18, 3], [18, 4], [18, 5], [18, 6], [18, 7], [18, 8], [18, 9]]","[[41, 2], [42, 2], [43, 2], [44, 2], [45, 2], [46, 2], [47, 2], [48, 2], [49, 2]]","[18, 2]","[42, 2]","{""0"": {""commit_remaining"": 4, ""committed_segment"": [[19, 2], [18, 2], [18, 3], [18, 4], [18, 5], [18, 6], [18, 7], [18, 8], [18, 9]], ""robot_pos"": [19, 2]}, ""1"": {""commit_remaining"": 4, ""committed_segment"": [[41, 2], [42, 2], [43, 2], [44, 2], [45, 2], [46, 2], [47, 2], [48, 2], [49, 2]], ""robot_pos"": [41, 2]}}","{""0"": {""commit_remaining"": 3, ""committed_segment"": [[18, 2], [18, 3], [18, 4], [18, 5], [18, 6], [18, 7], [18, 8], [18, 9]], ""robot_pos"": [18, 2]}, ""1"": {""commit_remaining"": 3, ""committed_segment"": [[42, 2], [43, 2], [44, 2], [45, 2], [46, 2], [47, 2], [48, 2], [49, 2]], ""robot_pos"": [42, 2]}}","{""0"": {""collision"": false, ""collision_cell"": null, ""move_success"": true, ""new_robot_pos"": [18, 2]}, ""1"": {""collision"": false, ""collision_cell"": null, ""move_success"": true, ""new_robot_pos"": [42, 2]}}","{""arrived"": {""0"": true, ""1"": true}, ""final_by_usv"": {""0"": {""arrived"": true, ""final_distance_to_target_m"": 2.0411112206261888, ""final_projected_cell"": [18, 2], ""last_known_world"": [-381.7044372558594, 218.87704467773438, 0.19331170618534088], ""observer_pose_source"": ""live_location_sensor"", ""orientation_source"": ""live_orientation_sensor"", ""projection_matches_target"": true, ""target_cell"": [18, 2], ""target_world"": [-380.0, 220.0, 0.0]}, ""1"": {""arrived"": true, ""final_distance_to_target_m"": 2.041051108136019, ""final_projected_cell"": [42, 2], ""last_known_world"": [-381.70440673828125, -18.877107620239258, 0.18500667810440063], ""observer_pose_source"": ""live_location_sensor"", ""orientation_source"": ""live_orientation_sensor"", ""projection_matches_target"": true, ""target_cell"": [42, 2], ""target_world"": [-380.0, -20.0, 0.0]}}, ""per_step_fallback_counts"": {""0"": 0, ""1"": 0}, ""policy_step"": 7, ""run_kind"": ""calibration"", ""step_min_inter_vessel_distance_m"": 217.9027433395407, ""step_ticks"": 114, ""target_cells"": {""0"": [18, 2], ""1"": [42, 2]}, ""target_world"": {""0"": [-380.0, 220.0, 0.0], ""1"": [-380.0, -20.0, 0.0]}, ""timeout"": false}",True,False,True,[],[false],[null],False,running,4.673683,False,False,False,False
calibration,8,True,baseline_GP.marine_knownmap_runtime_2usv._joint_assign_two_usv_segments,baseline_GP_mainline_planner,False,8.5,"[0, 1]",False,"[18, 42]","[54, 40]","[[18, 2], [18, 3], [18, 4], [18, 5], [18, 6], [18, 7], [18, 8], [18, 9], [18, 10]]","[[42, 2], [43, 2], [44, 2], [45, 2], [46, 2], [47, 2], [48, 2], [49, 2], [50, 2]]","[18, 3]","[43, 2]","{""0"": {""commit_remaining"": 4, ""committed_segment"": [[18, 2], [18, 3], [18, 4], [18, 5], [18, 6], [18, 7], [18, 8], [18, 9], [18, 10]], ""robot_pos"": [18, 2]}, ""1"": {""commit_remaining"": 4, ""committed_segment"": [[42, 2], [43, 2], [44, 2], [45, 2], [46, 2], [47, 2], [48, 2], [49, 2], [50, 2]], ""robot_pos"": [42, 2]}}","{""0"": {""commit_remaining"": 3, ""committed_segment"": [[18, 3], [18, 4], [18, 5], [18, 6], [18, 7], [18, 8], [18, 9], [18, 10]], ""robot_pos"": [18, 3]}, ""1"": {""commit_remaining"": 3, ""committed_segment"": [[43, 2], [44, 2], [45, 2], [46, 2], [47, 2], [48, 2], [49, 2], [50, 2]], ""robot_pos"": [43, 2]}}","{""0"": {""collision"": false, ""collision_cell"": null, ""move_success"": true, ""new_robot_pos"": [18, 3]}, ""1"": {""collision"": false, ""collision_cell"": null, ""move_success"": true, ""new_robot_pos"": [43, 2]}}","{""arrived"": {""0"": true, ""1"": true}, ""final_by_usv"": {""0"": {""arrived"": true, ""final_distance_to_target_m"": 0.8784076362455955, ""final_projected_cell"": [18, 3], ""last_known_world"": [-370.0677185058594, 220.87579345703125, 0.18642625212669373], ""observer_pose_source"": ""live_location_sensor"", ""orientation_source"": ""live_orientation_sensor"", ""projection_matches_target"": true, ""target_cell"": [18, 3], ""target_world"": [-370.0, 220.0, 0.0]}, ""1"": {""arrived"": true, ""final_distance_to_target_m"": 2.040970758558738, ""final_projected_cell"": [43, 2], ""last_known_world"": [-378.295654296875, -28.877161026000977, 0.1813773661851883], ""observer_pose_source"": ""live_location_sensor"", ""orientation_source"": ""live_orientation_sensor"", ""projection_matches_target"": true, ""target_cell"": [43, 2], ""target_world"": [-380.0, -30.0, 0.0]}}, ""per_step_fallback_counts"": {""0"": 0, ""1"": 0}, ""policy_step"": 8, ""run_kind"": ""calibration"", ""step_min_inter_vessel_distance_m"": 237.8955250300082, ""step_ticks"": 114, ""target_cells"": {""0"": [18, 3], ""1"": [43, 2]}, ""target_world"": {""0"": [-370.0, 220.0, 0.0], ""1"": [-380.0, -30.0, 0.0]}, ""timeout"": false}",True,False,True,[],[false],[null],False,running,4.513975,False,False,False,False
calibration,9,True,baseline_GP.marine_knownmap_runtime_2usv._joint_assign_two_usv_segments,baseline_GP_mainline_planner,False,8.5,"[0, 1]",False,"[18, 43]","[54, 40]","[[18, 3], [18, 4], [18, 5], [18, 6], [18, 7], [18, 8], [18, 9], [18, 10], [18, 11]]","[[43, 2], [44, 2], [45, 2], [46, 2], [47, 2], [48, 2], [49, 2], [50, 2], [51, 2]]","[18, 4]","[44, 2]","{""0"": {""commit_remaining"": 4, ""committed_segment"": [[18, 3], [18, 4], [18, 5], [18, 6], [18, 7], [18, 8], [18, 9], [18, 10], [18, 11]], ""robot_pos"": [18, 3]}, ""1"": {""commit_remaining"": 4, ""committed_segment"": [[43, 2], [44, 2], [45, 2], [46, 2], [47, 2], [48, 2], [49, 2], [50, 2], [51, 2]], ""robot_pos"": [43, 2]}}","{""0"": {""commit_remaining"": 3, ""committed_segment"": [[18, 4], [18, 5], [18, 6], [18, 7], [18, 8], [18, 9], [18, 10], [18, 11]], ""robot_pos"": [18, 4]}, ""1"": {""commit_remaining"": 3, ""committed_segment"": [[44, 2], [45, 2], [46, 2], [47, 2], [48, 2], [49, 2], [50, 2], [51, 2]], ""robot_pos"": [44, 2]}}","{""0"": {""collision"": false, ""collision_cell"": null, ""move_success"": true, ""new_robot_pos"": [18, 4]}, ""1"": {""collision"": false, ""collision_cell"": null, ""move_success"": true, ""new_robot_pos"": [44, 2]}}","{""arrived"": {""0"": true, ""1"": true}, ""final_by_usv"": {""0"": {""arrived"": true, ""final_distance_to_target_m"": 1.935261125479405, ""final_projected_cell"": [18, 4], ""last_known_world"": [-361.8868103027344, 220.43032836914062, 0.19559969007968903], ""observer_pose_source"": ""live_location_sensor"", ""orientation_source"": ""live_orientation_sensor"", ""projection_matches_target"": true, ""target_cell"": [18, 4], ""target_world"": [-360.0, 220.0, 0.0]}, ""1"": {""arrived"": true, ""final_distance_to_target_m"": 1.7279269474116044, ""final_projected_cell"": [44, 2], ""last_known_world"": [-381.5414123535156, -39.2191162109375, 0.18472720682621002], ""observer_pose_source"": ""live_location_sensor"", ""orientation_source"": ""live_orientation_sensor"", ""projection_matches_target"": true, ""target_cell"": [44, 2], ""target_world"": [-380.0, -40.0, 0.0]}}, ""per_step_fallback_counts"": {""0"": 0, ""1"": 0}, ""policy_step"": 9, ""run_kind"": ""calibration"", ""step_min_inter_vessel_distance_m"": 249.9172284390785, ""step_ticks"": 119, ""target_cells"": {""0"": [18, 4], ""1"": [44, 2]}, ""target_world"": {""0"": [-360.0, 220.0, 0.0], ""1"": [-380.0, -40.0, 0.0]}, ""timeout"": false}",True,False,True,[],[false],[null],False,running,4.658563,False,False,False,False
calibration,10,True,baseline_GP.marine_knownmap_runtime_2usv._joint_assign_two_usv_segments,baseline_GP_mainline_planner,False,15.0,"[0, 1]",False,"[18, 34]","[55, 39]","[[18, 4], [18, 5], [18, 6], [18, 7], [18, 8], [18, 9], [18, 10], [18, 11], [18, 12]]","[[44, 2], [45, 2], [46, 2], [47, 2], [48, 2], [49, 2], [50, 2], [51, 2], [52, 2]]","[18, 5]","[45, 2]","{""0"": {""commit_remaining"": 4, ""committed_segment"": [[18, 4], [18, 5], [18, 6], [18, 7], [18, 8], [18, 9], [18, 10], [18, 11], [18, 12]], ""robot_pos"": [18, 4]}, ""1"": {""commit_remaining"": 4, ""committed_segment"": [[44, 2], [45, 2], [46, 2], [47, 2], [48, 2], [49, 2], [50, 2], [51, 2], [52, 2]], ""robot_pos"": [44, 2]}}","{""0"": {""commit_remaining"": 3, ""committed_segment"": [[18, 5], [18, 6], [18, 7], [18, 8], [18, 9], [18, 10], [18, 11], [18, 12]], ""robot_pos"": [18, 5]}, ""1"": {""commit_remaining"": 3, ""committed_segment"": [[45, 2], [46, 2], [47, 2], [48, 2], [49, 2], [50, 2], [51, 2], [52, 2]], ""robot_pos"": [45, 2]}}","{""0"": {""collision"": false, ""collision_cell"": null, ""move_success"": true, ""new_robot_pos"": [18, 5]}, ""1"": {""collision"": false, ""collision_cell"": null, ""move_success"": true, ""new_robot_pos"": [45, 2]}}","{""arrived"": {""0"": true, ""1"": true}, ""final_by_usv"": {""0"": {""arrived"": true, ""final_distance_to_target_m"": 1.2261582364395998, ""final_projected_cell"": [18, 5], ""last_known_world"": [-350.48895263671875, 218.87554931640625, 0.18001636862754822], ""observer_pose_source"": ""live_location_sensor"", ""orientation_source"": ""live_orientation_sensor"", ""projection_matches_target"": true, ""target_cell"": [18, 5], ""target_world"": [-350.0, 220.0, 0.0]}, ""1"": {""arrived"": true, ""final_distance_to_target_m"": 1.91763406979316, ""final_projected_cell"": [45, 2], ""last_known_world"": [-378.4032287597656, -48.93809509277344, 0.17833350598812103], ""observer_pose_source"": ""live_location_sensor"", ""orientation_source"": ""live_orientation_sensor"", ""projection_matches_target"": true, ""target_cell"": [45, 2], ""target_world"": [-380.0, -50.0, 0.0]}}, ""per_step_fallback_counts"": {""0"": 0, ""1"": 0}, ""policy_step"": 10, ""run_kind"": ""calibration"", ""step_min_inter_vessel_distance_m"": 260.4782172111415, ""step_ticks"": 113, ""target_cells"": {""0"": [18, 5], ""1"": [45, 2]}, ""target_world"": {""0"": [-350.0, 220.0, 0.0], ""1"": [-380.0, -50.0, 0.0]}, ""timeout"": false}",True,False,True,[],[false],[null],False,running,4.242512,False,False,False,False
