run_kind,policy_step,tick_in_policy_step,tick_global,agent_id,camera_channel_id,camera_sensor_name,capture_phase,source_event_rgb_changed_pixels,source_event_local_candidate_count,source_event_rangefinder_hit_beam_indices,source_event_rgb_range_sync_attempted,source_event_rgb_range_sync_applied,source_event_rgb_sync_target_tick,source_event_rgb_sync_baseline_tick,source_event_rgb_sync_target_offset_ticks,source_event_rgb_sync_baseline_offset_ticks,source_event_rgb_sync_candidate_count,source_event_rgb_sync_failure_reason,target_capture_present,baseline_capture_present,exact_baseline_capture_present,exact_target_rgb_present,exact_baseline_rgb_present,synced_target_capture_present,synced_baseline_capture_present,synced_target_rgb_present,synced_baseline_rgb_present,target_rgb_present,baseline_rgb_present,target_observer_world_location,baseline_observer_world_location,target_observer_heading_deg,baseline_observer_heading_deg,target_vs_baseline_observer_distance_m,rgb_changed_pixels_recomputed,rgb_change_bbox_xyxy_recomputed,exact_tick_rgb_changed_pixels,sphere_blob_candidate_count_recomputed,sphere_blob_local_candidate_count_recomputed,sphere_blob_white_neutral_changed_pixels_recomputed,local_range_scaled_blob_present_recomputed,local_blob_area_recomputed,local_blob_range_scaled_area_recomputed,matched_range_m_recomputed,matched_beam_index_recomputed,rangefinder_hit_beam_indices_recomputed,rangefinder_min_positive_range_m_recomputed,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection,target_rgb_preview_path,baseline_rgb_preview_path,diff_preview_path,white_neutral_mask_preview_path,overlay_preview_path
target,19,12,1531,sv0,left,LeftRGBCamera,transit,5211,3,[60],True,True,17,5,5,-7,9,,True,True,True,False,False,True,True,True,True,True,True,"[-273.6155700683594, 218.71360778808594, 0.18191935122013092]","[-273.60516357421875, 218.7176971435547, 0.17986880242824554]",335.78169634218796,335.75227724403345,0.011181142537713127,5211,"[25, 43, 293, 195]",0,2,3,2404,False,0,,,,[60],4.2104268074035645,False,False,False,False,,,,,
target,19,13,1532,sv0,left,LeftRGBCamera,transit,5211,3,"[59, 60]",True,True,17,5,4,-8,9,,True,True,True,False,False,True,True,True,True,True,True,"[-273.491455078125, 218.65396118164062, 0.1816556453704834]","[-273.48095703125, 218.6580047607422, 0.17933334410190582]",336.0244146397032,335.99115647169316,0.01124986756101112,5211,"[25, 43, 293, 195]",0,2,3,2404,False,0,,,,"[59, 60]",3.982231855392456,False,False,False,False,,,,,
target,19,14,1533,sv0,left,LeftRGBCamera,transit,3174,3,"[57, 58, 59, 60]",True,True,11,17,-3,3,4,,True,True,True,False,False,True,True,True,True,True,True,"[-273.36614990234375, 218.59422302246094, 0.18121163547039032]","[-273.3555603027344, 218.5982208251953, 0.17852634191513062]",336.2610680706578,336.2240656269914,0.01131910096208402,3174,"[25, 48, 293, 195]",0,2,3,1149,False,0,,,,"[57, 58, 59, 60]",3.8630993366241455,False,False,False,False,,,,,
target,19,15,1534,sv0,left,LeftRGBCamera,transit,4009,4,"[56, 57, 58, 59, 60]",True,True,17,23,2,8,9,,True,True,True,False,False,True,True,True,True,True,True,"[-273.2397155761719, 218.5344696044922, 0.18066085875034332]","[-273.2290344238281, 218.5384063720703, 0.17753048241138458]",336.49180728038533,336.451155232464,0.011383547529420357,4009,"[25, 50, 293, 195]",0,3,4,1064,False,0,,,,"[56, 57, 58, 59, 60]",3.785834550857544,False,False,False,False,,,,,
target,19,16,1535,sv0,left,LeftRGBCamera,transit,4009,4,"[54, 55, 56, 57, 58, 59, 60]",True,True,17,23,1,7,9,,True,True,True,False,False,True,True,True,True,True,True,"[-273.1122131347656, 218.47474670410156, 0.1800694614648819]","[-273.10150146484375, 218.47862243652344, 0.17647895216941833]",336.71677974517354,336.6725679190258,0.01139127623759404,4009,"[25, 50, 293, 195]",0,3,4,1064,False,0,,,,"[54, 55, 56, 57, 58, 59, 60]",3.7158281803131104,False,False,False,False,,,,,
target,19,17,1536,sv0,left,LeftRGBCamera,transit,4009,4,"[52, 53, 54, 55, 56, 57, 58, 59, 60]",True,True,17,23,0,6,9,,True,True,True,True,True,True,True,True,True,True,True,"[-272.9837951660156, 218.41510009765625, 0.17943818867206573]","[-272.9729919433594, 218.41891479492188, 0.17543281614780426]",336.9361308215646,336.88844776616133,0.011456942654516526,4009,"[25, 50, 293, 195]",726,3,4,1064,False,0,,,,"[52, 53, 54, 55, 56, 57, 58, 59, 60]",3.6496386528015137,False,False,False,False,,,,,
target,19,18,1537,sv0,left,LeftRGBCamera,transit,4009,4,"[50, 51, 52, 53, 54, 55, 56, 57, 58, 59]",True,True,17,23,-1,5,9,,True,True,True,False,False,True,True,True,True,True,True,"[-272.8544616699219, 218.35557556152344, 0.17882654070854187]","[-272.8436584472656, 218.35931396484375, 0.17438822984695435]",337.149997908468,337.0989307480603,0.011431766230370389,4009,"[25, 50, 293, 195]",0,3,4,1064,False,0,,,,"[50, 51, 52, 53, 54, 55, 56, 57, 58, 59]",3.58851957321167,False,False,False,False,,,,,
target,19,19,1538,sv0,left,LeftRGBCamera,transit,4009,4,"[48, 49, 50, 51, 52, 53, 54, 55, 56, 57]",True,True,17,23,-2,4,9,,True,True,True,False,False,True,True,True,True,True,True,"[-272.7243347167969, 218.2962188720703, 0.17828808724880219]","[-272.7134704589844, 218.2998809814453, 0.17340055108070374]",337.35851682039186,337.3041523495303,0.01146486558538434,4009,"[25, 50, 293, 195]",0,3,4,1064,False,0,,,,"[48, 49, 50, 51, 52, 53, 54, 55, 56, 57]",3.5288074016571045,False,False,False,False,,,,,
target,19,20,1539,sv0,left,LeftRGBCamera,transit,4009,4,"[47, 48, 49, 50, 51, 52, 53, 54, 55]",True,True,17,23,-3,3,4,,True,True,True,False,False,True,True,True,True,True,True,"[-272.5934753417969, 218.23704528808594, 0.17781220376491547]","[-272.58258056640625, 218.24063110351562, 0.17257840931415558]",337.5618245065463,337.5042436281671,0.011469708065506859,4009,"[25, 50, 293, 195]",0,3,4,1064,False,0,,,,"[47, 48, 49, 50, 51, 52, 53, 54, 55]",3.4739291667938232,False,False,False,False,,,,,
target,19,21,1540,sv0,left,LeftRGBCamera,transit,4009,4,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",True,True,17,23,-4,2,9,,True,True,True,False,False,True,True,True,True,True,True,"[-272.4618835449219, 218.1781005859375, 0.17738938331604004]","[-272.45098876953125, 218.18161010742188, 0.1720195710659027]",337.76004854906677,337.69933051288467,0.011446085438325971,4009,"[25, 50, 293, 195]",0,3,4,1064,False,0,,,,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",3.423802375793457,False,False,False,False,,,,,
