phase_name,run_kind,policy_step,observation_phase,sensor_id,sensor_role,sensor_footprint,source_model,reporter_usv_id,observer_world_location,observer_grid_cell,sample_index,sample_grid_cell,sample_world_xy,clue_value,noise_std,signal_without_noise,distance_to_registered_source_m,registered_source_world_location_for_audit,registered_source_not_exposed_to_planner,used_for_gp_observation,used_for_detection,directly_updates_found_mask,detected_mask_from_clue,found_mask_from_clue,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection
phase5e_bridge_clue_sensor_realized_search,calibration,0,initial_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-380.0, 150.0, 0.13605034351348877]","[25, 2]",0,"[23, 3]","[-370.0, 170.0]",0.0,0.03,0.011677187514578925,112.25417586887359,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,calibration,0,initial_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-380.0, 150.0, 0.13605034351348877]","[25, 2]",1,"[20, 2]","[-380.0, 200.0]",0.06699472704316545,0.03,0.011966689912081361,111.98660634200861,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,calibration,0,initial_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-380.0, 150.0, 0.13605034351348877]","[25, 2]",2,"[24, 5]","[-350.0, 160.0]",0.07348373220746401,0.03,0.03213295218382493,100.60318086422515,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,calibration,0,initial_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-380.0, 150.0, 0.13605034351348877]","[25, 2]",3,"[26, 1]","[-390.0, 140.0]",0.0,0.03,0.0003849631188262323,144.77914214416384,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,calibration,0,initial_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-380.0, 150.0, 0.13605034351348877]","[25, 2]",4,"[25, 2]","[-380.0, 150.0]",0.052219318657614,0.03,0.001830475792441326,130.92364186807515,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,calibration,0,initial_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-380.0, 150.0, 0.13605034351348877]","[25, 2]",5,"[27, 2]","[-380.0, 130.0]",0.03159695706882972,0.03,0.0004877886551421189,142.76203977248292,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,calibration,0,initial_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-380.0, 50.0, 0.13111715018749237]","[35, 2]",0,"[36, 5]","[-350.0, 40.0]",0.02446409514923033,0.03,2.2868176963731407e-07,197.89138435010253,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,calibration,0,initial_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-380.0, 50.0, 0.13111715018749237]","[35, 2]",1,"[31, 4]","[-360.0, 90.0]",0.08880121786891385,0.03,6.655611947298582e-05,158.93709447451215,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,calibration,0,initial_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-380.0, 50.0, 0.13111715018749237]","[35, 2]",2,"[35, 7]","[-330.0, 50.0]",0.017786179932752333,0.03,3.016713345606893e-06,181.22085972646747,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,calibration,0,initial_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-380.0, 50.0, 0.13111715018749237]","[35, 2]",3,"[35, 6]","[-340.0, 50.0]",0.014736905296411133,0.03,1.7745656658838414e-06,184.77283350103173,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,calibration,0,initial_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-380.0, 50.0, 0.13111715018749237]","[35, 2]",4,"[39, 5]","[-350.0, 10.0]",0.030387410371693853,0.03,1.8819931188373657e-09,225.65681908597398,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,calibration,0,initial_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-380.0, 50.0, 0.13111715018749237]","[35, 2]",5,"[33, 5]","[-350.0, 70.0]",0.058495794259057474,0.03,1.3328201826041297e-05,170.88300090997936,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,calibration,1,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-379.4668884277344, 155.03981018066406, 0.24015218019485474]","[24, 2]",0,"[21, 5]","[-350.0, 190.0]",0.15584866668344613,0.03,0.09912807130374013,85.79627031520658,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,calibration,1,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-379.4668884277344, 155.03981018066406, 0.24015218019485474]","[24, 2]",1,"[28, 2]","[-380.0, 120.0]",0.004570235063977718,0.03,0.00022278535157746362,149.33519344079613,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,calibration,1,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-379.4668884277344, 155.03981018066406, 0.24015218019485474]","[24, 2]",2,"[27, 3]","[-370.0, 130.0]",0.0,0.03,0.001149434182962413,135.20724832641184,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,calibration,1,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-379.4668884277344, 155.03981018066406, 0.24015218019485474]","[24, 2]",3,"[24, 7]","[-330.0, 160.0]",0.1305152938584043,0.03,0.10075977255990291,85.56284240252891,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,calibration,1,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-379.4668884277344, 155.03981018066406, 0.24015218019485474]","[24, 2]",4,"[26, 2]","[-380.0, 140.0]",0.0,0.03,0.0009842924366791803,136.60527076214885,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,calibration,1,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-379.4668884277344, 155.03981018066406, 0.24015218019485474]","[24, 2]",5,"[21, 4]","[-360.0, 190.0]",0.06754943860162486,0.03,0.04952784876085531,95.18928511129812,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,calibration,1,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-379.46697998046875, 44.96012878417969, 0.22615577280521393]","[36, 2]",0,"[35, 1]","[-390.0, 50.0]",0.03550207242949885,0.03,3.673610122930136e-08,208.90428430264421,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,calibration,1,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-379.46697998046875, 44.96012878417969, 0.22615577280521393]","[36, 2]",1,"[39, 2]","[-380.0, 10.0]",0.08210249667942934,0.03,1.8374630914224916e-10,237.95167576632028,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
