mainline_step,detected_mask,found_mask_before,found_mask_after,find_times_before,find_times_after,new_found_indices,shared_found,all_found_after_update,update_found_mask_original_called,update_found_mask_module,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection,run_kind,source_shared_found,source_accepted_candidate_count,source_fused_candidate_count,live_capture_primary_detection_source,replay_events_used_for_detection,baseline_target_induced_clue_used_for_gp,bridge_clue_observation_used_for_gp,bridge_clue_observation_count_this_step,clue_directly_updates_found_mask
1,[false],[false],[false],[null],[null],[],False,False,True,baseline_GP.core_targets,False,False,False,False,target,False,0,0,True,False,False,True,12,False
2,[false],[false],[false],[null],[null],[],False,False,True,baseline_GP.core_targets,False,False,False,False,target,False,0,0,True,False,False,True,12,False
3,[false],[false],[false],[null],[null],[],False,False,True,baseline_GP.core_targets,False,False,False,False,target,False,0,0,True,False,False,True,12,False
4,[false],[false],[false],[null],[null],[],False,False,True,baseline_GP.core_targets,False,False,False,False,target,False,0,0,True,False,False,True,12,False
5,[false],[false],[false],[null],[null],[],False,False,True,baseline_GP.core_targets,False,False,False,False,target,False,0,0,True,False,False,True,12,False
6,[false],[false],[false],[null],[null],[],False,False,True,baseline_GP.core_targets,False,False,False,False,target,False,0,0,True,False,False,True,12,False
7,[false],[false],[false],[null],[null],[],False,False,True,baseline_GP.core_targets,False,False,False,False,target,False,0,0,True,False,False,True,12,False
8,[false],[false],[false],[null],[null],[],False,False,True,baseline_GP.core_targets,False,False,False,False,target,False,0,0,True,False,False,True,12,False
9,[false],[false],[false],[null],[null],[],False,False,True,baseline_GP.core_targets,False,False,False,False,target,False,0,0,True,False,False,True,12,False
10,[false],[false],[false],[null],[null],[],False,False,True,baseline_GP.core_targets,False,False,False,False,target,False,0,0,True,False,False,True,12,False
11,[false],[false],[false],[null],[null],[],False,False,True,baseline_GP.core_targets,False,False,False,False,target,False,0,0,True,False,False,True,12,False
12,[false],[false],[false],[null],[null],[],False,False,True,baseline_GP.core_targets,False,False,False,False,target,False,0,0,True,False,False,True,12,False
13,[false],[false],[false],[null],[null],[],False,False,True,baseline_GP.core_targets,False,False,False,False,target,False,0,0,True,False,False,True,12,False
14,[false],[false],[false],[null],[null],[],False,False,True,baseline_GP.core_targets,False,False,False,False,target,False,0,0,True,False,False,True,12,False
15,[false],[false],[false],[null],[null],[],False,False,True,baseline_GP.core_targets,False,False,False,False,target,False,0,0,True,False,False,True,12,False
16,[false],[false],[false],[null],[null],[],False,False,True,baseline_GP.core_targets,False,False,False,False,target,False,0,0,True,False,False,True,12,False
17,[false],[false],[false],[null],[null],[],False,False,True,baseline_GP.core_targets,False,False,False,False,target,False,0,0,True,False,False,True,12,False
18,[false],[false],[false],[null],[null],[],False,False,True,baseline_GP.core_targets,False,False,False,False,target,False,0,0,True,False,False,True,12,False
19,[false],[false],[false],[null],[null],[],False,False,True,baseline_GP.core_targets,False,False,False,False,target,False,0,0,True,False,False,True,12,False
20,[true],[false],[true],[null],[20],[0],True,True,True,baseline_GP.core_targets,False,False,False,False,target,True,31,1,True,False,False,True,12,False
