run_kind,policy_step,tick_in_policy_step,tick_global,agent_id,camera_channel_id,camera_sensor_name,capture_phase,source_event_rgb_changed_pixels,source_event_local_candidate_count,source_event_rangefinder_hit_beam_indices,source_event_rgb_range_sync_attempted,source_event_rgb_range_sync_applied,source_event_rgb_sync_target_tick,source_event_rgb_sync_baseline_tick,source_event_rgb_sync_target_offset_ticks,source_event_rgb_sync_baseline_offset_ticks,source_event_rgb_sync_candidate_count,source_event_rgb_sync_failure_reason,target_capture_present,baseline_capture_present,exact_baseline_capture_present,exact_target_rgb_present,exact_baseline_rgb_present,synced_target_capture_present,synced_baseline_capture_present,synced_target_rgb_present,synced_baseline_rgb_present,target_rgb_present,baseline_rgb_present,target_observer_world_location,baseline_observer_world_location,target_observer_heading_deg,baseline_observer_heading_deg,target_vs_baseline_observer_distance_m,rgb_changed_pixels_recomputed,rgb_change_bbox_xyxy_recomputed,exact_tick_rgb_changed_pixels,sphere_blob_candidate_count_recomputed,sphere_blob_local_candidate_count_recomputed,sphere_blob_white_neutral_changed_pixels_recomputed,local_range_scaled_blob_present_recomputed,local_blob_area_recomputed,local_blob_range_scaled_area_recomputed,matched_range_m_recomputed,matched_beam_index_recomputed,rangefinder_hit_beam_indices_recomputed,rangefinder_min_positive_range_m_recomputed,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection,target_rgb_preview_path,baseline_rgb_preview_path,diff_preview_path,white_neutral_mask_preview_path,overlay_preview_path
target,19,12,1531,sv0,left,LeftRGBCamera,transit,3361,4,[60],True,True,11,17,-1,5,9,,True,True,True,False,False,True,True,True,True,True,True,"[-273.6063537597656, 218.7292938232422, 0.16435743868350983]","[-273.6050720214844, 218.71775817871094, 0.1882939636707306]",335.44516645351837,335.75165410243034,0.011606633783013047,3361,"[25, 46, 293, 195]",0,3,4,1212,False,0,,,,[60],4.0909104347229,False,False,False,False,,,,,
target,19,13,1532,sv0,left,LeftRGBCamera,transit,3361,4,"[58, 59, 60]",True,True,11,17,-2,4,9,,True,True,True,False,False,True,True,True,True,True,True,"[-273.48187255859375, 218.66905212402344, 0.16380375623703003]","[-273.4808654785156, 218.65806579589844, 0.1876830756664276]",335.6657292881195,335.99047516086284,0.011032389403656955,3361,"[25, 46, 293, 195]",0,3,4,1212,False,0,,,,"[58, 59, 60]",3.922661781311035,False,False,False,False,,,,,
target,19,14,1533,sv0,left,LeftRGBCamera,transit,3361,4,"[57, 58, 59, 60]",True,True,11,17,-3,3,4,,True,True,True,False,False,True,True,True,True,True,True,"[-273.35626220703125, 218.60870361328125, 0.16351011395454407]","[-273.35546875, 218.59828186035156, 0.186984583735466]",335.88078198639823,336.2233304831531,0.010451914092064193,3361,"[25, 46, 293, 195]",0,3,4,1212,False,0,,,,"[57, 58, 59, 60]",3.8166303634643555,False,False,False,False,,,,,
target,19,15,1534,sv0,left,LeftRGBCamera,transit,5437,4,"[55, 56, 57, 58, 59, 60]",True,True,11,23,-4,8,9,,True,True,True,False,False,True,True,True,True,True,True,"[-273.2296142578125, 218.5482940673828, 0.16344697773456573]","[-273.22894287109375, 218.53846740722656, 0.18632148206233978]",336.09045860290314,336.45036622903035,0.009849569023695664,5437,"[25, 43, 293, 195]",0,4,4,1481,False,0,,,,"[55, 56, 57, 58, 59, 60]",3.7432589530944824,False,False,False,False,,,,,
target,19,16,1535,sv0,left,LeftRGBCamera,transit,5437,4,"[53, 54, 55, 56, 57, 58, 59, 60]",True,True,11,23,-5,7,9,,True,True,True,False,False,True,True,True,True,True,True,"[-273.1019592285156, 218.48788452148438, 0.16358773410320282]","[-273.1014099121094, 218.47866821289062, 0.18574564158916473]",336.29489708410017,336.671726817677,0.009232664437171184,5437,"[25, 43, 293, 195]",0,4,4,1481,False,0,,,,"[53, 54, 55, 56, 57, 58, 59, 60]",3.6768200397491455,False,False,False,False,,,,,
target,19,17,1536,sv0,left,LeftRGBCamera,transit,5437,4,"[51, 52, 53, 54, 55, 56, 57, 58, 59, 60]",True,True,11,23,-6,6,9,,True,True,True,True,True,True,True,True,True,True,True,"[-272.97344970703125, 218.4275360107422, 0.16390852630138397]","[-272.9729309082031, 218.41896057128906, 0.18536259233951569]",336.4942262714034,336.8875543498065,0.00859111832291214,5437,"[25, 43, 293, 195]",3361,4,4,1481,False,0,,,,"[51, 52, 53, 54, 55, 56, 57, 58, 59, 60]",3.611602783203125,False,False,False,False,,,,,
target,19,18,1537,sv0,left,LeftRGBCamera,transit,5437,4,"[50, 51, 52, 53, 54, 55, 56, 57, 58]",True,True,11,23,-7,5,9,,True,True,True,False,False,True,True,True,True,True,True,"[-272.8440856933594, 218.3672637939453, 0.16438788175582886]","[-272.84356689453125, 218.359375, 0.18520846962928772]",336.68857170931193,337.09798790756633,0.007905834689371075,5437,"[25, 43, 293, 195]",0,4,4,1481,False,0,,,,"[50, 51, 52, 53, 54, 55, 56, 57, 58]",3.550884962081909,False,False,False,False,,,,,
target,19,19,1538,sv0,left,LeftRGBCamera,transit,5437,4,"[48, 49, 50, 51, 52, 53, 54, 55, 56, 57]",True,True,11,23,-8,4,9,,True,True,True,False,False,True,True,True,True,True,True,"[-272.7139892578125, 218.30712890625, 0.16500650346279144]","[-272.7134094238281, 218.29994201660156, 0.18513937294483185]",336.87805992787736,337.3031616322535,0.007210242039505629,5437,"[25, 43, 293, 195]",0,4,4,1481,False,0,,,,"[48, 49, 50, 51, 52, 53, 54, 55, 56, 57]",3.494887590408325,False,False,False,False,,,,,
target,19,20,1539,sv0,left,LeftRGBCamera,transit,3837,2,"[46, 47, 48, 49, 50, 51, 52, 53, 54, 55]",True,True,23,17,3,-3,4,,True,True,True,False,False,True,True,True,True,True,True,"[-272.5831604003906, 218.24716186523438, 0.16568826138973236]","[-272.58251953125, 218.24069213867188, 0.18520231544971466]",337.06281123456733,337.50320343279736,0.006501390239704388,3837,"[25, 56, 293, 195]",0,2,2,1191,False,710,8620.748488621748,3.484522819519043,53,"[46, 47, 48, 49, 50, 51, 52, 53, 54, 55]",3.443228244781494,False,False,False,False,,,,,
target,19,21,1540,sv0,left,LeftRGBCamera,transit,3967,3,"[44, 45, 46, 47, 48, 49, 50, 51, 52, 53]",True,True,23,29,2,8,9,,True,True,True,False,False,True,True,True,True,True,True,"[-272.4516906738281, 218.18736267089844, 0.166423499584198]","[-272.450927734375, 218.18167114257812, 0.18532197177410126]",337.2429431908182,337.6982455584804,0.005742436001389471,3967,"[25, 50, 293, 195]",0,3,3,1435,False,709,8924.95688914093,3.5479700565338135,53,"[44, 45, 46, 47, 48, 49, 50, 51, 52, 53]",3.395827054977417,False,False,False,False,,,,,
target,19,22,1541,sv0,left,LeftRGBCamera,transit,3967,3,"[42, 43, 44, 45, 46, 47, 48, 49, 50, 51]",True,True,23,29,1,7,9,,True,True,True,False,False,True,True,True,True,True,True,"[-272.3196105957031, 218.12779235839844, 0.16720350086688995]","[-272.3186950683594, 218.1228790283203, 0.18548943102359772]",337.4185696969606,337.8884077944609,0.004997899836307421,3967,"[25, 50, 293, 195]",0,3,3,1435,False,709,8656.867612128797,3.494276523590088,51,"[42, 43, 44, 45, 46, 47, 48, 49, 50, 51]",3.352560520172119,False,False,False,False,,,,,
target,19,23,1542,sv0,left,LeftRGBCamera,transit,3967,3,"[39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",True,True,23,29,0,6,9,,True,True,True,True,True,True,True,True,True,True,True,"[-272.1869812011719, 218.0684356689453, 0.1679029017686844]","[-272.1858825683594, 218.06436157226562, 0.1855790615081787]",337.58980303616477,338.0738158971268,0.004219627686436609,3967,"[25, 50, 293, 195]",997,3,3,1435,False,709,8445.2212990219,3.4512975215911865,49,"[39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",3.314162254333496,False,False,False,False,,,,,
