planner_adaptation_mode,target_motion_mode,map_kind,episode_seed,policy_name,clue_acquisition_mode,path_safety_mode,success_all_found,time_to_first_detection,time_to_first_detection_censored,time_to_all_found,time_to_all_found_censored,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,path_length,switch_count,anchor_switch_count,replan_count,path_invalidations_per_episode,clearance_penalty_raw_mean,near_obstacle_step_ratio,min_clearance_cells_mean
adaptive,static,open_water,0,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,66,66,,241,0.6666666666666666,2,0.7912885662431942,22.17936052655109,240,29,9,38,0,0.0026041666666666665,0.0026041666666666665,7.9125
adaptive,static,open_water,1,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,59,59,112,112,1.0,3,0.45780399274047184,19.82015882308855,112,14,5,17,0,0.005580357142857143,0.005580357142857143,8.142857142857142
adaptive,static,open_water,2,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,54,54,,241,0.3333333333333333,1,0.6751361161524501,22.009110256196717,240,31,12,39,0,0.0026041666666666665,0.0026041666666666665,7.3125
adaptive,static,open_water,3,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,51,51,,241,0.6666666666666666,2,0.6851179673321234,21.132471052719904,240,32,10,38,0,0.0026041666666666665,0.0026041666666666665,6.5125
adaptive,static,open_water,4,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,37,37,112,112,1.0,3,0.43284936479128855,18.40458235271987,112,13,5,17,0,0.005580357142857143,0.005580357142857143,7.321428571428571
adaptive,static,open_water,5,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,12,12,119,119,1.0,3,0.4237749546279492,19.882238888587583,119,12,5,18,0,0.005252100840336135,0.005252100840336135,8.789915966386555
adaptive,static,open_water,6,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,71,71,,241,0.3333333333333333,1,0.6129764065335753,25.030420512988574,240,27,14,39,0,0.0026041666666666665,0.0026041666666666665,6.058333333333334
adaptive,static,open_water,7,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,43,43,125,125,1.0,3,0.46597096188747733,19.762594736867438,125,11,6,19,0,0.005,0.005,8.128
adaptive,static,open_water,8,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,73,73,,241,0.6666666666666666,2,0.8280399274047187,22.529630768985953,240,30,19,39,0,0.0026041666666666665,0.0026041666666666665,7.179166666666666
adaptive,static,open_water,9,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,50,50,74,74,1.0,3,0.31079854809437385,20.20630909133946,74,7,2,11,0,0.008445945945945946,0.008445945945945946,7.783783783783784
adaptive,static,harbor_cove,0,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,58,58,173,173,1.0,3,0.6576576576576577,19.94634074031233,173,19,6,27,0,0.0036127167630057803,0.0036127167630057803,6.38728323699422
adaptive,static,harbor_cove,1,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,91,91,,241,0.6666666666666666,2,0.7195945945945946,23.350576315926062,240,25,14,38,0,0.0026041666666666665,0.0026041666666666665,5.666666666666667
adaptive,static,harbor_cove,2,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,38,38,194,194,1.0,3,0.6559684684684685,18.78547419337631,194,24,8,31,0,0.0032216494845360823,0.0032216494845360823,5.685567010309279
