target_motion_mode,map_kind,planner_adaptation_mode,n_episodes,success_all_found_rate,time_to_first_detection_censored_mean,time_to_first_detection_censored_std,time_to_all_found_censored_mean,time_to_all_found_censored_std,detection_rate_mean,detection_rate_std,found_count_mean,found_count_std,known_free_observation_ratio_final_mean,known_free_observation_ratio_final_std,planning_time_ms_mean_mean,planning_time_ms_mean_std,path_length_mean,path_length_std,switch_count_mean,switch_count_std,anchor_switch_count_mean,anchor_switch_count_std,replan_count_mean,replan_count_std,path_invalidations_per_episode_mean,path_invalidations_per_episode_std,clearance_penalty_raw_mean_mean,clearance_penalty_raw_mean_std,near_obstacle_step_ratio_mean,near_obstacle_step_ratio_std,min_clearance_cells_mean_mean,min_clearance_cells_mean_std
random_walk,harbor_cove,adaptive,10,0.5,31.8,9.484724561103501,195.8,56.09242373083909,0.7999999999999999,0.22110831935702666,2.4,0.6633249580710799,0.6795608108108108,0.1285924232095928,21.09334186396013,2.618422527784603,195.3,55.69030436260876,20.5,6.591661399070799,7.7,3.0347981810987035,30.5,9.243916918709298,0.0,0.0,0.004079185767392674,0.0019065719530487238,0.004079185767392674,0.0019065719530487238,5.172517494542284,1.1365271417028338
random_walk,harbor_cove,no_kappa,10,0.5,31.1,8.5492689745966,185.7,65.86053446488269,0.7999999999999999,0.22110831935702666,2.4,0.6633249580710799,0.6742680180180181,0.16522543284308627,20.344562041584613,2.7544052265997894,185.2,65.44127138129271,31.0,9.959919678390985,14.9,5.629387178015028,38.8,13.854963009694396,0.0,0.0,0.004611985489269936,0.0024596094144911738,0.004611985489269936,0.0024596094144911738,5.341089566024569,0.7162874003613495
random_walk,open_water,adaptive,10,0.4,69.3,42.60058685041792,183.6,72.55783899758868,0.7666666666666666,0.21343747458109497,2.3,0.6403124237432849,0.6249092558983665,0.2099384010828772,19.110521638057765,2.079415115249841,183.0,72.0832851637604,19.5,8.581957818586618,8.3,4.075536774462966,28.5,11.218288639538564,0.0,0.0,0.004366384711779449,0.0025502713187067413,0.004366384711779449,0.0025502713187067413,7.9526347117794485,0.9123793844414253
random_walk,open_water,no_kappa,10,0.6,50.5,21.592822881689184,167.9,70.12053907379777,0.8333333333333334,0.223606797749979,2.5,0.6708203932499369,0.5768602540834846,0.21296059242384277,19.911279651311688,2.221379179677686,167.5,69.70401710088164,27.5,11.5,10.8,4.512205669071391,34.3,14.050266901379489,0.0,0.0,0.004993834826137649,0.0024877305631033873,0.004993834826137649,0.0024877305631033873,7.489868693700232,0.8243647470597915
random_walk,peninsula_passage,adaptive,10,0.3,62.6,38.96716566546764,225.9,27.47526160021047,0.7333333333333333,0.2,2.2,0.6,0.7224289405684754,0.05507232905248018,25.62640093063795,2.3537189414798183,225.2,27.09169614475993,22.0,4.024922359499621,8.0,2.04939015319192,34.9,4.27668095606862,0.0,0.0,0.002825009097525473,0.00041341806751652864,0.002825009097525473,0.00041341806751652864,3.8314572676232066,0.44429583282756496
random_walk,peninsula_passage,no_kappa,10,0.5,54.6,31.116555079250016,208.5,40.63065345278119,0.8333333333333333,0.16666666666666669,2.5,0.5,0.7333333333333334,0.11263731575554174,23.78670477249889,3.084171106422576,208.0,40.2318281960937,32.7,6.723838189605695,14.9,2.211334438749598,42.3,8.222530024268686,0.0,0.0,0.0034033850830276096,0.0009225378868387606,0.0034033850830276096,0.0009225378868387606,3.6823850643691247,0.3502820359206235
static,harbor_cove,adaptive,10,0.5,40.0,22.860446189871272,215.7,29.233713414480892,0.8333333333333333,0.16666666666666669,2.5,0.5,0.702027027027027,0.05781854400906879,22.276438454970865,3.4244534284737416,215.2,28.802083257986737,23.8,4.214261501141095,10.2,2.227105745132009,34.0,4.795831523312719,0.0,0.0,0.0029635513369341156,0.00044541541521079305,0.0029635513369341156,0.00044541541521079305,5.364988923086422,0.7643656006719478
static,harbor_cove,no_kappa,10,0.5,31.3,12.066896867049126,174.9,69.73585878154796,0.8333333333333333,0.16666666666666669,2.5,0.5,0.638795045045045,0.1597363863905892,23.36013454567985,5.095798332634235,174.4,69.26211085434807,29.0,11.0,14.6,5.624944444170093,36.3,14.594862109660372,0.0,0.0,0.006259496400502498,0.004700296904247468,0.006259496400502498,0.004700296904247468,5.641122973860779,0.8692716744723535
static,open_water,adaptive,10,0.5,51.6,17.205812971202494,174.7,67.49377749096578,0.7666666666666666,0.2603416558635552,2.3,0.7810249675906654,0.5683756805807623,0.16506574705488633,21.095687701004515,1.8016094663584203,174.2,67.00268651330333,20.6,9.43610088966836,8.7,4.9,27.5,11.280514172678478,0.0,0.0,0.00428795944053297,0.0019037278257383447,0.00428795944053297,0.0019037278257383447,7.514098546445605,0.7709585827357303
static,open_water,no_kappa,10,0.7,48.4,15.907231060118539,191.7,54.73764700825201,0.8666666666666667,0.22110831935702666,2.6,0.6633249580710799,0.619010889292196,0.13814803024752306,21.580552156958035,2.4772636077472714,191.4,54.46870661214566,32.1,9.924212815130478,12.9,5.107837115648854,38.9,11.175419455215092,0.0,0.0,0.0037265711390494366,0.001651811868397068,0.0037265711390494366,0.001651811868397068,7.83587774680058,0.32246731706313536
