planner_adaptation_mode,target_motion_mode,map_kind,episode_seed,policy_name,assignment_mode,clue_acquisition_mode,path_safety_mode,team_path_avoidance_mode,success_all_found,time_to_first_detection,time_to_first_detection_censored,time_to_all_found,time_to_all_found_censored,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,path_length_total,path_length_u0,path_length_u1,duplicate_viewpoint_ratio,cross_region_assignment_ratio,conflict_intervention_count,wait_count_total,wait_count_u0,wait_count_u1,reservation_wait_fallback_count,reservation_near_neighbor_step_ratio_mean,reservation_same_cell_violation_count,reservation_swap_violation_count,anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
adaptive,static,open_water,0,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,7,7,,241,0.6666666666666666,2,0.737842617152962,147.72019208348866,480,240,240,0.0,0.0,0,0,0,0,0,0.0,0,0,0.5,0.03654245757493382
adaptive,static,open_water,1,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,37,37,177,177,1.0,3,0.6812555260831122,119.27819265530177,354,177,177,0.0,0.0,0,0,0,0,0,0.0,0,0,0.14864864864864866,0.037746655290752405
adaptive,static,open_water,2,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,96,96,,241,0.6666666666666666,2,0.8107869142351901,143.1212187498204,480,240,240,0.0,0.0,0,0,0,0,0,0.0,0,0,0.28125,0.0294076615656462
adaptive,static,open_water,3,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,80,80,,241,0.3333333333333333,1,0.8638373121131742,137.341377916376,480,240,240,0.0,0.0,0,0,0,0,0,0.0,0,0,0.225,0.01943034748812145
adaptive,static,open_water,4,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,132,132,201,201,1.0,3,0.768788682581786,120.8233517411904,402,201,201,0.0,0.0,0,0,0,0,0,0.0,0,0,0.24242424242424243,0.02974198698827819
adaptive,static,open_water,5,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,46,46,,241,0.6666666666666666,2,0.7911140583554377,126.26858291678218,480,240,240,0.0,0.0,0,0,0,0,0,0.0,0,0,0.14130434782608695,0.022897014183326028
adaptive,static,open_water,6,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,44,44,182,182,1.0,3,0.6653404067197171,124.13602142863725,364,182,182,0.0,0.0,0,0,0,0,0,0.0,0,0,0.22727272727272727,0.04850903159430074
adaptive,static,open_water,7,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,45,45,64,64,1.0,3,0.3194076038903625,116.50686406244404,128,64,64,0.0,0.0,0,0,0,0,0,0.0,0,0,0.15555555555555556,0.024437029220996012
adaptive,static,open_water,8,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,17,17,174,174,1.0,3,0.6445623342175066,123.61437011479691,348,174,174,0.0,0.0,0,0,0,0,0,0.0,0,0,0.2647058823529412,0.027951484938005453
adaptive,static,open_water,9,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,30,30,145,145,1.0,3,0.5523872679045093,126.9413331037303,290,145,145,0.0,0.0,0,0,0,0,0,0.0,0,0,0.05,0.027468011819794556
